id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,4,19,48,33,-60,26.10
1,2020,12,4,19,48,34,-59,17.33
2,2020,12,4,19,48,35,-58,17.33
3,2020,12,4,19,48,36,-57,17.33
4,2020,12,4,19,48,37,-56,17.25
5,2020,12,4,19,48,38,-55,17.25
6,2020,12,4,19,48,39,-54,17.25
7,2020,12,4,19,48,40,-53,17.33
8,2020,12,4,19,48,41,-52,17.33
9,2020,12,4,19,48,42,-51,17.25
10,2020,12,4,19,48,43,-50,17.33
11,2020,12,4,19,48,44,-49,17.33
12,2020,12,4,19,48,45,-48,17.33
13,2020,12,4,19,48,46,-47,17.50
14,2020,12,4,19,48,47,-46,17.50
15,2020,12,4,19,48,48,-45,17.59
16,2020,12,4,19,48,49,-44,17.59
17,2020,12,4,19,48,50,-43,17.59
18,2020,12,4,19,48,51,-42,17.59
19,2020,12,4,19,48,52,-41,17.50
20,2020,12,4,19,48,53,-40,17.59
21,2020,12,4,19,48,55,-39,17.59
22,2020,12,4,19,48,56,-38,17.59
23,2020,12,4,19,48,57,-37,17.59
24,2020,12,4,19,48,58,-36,17.50
25,2020,12,4,19,48,59,-35,17.50
26,2020,12,4,19,49,0,-34,17.59
27,2020,12,4,19,49,1,-33,17.59
28,2020,12,4,19,49,2,-32,17.59
29,2020,12,4,19,49,3,-31,17.59
30,2020,12,4,19,49,4,-30,17.59
31,2020,12,4,19,49,5,-29,17.59
32,2020,12,4,19,49,6,-28,17.59
33,2020,12,4,19,49,7,-27,17.50
34,2020,12,4,19,49,8,-26,17.50
35,2020,12,4,19,49,9,-25,17.59
36,2020,12,4,19,49,10,-24,17.59
37,2020,12,4,19,49,11,-23,17.50
38,2020,12,4,19,49,12,-22,17.50
39,2020,12,4,19,49,13,-21,17.50
40,2020,12,4,19,49,14,-20,17.50
41,2020,12,4,19,49,15,-19,17.59
42,2020,12,4,19,49,16,-18,17.50
43,2020,12,4,19,49,17,-17,17.50
44,2020,12,4,19,49,18,-16,17.50
45,2020,12,4,19,49,19,-15,17.50
46,2020,12,4,19,49,20,-14,17.50
47,2020,12,4,19,49,21,-13,17.50
48,2020,12,4,19,49,22,-12,17.50
49,2020,12,4,19,49,23,-11,17.59
50,2020,12,4,19,49,24,-10,17.59
51,2020,12,4,19,49,25,-9,17.50
52,2020,12,4,19,49,26,-8,17.59
53,2020,12,4,19,49,27,-7,17.50
54,2020,12,4,19,49,28,-6,17.59
55,2020,12,4,19,49,29,-5,17.59
56,2020,12,4,19,49,31,-4,17.59
57,2020,12,4,19,49,32,-3,17.59
58,2020,12,4,19,49,33,-2,17.50
59,2020,12,4,19,49,34,-1,17.59
60,2020,12,4,19,49,35,0,17.42
61,2020,12,4,19,49,36,1,17.33
62,2020,12,4,19,49,37,2,17.42
63,2020,12,4,19,49,38,3,17.42
64,2020,12,4,19,49,39,4,17.42
65,2020,12,4,19,49,40,5,17.42
66,2020,12,4,19,49,41,6,17.42
67,2020,12,4,19,49,42,7,17.42
68,2020,12,4,19,49,43,8,17.42
69,2020,12,4,19,49,44,9,17.42
70,2020,12,4,19,49,45,10,17.42
71,2020,12,4,19,49,46,11,17.42
72,2020,12,4,19,49,47,12,17.42
73,2020,12,4,19,49,48,13,17.42
74,2020,12,4,19,49,49,14,17.42
75,2020,12,4,19,49,50,15,17.42
76,2020,12,4,19,49,51,16,17.42
77,2020,12,4,19,49,52,17,17.42
78,2020,12,4,19,49,53,18,17.50
79,2020,12,4,19,49,54,19,17.42
80,2020,12,4,19,49,55,20,17.42
81,2020,12,4,19,49,56,21,17.42
82,2020,12,4,19,49,57,22,17.42
83,2020,12,4,19,49,58,23,17.42
84,2020,12,4,19,49,59,24,17.42
85,2020,12,4,19,50,0,25,17.42
86,2020,12,4,19,50,1,26,17.42
87,2020,12,4,19,50,2,27,17.42
88,2020,12,4,19,50,3,28,17.42
89,2020,12,4,19,50,4,29,17.42
90,2020,12,4,19,50,5,30,17.50
91,2020,12,4,19,50,6,31,17.42
92,2020,12,4,19,50,7,32,17.42
93,2020,12,4,19,50,9,33,17.42
94,2020,12,4,19,50,10,34,17.42
95,2020,12,4,19,50,11,35,17.42
96,2020,12,4,19,50,12,36,17.42
97,2020,12,4,19,50,13,37,17.42
98,2020,12,4,19,50,14,38,17.42
99,2020,12,4,19,50,15,39,17.42
100,2020,12,4,19,50,16,40,17.42
101,2020,12,4,19,50,17,41,17.42
102,2020,12,4,19,50,18,42,17.42
103,2020,12,4,19,50,19,43,17.42
104,2020,12,4,19,50,20,44,17.42
105,2020,12,4,19,50,21,45,17.42
106,2020,12,4,19,50,22,46,17.42
107,2020,12,4,19,50,23,47,17.42
108,2020,12,4,19,50,24,48,17.42
109,2020,12,4,19,50,25,49,17.50
110,2020,12,4,19,50,26,50,17.42
111,2020,12,4,19,50,27,51,17.42
112,2020,12,4,19,50,28,52,17.50
113,2020,12,4,19,50,29,53,17.42
114,2020,12,4,19,50,30,54,17.42
115,2020,12,4,19,50,31,55,17.42
116,2020,12,4,19,50,32,56,17.42
117,2020,12,4,19,50,33,57,17.42
118,2020,12,4,19,50,34,58,17.50
119,2020,12,4,19,50,35,59,17.42
120,2020,12,4,19,50,36,60,17.42
121,2020,12,4,19,50,37,61,17.42
122,2020,12,4,19,50,38,62,17.42
123,2020,12,4,19,50,39,63,17.50
124,2020,12,4,19,50,40,64,17.42
125,2020,12,4,19,50,41,65,17.50
126,2020,12,4,19,50,42,66,17.50
127,2020,12,4,19,50,43,67,17.42
128,2020,12,4,19,50,44,68,17.42
129,2020,12,4,19,50,45,69,17.50
130,2020,12,4,19,50,47,70,17.42
131,2020,12,4,19,50,48,71,17.50
132,2020,12,4,19,50,49,72,17.50
133,2020,12,4,19,50,50,73,17.42
134,2020,12,4,19,50,51,74,17.50
135,2020,12,4,19,50,52,75,17.42
136,2020,12,4,19,50,53,76,17.42
137,2020,12,4,19,50,54,77,17.50
138,2020,12,4,19,50,55,78,17.42
139,2020,12,4,19,50,56,79,17.50
140,2020,12,4,19,50,57,80,17.50
141,2020,12,4,19,50,58,81,17.42
142,2020,12,4,19,50,59,82,17.50
143,2020,12,4,19,51,0,83,17.42
144,2020,12,4,19,51,1,84,17.42
145,2020,12,4,19,51,2,85,17.50
146,2020,12,4,19,51,3,86,17.42
147,2020,12,4,19,51,4,87,17.50
148,2020,12,4,19,51,5,88,17.42
149,2020,12,4,19,51,6,89,17.50
150,2020,12,4,19,51,7,90,17.42
151,2020,12,4,19,51,8,91,17.42
152,2020,12,4,19,51,9,92,17.50
153,2020,12,4,19,51,10,93,17.42
154,2020,12,4,19,51,11,94,17.50
155,2020,12,4,19,51,12,95,17.42
156,2020,12,4,19,51,13,96,17.42
157,2020,12,4,19,51,14,97,17.42
158,2020,12,4,19,51,15,98,17.42
159,2020,12,4,19,51,16,99,17.42
160,2020,12,4,19,51,17,100,17.42
161,2020,12,4,19,51,18,101,17.42
162,2020,12,4,19,51,19,102,17.25
163,2020,12,4,19,51,20,103,17.00
164,2020,12,4,19,51,21,104,17.08
165,2020,12,4,19,51,22,105,17.08
166,2020,12,4,19,51,24,106,17.08
167,2020,12,4,19,51,25,107,17.08
168,2020,12,4,19,51,26,108,17.08
169,2020,12,4,19,51,27,109,17.08
170,2020,12,4,19,51,28,110,17.08
171,2020,12,4,19,51,29,111,17.08
172,2020,12,4,19,51,30,112,17.08
173,2020,12,4,19,51,31,113,17.08
174,2020,12,4,19,51,32,114,17.08
175,2020,12,4,19,51,33,115,17.08
176,2020,12,4,19,51,34,116,17.08
177,2020,12,4,19,51,35,117,17.08
178,2020,12,4,19,51,36,118,17.08
179,2020,12,4,19,51,37,119,17.08
180,2020,12,4,19,51,38,120,17.08
181,2020,12,4,19,51,39,121,17.08
182,2020,12,4,19,51,40,122,17.08
183,2020,12,4,19,51,41,123,17.08
184,2020,12,4,19,51,42,124,17.08
185,2020,12,4,19,51,43,125,17.08
186,2020,12,4,19,51,44,126,17.08
187,2020,12,4,19,51,45,127,17.08
188,2020,12,4,19,51,46,128,17.08
189,2020,12,4,19,51,47,129,17.08
190,2020,12,4,19,51,48,130,17.08
191,2020,12,4,19,51,49,131,17.08
192,2020,12,4,19,51,50,132,17.08
193,2020,12,4,19,51,51,133,17.08
194,2020,12,4,19,51,52,134,17.08
195,2020,12,4,19,51,53,135,17.08
196,2020,12,4,19,51,54,136,17.08
197,2020,12,4,19,51,55,137,17.08
198,2020,12,4,19,51,56,138,17.08
199,2020,12,4,19,51,57,139,17.08
200,2020,12,4,19,51,58,140,17.08
201,2020,12,4,19,51,59,141,17.08
202,2020,12,4,19,52,1,142,17.08
203,2020,12,4,19,52,2,143,17.08
204,2020,12,4,19,52,3,144,17.00
205,2020,12,4,19,52,4,145,17.08
206,2020,12,4,19,52,5,146,17.08
207,2020,12,4,19,52,6,147,17.08
208,2020,12,4,19,52,7,148,17.08
209,2020,12,4,19,52,8,149,17.00
210,2020,12,4,19,52,9,150,17.08
211,2020,12,4,19,52,10,151,17.08
212,2020,12,4,19,52,11,152,17.08
213,2020,12,4,19,52,12,153,17.08
214,2020,12,4,19,52,13,154,17.00
215,2020,12,4,19,52,14,155,17.08
216,2020,12,4,19,52,15,156,17.08
217,2020,12,4,19,52,16,157,17.08
218,2020,12,4,19,52,17,158,17.08
219,2020,12,4,19,52,18,159,17.00
220,2020,12,4,19,52,19,160,17.00
221,2020,12,4,19,52,20,161,17.08
222,2020,12,4,19,52,21,162,17.08
223,2020,12,4,19,52,22,163,17.08
224,2020,12,4,19,52,23,164,17.08
225,2020,12,4,19,52,24,165,17.08
226,2020,12,4,19,52,25,166,17.08
227,2020,12,4,19,52,26,167,17.00
228,2020,12,4,19,52,27,168,17.00
229,2020,12,4,19,52,28,169,16.91
230,2020,12,4,19,52,29,170,16.91
231,2020,12,4,19,52,30,171,16.91
