id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,4,18,54,43,-60,18.34
1,2020,12,4,18,54,44,-59,18.34
2,2020,12,4,18,54,45,-58,18.34
3,2020,12,4,18,54,46,-57,18.34
4,2020,12,4,18,54,47,-56,18.34
5,2020,12,4,18,54,48,-55,18.34
6,2020,12,4,18,54,49,-54,18.34
7,2020,12,4,18,54,50,-53,18.34
8,2020,12,4,18,54,51,-52,18.34
9,2020,12,4,18,54,52,-51,18.34
10,2020,12,4,18,54,53,-50,18.26
11,2020,12,4,18,54,54,-49,18.34
12,2020,12,4,18,54,55,-48,18.34
13,2020,12,4,18,54,56,-47,18.26
14,2020,12,4,18,54,57,-46,18.34
15,2020,12,4,18,54,58,-45,18.34
16,2020,12,4,18,54,59,-44,18.34
17,2020,12,4,18,55,0,-43,18.34
18,2020,12,4,18,55,1,-42,18.34
19,2020,12,4,18,55,2,-41,18.34
20,2020,12,4,18,55,3,-40,18.34
21,2020,12,4,18,55,4,-39,18.34
22,2020,12,4,18,55,6,-38,18.26
23,2020,12,4,18,55,7,-37,18.34
24,2020,12,4,18,55,8,-36,18.34
25,2020,12,4,18,55,9,-35,18.34
26,2020,12,4,18,55,10,-34,18.26
27,2020,12,4,18,55,11,-33,18.26
28,2020,12,4,18,55,12,-32,18.26
29,2020,12,4,18,55,13,-31,18.26
30,2020,12,4,18,55,14,-30,18.34
31,2020,12,4,18,55,15,-29,18.26
32,2020,12,4,18,55,16,-28,18.34
33,2020,12,4,18,55,17,-27,18.34
34,2020,12,4,18,55,18,-26,18.26
35,2020,12,4,18,55,19,-25,18.34
36,2020,12,4,18,55,20,-24,18.26
37,2020,12,4,18,55,21,-23,18.34
38,2020,12,4,18,55,22,-22,18.34
39,2020,12,4,18,55,23,-21,18.34
40,2020,12,4,18,55,24,-20,18.26
41,2020,12,4,18,55,25,-19,18.26
42,2020,12,4,18,55,26,-18,18.34
43,2020,12,4,18,55,27,-17,18.34
44,2020,12,4,18,55,28,-16,18.34
45,2020,12,4,18,55,29,-15,18.34
46,2020,12,4,18,55,30,-14,18.34
47,2020,12,4,18,55,31,-13,18.34
48,2020,12,4,18,55,32,-12,18.34
49,2020,12,4,18,55,33,-11,18.34
50,2020,12,4,18,55,34,-10,18.34
51,2020,12,4,18,55,35,-9,18.34
52,2020,12,4,18,55,36,-8,18.34
53,2020,12,4,18,55,37,-7,18.34
54,2020,12,4,18,55,38,-6,18.34
55,2020,12,4,18,55,39,-5,18.26
56,2020,12,4,18,55,40,-4,18.34
57,2020,12,4,18,55,41,-3,18.34
58,2020,12,4,18,55,43,-2,18.34
59,2020,12,4,18,55,44,-1,18.34
60,2020,12,4,18,55,45,0,18.26
61,2020,12,4,18,55,46,1,18.17
62,2020,12,4,18,55,47,2,18.17
63,2020,12,4,18,55,48,3,18.17
64,2020,12,4,18,55,49,4,18.17
65,2020,12,4,18,55,50,5,18.26
66,2020,12,4,18,55,51,6,18.26
67,2020,12,4,18,55,52,7,18.17
68,2020,12,4,18,55,53,8,18.26
69,2020,12,4,18,55,54,9,18.17
70,2020,12,4,18,55,55,10,18.17
71,2020,12,4,18,55,56,11,18.17
72,2020,12,4,18,55,57,12,18.26
73,2020,12,4,18,55,58,13,18.17
74,2020,12,4,18,55,59,14,18.17
75,2020,12,4,18,56,0,15,18.26
76,2020,12,4,18,56,1,16,18.17
77,2020,12,4,18,56,2,17,18.26
78,2020,12,4,18,56,3,18,18.17
79,2020,12,4,18,56,4,19,18.26
80,2020,12,4,18,56,5,20,18.17
81,2020,12,4,18,56,6,21,18.17
82,2020,12,4,18,56,7,22,18.26
83,2020,12,4,18,56,8,23,18.17
84,2020,12,4,18,56,9,24,18.17
85,2020,12,4,18,56,10,25,18.26
86,2020,12,4,18,56,11,26,18.26
87,2020,12,4,18,56,12,27,18.26
88,2020,12,4,18,56,13,28,18.17
89,2020,12,4,18,56,14,29,18.17
90,2020,12,4,18,56,15,30,18.26
91,2020,12,4,18,56,16,31,18.17
92,2020,12,4,18,56,17,32,18.26
93,2020,12,4,18,56,18,33,18.26
94,2020,12,4,18,56,19,34,18.17
95,2020,12,4,18,56,21,35,18.26
96,2020,12,4,18,56,22,36,18.26
97,2020,12,4,18,56,23,37,18.26
98,2020,12,4,18,56,24,38,18.26
99,2020,12,4,18,56,25,39,18.17
100,2020,12,4,18,56,26,40,18.26
101,2020,12,4,18,56,27,41,18.26
102,2020,12,4,18,56,28,42,18.26
103,2020,12,4,18,56,29,43,18.26
104,2020,12,4,18,56,30,44,18.26
105,2020,12,4,18,56,31,45,18.17
106,2020,12,4,18,56,32,46,18.26
107,2020,12,4,18,56,33,47,18.26
108,2020,12,4,18,56,34,48,18.26
109,2020,12,4,18,56,35,49,18.26
110,2020,12,4,18,56,36,50,18.17
111,2020,12,4,18,56,37,51,18.26
112,2020,12,4,18,56,38,52,18.17
113,2020,12,4,18,56,39,53,18.17
114,2020,12,4,18,56,40,54,18.26
115,2020,12,4,18,56,41,55,18.26
116,2020,12,4,18,56,42,56,18.26
117,2020,12,4,18,56,43,57,18.26
118,2020,12,4,18,56,44,58,18.26
119,2020,12,4,18,56,45,59,18.26
120,2020,12,4,18,56,46,60,18.26
121,2020,12,4,18,56,47,61,18.26
122,2020,12,4,18,56,48,62,18.26
123,2020,12,4,18,56,49,63,18.26
124,2020,12,4,18,56,50,64,18.26
125,2020,12,4,18,56,51,65,18.26
126,2020,12,4,18,56,52,66,18.17
127,2020,12,4,18,56,53,67,18.26
128,2020,12,4,18,56,54,68,18.26
129,2020,12,4,18,56,55,69,18.26
130,2020,12,4,18,56,56,70,18.26
131,2020,12,4,18,56,57,71,18.26
132,2020,12,4,18,56,59,72,18.26
133,2020,12,4,18,57,0,73,18.26
134,2020,12,4,18,57,1,74,18.26
135,2020,12,4,18,57,2,75,18.26
136,2020,12,4,18,57,3,76,18.26
137,2020,12,4,18,57,4,77,18.26
138,2020,12,4,18,57,5,78,18.26
139,2020,12,4,18,57,6,79,18.26
140,2020,12,4,18,57,7,80,18.26
141,2020,12,4,18,57,8,81,18.26
142,2020,12,4,18,57,9,82,18.26
143,2020,12,4,18,57,10,83,18.26
144,2020,12,4,18,57,11,84,18.26
145,2020,12,4,18,57,12,85,18.26
146,2020,12,4,18,57,13,86,18.26
147,2020,12,4,18,57,14,87,18.26
148,2020,12,4,18,57,15,88,18.26
149,2020,12,4,18,57,16,89,18.26
150,2020,12,4,18,57,17,90,18.26
151,2020,12,4,18,57,18,91,18.26
152,2020,12,4,18,57,19,92,18.26
153,2020,12,4,18,57,20,93,18.26
154,2020,12,4,18,57,21,94,18.26
155,2020,12,4,18,57,22,95,18.26
156,2020,12,4,18,57,23,96,18.26
157,2020,12,4,18,57,24,97,18.26
158,2020,12,4,18,57,25,98,18.17
159,2020,12,4,18,57,26,99,18.26
160,2020,12,4,18,57,27,100,18.34
161,2020,12,4,18,57,28,101,18.26
162,2020,12,4,18,57,29,102,18.26
163,2020,12,4,18,57,30,103,18.26
164,2020,12,4,18,57,31,104,18.26
165,2020,12,4,18,57,32,105,18.26
166,2020,12,4,18,57,33,106,18.26
167,2020,12,4,18,57,34,107,18.26
168,2020,12,4,18,57,36,108,18.26
169,2020,12,4,18,57,37,109,18.26
170,2020,12,4,18,57,38,110,18.26
171,2020,12,4,18,57,39,111,18.26
172,2020,12,4,18,57,40,112,18.26
173,2020,12,4,18,57,41,113,18.26
174,2020,12,4,18,57,42,114,18.26
175,2020,12,4,18,57,43,115,18.26
176,2020,12,4,18,57,44,116,18.26
177,2020,12,4,18,57,45,117,18.17
178,2020,12,4,18,57,46,118,18.26
179,2020,12,4,18,57,47,119,18.26
180,2020,12,4,18,57,48,120,18.26
181,2020,12,4,18,57,49,121,18.26
182,2020,12,4,18,57,50,122,18.26
183,2020,12,4,18,57,51,123,18.26
184,2020,12,4,18,57,52,124,18.26
185,2020,12,4,18,57,53,125,18.26
186,2020,12,4,18,57,54,126,18.26
187,2020,12,4,18,57,55,127,18.26
188,2020,12,4,18,57,56,128,18.26
189,2020,12,4,18,57,57,129,18.26
190,2020,12,4,18,57,58,130,18.26
191,2020,12,4,18,57,59,131,18.34
192,2020,12,4,18,58,0,132,18.26
193,2020,12,4,18,58,1,133,18.26
194,2020,12,4,18,58,2,134,18.26
195,2020,12,4,18,58,3,135,18.26
196,2020,12,4,18,58,4,136,18.26
197,2020,12,4,18,58,5,137,18.34
198,2020,12,4,18,58,6,138,18.26
199,2020,12,4,18,58,7,139,18.26
200,2020,12,4,18,58,8,140,18.26
201,2020,12,4,18,58,9,141,18.26
202,2020,12,4,18,58,10,142,18.26
203,2020,12,4,18,58,12,143,18.26
204,2020,12,4,18,58,13,144,18.26
205,2020,12,4,18,58,14,145,18.26
206,2020,12,4,18,58,15,146,18.26
207,2020,12,4,18,58,16,147,18.26
208,2020,12,4,18,58,17,148,18.26
209,2020,12,4,18,58,18,149,18.34
210,2020,12,4,18,58,19,150,18.26
211,2020,12,4,18,58,20,151,18.26
212,2020,12,4,18,58,21,152,18.26
213,2020,12,4,18,58,22,153,18.34
214,2020,12,4,18,58,23,154,18.26
215,2020,12,4,18,58,24,155,18.26
216,2020,12,4,18,58,25,156,18.34
217,2020,12,4,18,58,26,157,18.34
218,2020,12,4,18,58,27,158,18.34
219,2020,12,4,18,58,28,159,18.26
220,2020,12,4,18,58,29,160,18.26
221,2020,12,4,18,58,30,161,18.26
222,2020,12,4,18,58,31,162,18.26
223,2020,12,4,18,58,32,163,18.26
224,2020,12,4,18,58,33,164,18.26
225,2020,12,4,18,58,34,165,18.26
226,2020,12,4,18,58,35,166,18.34
227,2020,12,4,18,58,36,167,18.26
