id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,5,16,35,51,-60,27.54
1,2020,12,5,16,35,52,-59,27.62
2,2020,12,5,16,35,53,-58,27.62
3,2020,12,5,16,35,54,-57,27.54
4,2020,12,5,16,35,55,-56,27.54
5,2020,12,5,16,35,56,-55,27.54
6,2020,12,5,16,35,57,-54,27.54
7,2020,12,5,16,35,58,-53,27.54
8,2020,12,5,16,35,59,-52,27.54
9,2020,12,5,16,36,0,-51,27.54
10,2020,12,5,16,36,1,-50,27.54
11,2020,12,5,16,36,2,-49,27.54
12,2020,12,5,16,36,3,-48,27.54
13,2020,12,5,16,36,4,-47,27.54
14,2020,12,5,16,36,5,-46,27.54
15,2020,12,5,16,36,6,-45,27.54
16,2020,12,5,16,36,7,-44,27.54
17,2020,12,5,16,36,8,-43,27.45
18,2020,12,5,16,36,10,-42,27.54
19,2020,12,5,16,36,11,-41,27.54
20,2020,12,5,16,36,12,-40,27.54
21,2020,12,5,16,36,13,-39,27.45
22,2020,12,5,16,36,14,-38,27.54
23,2020,12,5,16,36,15,-37,27.54
24,2020,12,5,16,36,16,-36,27.54
25,2020,12,5,16,36,17,-35,27.45
26,2020,12,5,16,36,18,-34,27.45
27,2020,12,5,16,36,19,-33,27.45
28,2020,12,5,16,36,20,-32,27.54
29,2020,12,5,16,36,21,-31,27.45
30,2020,12,5,16,36,22,-30,27.54
31,2020,12,5,16,36,23,-29,27.45
32,2020,12,5,16,36,24,-28,27.45
33,2020,12,5,16,36,25,-27,27.45
34,2020,12,5,16,36,26,-26,27.45
35,2020,12,5,16,36,27,-25,27.45
36,2020,12,5,16,36,28,-24,27.45
37,2020,12,5,16,36,29,-23,27.45
38,2020,12,5,16,36,30,-22,27.45
39,2020,12,5,16,36,31,-21,27.45
40,2020,12,5,16,36,32,-20,27.45
41,2020,12,5,16,36,33,-19,27.45
42,2020,12,5,16,36,34,-18,27.45
43,2020,12,5,16,36,35,-17,27.45
44,2020,12,5,16,36,36,-16,27.45
45,2020,12,5,16,36,37,-15,27.54
46,2020,12,5,16,36,38,-14,27.54
47,2020,12,5,16,36,39,-13,27.54
48,2020,12,5,16,36,40,-12,27.45
49,2020,12,5,16,36,41,-11,27.45
50,2020,12,5,16,36,42,-10,27.54
51,2020,12,5,16,36,43,-9,27.45
52,2020,12,5,16,36,44,-8,27.54
53,2020,12,5,16,36,45,-7,27.54
54,2020,12,5,16,36,47,-6,27.45
55,2020,12,5,16,36,48,-5,27.54
56,2020,12,5,16,36,49,-4,27.54
57,2020,12,5,16,36,50,-3,27.54
58,2020,12,5,16,36,51,-2,27.45
59,2020,12,5,16,36,52,-1,27.54
60,2020,12,5,16,36,53,0,27.37
61,2020,12,5,16,36,54,1,27.37
62,2020,12,5,16,36,55,2,27.37
63,2020,12,5,16,36,56,3,27.37
64,2020,12,5,16,36,57,4,27.37
65,2020,12,5,16,36,58,5,27.37
66,2020,12,5,16,36,59,6,27.37
67,2020,12,5,16,37,0,7,27.37
68,2020,12,5,16,37,1,8,27.37
69,2020,12,5,16,37,2,9,27.37
70,2020,12,5,16,37,3,10,27.37
71,2020,12,5,16,37,4,11,27.37
72,2020,12,5,16,37,5,12,27.37
73,2020,12,5,16,37,6,13,27.37
74,2020,12,5,16,37,7,14,27.37
75,2020,12,5,16,37,8,15,27.37
76,2020,12,5,16,37,9,16,27.37
77,2020,12,5,16,37,10,17,27.37
78,2020,12,5,16,37,11,18,27.37
79,2020,12,5,16,37,12,19,27.29
80,2020,12,5,16,37,13,20,27.37
81,2020,12,5,16,37,14,21,27.37
82,2020,12,5,16,37,15,22,27.37
83,2020,12,5,16,37,16,23,27.37
84,2020,12,5,16,37,17,24,27.37
85,2020,12,5,16,37,18,25,27.37
86,2020,12,5,16,37,19,26,27.37
87,2020,12,5,16,37,20,27,27.37
88,2020,12,5,16,37,21,28,27.37
89,2020,12,5,16,37,22,29,27.37
90,2020,12,5,16,37,24,30,27.37
91,2020,12,5,16,37,25,31,27.37
92,2020,12,5,16,37,26,32,27.37
93,2020,12,5,16,37,27,33,27.37
94,2020,12,5,16,37,28,34,27.37
95,2020,12,5,16,37,29,35,27.37
96,2020,12,5,16,37,30,36,27.37
97,2020,12,5,16,37,31,37,27.37
98,2020,12,5,16,37,32,38,27.37
99,2020,12,5,16,37,33,39,27.37
100,2020,12,5,16,37,34,40,27.37
101,2020,12,5,16,37,35,41,27.37
102,2020,12,5,16,37,36,42,27.37
103,2020,12,5,16,37,37,43,27.37
104,2020,12,5,16,37,38,44,27.37
