id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,6,11,10,58,50,-60,23.84
1,2020,6,11,10,58,51,-59,23.76
2,2020,6,11,10,58,52,-58,23.67
3,2020,6,11,10,58,53,-57,23.59
4,2020,6,11,10,58,54,-56,23.51
5,2020,6,11,10,58,55,-55,23.51
6,2020,6,11,10,58,56,-54,23.51
7,2020,6,11,10,58,57,-53,23.51
8,2020,6,11,10,58,58,-52,23.51
9,2020,6,11,10,58,59,-51,23.51
10,2020,6,11,10,59,0,-50,23.92
11,2020,6,11,10,59,2,-49,24.09
12,2020,6,11,10,59,3,-48,23.92
13,2020,6,11,10,59,4,-47,23.59
14,2020,6,11,10,59,5,-46,23.51
15,2020,6,11,10,59,6,-45,23.51
16,2020,6,11,10,59,7,-44,23.51
17,2020,6,11,10,59,8,-43,23.42
18,2020,6,11,10,59,9,-42,23.34
19,2020,6,11,10,59,10,-41,23.17
20,2020,6,11,10,59,11,-40,23.67
21,2020,6,11,10,59,12,-39,23.67
22,2020,6,11,10,59,13,-38,23.59
23,2020,6,11,10,59,14,-37,23.51
24,2020,6,11,10,59,15,-36,23.09
25,2020,6,11,10,59,16,-35,23.09
26,2020,6,11,10,59,17,-34,22.34
27,2020,6,11,10,59,18,-33,22.34
28,2020,6,11,10,59,19,-32,22.34
29,2020,6,11,10,59,20,-31,23.67
30,2020,6,11,10,59,21,-30,24.26
31,2020,6,11,10,59,22,-29,24.26
32,2020,6,11,10,59,23,-28,24.34
33,2020,6,11,10,59,24,-27,24.34
34,2020,6,11,10,59,25,-26,24.26
35,2020,6,11,10,59,26,-25,24.26
36,2020,6,11,10,59,27,-24,24.26
37,2020,6,11,10,59,28,-23,24.34
38,2020,6,11,10,59,29,-22,24.34
39,2020,6,11,10,59,30,-21,24.26
40,2020,6,11,10,59,31,-20,24.26
41,2020,6,11,10,59,32,-19,24.17
42,2020,6,11,10,59,33,-18,24.26
43,2020,6,11,10,59,34,-17,24.17
44,2020,6,11,10,59,35,-16,24.17
45,2020,6,11,10,59,36,-15,24.17
46,2020,6,11,10,59,38,-14,24.17
47,2020,6,11,10,59,39,-13,24.17
48,2020,6,11,10,59,40,-12,24.17
49,2020,6,11,10,59,41,-11,24.17
50,2020,6,11,10,59,42,-10,24.17
51,2020,6,11,10,59,43,-9,24.09
52,2020,6,11,10,59,44,-8,24.09
53,2020,6,11,10,59,45,-7,24.09
54,2020,6,11,10,59,46,-6,24.09
55,2020,6,11,10,59,47,-5,24.09
56,2020,6,11,10,59,48,-4,24.09
57,2020,6,11,10,59,49,-3,24.01
58,2020,6,11,10,59,50,-2,24.09
59,2020,6,11,10,59,51,-1,24.09
60,2020,6,11,10,59,52,0,24.67
61,2020,6,11,10,59,53,1,24.59
62,2020,6,11,10,59,54,2,24.59
63,2020,6,11,10,59,55,3,24.59
64,2020,6,11,10,59,56,4,24.59
65,2020,6,11,10,59,57,5,24.59
66,2020,6,11,10,59,58,6,24.59
67,2020,6,11,10,59,59,7,24.59
68,2020,6,11,11,0,0,8,24.59
69,2020,6,11,11,0,1,9,24.59
70,2020,6,11,11,0,2,10,24.59
71,2020,6,11,11,0,3,11,24.59
72,2020,6,11,11,0,4,12,24.59
73,2020,6,11,11,0,5,13,24.59
74,2020,6,11,11,0,6,14,24.59
75,2020,6,11,11,0,7,15,24.51
76,2020,6,11,11,0,8,16,24.51
77,2020,6,11,11,0,9,17,24.51
78,2020,6,11,11,0,10,18,24.51
79,2020,6,11,11,0,11,19,24.51
80,2020,6,11,11,0,12,20,24.26
81,2020,6,11,11,0,13,21,24.26
82,2020,6,11,11,0,14,22,24.09
83,2020,6,11,11,0,16,23,23.84
84,2020,6,11,11,0,17,24,22.84
85,2020,6,11,11,0,18,25,22.09
86,2020,6,11,11,0,19,26,21.92
87,2020,6,11,11,0,20,27,22.17
88,2020,6,11,11,0,21,28,22.34
89,2020,6,11,11,0,22,29,22.26
90,2020,6,11,11,0,23,30,22.34
91,2020,6,11,11,0,24,31,21.92
92,2020,6,11,11,0,25,32,21.76
93,2020,6,11,11,0,26,33,22.17
94,2020,6,11,11,0,27,34,22.09
95,2020,6,11,11,0,28,35,21.34
96,2020,6,11,11,0,29,36,21.42
97,2020,6,11,11,0,30,37,21.34
98,2020,6,11,11,0,31,38,21.34
99,2020,6,11,11,0,32,39,21.34
100,2020,6,11,11,0,33,40,21.42
