id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,6,18,12,12,23,-60,30.46
1,2020,6,18,12,12,24,-59,30.55
2,2020,6,18,12,12,25,-58,30.55
3,2020,6,18,12,12,26,-57,30.46
4,2020,6,18,12,12,27,-56,29.77
5,2020,6,18,12,12,28,-55,29.85
6,2020,6,18,12,12,29,-54,29.94
7,2020,6,18,12,12,30,-53,29.94
8,2020,6,18,12,12,31,-52,29.94
9,2020,6,18,12,12,32,-51,29.94
10,2020,6,18,12,12,33,-50,30.03
11,2020,6,18,12,12,34,-49,30.03
12,2020,6,18,12,12,35,-48,30.03
13,2020,6,18,12,12,36,-47,30.03
14,2020,6,18,12,12,37,-46,30.03
15,2020,6,18,12,12,38,-45,30.11
16,2020,6,18,12,12,39,-44,30.03
17,2020,6,18,12,12,40,-43,30.11
18,2020,6,18,12,12,41,-42,30.11
19,2020,6,18,12,12,42,-41,30.11
20,2020,6,18,12,12,43,-40,30.11
21,2020,6,18,12,12,45,-39,30.11
22,2020,6,18,12,12,46,-38,30.20
23,2020,6,18,12,12,47,-37,30.20
24,2020,6,18,12,12,48,-36,30.11
25,2020,6,18,12,12,49,-35,30.20
26,2020,6,18,12,12,50,-34,30.20
27,2020,6,18,12,12,51,-33,30.20
28,2020,6,18,12,12,52,-32,30.20
29,2020,6,18,12,12,53,-31,30.20
30,2020,6,18,12,12,54,-30,30.20
31,2020,6,18,12,12,55,-29,30.20
32,2020,6,18,12,12,56,-28,30.29
33,2020,6,18,12,12,57,-27,30.20
34,2020,6,18,12,12,58,-26,30.29
35,2020,6,18,12,12,59,-25,30.20
36,2020,6,18,12,13,0,-24,30.29
37,2020,6,18,12,13,1,-23,30.29
38,2020,6,18,12,13,2,-22,30.29
39,2020,6,18,12,13,3,-21,30.29
40,2020,6,18,12,13,4,-20,30.29
41,2020,6,18,12,13,5,-19,30.29
42,2020,6,18,12,13,6,-18,30.37
43,2020,6,18,12,13,7,-17,30.29
44,2020,6,18,12,13,8,-16,30.37
45,2020,6,18,12,13,9,-15,30.29
46,2020,6,18,12,13,10,-14,30.37
47,2020,6,18,12,13,11,-13,30.37
48,2020,6,18,12,13,12,-12,30.37
49,2020,6,18,12,13,13,-11,30.37
50,2020,6,18,12,13,14,-10,30.37
51,2020,6,18,12,13,15,-9,30.37
52,2020,6,18,12,13,16,-8,30.37
53,2020,6,18,12,13,17,-7,30.37
54,2020,6,18,12,13,18,-6,30.37
55,2020,6,18,12,13,19,-5,30.37
56,2020,6,18,12,13,20,-4,30.37
57,2020,6,18,12,13,22,-3,30.37
58,2020,6,18,12,13,23,-2,30.37
59,2020,6,18,12,13,24,-1,30.37
60,2020,6,18,12,13,25,0,30.64
