id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,7,11,9,25,-60,26.69
1,2021,12,7,11,9,26,-59,26.69
2,2021,12,7,11,9,27,-58,26.69
3,2021,12,7,11,9,28,-57,26.69
4,2021,12,7,11,9,29,-56,26.69
5,2021,12,7,11,9,30,-55,26.61
6,2021,12,7,11,9,31,-54,26.69
7,2021,12,7,11,9,32,-53,26.61
8,2021,12,7,11,9,33,-52,26.69
9,2021,12,7,11,9,34,-51,26.69
10,2021,12,7,11,9,35,-50,26.69
11,2021,12,7,11,9,36,-49,26.69
12,2021,12,7,11,9,37,-48,26.69
13,2021,12,7,11,9,38,-47,26.61
14,2021,12,7,11,9,39,-46,26.69
15,2021,12,7,11,9,40,-45,26.69
16,2021,12,7,11,9,41,-44,26.69
17,2021,12,7,11,9,42,-43,26.69
18,2021,12,7,11,9,43,-42,26.69
19,2021,12,7,11,9,44,-41,26.69
20,2021,12,7,11,9,45,-40,26.61
21,2021,12,7,11,9,46,-39,26.69
22,2021,12,7,11,9,47,-38,26.69
23,2021,12,7,11,9,48,-37,26.69
24,2021,12,7,11,9,49,-36,26.69
25,2021,12,7,11,9,51,-35,26.69
26,2021,12,7,11,9,52,-34,26.69
27,2021,12,7,11,9,53,-33,26.69
28,2021,12,7,11,9,54,-32,26.69
29,2021,12,7,11,9,55,-31,26.61
30,2021,12,7,11,9,56,-30,26.69
31,2021,12,7,11,9,57,-29,26.69
32,2021,12,7,11,9,58,-28,26.69
33,2021,12,7,11,9,59,-27,26.69
34,2021,12,7,11,10,0,-26,26.69
35,2021,12,7,11,10,1,-25,26.69
36,2021,12,7,11,10,2,-24,26.69
37,2021,12,7,11,10,3,-23,26.69
38,2021,12,7,11,10,4,-22,26.69
39,2021,12,7,11,10,5,-21,26.69
40,2021,12,7,11,10,6,-20,26.69
41,2021,12,7,11,10,7,-19,26.69
42,2021,12,7,11,10,8,-18,26.61
43,2021,12,7,11,10,9,-17,26.69
44,2021,12,7,11,10,10,-16,26.69
45,2021,12,7,11,10,11,-15,26.69
46,2021,12,7,11,10,12,-14,26.69
47,2021,12,7,11,10,13,-13,26.69
48,2021,12,7,11,10,14,-12,26.69
49,2021,12,7,11,10,15,-11,26.69
50,2021,12,7,11,10,16,-10,26.69
51,2021,12,7,11,10,17,-9,26.78
52,2021,12,7,11,10,18,-8,26.69
53,2021,12,7,11,10,19,-7,26.69
54,2021,12,7,11,10,20,-6,26.69
55,2021,12,7,11,10,21,-5,26.69
56,2021,12,7,11,10,22,-4,26.69
57,2021,12,7,11,10,23,-3,26.69
58,2021,12,7,11,10,24,-2,26.69
59,2021,12,7,11,10,25,-1,26.69
60,2021,12,7,11,10,27,0,26.69
61,2021,12,7,11,10,28,1,26.69
62,2021,12,7,11,10,29,2,26.69
63,2021,12,7,11,10,30,3,26.61
64,2021,12,7,11,10,31,4,26.69
65,2021,12,7,11,10,32,5,26.61
66,2021,12,7,11,10,33,6,26.69
67,2021,12,7,11,10,34,7,26.69
68,2021,12,7,11,10,35,8,26.61
69,2021,12,7,11,10,36,9,26.69
70,2021,12,7,11,10,37,10,26.69
71,2021,12,7,11,10,38,11,26.61
72,2021,12,7,11,10,39,12,26.69
73,2021,12,7,11,10,40,13,26.69
74,2021,12,7,11,10,41,14,26.61
75,2021,12,7,11,10,42,15,26.69
76,2021,12,7,11,10,43,16,26.61
77,2021,12,7,11,10,44,17,26.69
78,2021,12,7,11,10,45,18,26.69
79,2021,12,7,11,10,46,19,26.61
80,2021,12,7,11,10,47,20,26.61
81,2021,12,7,11,10,48,21,26.69
82,2021,12,7,11,10,49,22,26.69
83,2021,12,7,11,10,50,23,26.69
84,2021,12,7,11,10,51,24,26.69
85,2021,12,7,11,10,52,25,26.61
86,2021,12,7,11,10,53,26,26.69
87,2021,12,7,11,10,54,27,26.69
88,2021,12,7,11,10,55,28,26.61
89,2021,12,7,11,10,56,29,26.61
90,2021,12,7,11,10,57,30,26.61
91,2021,12,7,11,10,58,31,26.69
92,2021,12,7,11,10,59,32,26.69
93,2021,12,7,11,11,0,33,26.69
