id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,8,17,8,18,-60,26.78
1,2021,12,8,17,8,19,-59,26.78
2,2021,12,8,17,8,20,-58,26.78
3,2021,12,8,17,8,21,-57,26.78
4,2021,12,8,17,8,22,-56,26.78
5,2021,12,8,17,8,23,-55,26.78
6,2021,12,8,17,8,24,-54,26.78
7,2021,12,8,17,8,25,-53,26.69
8,2021,12,8,17,8,26,-52,26.78
9,2021,12,8,17,8,27,-51,26.78
10,2021,12,8,17,8,28,-50,26.78
11,2021,12,8,17,8,29,-49,26.78
12,2021,12,8,17,8,30,-48,26.69
13,2021,12,8,17,8,31,-47,26.78
14,2021,12,8,17,8,32,-46,26.69
15,2021,12,8,17,8,33,-45,26.78
16,2021,12,8,17,8,34,-44,26.69
17,2021,12,8,17,8,35,-43,26.69
18,2021,12,8,17,8,36,-42,26.78
19,2021,12,8,17,8,37,-41,26.78
20,2021,12,8,17,8,38,-40,26.78
21,2021,12,8,17,8,39,-39,26.69
22,2021,12,8,17,8,40,-38,26.69
23,2021,12,8,17,8,41,-37,26.78
24,2021,12,8,17,8,42,-36,26.69
25,2021,12,8,17,8,43,-35,26.69
26,2021,12,8,17,8,44,-34,26.69
27,2021,12,8,17,8,45,-33,26.69
28,2021,12,8,17,8,46,-32,26.69
29,2021,12,8,17,8,47,-31,26.78
30,2021,12,8,17,8,48,-30,26.69
31,2021,12,8,17,8,49,-29,26.69
32,2021,12,8,17,8,50,-28,26.69
33,2021,12,8,17,8,52,-27,26.69
34,2021,12,8,17,8,53,-26,26.69
35,2021,12,8,17,8,54,-25,26.69
36,2021,12,8,17,8,55,-24,26.69
37,2021,12,8,17,8,56,-23,26.69
38,2021,12,8,17,8,57,-22,26.78
39,2021,12,8,17,8,58,-21,26.69
40,2021,12,8,17,8,59,-20,26.69
41,2021,12,8,17,9,0,-19,26.69
42,2021,12,8,17,9,1,-18,26.69
43,2021,12,8,17,9,2,-17,26.69
44,2021,12,8,17,9,3,-16,26.69
45,2021,12,8,17,9,4,-15,26.69
46,2021,12,8,17,9,5,-14,26.69
47,2021,12,8,17,9,6,-13,26.69
48,2021,12,8,17,9,7,-12,26.69
49,2021,12,8,17,9,8,-11,26.69
50,2021,12,8,17,9,9,-10,26.69
51,2021,12,8,17,9,10,-9,26.69
52,2021,12,8,17,9,11,-8,26.69
53,2021,12,8,17,9,12,-7,26.69
54,2021,12,8,17,9,13,-6,26.69
55,2021,12,8,17,9,14,-5,26.69
56,2021,12,8,17,9,15,-4,26.69
57,2021,12,8,17,9,16,-3,26.69
58,2021,12,8,17,9,17,-2,26.69
59,2021,12,8,17,9,18,-1,26.69
60,2021,12,8,17,9,19,0,26.69
61,2021,12,8,17,9,20,1,26.61
62,2021,12,8,17,9,21,2,26.69
63,2021,12,8,17,9,22,3,26.69
64,2021,12,8,17,9,23,4,26.69
65,2021,12,8,17,9,24,5,26.69
66,2021,12,8,17,9,25,6,26.69
67,2021,12,8,17,9,26,7,26.69
68,2021,12,8,17,9,27,8,26.69
69,2021,12,8,17,9,29,9,26.69
70,2021,12,8,17,9,30,10,26.69
71,2021,12,8,17,9,31,11,26.69
72,2021,12,8,17,9,32,12,26.69
73,2021,12,8,17,9,33,13,26.69
74,2021,12,8,17,9,34,14,26.69
75,2021,12,8,17,9,35,15,26.69
76,2021,12,8,17,9,36,16,26.69
77,2021,12,8,17,9,37,17,26.61
78,2021,12,8,17,9,38,18,26.69
79,2021,12,8,17,9,39,19,26.69
80,2021,12,8,17,9,40,20,26.69
81,2021,12,8,17,9,41,21,26.61
82,2021,12,8,17,9,42,22,26.61
83,2021,12,8,17,9,43,23,26.69
84,2021,12,8,17,9,44,24,26.61
85,2021,12,8,17,9,45,25,26.69
86,2021,12,8,17,9,46,26,26.61
87,2021,12,8,17,9,47,27,26.69
88,2021,12,8,17,9,48,28,26.61
89,2021,12,8,17,9,49,29,26.69
90,2021,12,8,17,9,50,30,26.69
91,2021,12,8,17,9,51,31,26.69
92,2021,12,8,17,9,52,32,26.69
93,2021,12,8,17,9,53,33,26.61
94,2021,12,8,17,9,54,34,26.69
95,2021,12,8,17,9,55,35,26.69
96,2021,12,8,17,9,56,36,26.61
97,2021,12,8,17,9,57,37,26.61
98,2021,12,8,17,9,58,38,26.69
99,2021,12,8,17,9,59,39,26.61
100,2021,12,8,17,10,0,40,26.69
101,2021,12,8,17,10,1,41,26.61
102,2021,12,8,17,10,2,42,26.61
103,2021,12,8,17,10,3,43,26.69
104,2021,12,8,17,10,4,44,26.61
105,2021,12,8,17,10,6,45,26.61
106,2021,12,8,17,10,7,46,26.61
107,2021,12,8,17,10,8,47,26.69
108,2021,12,8,17,10,9,48,26.69
109,2021,12,8,17,10,10,49,26.69
110,2021,12,8,17,10,11,50,26.61
111,2021,12,8,17,10,12,51,26.69
112,2021,12,8,17,10,13,52,26.69
113,2021,12,8,17,10,14,53,26.69
114,2021,12,8,17,10,15,54,26.69
115,2021,12,8,17,10,16,55,26.69
116,2021,12,8,17,10,17,56,26.61
117,2021,12,8,17,10,18,57,26.69
118,2021,12,8,17,10,19,58,26.69
119,2021,12,8,17,10,20,59,26.61
120,2021,12,8,17,10,21,60,26.61
121,2021,12,8,17,10,22,61,26.61
122,2021,12,8,17,10,23,62,26.61
123,2021,12,8,17,10,24,63,26.61
124,2021,12,8,17,10,25,64,26.61
125,2021,12,8,17,10,26,65,26.61
126,2021,12,8,17,10,27,66,26.61
127,2021,12,8,17,10,28,67,26.61
128,2021,12,8,17,10,29,68,26.69
129,2021,12,8,17,10,30,69,26.61
130,2021,12,8,17,10,31,70,26.69
131,2021,12,8,17,10,32,71,26.61
132,2021,12,8,17,10,33,72,26.61
133,2021,12,8,17,10,34,73,26.61
134,2021,12,8,17,10,35,74,26.61
135,2021,12,8,17,10,36,75,26.61
136,2021,12,8,17,10,37,76,26.61
137,2021,12,8,17,10,38,77,26.61
138,2021,12,8,17,10,39,78,26.61
139,2021,12,8,17,10,40,79,26.61
140,2021,12,8,17,10,41,80,26.61
141,2021,12,8,17,10,42,81,26.69
142,2021,12,8,17,10,44,82,26.61
143,2021,12,8,17,10,45,83,26.61
144,2021,12,8,17,10,46,84,26.61
145,2021,12,8,17,10,47,85,26.61
146,2021,12,8,17,10,48,86,26.69
147,2021,12,8,17,10,49,87,26.61
148,2021,12,8,17,10,50,88,26.69
149,2021,12,8,17,10,51,89,26.61
150,2021,12,8,17,10,52,90,26.61
151,2021,12,8,17,10,53,91,26.61
152,2021,12,8,17,10,54,92,26.61
153,2021,12,8,17,10,55,93,26.69
154,2021,12,8,17,10,56,94,26.61
155,2021,12,8,17,10,57,95,26.61
156,2021,12,8,17,10,58,96,26.61
157,2021,12,8,17,10,59,97,26.61
158,2021,12,8,17,11,0,98,26.61
159,2021,12,8,17,11,1,99,26.61
160,2021,12,8,17,11,2,100,26.61
161,2021,12,8,17,11,3,101,26.61
162,2021,12,8,17,11,4,102,26.52
163,2021,12,8,17,11,5,103,26.61
164,2021,12,8,17,11,6,104,26.61
165,2021,12,8,17,11,7,105,26.61
166,2021,12,8,17,11,8,106,26.61
167,2021,12,8,17,11,9,107,26.61
168,2021,12,8,17,11,10,108,26.61
169,2021,12,8,17,11,11,109,26.61
170,2021,12,8,17,11,12,110,26.61
171,2021,12,8,17,11,13,111,26.61
172,2021,12,8,17,11,14,112,26.61
173,2021,12,8,17,11,15,113,26.69
174,2021,12,8,17,11,16,114,26.61
175,2021,12,8,17,11,17,115,26.61
176,2021,12,8,17,11,18,116,26.61
177,2021,12,8,17,11,19,117,26.61
178,2021,12,8,17,11,21,118,26.61
179,2021,12,8,17,11,22,119,26.61
180,2021,12,8,17,11,23,120,26.61
181,2021,12,8,17,11,24,121,26.61
182,2021,12,8,17,11,25,122,26.61
183,2021,12,8,17,11,26,123,26.61
184,2021,12,8,17,11,27,124,26.61
185,2021,12,8,17,11,28,125,26.61
186,2021,12,8,17,11,29,126,26.61
187,2021,12,8,17,11,30,127,26.61
188,2021,12,8,17,11,31,128,26.61
189,2021,12,8,17,11,32,129,26.69
190,2021,12,8,17,11,33,130,26.69
191,2021,12,8,17,11,34,131,26.61
192,2021,12,8,17,11,35,132,26.61
193,2021,12,8,17,11,36,133,26.69
194,2021,12,8,17,11,37,134,26.61
195,2021,12,8,17,11,38,135,26.61
196,2021,12,8,17,11,39,136,26.61
197,2021,12,8,17,11,40,137,26.61
198,2021,12,8,17,11,41,138,26.69
199,2021,12,8,17,11,42,139,26.61
200,2021,12,8,17,11,43,140,26.61
201,2021,12,8,17,11,44,141,26.61
202,2021,12,8,17,11,45,142,26.61
203,2021,12,8,17,11,46,143,26.61
204,2021,12,8,17,11,47,144,26.61
205,2021,12,8,17,11,48,145,26.61
206,2021,12,8,17,11,49,146,26.61
207,2021,12,8,17,11,50,147,26.61
208,2021,12,8,17,11,51,148,26.61
209,2021,12,8,17,11,52,149,26.61
210,2021,12,8,17,11,53,150,26.61
211,2021,12,8,17,11,54,151,26.61
212,2021,12,8,17,11,55,152,26.61
213,2021,12,8,17,11,57,153,26.61
214,2021,12,8,17,11,58,154,26.61
215,2021,12,8,17,11,59,155,26.61
216,2021,12,8,17,12,0,156,26.61
217,2021,12,8,17,12,1,157,26.61
218,2021,12,8,17,12,2,158,26.61
219,2021,12,8,17,12,3,159,26.69
220,2021,12,8,17,12,4,160,26.61
221,2021,12,8,17,12,5,161,26.69
222,2021,12,8,17,12,6,162,26.61
223,2021,12,8,17,12,7,163,26.69
224,2021,12,8,17,12,8,164,26.61
225,2021,12,8,17,12,9,165,26.61
226,2021,12,8,17,12,10,166,26.61
227,2021,12,8,17,12,11,167,26.61
228,2021,12,8,17,12,12,168,26.61
229,2021,12,8,17,12,13,169,26.61
230,2021,12,8,17,12,14,170,26.61
231,2021,12,8,17,12,15,171,26.69
232,2021,12,8,17,12,16,172,26.61
233,2021,12,8,17,12,17,173,26.61
234,2021,12,8,17,12,18,174,26.61
235,2021,12,8,17,12,19,175,26.61
236,2021,12,8,17,12,20,176,26.61
237,2021,12,8,17,12,21,177,26.61
238,2021,12,8,17,12,22,178,26.69
239,2021,12,8,17,12,23,179,26.61
240,2021,12,8,17,12,24,180,26.61
