id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,8,18,15,30,-60,25.51
1,2021,12,8,18,15,31,-59,25.43
2,2021,12,8,18,15,32,-58,25.51
3,2021,12,8,18,15,33,-57,25.51
4,2021,12,8,18,15,34,-56,25.43
5,2021,12,8,18,15,35,-55,25.51
6,2021,12,8,18,15,36,-54,25.51
7,2021,12,8,18,15,37,-53,25.51
8,2021,12,8,18,15,38,-52,25.51
9,2021,12,8,18,15,39,-51,25.51
10,2021,12,8,18,15,40,-50,25.51
11,2021,12,8,18,15,41,-49,25.51
12,2021,12,8,18,15,42,-48,25.51
13,2021,12,8,18,15,43,-47,25.51
14,2021,12,8,18,15,44,-46,25.51
15,2021,12,8,18,15,45,-45,25.51
16,2021,12,8,18,15,46,-44,25.51
17,2021,12,8,18,15,47,-43,25.51
18,2021,12,8,18,15,48,-42,25.51
19,2021,12,8,18,15,49,-41,25.51
20,2021,12,8,18,15,50,-40,25.51
21,2021,12,8,18,15,51,-39,25.43
22,2021,12,8,18,15,52,-38,25.51
23,2021,12,8,18,15,53,-37,25.51
24,2021,12,8,18,15,54,-36,25.51
25,2021,12,8,18,15,55,-35,25.51
26,2021,12,8,18,15,57,-34,25.51
27,2021,12,8,18,15,58,-33,25.51
28,2021,12,8,18,15,59,-32,25.51
29,2021,12,8,18,16,0,-31,25.51
30,2021,12,8,18,16,1,-30,25.51
31,2021,12,8,18,16,2,-29,25.43
32,2021,12,8,18,16,3,-28,25.43
33,2021,12,8,18,16,4,-27,25.51
34,2021,12,8,18,16,5,-26,25.51
35,2021,12,8,18,16,6,-25,25.51
36,2021,12,8,18,16,7,-24,25.51
37,2021,12,8,18,16,8,-23,25.43
38,2021,12,8,18,16,9,-22,25.43
39,2021,12,8,18,16,10,-21,25.51
40,2021,12,8,18,16,11,-20,25.51
41,2021,12,8,18,16,12,-19,25.51
42,2021,12,8,18,16,13,-18,25.51
43,2021,12,8,18,16,14,-17,25.51
44,2021,12,8,18,16,15,-16,25.43
