id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,11,10,28,8,-60,22.92
1,2021,6,11,10,28,9,-59,23.01
2,2021,6,11,10,28,10,-58,23.01
3,2021,6,11,10,28,12,-57,23.01
4,2021,6,11,10,28,13,-56,22.92
5,2021,6,11,10,28,14,-55,22.92
6,2021,6,11,10,28,15,-54,23.01
7,2021,6,11,10,28,16,-53,23.01
8,2021,6,11,10,28,17,-52,23.01
9,2021,6,11,10,28,18,-51,23.01
10,2021,6,11,10,28,19,-50,23.01
11,2021,6,11,10,28,20,-49,23.01
12,2021,6,11,10,28,21,-48,23.01
13,2021,6,11,10,28,22,-47,23.09
14,2021,6,11,10,28,23,-46,23.01
15,2021,6,11,10,28,24,-45,23.01
16,2021,6,11,10,28,25,-44,23.09
17,2021,6,11,10,28,26,-43,23.09
18,2021,6,11,10,28,27,-42,23.09
19,2021,6,11,10,28,28,-41,23.09
20,2021,6,11,10,28,29,-40,23.09
21,2021,6,11,10,28,30,-39,23.09
22,2021,6,11,10,28,31,-38,23.09
23,2021,6,11,10,28,32,-37,23.09
24,2021,6,11,10,28,33,-36,23.09
25,2021,6,11,10,28,34,-35,23.09
26,2021,6,11,10,28,35,-34,23.09
27,2021,6,11,10,28,36,-33,23.09
28,2021,6,11,10,28,37,-32,23.09
29,2021,6,11,10,28,38,-31,23.09
30,2021,6,11,10,28,39,-30,23.09
31,2021,6,11,10,28,40,-29,23.17
32,2021,6,11,10,28,41,-28,23.17
33,2021,6,11,10,28,42,-27,23.17
34,2021,6,11,10,28,43,-26,23.17
35,2021,6,11,10,28,44,-25,23.17
36,2021,6,11,10,28,45,-24,23.17
37,2021,6,11,10,28,46,-23,23.17
38,2021,6,11,10,28,47,-22,23.17
39,2021,6,11,10,28,49,-21,23.17
40,2021,6,11,10,28,50,-20,23.17
41,2021,6,11,10,28,51,-19,23.17
42,2021,6,11,10,28,52,-18,23.17
43,2021,6,11,10,28,53,-17,23.17
44,2021,6,11,10,28,54,-16,23.17
45,2021,6,11,10,28,55,-15,23.17
46,2021,6,11,10,28,56,-14,23.26
47,2021,6,11,10,28,57,-13,23.26
48,2021,6,11,10,28,58,-12,23.17
49,2021,6,11,10,28,59,-11,23.26
50,2021,6,11,10,29,0,-10,23.17
51,2021,6,11,10,29,1,-9,23.17
52,2021,6,11,10,29,2,-8,23.26
53,2021,6,11,10,29,3,-7,23.09
54,2021,6,11,10,29,4,-6,23.26
55,2021,6,11,10,29,5,-5,23.26
56,2021,6,11,10,29,6,-4,23.26
57,2021,6,11,10,29,7,-3,23.26
58,2021,6,11,10,29,8,-2,23.26
59,2021,6,11,10,29,9,-1,23.26
60,2021,6,11,10,29,10,0,23.17
61,2021,6,11,10,29,11,1,23.17
62,2021,6,11,10,29,12,2,23.26
63,2021,6,11,10,29,13,3,23.26
64,2021,6,11,10,29,14,4,23.26
65,2021,6,11,10,29,15,5,23.26
66,2021,6,11,10,29,16,6,23.26
67,2021,6,11,10,29,17,7,23.26
68,2021,6,11,10,29,18,8,23.26
69,2021,6,11,10,29,19,9,23.34
70,2021,6,11,10,29,20,10,23.26
71,2021,6,11,10,29,21,11,23.26
72,2021,6,11,10,29,22,12,23.26
73,2021,6,11,10,29,23,13,23.34
74,2021,6,11,10,29,24,14,23.34
75,2021,6,11,10,29,26,15,23.26
76,2021,6,11,10,29,27,16,23.26
77,2021,6,11,10,29,28,17,23.34
78,2021,6,11,10,29,29,18,23.34
79,2021,6,11,10,29,30,19,23.34
80,2021,6,11,10,29,31,20,23.34
81,2021,6,11,10,29,32,21,23.26
82,2021,6,11,10,29,33,22,23.34
83,2021,6,11,10,29,34,23,23.34
84,2021,6,11,10,29,35,24,23.34
85,2021,6,11,10,29,36,25,23.26
86,2021,6,11,10,29,37,26,23.34
87,2021,6,11,10,29,38,27,23.34
88,2021,6,11,10,29,39,28,23.34
89,2021,6,11,10,29,40,29,23.34
90,2021,6,11,10,29,41,30,23.34
