id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,17,12,55,1,-60,30.98
1,2021,6,17,12,55,2,-59,30.90
2,2021,6,17,12,55,3,-58,30.90
3,2021,6,17,12,55,4,-57,30.90
4,2021,6,17,12,55,5,-56,30.90
5,2021,6,17,12,55,6,-55,30.98
6,2021,6,17,12,55,7,-54,30.98
7,2021,6,17,12,55,8,-53,30.90
8,2021,6,17,12,55,10,-52,30.90
9,2021,6,17,12,55,11,-51,30.90
10,2021,6,17,12,55,12,-50,30.98
11,2021,6,17,12,55,13,-49,30.98
12,2021,6,17,12,55,14,-48,30.98
13,2021,6,17,12,55,15,-47,30.98
14,2021,6,17,12,55,16,-46,30.98
15,2021,6,17,12,55,17,-45,30.98
16,2021,6,17,12,55,18,-44,30.98
17,2021,6,17,12,55,19,-43,30.90
18,2021,6,17,12,55,20,-42,30.98
19,2021,6,17,12,55,21,-41,30.98
20,2021,6,17,12,55,22,-40,30.98
21,2021,6,17,12,55,23,-39,30.98
22,2021,6,17,12,55,24,-38,30.98
23,2021,6,17,12,55,25,-37,30.98
24,2021,6,17,12,55,26,-36,30.98
25,2021,6,17,12,55,27,-35,30.98
26,2021,6,17,12,55,28,-34,30.98
27,2021,6,17,12,55,29,-33,30.98
28,2021,6,17,12,55,30,-32,30.98
29,2021,6,17,12,55,31,-31,30.98
30,2021,6,17,12,55,32,-30,31.07
31,2021,6,17,12,55,33,-29,30.98
32,2021,6,17,12,55,34,-28,31.07
33,2021,6,17,12,55,35,-27,31.07
34,2021,6,17,12,55,36,-26,31.07
35,2021,6,17,12,55,37,-25,30.98
36,2021,6,17,12,55,38,-24,31.07
37,2021,6,17,12,55,39,-23,31.07
38,2021,6,17,12,55,40,-22,31.07
39,2021,6,17,12,55,41,-21,31.07
40,2021,6,17,12,55,42,-20,31.07
41,2021,6,17,12,55,43,-19,31.07
42,2021,6,17,12,55,44,-18,31.07
43,2021,6,17,12,55,46,-17,31.07
44,2021,6,17,12,55,47,-16,31.07
45,2021,6,17,12,55,48,-15,31.16
46,2021,6,17,12,55,49,-14,31.07
47,2021,6,17,12,55,50,-13,31.07
48,2021,6,17,12,55,51,-12,31.07
49,2021,6,17,12,55,52,-11,31.07
50,2021,6,17,12,55,53,-10,31.16
51,2021,6,17,12,55,54,-9,31.07
52,2021,6,17,12,55,55,-8,31.16
53,2021,6,17,12,55,56,-7,31.16
54,2021,6,17,12,55,57,-6,31.16
55,2021,6,17,12,55,58,-5,31.16
56,2021,6,17,12,55,59,-4,31.16
57,2021,6,17,12,56,0,-3,31.16
58,2021,6,17,12,56,1,-2,31.16
59,2021,6,17,12,56,2,-1,31.07
60,2021,6,17,12,56,3,0,31.16
61,2021,6,17,12,56,4,1,31.16
62,2021,6,17,12,56,5,2,31.16
63,2021,6,17,12,56,6,3,31.16
64,2021,6,17,12,56,7,4,31.16
65,2021,6,17,12,56,8,5,31.16
66,2021,6,17,12,56,9,6,31.16
67,2021,6,17,12,56,10,7,31.16
68,2021,6,17,12,56,11,8,31.16
69,2021,6,17,12,56,12,9,31.25
70,2021,6,17,12,56,13,10,31.25
71,2021,6,17,12,56,14,11,31.16
72,2021,6,17,12,56,15,12,31.25
73,2021,6,17,12,56,16,13,31.25
74,2021,6,17,12,56,17,14,31.25
75,2021,6,17,12,56,18,15,31.25
76,2021,6,17,12,56,19,16,31.25
77,2021,6,17,12,56,20,17,31.25
78,2021,6,17,12,56,21,18,31.16
79,2021,6,17,12,56,23,19,31.25
80,2021,6,17,12,56,24,20,31.16
81,2021,6,17,12,56,25,21,31.16
82,2021,6,17,12,56,26,22,31.25
83,2021,6,17,12,56,27,23,31.25
84,2021,6,17,12,56,28,24,31.25
85,2021,6,17,12,56,29,25,31.25
86,2021,6,17,12,56,30,26,31.25
87,2021,6,17,12,56,31,27,31.25
88,2021,6,17,12,56,32,28,31.25
89,2021,6,17,12,56,33,29,31.34
90,2021,6,17,12,56,34,30,31.25
91,2021,6,17,12,56,35,31,31.34
92,2021,6,17,12,56,36,32,31.34
93,2021,6,17,12,56,37,33,31.34
94,2021,6,17,12,56,38,34,31.25
95,2021,6,17,12,56,39,35,31.34
96,2021,6,17,12,56,40,36,31.34
97,2021,6,17,12,56,41,37,31.34
98,2021,6,17,12,56,42,38,31.25
99,2021,6,17,12,56,43,39,31.34
100,2021,6,17,12,56,44,40,31.34
101,2021,6,17,12,56,45,41,31.34
102,2021,6,17,12,56,46,42,31.34
103,2021,6,17,12,56,47,43,31.25
104,2021,6,17,12,56,48,44,31.34
105,2021,6,17,12,56,49,45,31.34
106,2021,6,17,12,56,50,46,31.34
107,2021,6,17,12,56,51,47,31.34
108,2021,6,17,12,56,52,48,31.34
109,2021,6,17,12,56,53,49,31.34
110,2021,6,17,12,56,54,50,31.42
111,2021,6,17,12,56,55,51,31.42
112,2021,6,17,12,56,56,52,31.34
113,2021,6,17,12,56,57,53,31.34
114,2021,6,17,12,56,58,54,31.42
115,2021,6,17,12,56,59,55,31.42
116,2021,6,17,12,57,1,56,31.42
117,2021,6,17,12,57,2,57,31.34
118,2021,6,17,12,57,3,58,31.42
119,2021,6,17,12,57,4,59,31.42
120,2021,6,17,12,57,5,60,31.42
121,2021,6,17,12,57,6,61,31.42
122,2021,6,17,12,57,7,62,31.42
123,2021,6,17,12,57,8,63,31.42
124,2021,6,17,12,57,9,64,31.42
125,2021,6,17,12,57,10,65,31.42
126,2021,6,17,12,57,11,66,31.42
127,2021,6,17,12,57,12,67,31.51
128,2021,6,17,12,57,13,68,31.51
129,2021,6,17,12,57,14,69,31.42
130,2021,6,17,12,57,15,70,31.42
131,2021,6,17,12,57,16,71,31.42
132,2021,6,17,12,57,17,72,31.51
133,2021,6,17,12,57,18,73,31.51
134,2021,6,17,12,57,19,74,31.42
135,2021,6,17,12,57,20,75,31.42
136,2021,6,17,12,57,21,76,31.51
137,2021,6,17,12,57,22,77,31.51
138,2021,6,17,12,57,23,78,31.51
139,2021,6,17,12,57,24,79,31.51
140,2021,6,17,12,57,25,80,31.42
141,2021,6,17,12,57,26,81,31.51
142,2021,6,17,12,57,27,82,31.51
143,2021,6,17,12,57,28,83,31.51
144,2021,6,17,12,57,29,84,31.51
145,2021,6,17,12,57,30,85,31.51
146,2021,6,17,12,57,31,86,31.60
147,2021,6,17,12,57,32,87,31.51
148,2021,6,17,12,57,33,88,31.51
149,2021,6,17,12,57,34,89,31.60
150,2021,6,17,12,57,35,90,31.60
151,2021,6,17,12,57,36,91,31.60
152,2021,6,17,12,57,38,92,31.60
153,2021,6,17,12,57,39,93,31.60
154,2021,6,17,12,57,40,94,31.60
155,2021,6,17,12,57,41,95,31.51
156,2021,6,17,12,57,42,96,31.60
157,2021,6,17,12,57,43,97,31.60
158,2021,6,17,12,57,44,98,31.60
159,2021,6,17,12,57,45,99,31.60
160,2021,6,17,12,57,46,100,31.60
161,2021,6,17,12,57,47,101,31.60
162,2021,6,17,12,57,48,102,31.60
163,2021,6,17,12,57,49,103,31.60
164,2021,6,17,12,57,50,104,31.60
165,2021,6,17,12,57,51,105,31.60
166,2021,6,17,12,57,52,106,31.60
167,2021,6,17,12,57,53,107,31.60
168,2021,6,17,12,57,54,108,31.60
169,2021,6,17,12,57,55,109,31.60
170,2021,6,17,12,57,56,110,31.69
171,2021,6,17,12,57,57,111,31.60
172,2021,6,17,12,57,58,112,31.60
173,2021,6,17,12,57,59,113,31.69
174,2021,6,17,12,58,0,114,31.60
175,2021,6,17,12,58,1,115,31.69
176,2021,6,17,12,58,2,116,31.60
177,2021,6,17,12,58,3,117,31.69
178,2021,6,17,12,58,4,118,31.69
179,2021,6,17,12,58,5,119,31.69
180,2021,6,17,12,58,6,120,31.69
181,2021,6,17,12,58,7,121,31.69
182,2021,6,17,12,58,8,122,31.60
183,2021,6,17,12,58,9,123,31.60
184,2021,6,17,12,58,10,124,31.69
185,2021,6,17,12,58,11,125,31.69
186,2021,6,17,12,58,12,126,31.69
187,2021,6,17,12,58,13,127,31.69
188,2021,6,17,12,58,15,128,31.69
189,2021,6,17,12,58,16,129,31.69
190,2021,6,17,12,58,17,130,31.69
191,2021,6,17,12,58,18,131,31.69
