id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,9,17,38,8,-60,20.92
1,2021,6,9,17,38,9,-59,20.84
2,2021,6,9,17,38,10,-58,21.01
3,2021,6,9,17,38,11,-57,20.92
4,2021,6,9,17,38,12,-56,20.92
5,2021,6,9,17,38,13,-55,20.84
6,2021,6,9,17,38,14,-54,20.92
7,2021,6,9,17,38,15,-53,20.92
8,2021,6,9,17,38,16,-52,20.92
9,2021,6,9,17,38,17,-51,20.92
10,2021,6,9,17,38,18,-50,20.92
11,2021,6,9,17,38,19,-49,20.92
12,2021,6,9,17,38,20,-48,20.92
13,2021,6,9,17,38,21,-47,20.92
14,2021,6,9,17,38,22,-46,20.92
15,2021,6,9,17,38,23,-45,20.92
16,2021,6,9,17,38,24,-44,20.92
17,2021,6,9,17,38,25,-43,20.84
18,2021,6,9,17,38,26,-42,20.92
19,2021,6,9,17,38,27,-41,20.92
20,2021,6,9,17,38,28,-40,20.92
21,2021,6,9,17,38,29,-39,21.01
22,2021,6,9,17,38,30,-38,20.92
23,2021,6,9,17,38,31,-37,20.92
24,2021,6,9,17,38,32,-36,20.92
25,2021,6,9,17,38,33,-35,20.92
26,2021,6,9,17,38,34,-34,20.92
27,2021,6,9,17,38,35,-33,20.92
28,2021,6,9,17,38,36,-32,20.92
29,2021,6,9,17,38,37,-31,20.92
30,2021,6,9,17,38,38,-30,21.01
31,2021,6,9,17,38,39,-29,20.92
32,2021,6,9,17,38,41,-28,20.92
33,2021,6,9,17,38,42,-27,20.92
34,2021,6,9,17,38,43,-26,20.92
35,2021,6,9,17,38,44,-25,20.92
36,2021,6,9,17,38,45,-24,21.01
37,2021,6,9,17,38,46,-23,20.92
38,2021,6,9,17,38,47,-22,20.92
39,2021,6,9,17,38,48,-21,20.84
40,2021,6,9,17,38,49,-20,20.92
41,2021,6,9,17,38,50,-19,20.84
42,2021,6,9,17,38,51,-18,20.92
43,2021,6,9,17,38,52,-17,20.84
44,2021,6,9,17,38,53,-16,20.92
45,2021,6,9,17,38,54,-15,20.84
46,2021,6,9,17,38,55,-14,20.84
47,2021,6,9,17,38,56,-13,20.92
48,2021,6,9,17,38,57,-12,20.92
49,2021,6,9,17,38,58,-11,20.92
50,2021,6,9,17,38,59,-10,20.92
51,2021,6,9,17,39,0,-9,20.92
52,2021,6,9,17,39,1,-8,20.92
53,2021,6,9,17,39,2,-7,20.92
54,2021,6,9,17,39,3,-6,20.92
55,2021,6,9,17,39,4,-5,20.92
56,2021,6,9,17,39,5,-4,20.92
57,2021,6,9,17,39,6,-3,21.01
58,2021,6,9,17,39,7,-2,20.92
59,2021,6,9,17,39,8,-1,20.92
60,2021,6,9,17,39,9,0,20.84
61,2021,6,9,17,39,10,1,20.92
62,2021,6,9,17,39,11,2,20.92
63,2021,6,9,17,39,12,3,20.92
64,2021,6,9,17,39,13,4,20.92
65,2021,6,9,17,39,14,5,20.92
66,2021,6,9,17,39,15,6,20.84
67,2021,6,9,17,39,16,7,20.92
68,2021,6,9,17,39,18,8,20.92
69,2021,6,9,17,39,19,9,20.92
70,2021,6,9,17,39,20,10,20.92
71,2021,6,9,17,39,21,11,20.92
72,2021,6,9,17,39,22,12,20.92
73,2021,6,9,17,39,23,13,20.92
74,2021,6,9,17,39,24,14,20.92
75,2021,6,9,17,39,25,15,20.92
76,2021,6,9,17,39,26,16,20.92
77,2021,6,9,17,39,27,17,20.84
78,2021,6,9,17,39,28,18,20.92
79,2021,6,9,17,39,29,19,20.84
80,2021,6,9,17,39,30,20,20.92
81,2021,6,9,17,39,31,21,20.92
82,2021,6,9,17,39,32,22,20.92
83,2021,6,9,17,39,33,23,20.84
84,2021,6,9,17,39,34,24,20.92
85,2021,6,9,17,39,35,25,20.92
86,2021,6,9,17,39,36,26,21.01
87,2021,6,9,17,39,37,27,20.92
88,2021,6,9,17,39,38,28,20.92
89,2021,6,9,17,39,39,29,20.92
90,2021,6,9,17,39,40,30,20.92
91,2021,6,9,17,39,41,31,20.92
92,2021,6,9,17,39,42,32,20.92
93,2021,6,9,17,39,43,33,20.84
94,2021,6,9,17,39,44,34,20.92
95,2021,6,9,17,39,45,35,20.92
96,2021,6,9,17,39,46,36,20.92
97,2021,6,9,17,39,47,37,20.92
98,2021,6,9,17,39,48,38,20.92
99,2021,6,9,17,39,49,39,20.92
100,2021,6,9,17,39,50,40,20.92
101,2021,6,9,17,39,51,41,20.84
102,2021,6,9,17,39,52,42,20.92
103,2021,6,9,17,39,53,43,20.92
104,2021,6,9,17,39,55,44,20.84
105,2021,6,9,17,39,56,45,20.92
106,2021,6,9,17,39,57,46,20.92
107,2021,6,9,17,39,58,47,20.92
108,2021,6,9,17,39,59,48,20.92
109,2021,6,9,17,40,0,49,20.92
110,2021,6,9,17,40,1,50,20.84
111,2021,6,9,17,40,2,51,20.92
112,2021,6,9,17,40,3,52,20.84
113,2021,6,9,17,40,4,53,20.92
114,2021,6,9,17,40,5,54,20.92
115,2021,6,9,17,40,6,55,20.92
116,2021,6,9,17,40,7,56,20.92
117,2021,6,9,17,40,8,57,20.92
118,2021,6,9,17,40,9,58,20.92
119,2021,6,9,17,40,10,59,20.92
120,2021,6,9,17,40,11,60,20.92
121,2021,6,9,17,40,12,61,20.92
122,2021,6,9,17,40,13,62,20.92
123,2021,6,9,17,40,14,63,20.92
124,2021,6,9,17,40,15,64,20.92
125,2021,6,9,17,40,16,65,20.92
126,2021,6,9,17,40,17,66,20.84
127,2021,6,9,17,40,18,67,21.01
128,2021,6,9,17,40,19,68,20.92
129,2021,6,9,17,40,20,69,20.92
130,2021,6,9,17,40,21,70,20.92
131,2021,6,9,17,40,22,71,20.92
132,2021,6,9,17,40,23,72,20.92
133,2021,6,9,17,40,24,73,20.92
134,2021,6,9,17,40,25,74,20.92
135,2021,6,9,17,40,26,75,20.92
136,2021,6,9,17,40,27,76,20.92
137,2021,6,9,17,40,28,77,20.92
138,2021,6,9,17,40,29,78,20.84
139,2021,6,9,17,40,30,79,20.92
140,2021,6,9,17,40,31,80,20.92
141,2021,6,9,17,40,33,81,20.92
142,2021,6,9,17,40,34,82,20.92
143,2021,6,9,17,40,35,83,20.92
144,2021,6,9,17,40,36,84,20.92
145,2021,6,9,17,40,37,85,20.92
146,2021,6,9,17,40,38,86,20.92
147,2021,6,9,17,40,39,87,20.92
148,2021,6,9,17,40,40,88,20.92
149,2021,6,9,17,40,41,89,21.01
150,2021,6,9,17,40,42,90,20.92
151,2021,6,9,17,40,43,91,20.84
152,2021,6,9,17,40,44,92,20.92
153,2021,6,9,17,40,45,93,20.92
154,2021,6,9,17,40,46,94,20.92
