id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,10,13,21,29,-60,17.25
1,2022,6,10,13,21,30,-59,17.17
2,2022,6,10,13,21,32,-58,17.17
3,2022,6,10,13,21,33,-57,17.17
4,2022,6,10,13,21,34,-56,17.17
5,2022,6,10,13,21,35,-55,17.17
6,2022,6,10,13,21,36,-54,17.08
7,2022,6,10,13,21,37,-53,17.25
8,2022,6,10,13,21,38,-52,17.25
9,2022,6,10,13,21,39,-51,17.25
10,2022,6,10,13,21,40,-50,17.17
11,2022,6,10,13,21,41,-49,17.17
12,2022,6,10,13,21,42,-48,17.17
13,2022,6,10,13,21,43,-47,17.17
14,2022,6,10,13,21,44,-46,17.17
15,2022,6,10,13,21,45,-45,17.17
16,2022,6,10,13,21,46,-44,17.17
17,2022,6,10,13,21,47,-43,17.17
18,2022,6,10,13,21,48,-42,17.25
19,2022,6,10,13,21,49,-41,17.17
20,2022,6,10,13,21,50,-40,17.25
21,2022,6,10,13,21,51,-39,17.17
22,2022,6,10,13,21,52,-38,17.25
23,2022,6,10,13,21,53,-37,17.17
24,2022,6,10,13,21,54,-36,17.17
25,2022,6,10,13,21,55,-35,17.17
26,2022,6,10,13,21,56,-34,17.17
27,2022,6,10,13,21,57,-33,17.17
28,2022,6,10,13,21,58,-32,17.17
29,2022,6,10,13,21,59,-31,17.17
30,2022,6,10,13,22,0,-30,17.17
31,2022,6,10,13,22,1,-29,17.17
32,2022,6,10,13,22,2,-28,17.25
33,2022,6,10,13,22,3,-27,17.17
34,2022,6,10,13,22,4,-26,17.17
35,2022,6,10,13,22,5,-25,17.17
36,2022,6,10,13,22,6,-24,17.25
37,2022,6,10,13,22,7,-23,17.08
38,2022,6,10,13,22,9,-22,17.17
39,2022,6,10,13,22,10,-21,17.17
40,2022,6,10,13,22,11,-20,17.17
41,2022,6,10,13,22,12,-19,17.17
42,2022,6,10,13,22,13,-18,17.17
43,2022,6,10,13,22,14,-17,17.17
44,2022,6,10,13,22,15,-16,17.17
45,2022,6,10,13,22,16,-15,17.17
46,2022,6,10,13,22,17,-14,17.17
47,2022,6,10,13,22,18,-13,17.17
48,2022,6,10,13,22,19,-12,17.17
49,2022,6,10,13,22,20,-11,17.17
50,2022,6,10,13,22,21,-10,17.17
51,2022,6,10,13,22,22,-9,17.08
52,2022,6,10,13,22,23,-8,17.17
53,2022,6,10,13,22,24,-7,17.17
54,2022,6,10,13,22,25,-6,17.17
55,2022,6,10,13,22,26,-5,17.17
56,2022,6,10,13,22,27,-4,17.17
57,2022,6,10,13,22,28,-3,17.08
58,2022,6,10,13,22,29,-2,17.17
59,2022,6,10,13,22,30,-1,17.08
60,2022,6,10,13,22,31,0,17.08
61,2022,6,10,13,22,32,1,17.08
62,2022,6,10,13,22,33,2,17.17
63,2022,6,10,13,22,34,3,17.08
64,2022,6,10,13,22,35,4,17.17
65,2022,6,10,13,22,36,5,17.17
66,2022,6,10,13,22,37,6,17.08
67,2022,6,10,13,22,38,7,17.08
68,2022,6,10,13,22,39,8,17.17
69,2022,6,10,13,22,40,9,17.08
70,2022,6,10,13,22,41,10,17.08
71,2022,6,10,13,22,42,11,17.08
72,2022,6,10,13,22,43,12,17.17
73,2022,6,10,13,22,44,13,17.17
74,2022,6,10,13,22,46,14,17.08
75,2022,6,10,13,22,47,15,17.08
76,2022,6,10,13,22,48,16,17.17
77,2022,6,10,13,22,49,17,17.08
78,2022,6,10,13,22,50,18,17.08
79,2022,6,10,13,22,51,19,17.17
80,2022,6,10,13,22,52,20,17.08
81,2022,6,10,13,22,53,21,17.08
82,2022,6,10,13,22,54,22,17.17
83,2022,6,10,13,22,55,23,17.17
84,2022,6,10,13,22,56,24,17.08
85,2022,6,10,13,22,57,25,17.08
86,2022,6,10,13,22,58,26,17.08
87,2022,6,10,13,22,59,27,17.08
88,2022,6,10,13,23,0,28,17.17
89,2022,6,10,13,23,1,29,17.08
90,2022,6,10,13,23,2,30,17.08
91,2022,6,10,13,23,3,31,17.08
92,2022,6,10,13,23,4,32,17.08
93,2022,6,10,13,23,5,33,17.08
94,2022,6,10,13,23,6,34,17.17
95,2022,6,10,13,23,7,35,17.08
96,2022,6,10,13,23,8,36,17.08
97,2022,6,10,13,23,9,37,17.08
98,2022,6,10,13,23,10,38,17.08
99,2022,6,10,13,23,11,39,17.08
100,2022,6,10,13,23,12,40,17.08
101,2022,6,10,13,23,13,41,17.08
102,2022,6,10,13,23,14,42,17.08
103,2022,6,10,13,23,15,43,17.08
104,2022,6,10,13,23,16,44,17.08
105,2022,6,10,13,23,17,45,17.17
106,2022,6,10,13,23,18,46,17.08
107,2022,6,10,13,23,19,47,17.08
108,2022,6,10,13,23,20,48,17.00
109,2022,6,10,13,23,21,49,17.08
110,2022,6,10,13,23,22,50,17.08
111,2022,6,10,13,23,24,51,17.00
112,2022,6,10,13,23,25,52,17.08
113,2022,6,10,13,23,26,53,17.08
114,2022,6,10,13,23,27,54,17.08
115,2022,6,10,13,23,28,55,17.08
116,2022,6,10,13,23,29,56,17.08
117,2022,6,10,13,23,30,57,17.08
118,2022,6,10,13,23,31,58,17.08
119,2022,6,10,13,23,32,59,17.08
120,2022,6,10,13,23,33,60,17.08
121,2022,6,10,13,23,34,61,17.08
122,2022,6,10,13,23,35,62,17.08
123,2022,6,10,13,23,36,63,17.08
124,2022,6,10,13,23,37,64,17.08
125,2022,6,10,13,23,38,65,17.08
126,2022,6,10,13,23,39,66,17.00
127,2022,6,10,13,23,40,67,17.08
128,2022,6,10,13,23,41,68,17.08
129,2022,6,10,13,23,42,69,17.08
130,2022,6,10,13,23,43,70,17.08
131,2022,6,10,13,23,44,71,17.08
132,2022,6,10,13,23,45,72,17.08
133,2022,6,10,13,23,46,73,17.08
134,2022,6,10,13,23,47,74,17.00
135,2022,6,10,13,23,48,75,17.08
136,2022,6,10,13,23,49,76,17.08
137,2022,6,10,13,23,50,77,17.08
138,2022,6,10,13,23,51,78,17.08
139,2022,6,10,13,23,52,79,17.08
140,2022,6,10,13,23,53,80,17.08
141,2022,6,10,13,23,54,81,17.08
142,2022,6,10,13,23,55,82,17.08
143,2022,6,10,13,23,56,83,17.08
144,2022,6,10,13,23,57,84,17.08
145,2022,6,10,13,23,58,85,17.08
146,2022,6,10,13,23,59,86,17.08
147,2022,6,10,13,24,1,87,17.00
148,2022,6,10,13,24,2,88,17.08
149,2022,6,10,13,24,3,89,17.17
150,2022,6,10,13,24,4,90,17.08
151,2022,6,10,13,24,5,91,17.08
152,2022,6,10,13,24,6,92,17.08
153,2022,6,10,13,24,7,93,17.08
154,2022,6,10,13,24,8,94,17.08
155,2022,6,10,13,24,9,95,17.08
156,2022,6,10,13,24,10,96,17.17
157,2022,6,10,13,24,11,97,17.00
158,2022,6,10,13,24,12,98,17.00
