id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,10,12,42,52,-60,17.08
1,2022,6,10,12,42,53,-59,17.00
2,2022,6,10,12,42,54,-58,17.08
3,2022,6,10,12,42,55,-57,17.00
4,2022,6,10,12,42,56,-56,17.00
5,2022,6,10,12,42,57,-55,17.08
6,2022,6,10,12,42,58,-54,17.08
7,2022,6,10,12,42,59,-53,17.00
8,2022,6,10,12,43,0,-52,17.08
9,2022,6,10,12,43,1,-51,17.00
10,2022,6,10,12,43,2,-50,17.08
11,2022,6,10,12,43,3,-49,17.00
12,2022,6,10,12,43,4,-48,17.08
13,2022,6,10,12,43,5,-47,17.08
14,2022,6,10,12,43,6,-46,17.08
15,2022,6,10,12,43,7,-45,17.08
16,2022,6,10,12,43,8,-44,17.00
17,2022,6,10,12,43,9,-43,17.08
18,2022,6,10,12,43,10,-42,17.00
19,2022,6,10,12,43,11,-41,17.00
20,2022,6,10,12,43,12,-40,17.00
21,2022,6,10,12,43,13,-39,17.08
22,2022,6,10,12,43,14,-38,17.08
23,2022,6,10,12,43,15,-37,17.08
24,2022,6,10,12,43,16,-36,17.08
25,2022,6,10,12,43,17,-35,17.00
26,2022,6,10,12,43,18,-34,17.00
27,2022,6,10,12,43,19,-33,17.08
28,2022,6,10,12,43,20,-32,17.08
29,2022,6,10,12,43,21,-31,17.08
30,2022,6,10,12,43,22,-30,17.00
31,2022,6,10,12,43,23,-29,17.08
32,2022,6,10,12,43,24,-28,17.00
33,2022,6,10,12,43,25,-27,17.00
34,2022,6,10,12,43,26,-26,17.08
35,2022,6,10,12,43,28,-25,17.08
36,2022,6,10,12,43,29,-24,17.00
37,2022,6,10,12,43,30,-23,17.00
38,2022,6,10,12,43,31,-22,17.00
39,2022,6,10,12,43,32,-21,17.08
40,2022,6,10,12,43,33,-20,17.00
41,2022,6,10,12,43,34,-19,17.08
42,2022,6,10,12,43,35,-18,17.08
43,2022,6,10,12,43,36,-17,17.00
44,2022,6,10,12,43,37,-16,17.00
45,2022,6,10,12,43,38,-15,17.08
46,2022,6,10,12,43,39,-14,17.08
47,2022,6,10,12,43,40,-13,17.08
48,2022,6,10,12,43,41,-12,17.00
49,2022,6,10,12,43,42,-11,17.08
50,2022,6,10,12,43,43,-10,17.08
51,2022,6,10,12,43,44,-9,17.08
52,2022,6,10,12,43,45,-8,17.08
53,2022,6,10,12,43,46,-7,17.00
54,2022,6,10,12,43,47,-6,17.00
55,2022,6,10,12,43,48,-5,17.08
56,2022,6,10,12,43,49,-4,17.00
57,2022,6,10,12,43,50,-3,17.00
58,2022,6,10,12,43,51,-2,17.00
59,2022,6,10,12,43,52,-1,17.08
60,2022,6,10,12,43,53,0,17.08
61,2022,6,10,12,43,54,1,17.08
62,2022,6,10,12,43,55,2,17.08
63,2022,6,10,12,43,56,3,17.00
64,2022,6,10,12,43,57,4,17.00
65,2022,6,10,12,43,58,5,17.00
66,2022,6,10,12,43,59,6,17.08
67,2022,6,10,12,44,0,7,17.08
68,2022,6,10,12,44,1,8,17.08
69,2022,6,10,12,44,2,9,17.08
70,2022,6,10,12,44,3,10,17.00
71,2022,6,10,12,44,5,11,17.08
72,2022,6,10,12,44,6,12,17.08
73,2022,6,10,12,44,7,13,17.08
74,2022,6,10,12,44,8,14,17.00
75,2022,6,10,12,44,9,15,17.00
76,2022,6,10,12,44,10,16,17.08
77,2022,6,10,12,44,11,17,17.08
78,2022,6,10,12,44,12,18,17.08
79,2022,6,10,12,44,13,19,17.08
80,2022,6,10,12,44,14,20,17.08
81,2022,6,10,12,44,15,21,17.00
82,2022,6,10,12,44,16,22,17.08
83,2022,6,10,12,44,17,23,17.08
84,2022,6,10,12,44,18,24,17.08
85,2022,6,10,12,44,19,25,17.08
86,2022,6,10,12,44,20,26,17.00
87,2022,6,10,12,44,21,27,17.08
88,2022,6,10,12,44,22,28,17.08
89,2022,6,10,12,44,23,29,17.08
90,2022,6,10,12,44,24,30,17.08
91,2022,6,10,12,44,25,31,17.08
92,2022,6,10,12,44,26,32,17.08
93,2022,6,10,12,44,27,33,17.08
94,2022,6,10,12,44,28,34,17.08
95,2022,6,10,12,44,29,35,17.08
96,2022,6,10,12,44,30,36,17.08
97,2022,6,10,12,44,31,37,17.00
98,2022,6,10,12,44,32,38,17.08
99,2022,6,10,12,44,33,39,17.08
100,2022,6,10,12,44,34,40,17.08
101,2022,6,10,12,44,35,41,17.08
102,2022,6,10,12,44,36,42,17.08
103,2022,6,10,12,44,37,43,17.08
104,2022,6,10,12,44,38,44,17.00
105,2022,6,10,12,44,39,45,17.08
106,2022,6,10,12,44,40,46,17.00
107,2022,6,10,12,44,41,47,17.08
108,2022,6,10,12,44,43,48,17.08
109,2022,6,10,12,44,44,49,17.08
110,2022,6,10,12,44,45,50,17.00
111,2022,6,10,12,44,46,51,17.00
112,2022,6,10,12,44,47,52,17.00
113,2022,6,10,12,44,48,53,17.00
114,2022,6,10,12,44,49,54,17.00
115,2022,6,10,12,44,50,55,17.00
116,2022,6,10,12,44,51,56,17.00
117,2022,6,10,12,44,52,57,17.08
118,2022,6,10,12,44,53,58,17.00
119,2022,6,10,12,44,54,59,17.08
120,2022,6,10,12,44,55,60,17.08
121,2022,6,10,12,44,56,61,17.08
122,2022,6,10,12,44,57,62,17.08
123,2022,6,10,12,44,58,63,17.08
124,2022,6,10,12,44,59,64,17.08
125,2022,6,10,12,45,0,65,17.08
126,2022,6,10,12,45,1,66,17.08
127,2022,6,10,12,45,2,67,17.08
128,2022,6,10,12,45,3,68,17.08
129,2022,6,10,12,45,4,69,17.08
130,2022,6,10,12,45,5,70,17.08
131,2022,6,10,12,45,6,71,17.08
132,2022,6,10,12,45,7,72,17.08
133,2022,6,10,12,45,8,73,17.08
134,2022,6,10,12,45,9,74,17.08
135,2022,6,10,12,45,10,75,17.08
136,2022,6,10,12,45,11,76,17.08
137,2022,6,10,12,45,12,77,17.00
138,2022,6,10,12,45,13,78,17.08
139,2022,6,10,12,45,14,79,17.08
140,2022,6,10,12,45,15,80,17.08
141,2022,6,10,12,45,16,81,17.08
142,2022,6,10,12,45,17,82,17.08
143,2022,6,10,12,45,18,83,17.08
144,2022,6,10,12,45,20,84,17.17
145,2022,6,10,12,45,21,85,17.00
146,2022,6,10,12,45,22,86,17.08
147,2022,6,10,12,45,23,87,17.08
148,2022,6,10,12,45,24,88,17.08
149,2022,6,10,12,45,25,89,17.08
150,2022,6,10,12,45,26,90,17.08
151,2022,6,10,12,45,27,91,17.08
152,2022,6,10,12,45,28,92,17.08
153,2022,6,10,12,45,29,93,17.17
154,2022,6,10,12,45,30,94,17.08
155,2022,6,10,12,45,31,95,17.17
156,2022,6,10,12,45,32,96,17.17
157,2022,6,10,12,45,33,97,17.08
158,2022,6,10,12,45,34,98,17.08
159,2022,6,10,12,45,35,99,17.08
160,2022,6,10,12,45,36,100,17.17
161,2022,6,10,12,45,37,101,17.08
162,2022,6,10,12,45,38,102,17.08
163,2022,6,10,12,45,39,103,17.08
164,2022,6,10,12,45,40,104,17.08
165,2022,6,10,12,45,41,105,17.08
166,2022,6,10,12,45,42,106,17.00
167,2022,6,10,12,45,43,107,17.08
168,2022,6,10,12,45,44,108,17.08
169,2022,6,10,12,45,45,109,17.17
170,2022,6,10,12,45,46,110,17.08
171,2022,6,10,12,45,47,111,17.08
172,2022,6,10,12,45,48,112,17.08
173,2022,6,10,12,45,49,113,17.08
174,2022,6,10,12,45,50,114,17.08
175,2022,6,10,12,45,51,115,17.17
176,2022,6,10,12,45,52,116,17.17
177,2022,6,10,12,45,53,117,17.00
178,2022,6,10,12,45,54,118,17.08
179,2022,6,10,12,45,55,119,17.08
180,2022,6,10,12,45,57,120,17.17
181,2022,6,10,12,45,58,121,17.08
182,2022,6,10,12,45,59,122,17.08
183,2022,6,10,12,46,0,123,17.08
184,2022,6,10,12,46,1,124,17.08
185,2022,6,10,12,46,2,125,17.17
186,2022,6,10,12,46,3,126,17.08
187,2022,6,10,12,46,4,127,17.17
188,2022,6,10,12,46,5,128,17.17
189,2022,6,10,12,46,6,129,17.17
190,2022,6,10,12,46,7,130,17.17
191,2022,6,10,12,46,8,131,17.08
192,2022,6,10,12,46,9,132,17.17
193,2022,6,10,12,46,10,133,17.17
194,2022,6,10,12,46,11,134,17.08
195,2022,6,10,12,46,12,135,17.08
196,2022,6,10,12,46,13,136,17.08
197,2022,6,10,12,46,14,137,17.08
198,2022,6,10,12,46,15,138,17.17
199,2022,6,10,12,46,16,139,17.17
200,2022,6,10,12,46,17,140,17.17
201,2022,6,10,12,46,18,141,17.17
202,2022,6,10,12,46,19,142,17.17
203,2022,6,10,12,46,20,143,17.08
204,2022,6,10,12,46,21,144,17.08
205,2022,6,10,12,46,22,145,17.08
206,2022,6,10,12,46,23,146,17.08
207,2022,6,10,12,46,24,147,17.08
208,2022,6,10,12,46,25,148,17.17
209,2022,6,10,12,46,26,149,17.08
210,2022,6,10,12,46,27,150,17.08
211,2022,6,10,12,46,28,151,17.17
212,2022,6,10,12,46,29,152,17.17
213,2022,6,10,12,46,30,153,17.08
214,2022,6,10,12,46,31,154,17.17
215,2022,6,10,12,46,33,155,17.17
216,2022,6,10,12,46,34,156,17.08
217,2022,6,10,12,46,35,157,17.17
218,2022,6,10,12,46,36,158,17.08
219,2022,6,10,12,46,37,159,17.17
220,2022,6,10,12,46,38,160,17.17
221,2022,6,10,12,46,39,161,17.08
222,2022,6,10,12,46,40,162,17.17
223,2022,6,10,12,46,41,163,17.17
224,2022,6,10,12,46,42,164,17.17
225,2022,6,10,12,46,43,165,17.08
226,2022,6,10,12,46,44,166,17.08
227,2022,6,10,12,46,45,167,17.17
228,2022,6,10,12,46,46,168,17.17
229,2022,6,10,12,46,47,169,17.17
230,2022,6,10,12,46,48,170,17.17
231,2022,6,10,12,46,49,171,17.17
232,2022,6,10,12,46,50,172,17.17
233,2022,6,10,12,46,51,173,17.17
234,2022,6,10,12,46,52,174,17.08
235,2022,6,10,12,46,53,175,17.17
236,2022,6,10,12,46,54,176,17.17
237,2022,6,10,12,46,55,177,17.17
238,2022,6,10,12,46,56,178,17.17
239,2022,6,10,12,46,57,179,17.00
240,2022,6,10,12,46,58,180,17.17
