id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,13,14,48,41,-60,24.01
1,2022,6,13,14,48,42,-59,24.01
2,2022,6,13,14,48,43,-58,24.01
3,2022,6,13,14,48,44,-57,24.01
4,2022,6,13,14,48,45,-56,24.01
5,2022,6,13,14,48,46,-55,24.01
6,2022,6,13,14,48,47,-54,24.01
7,2022,6,13,14,48,48,-53,24.01
8,2022,6,13,14,48,49,-52,24.01
9,2022,6,13,14,48,50,-51,24.01
10,2022,6,13,14,48,51,-50,24.01
11,2022,6,13,14,48,52,-49,24.01
12,2022,6,13,14,48,53,-48,24.01
13,2022,6,13,14,48,54,-47,24.01
14,2022,6,13,14,48,55,-46,23.92
15,2022,6,13,14,48,56,-45,23.92
16,2022,6,13,14,48,57,-44,23.92
17,2022,6,13,14,48,58,-43,23.92
18,2022,6,13,14,48,59,-42,24.01
19,2022,6,13,14,49,0,-41,24.01
20,2022,6,13,14,49,1,-40,24.01
21,2022,6,13,14,49,2,-39,24.01
22,2022,6,13,14,49,3,-38,24.01
23,2022,6,13,14,49,5,-37,24.01
24,2022,6,13,14,49,6,-36,24.01
25,2022,6,13,14,49,7,-35,24.01
26,2022,6,13,14,49,8,-34,24.01
27,2022,6,13,14,49,9,-33,24.01
28,2022,6,13,14,49,10,-32,24.01
29,2022,6,13,14,49,11,-31,23.92
30,2022,6,13,14,49,12,-30,24.01
31,2022,6,13,14,49,13,-29,24.01
32,2022,6,13,14,49,14,-28,24.01
33,2022,6,13,14,49,15,-27,23.92
34,2022,6,13,14,49,16,-26,24.01
35,2022,6,13,14,49,17,-25,24.01
36,2022,6,13,14,49,18,-24,23.92
37,2022,6,13,14,49,19,-23,24.01
38,2022,6,13,14,49,20,-22,24.01
39,2022,6,13,14,49,21,-21,24.01
40,2022,6,13,14,49,22,-20,24.01
41,2022,6,13,14,49,23,-19,24.01
42,2022,6,13,14,49,24,-18,24.01
43,2022,6,13,14,49,25,-17,23.92
44,2022,6,13,14,49,26,-16,24.01
45,2022,6,13,14,49,27,-15,24.01
46,2022,6,13,14,49,28,-14,24.01
47,2022,6,13,14,49,29,-13,24.01
48,2022,6,13,14,49,30,-12,24.01
49,2022,6,13,14,49,31,-11,24.01
50,2022,6,13,14,49,32,-10,24.01
51,2022,6,13,14,49,33,-9,24.01
52,2022,6,13,14,49,34,-8,24.01
53,2022,6,13,14,49,35,-7,24.01
54,2022,6,13,14,49,36,-6,24.01
55,2022,6,13,14,49,37,-5,24.01
56,2022,6,13,14,49,38,-4,24.01
57,2022,6,13,14,49,39,-3,24.01
58,2022,6,13,14,49,41,-2,24.01
59,2022,6,13,14,49,42,-1,24.09
60,2022,6,13,14,49,43,0,23.92
61,2022,6,13,14,49,44,1,24.01
62,2022,6,13,14,49,45,2,24.01
63,2022,6,13,14,49,46,3,24.01
64,2022,6,13,14,49,47,4,23.92
65,2022,6,13,14,49,48,5,23.92
66,2022,6,13,14,49,49,6,24.01
67,2022,6,13,14,49,50,7,24.01
68,2022,6,13,14,49,51,8,24.01
69,2022,6,13,14,49,52,9,24.01
70,2022,6,13,14,49,53,10,23.92
71,2022,6,13,14,49,54,11,24.01
72,2022,6,13,14,49,55,12,24.01
73,2022,6,13,14,49,56,13,23.92
74,2022,6,13,14,49,57,14,24.01
75,2022,6,13,14,49,58,15,24.01
76,2022,6,13,14,49,59,16,24.01
77,2022,6,13,14,50,0,17,24.01
78,2022,6,13,14,50,1,18,24.01
79,2022,6,13,14,50,2,19,24.01
80,2022,6,13,14,50,3,20,24.01
81,2022,6,13,14,50,4,21,24.01
82,2022,6,13,14,50,5,22,24.01
83,2022,6,13,14,50,6,23,23.92
84,2022,6,13,14,50,7,24,24.01
85,2022,6,13,14,50,8,25,24.01
86,2022,6,13,14,50,9,26,24.01
87,2022,6,13,14,50,10,27,23.92
88,2022,6,13,14,50,11,28,24.01
89,2022,6,13,14,50,12,29,24.01
90,2022,6,13,14,50,13,30,24.01
91,2022,6,13,14,50,14,31,24.01
92,2022,6,13,14,50,15,32,24.01
93,2022,6,13,14,50,16,33,24.01
94,2022,6,13,14,50,17,34,24.01
95,2022,6,13,14,50,19,35,24.01
96,2022,6,13,14,50,20,36,24.01
97,2022,6,13,14,50,21,37,24.01
98,2022,6,13,14,50,22,38,24.01
99,2022,6,13,14,50,23,39,24.01
100,2022,6,13,14,50,24,40,24.01
101,2022,6,13,14,50,25,41,24.01
102,2022,6,13,14,50,26,42,24.01
103,2022,6,13,14,50,27,43,24.01
104,2022,6,13,14,50,28,44,24.01
105,2022,6,13,14,50,29,45,24.01
106,2022,6,13,14,50,30,46,24.01
107,2022,6,13,14,50,31,47,24.01
108,2022,6,13,14,50,32,48,24.09
109,2022,6,13,14,50,33,49,24.01
110,2022,6,13,14,50,34,50,23.92
111,2022,6,13,14,50,35,51,24.01
112,2022,6,13,14,50,36,52,24.01
113,2022,6,13,14,50,37,53,24.01
114,2022,6,13,14,50,38,54,24.01
115,2022,6,13,14,50,39,55,24.09
116,2022,6,13,14,50,40,56,24.01
117,2022,6,13,14,50,41,57,23.92
118,2022,6,13,14,50,42,58,24.01
119,2022,6,13,14,50,43,59,24.01
120,2022,6,13,14,50,44,60,24.09
121,2022,6,13,14,50,45,61,24.01
122,2022,6,13,14,50,46,62,24.01
123,2022,6,13,14,50,47,63,24.01
124,2022,6,13,14,50,48,64,24.01
125,2022,6,13,14,50,49,65,24.01
126,2022,6,13,14,50,50,66,24.01
127,2022,6,13,14,50,51,67,24.01
128,2022,6,13,14,50,52,68,24.01
129,2022,6,13,14,50,53,69,24.09
130,2022,6,13,14,50,54,70,24.01
131,2022,6,13,14,50,56,71,24.09
132,2022,6,13,14,50,57,72,24.01
133,2022,6,13,14,50,58,73,24.01
134,2022,6,13,14,50,59,74,24.01
135,2022,6,13,14,51,0,75,24.01
136,2022,6,13,14,51,1,76,24.01
137,2022,6,13,14,51,2,77,24.01
138,2022,6,13,14,51,3,78,24.09
139,2022,6,13,14,51,4,79,24.01
140,2022,6,13,14,51,5,80,24.01
141,2022,6,13,14,51,6,81,24.09
142,2022,6,13,14,51,7,82,24.01
143,2022,6,13,14,51,8,83,24.09
144,2022,6,13,14,51,9,84,24.01
145,2022,6,13,14,51,10,85,24.01
146,2022,6,13,14,51,11,86,24.09
147,2022,6,13,14,51,12,87,24.09
148,2022,6,13,14,51,13,88,24.01
149,2022,6,13,14,51,14,89,24.09
150,2022,6,13,14,51,15,90,24.01
151,2022,6,13,14,51,16,91,24.01
152,2022,6,13,14,51,17,92,24.01
153,2022,6,13,14,51,18,93,24.09
154,2022,6,13,14,51,19,94,24.01
155,2022,6,13,14,51,20,95,24.09
156,2022,6,13,14,51,21,96,24.01
157,2022,6,13,14,51,22,97,24.01
158,2022,6,13,14,51,23,98,24.09
159,2022,6,13,14,51,24,99,24.09
160,2022,6,13,14,51,25,100,24.01
161,2022,6,13,14,51,26,101,24.01
162,2022,6,13,14,51,27,102,24.01
163,2022,6,13,14,51,28,103,24.09
164,2022,6,13,14,51,29,104,24.09
165,2022,6,13,14,51,30,105,24.01
166,2022,6,13,14,51,31,106,24.01
167,2022,6,13,14,51,32,107,24.09
168,2022,6,13,14,51,34,108,24.01
169,2022,6,13,14,51,35,109,24.01
170,2022,6,13,14,51,36,110,24.09
171,2022,6,13,14,51,37,111,24.01
172,2022,6,13,14,51,38,112,24.01
173,2022,6,13,14,51,39,113,24.01
174,2022,6,13,14,51,40,114,24.01
175,2022,6,13,14,51,41,115,24.09
176,2022,6,13,14,51,42,116,24.09
177,2022,6,13,14,51,43,117,24.09
178,2022,6,13,14,51,44,118,24.09
179,2022,6,13,14,51,45,119,24.09
180,2022,6,13,14,51,46,120,24.01
181,2022,6,13,14,51,47,121,24.09
182,2022,6,13,14,51,48,122,24.09
183,2022,6,13,14,51,49,123,24.09
184,2022,6,13,14,51,50,124,24.09
185,2022,6,13,14,51,51,125,24.09
186,2022,6,13,14,51,52,126,24.09
187,2022,6,13,14,51,53,127,24.09
188,2022,6,13,14,51,54,128,24.09
189,2022,6,13,14,51,55,129,24.09
190,2022,6,13,14,51,56,130,24.01
191,2022,6,13,14,51,57,131,24.09
192,2022,6,13,14,51,58,132,24.09
193,2022,6,13,14,51,59,133,24.01
194,2022,6,13,14,52,0,134,24.09
195,2022,6,13,14,52,1,135,24.09
196,2022,6,13,14,52,2,136,24.09
197,2022,6,13,14,52,3,137,24.09
198,2022,6,13,14,52,4,138,24.01
199,2022,6,13,14,52,5,139,24.09
200,2022,6,13,14,52,6,140,24.09
201,2022,6,13,14,52,7,141,24.01
202,2022,6,13,14,52,9,142,24.09
203,2022,6,13,14,52,10,143,24.09
204,2022,6,13,14,52,11,144,24.09
205,2022,6,13,14,52,12,145,24.09
206,2022,6,13,14,52,13,146,24.01
207,2022,6,13,14,52,14,147,24.09
208,2022,6,13,14,52,15,148,24.09
209,2022,6,13,14,52,16,149,24.09
210,2022,6,13,14,52,17,150,24.01
211,2022,6,13,14,52,18,151,24.09
212,2022,6,13,14,52,19,152,24.09
213,2022,6,13,14,52,20,153,24.09
214,2022,6,13,14,52,21,154,24.09
215,2022,6,13,14,52,22,155,24.09
216,2022,6,13,14,52,23,156,24.09
217,2022,6,13,14,52,24,157,24.01
218,2022,6,13,14,52,25,158,24.09
219,2022,6,13,14,52,26,159,24.09
220,2022,6,13,14,52,27,160,24.09
221,2022,6,13,14,52,28,161,24.09
222,2022,6,13,14,52,29,162,24.09
223,2022,6,13,14,52,30,163,24.01
224,2022,6,13,14,52,31,164,24.09
225,2022,6,13,14,52,32,165,24.09
226,2022,6,13,14,52,33,166,24.09
227,2022,6,13,14,52,34,167,24.09
228,2022,6,13,14,52,35,168,24.09
229,2022,6,13,14,52,36,169,24.09
230,2022,6,13,14,52,37,170,24.09
231,2022,6,13,14,52,38,171,24.09
232,2022,6,13,14,52,39,172,24.09
233,2022,6,13,14,52,40,173,24.01
234,2022,6,13,14,52,41,174,24.09
235,2022,6,13,14,52,42,175,24.09
236,2022,6,13,14,52,43,176,24.09
237,2022,6,13,14,52,44,177,24.09
238,2022,6,13,14,52,46,178,24.09
239,2022,6,13,14,52,47,179,24.09
240,2022,6,13,14,52,48,180,24.09
