id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,19,17,58,1,-60,24.84
1,2022,6,19,17,58,2,-59,24.84
2,2022,6,19,17,58,4,-58,24.84
3,2022,6,19,17,58,5,-57,24.76
4,2022,6,19,17,58,6,-56,24.84
5,2022,6,19,17,58,7,-55,24.84
6,2022,6,19,17,58,8,-54,24.93
7,2022,6,19,17,58,9,-53,24.76
8,2022,6,19,17,58,10,-52,24.84
9,2022,6,19,17,58,11,-51,24.84
10,2022,6,19,17,58,12,-50,24.84
11,2022,6,19,17,58,13,-49,24.84
12,2022,6,19,17,58,14,-48,24.84
13,2022,6,19,17,58,15,-47,24.84
14,2022,6,19,17,58,16,-46,24.84
15,2022,6,19,17,58,17,-45,24.93
16,2022,6,19,17,58,18,-44,24.84
17,2022,6,19,17,58,19,-43,24.84
18,2022,6,19,17,58,20,-42,24.84
19,2022,6,19,17,58,21,-41,24.84
20,2022,6,19,17,58,22,-40,24.84
21,2022,6,19,17,58,23,-39,24.84
22,2022,6,19,17,58,24,-38,24.84
23,2022,6,19,17,58,25,-37,24.76
24,2022,6,19,17,58,26,-36,24.84
25,2022,6,19,17,58,27,-35,24.84
26,2022,6,19,17,58,28,-34,24.93
27,2022,6,19,17,58,29,-33,24.93
28,2022,6,19,17,58,30,-32,24.93
29,2022,6,19,17,58,31,-31,24.93
30,2022,6,19,17,58,32,-30,24.93
31,2022,6,19,17,58,33,-29,24.93
32,2022,6,19,17,58,34,-28,24.93
33,2022,6,19,17,58,35,-27,24.84
34,2022,6,19,17,58,36,-26,24.93
35,2022,6,19,17,58,37,-25,24.93
36,2022,6,19,17,58,38,-24,24.93
37,2022,6,19,17,58,40,-23,24.93
38,2022,6,19,17,58,41,-22,24.93
39,2022,6,19,17,58,42,-21,24.93
40,2022,6,19,17,58,43,-20,24.93
41,2022,6,19,17,58,44,-19,24.93
42,2022,6,19,17,58,45,-18,24.93
43,2022,6,19,17,58,46,-17,24.93
44,2022,6,19,17,58,47,-16,24.93
45,2022,6,19,17,58,48,-15,24.93
46,2022,6,19,17,58,49,-14,24.93
47,2022,6,19,17,58,50,-13,24.93
48,2022,6,19,17,58,51,-12,24.93
49,2022,6,19,17,58,52,-11,24.93
50,2022,6,19,17,58,53,-10,24.93
51,2022,6,19,17,58,54,-9,24.93
52,2022,6,19,17,58,55,-8,24.93
53,2022,6,19,17,58,56,-7,24.93
54,2022,6,19,17,58,57,-6,24.93
55,2022,6,19,17,58,58,-5,24.93
56,2022,6,19,17,58,59,-4,24.93
57,2022,6,19,17,59,0,-3,24.93
58,2022,6,19,17,59,1,-2,24.93
59,2022,6,19,17,59,2,-1,24.93
60,2022,6,19,17,59,3,0,24.93
61,2022,6,19,17,59,4,1,24.93
62,2022,6,19,17,59,5,2,24.93
63,2022,6,19,17,59,6,3,24.93
64,2022,6,19,17,59,7,4,24.93
65,2022,6,19,17,59,8,5,24.93
66,2022,6,19,17,59,9,6,24.93
67,2022,6,19,17,59,10,7,24.93
68,2022,6,19,17,59,11,8,24.93
69,2022,6,19,17,59,12,9,24.93
70,2022,6,19,17,59,13,10,24.93
71,2022,6,19,17,59,14,11,24.93
72,2022,6,19,17,59,15,12,24.93
