id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,6,10,44,11,-60,36.78
1,2019,12,6,10,44,12,-59,34.92
2,2019,12,6,10,44,13,-58,35.01
3,2019,12,6,10,44,14,-57,35.01
4,2019,12,6,10,44,15,-56,35.01
5,2019,12,6,10,44,16,-55,35.01
6,2019,12,6,10,44,17,-54,35.01
7,2019,12,6,10,44,18,-53,35.01
8,2019,12,6,10,44,19,-52,35.01
9,2019,12,6,10,44,20,-51,35.01
10,2019,12,6,10,44,22,-50,35.10
11,2019,12,6,10,44,23,-49,35.10
12,2019,12,6,10,44,24,-48,35.10
13,2019,12,6,10,44,25,-47,35.10
14,2019,12,6,10,44,26,-46,35.10
15,2019,12,6,10,44,27,-45,35.10
16,2019,12,6,10,44,28,-44,35.01
17,2019,12,6,10,44,29,-43,35.10
18,2019,12,6,10,44,30,-42,35.10
19,2019,12,6,10,44,31,-41,35.10
20,2019,12,6,10,44,32,-40,35.20
21,2019,12,6,10,44,33,-39,35.10
22,2019,12,6,10,44,34,-38,35.10
23,2019,12,6,10,44,35,-37,35.10
24,2019,12,6,10,44,36,-36,35.10
25,2019,12,6,10,44,37,-35,35.20
26,2019,12,6,10,44,38,-34,35.20
27,2019,12,6,10,44,39,-33,35.10
28,2019,12,6,10,44,40,-32,35.20
29,2019,12,6,10,44,41,-31,35.20
30,2019,12,6,10,44,42,-30,35.20
31,2019,12,6,10,44,43,-29,35.20
32,2019,12,6,10,44,44,-28,35.20
33,2019,12,6,10,44,45,-27,35.29
34,2019,12,6,10,44,46,-26,35.29
35,2019,12,6,10,44,47,-25,35.29
36,2019,12,6,10,44,48,-24,35.29
37,2019,12,6,10,44,49,-23,35.29
38,2019,12,6,10,44,50,-22,35.29
39,2019,12,6,10,44,51,-21,35.29
40,2019,12,6,10,44,52,-20,35.29
41,2019,12,6,10,44,53,-19,35.29
42,2019,12,6,10,44,54,-18,35.29
43,2019,12,6,10,44,55,-17,35.29
44,2019,12,6,10,44,56,-16,35.38
45,2019,12,6,10,44,58,-15,35.38
46,2019,12,6,10,44,59,-14,35.38
47,2019,12,6,10,45,0,-13,35.38
48,2019,12,6,10,45,1,-12,35.38
49,2019,12,6,10,45,2,-11,35.38
50,2019,12,6,10,45,3,-10,35.38
51,2019,12,6,10,45,4,-9,35.38
52,2019,12,6,10,45,5,-8,35.38
53,2019,12,6,10,45,6,-7,35.47
54,2019,12,6,10,45,7,-6,35.38
55,2019,12,6,10,45,8,-5,35.38
56,2019,12,6,10,45,9,-4,35.47
57,2019,12,6,10,45,10,-3,35.47
58,2019,12,6,10,45,11,-2,35.47
59,2019,12,6,10,45,12,-1,35.47
60,2019,12,6,10,45,13,0,35.47
61,2019,12,6,10,45,14,1,35.38
62,2019,12,6,10,45,15,2,35.47
63,2019,12,6,10,45,16,3,35.47
64,2019,12,6,10,45,17,4,35.47
65,2019,12,6,10,45,18,5,35.47
66,2019,12,6,10,45,19,6,35.47
67,2019,12,6,10,45,20,7,35.47
68,2019,12,6,10,45,21,8,35.47
69,2019,12,6,10,45,22,9,35.47
70,2019,12,6,10,45,23,10,35.47
71,2019,12,6,10,45,24,11,35.47
72,2019,12,6,10,45,25,12,35.47
73,2019,12,6,10,45,26,13,35.47
74,2019,12,6,10,45,27,14,35.47
75,2019,12,6,10,45,28,15,35.47
76,2019,12,6,10,45,29,16,35.57
77,2019,12,6,10,45,30,17,35.57
78,2019,12,6,10,45,31,18,35.57
79,2019,12,6,10,45,32,19,35.57
80,2019,12,6,10,45,33,20,35.57
81,2019,12,6,10,45,34,21,35.57
82,2019,12,6,10,45,36,22,35.57
83,2019,12,6,10,45,37,23,35.57
84,2019,12,6,10,45,38,24,35.57
85,2019,12,6,10,45,39,25,35.57
86,2019,12,6,10,45,40,26,35.57
87,2019,12,6,10,45,41,27,35.57
88,2019,12,6,10,45,42,28,35.57
89,2019,12,6,10,45,43,29,35.57
90,2019,12,6,10,45,44,30,35.57
91,2019,12,6,10,45,45,31,35.57
92,2019,12,6,10,45,46,32,35.57
93,2019,12,6,10,45,47,33,35.66
94,2019,12,6,10,45,48,34,35.57
95,2019,12,6,10,45,49,35,35.57
96,2019,12,6,10,45,50,36,35.66
97,2019,12,6,10,45,51,37,35.66
98,2019,12,6,10,45,52,38,35.66
99,2019,12,6,10,45,53,39,35.66
100,2019,12,6,10,45,54,40,35.66
101,2019,12,6,10,45,55,41,35.66
102,2019,12,6,10,45,56,42,35.66
103,2019,12,6,10,45,57,43,35.66
104,2019,12,6,10,45,58,44,35.66
105,2019,12,6,10,45,59,45,35.66
106,2019,12,6,10,46,0,46,35.66
107,2019,12,6,10,46,1,47,35.66
108,2019,12,6,10,46,2,48,35.66
109,2019,12,6,10,46,3,49,35.66
110,2019,12,6,10,46,4,50,35.66
111,2019,12,6,10,46,5,51,35.66
112,2019,12,6,10,46,6,52,35.66
113,2019,12,6,10,46,7,53,35.75
114,2019,12,6,10,46,8,54,35.75
115,2019,12,6,10,46,9,55,35.66
116,2019,12,6,10,46,10,56,35.75
117,2019,12,6,10,46,11,57,35.66
118,2019,12,6,10,46,13,58,35.66
119,2019,12,6,10,46,14,59,35.75
120,2019,12,6,10,46,15,60,35.75
121,2019,12,6,10,46,16,61,35.75
122,2019,12,6,10,46,17,62,35.75
123,2019,12,6,10,46,18,63,35.75
124,2019,12,6,10,46,19,64,35.75
125,2019,12,6,10,46,20,65,35.75
126,2019,12,6,10,46,21,66,35.75
127,2019,12,6,10,46,22,67,35.75
128,2019,12,6,10,46,23,68,35.75
129,2019,12,6,10,46,24,69,35.75
130,2019,12,6,10,46,25,70,35.75
131,2019,12,6,10,46,26,71,35.75
132,2019,12,6,10,46,27,72,35.75
133,2019,12,6,10,46,28,73,35.75
134,2019,12,6,10,46,29,74,35.75
135,2019,12,6,10,46,30,75,35.75
136,2019,12,6,10,46,31,76,35.75
137,2019,12,6,10,46,32,77,35.75
138,2019,12,6,10,46,33,78,35.75
139,2019,12,6,10,46,34,79,35.75
140,2019,12,6,10,46,35,80,35.75
141,2019,12,6,10,46,36,81,35.75
142,2019,12,6,10,46,37,82,35.75
143,2019,12,6,10,46,38,83,35.75
144,2019,12,6,10,46,39,84,35.84
145,2019,12,6,10,46,40,85,35.84
146,2019,12,6,10,46,41,86,35.84
147,2019,12,6,10,46,42,87,35.84
148,2019,12,6,10,46,43,88,35.84
149,2019,12,6,10,46,44,89,35.75
150,2019,12,6,10,46,45,90,35.75
151,2019,12,6,10,46,46,91,35.84
152,2019,12,6,10,46,47,92,35.84
153,2019,12,6,10,46,48,93,35.75
154,2019,12,6,10,46,49,94,35.75
155,2019,12,6,10,46,51,95,35.75
156,2019,12,6,10,46,52,96,35.84
157,2019,12,6,10,46,53,97,35.84
158,2019,12,6,10,46,54,98,35.84
159,2019,12,6,10,46,55,99,35.84
160,2019,12,6,10,46,56,100,35.75
161,2019,12,6,10,46,57,101,35.75
162,2019,12,6,10,46,58,102,35.75
163,2019,12,6,10,46,59,103,35.75
164,2019,12,6,10,47,0,104,35.84
165,2019,12,6,10,47,1,105,35.84
166,2019,12,6,10,47,2,106,35.84
167,2019,12,6,10,47,3,107,35.84
168,2019,12,6,10,47,4,108,35.84
169,2019,12,6,10,47,5,109,35.84
170,2019,12,6,10,47,6,110,35.84
171,2019,12,6,10,47,7,111,35.84
172,2019,12,6,10,47,8,112,35.84
173,2019,12,6,10,47,9,113,35.84
174,2019,12,6,10,47,10,114,35.84
175,2019,12,6,10,47,11,115,35.84
176,2019,12,6,10,47,12,116,35.84
177,2019,12,6,10,47,13,117,35.75
178,2019,12,6,10,47,14,118,35.75
179,2019,12,6,10,47,15,119,35.84
180,2019,12,6,10,47,16,120,35.84
181,2019,12,6,10,47,17,121,35.84
182,2019,12,6,10,47,18,122,35.84
183,2019,12,6,10,47,19,123,35.75
184,2019,12,6,10,47,20,124,35.84
185,2019,12,6,10,47,21,125,35.84
186,2019,12,6,10,47,22,126,35.84
187,2019,12,6,10,47,23,127,35.84
188,2019,12,6,10,47,24,128,35.84
189,2019,12,6,10,47,25,129,35.84
190,2019,12,6,10,47,27,130,35.84
191,2019,12,6,10,47,28,131,35.84
192,2019,12,6,10,47,29,132,35.84
193,2019,12,6,10,47,30,133,35.84
194,2019,12,6,10,47,31,134,35.75
195,2019,12,6,10,47,32,135,35.84
196,2019,12,6,10,47,33,136,34.92
197,2019,12,6,10,47,34,137,34.92
198,2019,12,6,10,47,35,138,34.92
199,2019,12,6,10,47,36,139,34.92
200,2019,12,6,10,47,37,140,34.92
201,2019,12,6,10,47,38,141,34.92
202,2019,12,6,10,47,39,142,34.92
203,2019,12,6,10,47,40,143,34.92
204,2019,12,6,10,47,41,144,35.01
205,2019,12,6,10,47,42,145,34.92
206,2019,12,6,10,47,43,146,35.01
207,2019,12,6,10,47,44,147,34.92
208,2019,12,6,10,47,45,148,35.01
209,2019,12,6,10,47,46,149,35.01
210,2019,12,6,10,47,47,150,35.01
211,2019,12,6,10,47,48,151,35.01
212,2019,12,6,10,47,49,152,34.92
213,2019,12,6,10,47,50,153,34.92
214,2019,12,6,10,47,51,154,34.92
215,2019,12,6,10,47,52,155,35.01
216,2019,12,6,10,47,53,156,34.92
217,2019,12,6,10,47,54,157,35.01
218,2019,12,6,10,47,55,158,35.01
219,2019,12,6,10,47,56,159,34.92
220,2019,12,6,10,47,57,160,35.01
221,2019,12,6,10,47,58,161,35.01
222,2019,12,6,10,47,59,162,35.01
223,2019,12,6,10,48,0,163,35.01
224,2019,12,6,10,48,1,164,35.01
225,2019,12,6,10,48,3,165,35.01
226,2019,12,6,10,48,4,166,35.01
227,2019,12,6,10,48,5,167,35.01
228,2019,12,6,10,48,6,168,35.01
229,2019,12,6,10,48,7,169,35.01
230,2019,12,6,10,48,8,170,35.01
231,2019,12,6,10,48,9,171,35.01
232,2019,12,6,10,48,10,172,35.01
233,2019,12,6,10,48,11,173,35.01
234,2019,12,6,10,48,12,174,35.01
235,2019,12,6,10,48,13,175,35.01
236,2019,12,6,10,48,14,176,35.01
237,2019,12,6,10,48,15,177,35.01
238,2019,12,6,10,48,16,178,35.01
239,2019,12,6,10,48,17,179,35.01
240,2019,12,6,10,48,18,180,35.01
241,2019,12,6,10,48,19,181,35.01
242,2019,12,6,10,48,20,182,35.01
243,2019,12,6,10,48,21,183,35.01
244,2019,12,6,10,48,22,184,35.01
245,2019,12,6,10,48,23,185,35.01
246,2019,12,6,10,48,24,186,35.01
247,2019,12,6,10,48,25,187,35.01
248,2019,12,6,10,48,26,188,35.01
249,2019,12,6,10,48,27,189,35.01
250,2019,12,6,10,48,28,190,35.10
251,2019,12,6,10,48,29,191,35.01
252,2019,12,6,10,48,30,192,35.01
253,2019,12,6,10,48,31,193,35.10
254,2019,12,6,10,48,32,194,35.01
255,2019,12,6,10,48,33,195,35.01
256,2019,12,6,10,48,34,196,35.10
257,2019,12,6,10,48,35,197,35.10
258,2019,12,6,10,48,36,198,35.01
259,2019,12,6,10,48,37,199,35.01
260,2019,12,6,10,48,39,200,35.01
261,2019,12,6,10,48,40,201,35.10
262,2019,12,6,10,48,41,202,35.10
263,2019,12,6,10,48,42,203,35.10
264,2019,12,6,10,48,43,204,35.10
265,2019,12,6,10,48,44,205,35.10
266,2019,12,6,10,48,45,206,35.10
267,2019,12,6,10,48,46,207,35.10
268,2019,12,6,10,48,47,208,35.10
269,2019,12,6,10,48,48,209,35.10
270,2019,12,6,10,48,49,210,35.01
271,2019,12,6,10,48,50,211,35.10
272,2019,12,6,10,48,51,212,35.01
273,2019,12,6,10,48,52,213,35.10
274,2019,12,6,10,48,53,214,35.10
275,2019,12,6,10,48,54,215,35.10
276,2019,12,6,10,48,55,216,35.10
277,2019,12,6,10,48,56,217,35.10
278,2019,12,6,10,48,57,218,35.10
279,2019,12,6,10,48,58,219,35.10
280,2019,12,6,10,48,59,220,35.10
281,2019,12,6,10,49,0,221,35.10
282,2019,12,6,10,49,1,222,35.10
283,2019,12,6,10,49,2,223,35.10
284,2019,12,6,10,49,3,224,35.10
285,2019,12,6,10,49,4,225,35.10
286,2019,12,6,10,49,5,226,35.10
287,2019,12,6,10,49,6,227,35.10
288,2019,12,6,10,49,7,228,35.10
289,2019,12,6,10,49,8,229,35.10
290,2019,12,6,10,49,9,230,35.10
291,2019,12,6,10,49,10,231,35.10
292,2019,12,6,10,49,11,232,35.20
293,2019,12,6,10,49,12,233,35.10
294,2019,12,6,10,49,13,234,35.10
295,2019,12,6,10,49,15,235,35.10
296,2019,12,6,10,49,16,236,35.10
297,2019,12,6,10,49,17,237,35.20
298,2019,12,6,10,49,18,238,35.20
299,2019,12,6,10,49,19,239,35.10
300,2019,12,6,10,49,20,240,35.20
