Log Values
Reading , Values
15/10/2018 12:39:01,31.157°C
15/10/2018 12:59:01,30.533°C
15/10/2018 13:19:01,30.47°C
15/10/2018 13:39:01,30.096°C
15/10/2018 13:59:01,30.033°C
15/10/2018 14:19:01,28.534°C
15/10/2018 14:39:01,28.472°C
15/10/2018 14:59:01,30.533°C
15/10/2018 15:19:01,29.534°C
15/10/2018 15:39:01,28.222°C
15/10/2018 15:59:01,29.783°C
15/10/2018 16:19:01,28.784°C
15/10/2018 16:39:01,30.345°C
15/10/2018 16:59:01,29.721°C
15/10/2018 17:19:01,27.597°C
15/10/2018 17:39:01,26.973°C
15/10/2018 17:59:01,26.66°C
15/10/2018 18:19:01,25.91°C
15/10/2018 18:39:01,25.41°C
15/10/2018 18:59:01,24.91°C
15/10/2018 19:19:01,24.41°C
15/10/2018 19:39:01,24.473°C
15/10/2018 19:59:01,24.222°C
15/10/2018 20:19:01,23.972°C
15/10/2018 20:39:01,24.035°C
15/10/2018 20:59:01,23.972°C
15/10/2018 21:19:01,23.972°C
15/10/2018 21:39:01,24.16°C
15/10/2018 21:59:01,24.035°C
15/10/2018 22:19:01,23.847°C
15/10/2018 22:39:01,23.91°C
15/10/2018 22:59:01,24.035°C
15/10/2018 23:19:01,23.91°C
15/10/2018 23:39:01,23.91°C
15/10/2018 23:59:01,23.847°C
16/10/2018 00:19:01,23.91°C
16/10/2018 00:39:01,23.847°C
16/10/2018 00:59:01,23.785°C
16/10/2018 01:19:01,23.722°C
16/10/2018 01:39:01,23.66°C
16/10/2018 01:59:01,23.597°C
16/10/2018 02:19:01,23.597°C
16/10/2018 02:39:01,23.472°C
16/10/2018 02:59:01,23.41°C
16/10/2018 03:19:01,23.41°C
16/10/2018 03:39:01,23.347°C
16/10/2018 03:59:01,23.347°C
16/10/2018 04:19:01,23.347°C
16/10/2018 04:39:01,23.097°C
16/10/2018 04:59:01,22.909°C
16/10/2018 05:19:01,22.972°C
16/10/2018 05:39:01,22.972°C
16/10/2018 05:59:01,22.847°C
16/10/2018 06:19:01,23.034°C
16/10/2018 06:39:01,23.66°C
16/10/2018 06:59:01,24.535°C
16/10/2018 07:19:01,26.285°C
16/10/2018 07:39:01,28.784°C
16/10/2018 07:59:01,29.534°C
16/10/2018 08:19:01,30.283°C
16/10/2018 08:39:01,30.97°C
16/10/2018 08:59:01,31.344°C
16/10/2018 09:19:01,31.969°C
16/10/2018 09:39:01,32.031°C
16/10/2018 09:59:01,31.095°C
16/10/2018 10:19:01,30.533°C
16/10/2018 10:39:01,30.783°C
16/10/2018 10:59:01,30.221°C
16/10/2018 11:19:01,30.283°C
16/10/2018 11:39:01,31.157°C
16/10/2018 11:59:01,30.783°C
16/10/2018 12:19:01,30.221°C
16/10/2018 12:39:01,30.283°C
16/10/2018 12:59:01,30.533°C
16/10/2018 13:19:01,31.719°C
16/10/2018 13:39:01,31.22°C
16/10/2018 13:59:01,30.907°C
16/10/2018 14:19:01,29.346°C
16/10/2018 14:39:01,28.472°C
16/10/2018 14:59:01,28.347°C
