Log Values
Reading , Values
16/10/2018 17:20:01,30.079°C
16/10/2018 17:40:01,26.08°C
16/10/2018 18:00:01,25.08°C
16/10/2018 18:20:01,24.58°C
16/10/2018 18:40:01,23.83°C
16/10/2018 19:00:01,23.642°C
16/10/2018 19:20:01,23.767°C
16/10/2018 19:40:01,23.892°C
16/10/2018 20:00:01,23.83°C
16/10/2018 20:20:01,23.83°C
16/10/2018 20:40:01,23.642°C
16/10/2018 21:00:01,23.267°C
16/10/2018 21:20:01,22.955°C
16/10/2018 21:40:01,22.892°C
16/10/2018 22:00:01,22.829°C
16/10/2018 22:20:01,22.517°C
16/10/2018 22:40:01,22.329°C
16/10/2018 23:00:01,22.142°C
16/10/2018 23:20:01,21.954°C
16/10/2018 23:40:01,21.766°C
17/10/2018 00:00:01,21.641°C
17/10/2018 00:20:01,21.704°C
17/10/2018 00:40:01,21.266°C
17/10/2018 01:00:01,20.891°C
17/10/2018 01:20:01,21.141°C
17/10/2018 01:40:01,21.391°C
17/10/2018 02:00:01,21.391°C
17/10/2018 02:20:01,21.391°C
17/10/2018 02:40:01,21.329°C
17/10/2018 03:00:01,21.266°C
17/10/2018 03:20:01,21.204°C
17/10/2018 03:40:01,21.141°C
17/10/2018 04:00:01,21.078°C
17/10/2018 04:20:01,20.953°C
17/10/2018 04:40:01,20.953°C
17/10/2018 05:00:01,20.953°C
17/10/2018 05:20:01,20.641°C
17/10/2018 05:40:01,20.891°C
17/10/2018 06:00:01,20.703°C
17/10/2018 06:20:01,20.328°C
17/10/2018 06:40:01,20.015°C
17/10/2018 07:00:01,20.953°C
17/10/2018 07:20:01,22.829°C
17/10/2018 07:40:01,25.268°C
17/10/2018 08:00:01,25.83°C
17/10/2018 08:20:01,29.079°C
17/10/2018 08:40:01,32.451°C
17/10/2018 09:00:01,34.137°C
17/10/2018 09:20:01,35.323°C
17/10/2018 09:40:01,36.196°C
17/10/2018 10:00:01,37.07°C
17/10/2018 10:20:01,36.758°C
17/10/2018 10:40:01,37.756°C
17/10/2018 11:00:01,37.694°C
17/10/2018 11:20:01,38.193°C
17/10/2018 11:40:01,38.193°C
17/10/2018 12:00:01,38.629°C
17/10/2018 12:20:01,39.565°C
17/10/2018 12:40:01,38.505°C
17/10/2018 13:00:01,38.879°C
17/10/2018 13:20:01,40.064°C
17/10/2018 13:40:01,37.881°C
17/10/2018 14:00:01,36.696°C
17/10/2018 14:20:01,37.195°C
17/10/2018 14:40:01,34.824°C
17/10/2018 15:00:01,35.635°C
17/10/2018 15:20:01,31.203°C
17/10/2018 15:40:01,29.954°C
17/10/2018 16:00:01,29.267°C
17/10/2018 16:20:01,28.454°C
17/10/2018 16:40:01,27.767°C
17/10/2018 17:00:01,28.267°C
17/10/2018 17:20:01,30.828°C
17/10/2018 17:40:01,27.392°C
17/10/2018 18:00:01,25.768°C
17/10/2018 18:20:01,24.017°C
17/10/2018 18:40:01,23.392°C
17/10/2018 19:00:01,23.267°C
17/10/2018 19:20:01,23.267°C
17/10/2018 19:40:01,22.642°C
17/10/2018 20:00:01,22.329°C
17/10/2018 20:20:01,22.204°C
17/10/2018 20:40:01,21.892°C
17/10/2018 21:00:01,21.204°C
17/10/2018 21:20:01,20.703°C
17/10/2018 21:40:01,20.203°C
17/10/2018 22:00:01,19.702°C
17/10/2018 22:20:01,20.641°C
17/10/2018 22:40:01,20.516°C
17/10/2018 23:00:01,19.89°C
17/10/2018 23:20:01,20.39°C
17/10/2018 23:40:01,20.078°C
18/10/2018 00:00:01,19.89°C
18/10/2018 00:20:01,20.203°C
18/10/2018 00:40:01,20.766°C
18/10/2018 01:00:01,20.14°C
18/10/2018 01:20:01,19.327°C
18/10/2018 01:40:01,19.39°C
18/10/2018 02:00:01,20.828°C
18/10/2018 02:20:01,21.454°C
18/10/2018 02:40:01,20.828°C
18/10/2018 03:00:01,20.265°C
18/10/2018 03:20:01,20.015°C
18/10/2018 03:40:01,19.765°C
18/10/2018 04:00:01,19.452°C
18/10/2018 04:20:01,18.889°C
18/10/2018 04:40:01,18.576°C
18/10/2018 05:00:01,18.701°C
18/10/2018 05:20:01,19.014°C
18/10/2018 05:40:01,19.577°C
18/10/2018 06:00:01,19.577°C
18/10/2018 06:20:01,19.452°C
18/10/2018 06:40:01,20.516°C
18/10/2018 07:00:01,21.204°C
18/10/2018 07:20:01,22.267°C
18/10/2018 07:40:01,24.017°C
18/10/2018 08:00:01,24.267°C
18/10/2018 08:20:01,26.393°C
18/10/2018 08:40:01,28.08°C
18/10/2018 09:00:01,29.079°C
18/10/2018 09:20:01,29.329°C
18/10/2018 09:40:01,32.139°C
18/10/2018 10:00:01,34.449°C
18/10/2018 10:20:01,35.51°C
18/10/2018 10:40:01,36.571°C
18/10/2018 11:00:01,37.631°C
18/10/2018 11:20:01,37.881°C
18/10/2018 11:40:01,39.066°C
18/10/2018 12:00:01,39.69°C
18/10/2018 12:20:01,39.44°C
18/10/2018 12:40:01,40.5°C
18/10/2018 13:00:01,39.253°C
18/10/2018 13:20:01,36.758°C
18/10/2018 13:40:01,34.449°C
18/10/2018 14:00:01,35.26°C
18/10/2018 14:20:01,32.327°C
18/10/2018 14:40:01,31.89°C
18/10/2018 15:00:01,34.886°C
18/10/2018 15:20:01,37.07°C
18/10/2018 15:40:01,36.508°C
18/10/2018 16:00:01,35.51°C
18/10/2018 16:20:01,34.324°C
