Log Values
Reading , Values
16/10/2018 17:39:01,26.406°C
16/10/2018 17:59:01,25.281°C
16/10/2018 18:19:01,24.906°C
16/10/2018 18:39:01,24.219°C
16/10/2018 18:59:01,23.968°C
16/10/2018 19:19:01,24.031°C
16/10/2018 19:39:01,24.156°C
16/10/2018 19:59:01,24.093°C
16/10/2018 20:19:01,24.093°C
16/10/2018 20:39:01,23.906°C
16/10/2018 20:59:01,23.593°C
16/10/2018 21:19:01,23.218°C
16/10/2018 21:39:01,23.155°C
16/10/2018 21:59:01,23.03°C
16/10/2018 22:19:01,22.78°C
16/10/2018 22:39:01,22.655°C
16/10/2018 22:59:01,22.467°C
16/10/2018 23:19:01,22.28°C
16/10/2018 23:39:01,22.03°C
16/10/2018 23:59:01,21.967°C
17/10/2018 00:19:01,21.967°C
17/10/2018 00:39:01,21.592°C
17/10/2018 00:59:01,21.279°C
17/10/2018 01:19:01,21.341°C
17/10/2018 01:39:01,21.779°C
17/10/2018 01:59:01,21.717°C
17/10/2018 02:19:01,21.654°C
17/10/2018 02:39:01,21.592°C
17/10/2018 02:59:01,21.466°C
17/10/2018 03:19:01,21.466°C
17/10/2018 03:39:01,21.404°C
17/10/2018 03:59:01,21.466°C
17/10/2018 04:19:01,21.216°C
17/10/2018 04:39:01,21.154°C
17/10/2018 04:59:01,21.216°C
17/10/2018 05:19:01,21.028°C
17/10/2018 05:39:01,21.216°C
17/10/2018 05:59:01,21.154°C
17/10/2018 06:19:01,20.778°C
17/10/2018 06:39:01,20.34°C
17/10/2018 06:59:01,21.779°C
17/10/2018 07:19:01,24.093°C
17/10/2018 07:39:01,25.969°C
17/10/2018 07:59:01,27.281°C
17/10/2018 08:19:01,27.781°C
17/10/2018 08:39:01,28.593°C
17/10/2018 08:59:01,30.153°C
17/10/2018 09:19:01,32.338°C
17/10/2018 09:39:01,33.647°C
17/10/2018 09:59:01,33.211°C
17/10/2018 10:19:01,34.271°C
17/10/2018 10:39:01,35.58°C
17/10/2018 10:59:01,35.206°C
17/10/2018 11:19:01,36.64°C
17/10/2018 11:39:01,37.449°C
17/10/2018 11:59:01,37.761°C
17/10/2018 12:19:01,38.508°C
17/10/2018 12:39:01,37.886°C
17/10/2018 12:59:01,38.135°C
17/10/2018 13:19:01,38.446°C
17/10/2018 13:39:01,37.823°C
17/10/2018 13:59:01,36.203°C
17/10/2018 14:19:01,36.203°C
17/10/2018 14:39:01,33.148°C
17/10/2018 14:59:01,33.273°C
17/10/2018 15:19:01,30.778°C
17/10/2018 15:39:01,29.654°C
17/10/2018 15:59:01,28.967°C
17/10/2018 16:19:01,28.155°C
17/10/2018 16:39:01,27.468°C
17/10/2018 16:59:01,27.843°C
17/10/2018 17:19:01,30.091°C
17/10/2018 17:39:01,28.218°C
17/10/2018 17:59:01,26.219°C
17/10/2018 18:19:01,24.406°C
17/10/2018 18:39:01,23.781°C
17/10/2018 18:59:01,23.656°C
17/10/2018 19:19:01,23.593°C
17/10/2018 19:39:01,23.03°C
17/10/2018 19:59:01,22.78°C
17/10/2018 20:19:01,22.655°C
17/10/2018 20:39:01,22.342°C
17/10/2018 20:59:01,21.654°C
17/10/2018 21:19:01,21.091°C
17/10/2018 21:39:01,20.841°C
17/10/2018 21:59:01,20.34°C
17/10/2018 22:19:01,20.778°C
17/10/2018 22:39:01,20.903°C
17/10/2018 22:59:01,20.403°C
17/10/2018 23:19:01,20.778°C
17/10/2018 23:39:01,20.528°C
17/10/2018 23:59:01,20.277°C
18/10/2018 00:19:01,20.715°C
18/10/2018 00:39:01,21.216°C
18/10/2018 00:59:01,20.715°C
18/10/2018 01:19:01,19.902°C
18/10/2018 01:39:01,20.09°C
18/10/2018 01:59:01,21.216°C
18/10/2018 02:19:01,21.842°C
18/10/2018 02:39:01,21.279°C
18/10/2018 02:59:01,20.903°C
18/10/2018 03:19:01,20.528°C
18/10/2018 03:39:01,20.403°C
18/10/2018 03:59:01,20.027°C
18/10/2018 04:19:01,19.401°C
18/10/2018 04:39:01,18.963°C
18/10/2018 04:59:01,19.025°C
18/10/2018 05:19:01,19.401°C
18/10/2018 05:39:01,19.964°C
18/10/2018 05:59:01,20.027°C
18/10/2018 06:19:01,19.839°C
18/10/2018 06:39:01,20.715°C
18/10/2018 06:59:01,21.404°C
18/10/2018 07:19:01,22.78°C
18/10/2018 07:39:01,24.656°C
18/10/2018 07:59:01,24.406°C
18/10/2018 08:19:01,25.844°C
18/10/2018 08:39:01,26.969°C
18/10/2018 08:59:01,27.781°C
18/10/2018 09:19:01,28.343°C
18/10/2018 09:39:01,30.278°C
18/10/2018 09:59:01,32.4°C
18/10/2018 10:19:01,34.458°C
18/10/2018 10:39:01,34.957°C
18/10/2018 10:59:01,35.767°C
18/10/2018 11:19:01,36.39°C
18/10/2018 11:39:01,37.823°C
18/10/2018 11:59:01,38.882°C
18/10/2018 12:19:01,38.633°C
18/10/2018 12:39:01,39.131°C
18/10/2018 12:59:01,38.072°C
18/10/2018 13:19:01,35.829°C
18/10/2018 13:39:01,33.647°C
18/10/2018 13:59:01,34.146°C
18/10/2018 14:19:01,31.589°C
18/10/2018 14:39:01,30.965°C
18/10/2018 14:59:01,33.086°C
18/10/2018 15:19:01,34.146°C
18/10/2018 15:39:01,35.393°C
18/10/2018 15:59:01,33.46°C
18/10/2018 16:19:01,32.587°C
18/10/2018 16:39:01,30.902°C
18/10/2018 16:59:01,29.966°C
18/10/2018 17:19:01,28.655°C
18/10/2018 17:39:01,27.593°C
18/10/2018 17:59:01,26.219°C
18/10/2018 18:19:01,24.781°C
18/10/2018 18:39:01,24.031°C
18/10/2018 18:59:01,23.718°C
18/10/2018 19:19:01,23.468°C
18/10/2018 19:39:01,23.155°C
18/10/2018 19:59:01,23.155°C
18/10/2018 20:19:01,23.093°C
18/10/2018 20:39:01,22.968°C
18/10/2018 20:59:01,22.905°C
18/10/2018 21:19:01,22.968°C
18/10/2018 21:39:01,22.968°C
18/10/2018 21:59:01,22.905°C
18/10/2018 22:19:01,22.78°C
18/10/2018 22:39:01,22.655°C
18/10/2018 22:59:01,22.655°C
18/10/2018 23:19:01,22.655°C
18/10/2018 23:39:01,22.53°C
18/10/2018 23:59:01,22.78°C
19/10/2018 00:19:01,22.718°C
19/10/2018 00:39:01,22.905°C
19/10/2018 00:59:01,22.78°C
19/10/2018 01:19:01,22.78°C
19/10/2018 01:39:01,22.655°C
19/10/2018 01:59:01,22.405°C
19/10/2018 02:19:01,22.655°C
19/10/2018 02:39:01,22.718°C
19/10/2018 02:59:01,21.592°C
19/10/2018 03:19:01,21.028°C
19/10/2018 03:39:01,20.465°C
19/10/2018 03:59:01,20.528°C
19/10/2018 04:19:01,20.841°C
19/10/2018 04:39:01,20.653°C
19/10/2018 04:59:01,20.903°C
19/10/2018 05:19:01,21.279°C
19/10/2018 05:39:01,21.279°C
19/10/2018 05:59:01,20.841°C
19/10/2018 06:19:01,21.028°C
19/10/2018 06:39:01,21.279°C
19/10/2018 06:59:01,21.967°C
19/10/2018 07:19:01,24.719°C
19/10/2018 07:39:01,26.531°C
19/10/2018 07:59:01,26.594°C
19/10/2018 08:19:01,26.594°C
19/10/2018 08:39:01,27.406°C
19/10/2018 08:59:01,27.968°C
19/10/2018 09:19:01,29.904°C
19/10/2018 09:39:01,31.901°C
19/10/2018 09:59:01,32.338°C
19/10/2018 10:19:01,33.211°C
19/10/2018 10:39:01,32.961°C
19/10/2018 10:59:01,35.206°C
19/10/2018 11:19:01,35.829°C
19/10/2018 11:39:01,36.016°C
19/10/2018 11:59:01,37.761°C
19/10/2018 12:19:01,36.266°C
19/10/2018 12:39:01,36.889°C
19/10/2018 12:59:01,36.453°C
19/10/2018 13:19:01,35.642°C
19/10/2018 13:39:01,35.58°C
19/10/2018 13:59:01,36.764°C
19/10/2018 14:19:01,36.016°C
19/10/2018 14:39:01,33.336°C
19/10/2018 14:59:01,32.837°C
19/10/2018 15:19:01,31.464°C
19/10/2018 15:39:01,32.587°C
19/10/2018 15:59:01,31.339°C
19/10/2018 16:19:01,29.966°C
19/10/2018 16:39:01,29.467°C
19/10/2018 16:59:01,29.404°C
19/10/2018 17:19:01,28.03°C
19/10/2018 17:39:01,26.719°C
19/10/2018 17:59:01,25.281°C
19/10/2018 18:19:01,24.469°C
19/10/2018 18:39:01,23.968°C
19/10/2018 18:59:01,23.906°C
19/10/2018 19:19:01,23.718°C
19/10/2018 19:39:01,23.531°C
19/10/2018 19:59:01,23.531°C
19/10/2018 20:19:01,23.593°C
19/10/2018 20:39:01,23.718°C
19/10/2018 20:59:01,23.531°C
19/10/2018 21:19:01,23.468°C
19/10/2018 21:39:01,23.406°C
19/10/2018 21:59:01,23.218°C
19/10/2018 22:19:01,23.343°C
19/10/2018 22:39:01,23.155°C
19/10/2018 22:59:01,23.03°C
19/10/2018 23:19:01,22.78°C
19/10/2018 23:39:01,22.53°C
19/10/2018 23:59:01,21.967°C
20/10/2018 00:19:01,21.842°C
20/10/2018 00:39:01,21.717°C
20/10/2018 00:59:01,21.717°C
20/10/2018 01:19:01,21.466°C
20/10/2018 01:39:01,21.654°C
20/10/2018 01:59:01,21.592°C
20/10/2018 02:19:01,21.341°C
20/10/2018 02:39:01,21.654°C
20/10/2018 02:59:01,21.466°C
20/10/2018 03:19:01,21.466°C
20/10/2018 03:39:01,21.216°C
20/10/2018 03:59:01,20.403°C
20/10/2018 04:19:01,20.778°C
20/10/2018 04:39:01,21.279°C
20/10/2018 04:59:01,21.091°C
20/10/2018 05:19:01,20.966°C
20/10/2018 05:39:01,21.154°C
20/10/2018 05:59:01,21.341°C
20/10/2018 06:19:01,21.341°C
20/10/2018 06:39:01,21.842°C
20/10/2018 06:59:01,22.843°C
20/10/2018 07:19:01,25.719°C
20/10/2018 07:39:01,25.906°C
20/10/2018 07:59:01,27.156°C
20/10/2018 08:19:01,26.031°C
20/10/2018 08:39:01,27.906°C
20/10/2018 08:59:01,29.155°C
20/10/2018 09:19:01,31.651°C
20/10/2018 09:39:01,32.4°C
20/10/2018 09:59:01,31.901°C
20/10/2018 10:19:01,32.462°C
20/10/2018 10:39:01,33.086°C
20/10/2018 10:59:01,33.959°C
20/10/2018 11:19:01,34.52°C
20/10/2018 11:39:01,35.829°C
20/10/2018 11:59:01,36.577°C
20/10/2018 12:19:01,37.761°C
20/10/2018 12:39:01,38.197°C
20/10/2018 12:59:01,38.633°C
20/10/2018 13:19:01,38.695°C
20/10/2018 13:39:01,37.2°C
20/10/2018 13:59:01,36.515°C
20/10/2018 14:19:01,36.577°C
20/10/2018 14:39:01,35.019°C
20/10/2018 14:59:01,33.772°C
20/10/2018 15:19:01,33.336°C
20/10/2018 15:39:01,33.336°C
20/10/2018 15:59:01,31.464°C
20/10/2018 16:19:01,31.339°C
20/10/2018 16:39:01,31.526°C
20/10/2018 16:59:01,30.091°C
20/10/2018 17:19:01,28.967°C
