Log Values
Reading , Values
17/10/2018 11:39:01,27.057°C
17/10/2018 11:59:01,26.994°C
17/10/2018 12:19:01,26.369°C
17/10/2018 12:39:01,30.805°C
17/10/2018 12:59:01,28.743°C
17/10/2018 13:19:01,27.619°C
17/10/2018 13:39:01,28.119°C
17/10/2018 13:59:01,27.244°C
17/10/2018 14:19:01,26.182°C
17/10/2018 14:39:01,25.994°C
17/10/2018 14:59:01,24.869°C
17/10/2018 15:19:01,25.119°C
17/10/2018 15:39:01,25.557°C
17/10/2018 15:59:01,23.431°C
17/10/2018 16:19:01,22.181°C
17/10/2018 16:39:01,21.868°C
17/10/2018 16:59:01,21.556°C
17/10/2018 17:19:01,21.493°C
17/10/2018 17:39:01,21.055°C
17/10/2018 17:59:01,20.305°C
17/10/2018 18:19:01,19.429°C
17/10/2018 18:39:01,19.054°C
17/10/2018 18:59:01,19.116°C
17/10/2018 19:19:01,19.179°C
17/10/2018 19:39:01,18.929°C
17/10/2018 19:59:01,18.679°C
17/10/2018 20:19:01,18.866°C
17/10/2018 20:39:01,19.304°C
17/10/2018 20:59:01,19.617°C
17/10/2018 21:19:01,19.867°C
17/10/2018 21:39:01,19.804°C
17/10/2018 21:59:01,19.867°C
17/10/2018 22:19:01,20.117°C
17/10/2018 22:39:01,20.055°C
17/10/2018 22:59:01,19.804°C
17/10/2018 23:19:01,19.804°C
17/10/2018 23:39:01,19.617°C
17/10/2018 23:59:01,19.429°C
18/10/2018 00:19:01,19.304°C
18/10/2018 00:39:01,19.116°C
18/10/2018 00:59:01,19.116°C
18/10/2018 01:19:01,19.054°C
18/10/2018 01:39:01,18.866°C
18/10/2018 01:59:01,18.679°C
18/10/2018 02:19:01,18.366°C
18/10/2018 02:39:01,18.241°C
18/10/2018 02:59:01,18.366°C
18/10/2018 03:19:01,18.178°C
18/10/2018 03:39:01,17.803°C
18/10/2018 03:59:01,17.615°C
18/10/2018 04:19:01,17.74°C
18/10/2018 04:39:01,17.678°C
18/10/2018 04:59:01,17.615°C
18/10/2018 05:19:01,17.552°C
18/10/2018 05:39:01,17.49°C
18/10/2018 05:59:01,17.552°C
18/10/2018 06:19:01,17.678°C
18/10/2018 06:39:01,17.99°C
18/10/2018 06:59:01,18.491°C
18/10/2018 07:19:01,18.616°C
18/10/2018 07:39:01,19.054°C
18/10/2018 07:59:01,20.242°C
18/10/2018 08:19:01,20.868°C
18/10/2018 08:39:01,22.181°C
18/10/2018 08:59:01,22.431°C
18/10/2018 09:19:01,22.556°C
18/10/2018 09:39:01,23.244°C
18/10/2018 09:59:01,24.119°C
18/10/2018 10:19:01,24.494°C
18/10/2018 10:39:01,25.307°C
18/10/2018 10:59:01,26.682°C
18/10/2018 11:19:01,29.243°C
18/10/2018 11:39:01,27.494°C
18/10/2018 11:59:01,27.306°C
18/10/2018 12:19:01,27.057°C
18/10/2018 12:39:01,31.367°C
18/10/2018 12:59:01,29.556°C
18/10/2018 13:19:01,27.994°C
18/10/2018 13:39:01,26.494°C
18/10/2018 13:59:01,26.369°C
18/10/2018 14:19:01,25.119°C
18/10/2018 14:39:01,24.557°C
18/10/2018 14:59:01,26.244°C
18/10/2018 15:19:01,25.994°C
18/10/2018 15:39:01,28.681°C
18/10/2018 15:59:01,25.619°C
18/10/2018 16:19:01,23.619°C
18/10/2018 16:39:01,22.619°C
18/10/2018 16:59:01,21.806°C
18/10/2018 17:19:01,21.493°C
18/10/2018 17:39:01,20.492°C
18/10/2018 17:59:01,19.93°C
18/10/2018 18:19:01,19.617°C
18/10/2018 18:39:01,19.304°C
18/10/2018 18:59:01,19.242°C
18/10/2018 19:19:01,19.242°C
18/10/2018 19:39:01,18.929°C
18/10/2018 19:59:01,18.741°C
18/10/2018 20:19:01,18.616°C
18/10/2018 20:39:01,18.616°C
18/10/2018 20:59:01,18.679°C
18/10/2018 21:19:01,18.553°C
18/10/2018 21:39:01,18.616°C
18/10/2018 21:59:01,18.553°C
18/10/2018 22:19:01,18.616°C
18/10/2018 22:39:01,18.491°C
18/10/2018 22:59:01,18.553°C
18/10/2018 23:19:01,18.679°C
18/10/2018 23:39:01,18.553°C
18/10/2018 23:59:01,18.553°C
19/10/2018 00:19:01,18.428°C
19/10/2018 00:39:01,18.491°C
19/10/2018 00:59:01,18.428°C
19/10/2018 01:19:01,18.178°C
19/10/2018 01:39:01,18.178°C
19/10/2018 01:59:01,18.178°C
19/10/2018 02:19:01,18.178°C
19/10/2018 02:39:01,17.99°C
19/10/2018 02:59:01,17.865°C
19/10/2018 03:19:01,17.49°C
19/10/2018 03:39:01,16.802°C
19/10/2018 03:59:01,16.739°C
19/10/2018 04:19:01,16.927°C
19/10/2018 04:39:01,17.177°C
19/10/2018 04:59:01,17.302°C
19/10/2018 05:19:01,17.365°C
19/10/2018 05:39:01,17.615°C
19/10/2018 05:59:01,17.678°C
19/10/2018 06:19:01,17.678°C
19/10/2018 06:39:01,17.865°C
19/10/2018 06:59:01,18.115°C
19/10/2018 07:19:01,18.428°C
19/10/2018 07:39:01,18.991°C
19/10/2018 07:59:01,19.492°C
19/10/2018 08:19:01,20.43°C
19/10/2018 08:39:01,21.743°C
19/10/2018 08:59:01,21.681°C
19/10/2018 09:19:01,22.431°C
19/10/2018 09:39:01,22.994°C
19/10/2018 09:59:01,23.744°C
19/10/2018 10:19:01,24.057°C
19/10/2018 10:39:01,25.557°C
19/10/2018 10:59:01,27.306°C
19/10/2018 11:19:01,28.681°C
19/10/2018 11:39:01,26.932°C
19/10/2018 11:59:01,26.682°C
19/10/2018 12:19:01,26.119°C
19/10/2018 12:39:01,29.181°C
19/10/2018 12:59:01,28.244°C
19/10/2018 13:19:01,26.932°C
19/10/2018 13:39:01,26.307°C
19/10/2018 13:59:01,26.432°C
19/10/2018 14:19:01,25.244°C
19/10/2018 14:39:01,25.869°C
19/10/2018 14:59:01,25.557°C
19/10/2018 15:19:01,24.307°C
19/10/2018 15:39:01,25.994°C
19/10/2018 15:59:01,22.681°C
19/10/2018 16:19:01,21.993°C
19/10/2018 16:39:01,21.431°C
19/10/2018 16:59:01,20.868°C
19/10/2018 17:19:01,20.492°C
19/10/2018 17:39:01,19.992°C
19/10/2018 17:59:01,19.492°C
19/10/2018 18:19:01,19.242°C
19/10/2018 18:39:01,19.116°C
19/10/2018 18:59:01,18.991°C
19/10/2018 19:19:01,19.116°C
19/10/2018 19:39:01,19.179°C
19/10/2018 19:59:01,19.179°C
19/10/2018 20:19:01,19.242°C
19/10/2018 20:39:01,19.116°C
19/10/2018 20:59:01,19.116°C
19/10/2018 21:19:01,18.991°C
19/10/2018 21:39:01,18.741°C
19/10/2018 21:59:01,18.616°C
19/10/2018 22:19:01,18.679°C
19/10/2018 22:39:01,18.679°C
19/10/2018 22:59:01,18.491°C
19/10/2018 23:19:01,18.366°C
19/10/2018 23:39:01,18.178°C
19/10/2018 23:59:01,18.053°C
20/10/2018 00:19:01,18.053°C
20/10/2018 00:39:01,17.865°C
20/10/2018 00:59:01,17.865°C
20/10/2018 01:19:01,17.99°C
20/10/2018 01:39:01,17.928°C
20/10/2018 01:59:01,17.99°C
20/10/2018 02:19:01,17.928°C
20/10/2018 02:39:01,17.803°C
20/10/2018 02:59:01,17.74°C
20/10/2018 03:19:01,17.615°C
20/10/2018 03:39:01,17.552°C
20/10/2018 03:59:01,17.49°C
20/10/2018 04:19:01,17.552°C
20/10/2018 04:39:01,17.552°C
20/10/2018 04:59:01,17.49°C
20/10/2018 05:19:01,17.552°C
20/10/2018 05:39:01,17.552°C
20/10/2018 05:59:01,17.678°C
20/10/2018 06:19:01,17.678°C
20/10/2018 06:39:01,17.803°C
20/10/2018 06:59:01,17.803°C
20/10/2018 07:19:01,17.928°C
20/10/2018 07:39:01,18.303°C
20/10/2018 07:59:01,18.804°C
20/10/2018 08:19:01,19.867°C
20/10/2018 08:39:01,20.68°C
20/10/2018 08:59:01,20.93°C
20/10/2018 09:19:01,21.305°C
20/10/2018 09:39:01,21.681°C
20/10/2018 09:59:01,22.431°C
20/10/2018 10:19:01,23.244°C
20/10/2018 10:39:01,25.119°C
20/10/2018 10:59:01,27.244°C
20/10/2018 11:19:01,28.681°C
20/10/2018 11:39:01,26.869°C
20/10/2018 11:59:01,26.432°C
20/10/2018 12:19:01,25.744°C
20/10/2018 12:39:01,30.867°C
20/10/2018 12:59:01,30.18°C
20/10/2018 13:19:01,27.806°C
20/10/2018 13:39:01,26.557°C
20/10/2018 13:59:01,26.057°C
20/10/2018 14:19:01,25.244°C
20/10/2018 14:39:01,26.182°C
20/10/2018 14:59:01,25.369°C
20/10/2018 15:19:01,24.432°C
20/10/2018 15:39:01,27.181°C
