Log Values
Reading , Values
17/10/2018 11:39:01,25.492°C
17/10/2018 11:59:01,26.742°C
17/10/2018 12:19:01,25.992°C
17/10/2018 12:39:01,26.367°C
17/10/2018 12:59:01,27.617°C
17/10/2018 13:19:01,26.492°C
17/10/2018 13:39:01,27.867°C
17/10/2018 13:59:01,27.929°C
17/10/2018 14:19:01,25.742°C
17/10/2018 14:39:01,25.055°C
17/10/2018 14:59:01,24.304°C
17/10/2018 15:19:01,24.242°C
17/10/2018 15:39:01,23.679°C
17/10/2018 15:59:01,22.804°C
17/10/2018 16:19:01,21.928°C
17/10/2018 16:39:01,21.678°C
17/10/2018 16:59:01,21.302°C
17/10/2018 17:19:01,21.24°C
17/10/2018 17:39:01,20.927°C
17/10/2018 17:59:01,20.176°C
17/10/2018 18:19:01,19.362°C
17/10/2018 18:39:01,19.049°C
17/10/2018 18:59:01,19.175°C
17/10/2018 19:19:01,19.3°C
17/10/2018 19:39:01,18.987°C
17/10/2018 19:59:01,18.736°C
17/10/2018 20:19:01,19.049°C
17/10/2018 20:39:01,19.55°C
17/10/2018 20:59:01,19.863°C
17/10/2018 21:19:01,20.176°C
17/10/2018 21:39:01,19.926°C
17/10/2018 21:59:01,20.113°C
17/10/2018 22:19:01,20.426°C
17/10/2018 22:39:01,20.176°C
17/10/2018 22:59:01,20.051°C
17/10/2018 23:19:01,20.051°C
17/10/2018 23:39:01,19.8°C
17/10/2018 23:59:01,19.55°C
18/10/2018 00:19:01,19.487°C
18/10/2018 00:39:01,19.3°C
18/10/2018 00:59:01,19.3°C
18/10/2018 01:19:01,19.175°C
18/10/2018 01:39:01,19.049°C
18/10/2018 01:59:01,18.799°C
18/10/2018 02:19:01,18.423°C
18/10/2018 02:39:01,18.361°C
18/10/2018 02:59:01,18.486°C
18/10/2018 03:19:01,18.235°C
18/10/2018 03:39:01,17.797°C
18/10/2018 03:59:01,17.672°C
18/10/2018 04:19:01,17.86°C
18/10/2018 04:39:01,17.735°C
18/10/2018 04:59:01,17.672°C
18/10/2018 05:19:01,17.484°C
18/10/2018 05:39:01,17.484°C
18/10/2018 05:59:01,17.609°C
18/10/2018 06:19:01,17.672°C
18/10/2018 06:39:01,17.985°C
18/10/2018 06:59:01,18.549°C
18/10/2018 07:19:01,18.611°C
18/10/2018 07:39:01,19.8°C
18/10/2018 07:59:01,20.739°C
18/10/2018 08:19:01,21.115°C
18/10/2018 08:39:01,21.553°C
18/10/2018 08:59:01,22.241°C
18/10/2018 09:19:01,22.491°C
18/10/2018 09:39:01,23.116°C
18/10/2018 09:59:01,24.117°C
18/10/2018 10:19:01,24.117°C
18/10/2018 10:39:01,25.492°C
18/10/2018 10:59:01,25.617°C
18/10/2018 11:19:01,25.805°C
18/10/2018 11:39:01,26.055°C
18/10/2018 11:59:01,27.055°C
18/10/2018 12:19:01,26.742°C
18/10/2018 12:39:01,27.367°C
18/10/2018 12:59:01,28.429°C
18/10/2018 13:19:01,27.367°C
18/10/2018 13:39:01,25.992°C
