Log Values
Reading , Values
20/12/2018 13:19:01,29.272°C
20/12/2018 13:39:01,27.898°C
20/12/2018 13:59:01,28.148°C
20/12/2018 14:19:01,28.023°C
20/12/2018 14:39:01,26.461°C
20/12/2018 14:59:01,25.773°C
20/12/2018 15:19:01,25.711°C
20/12/2018 15:39:01,25.461°C
20/12/2018 15:59:01,24.898°C
20/12/2018 16:19:01,24.773°C
20/12/2018 16:39:01,24.711°C
20/12/2018 16:59:01,24.461°C
20/12/2018 17:19:01,24.148°C
20/12/2018 17:39:01,23.586°C
20/12/2018 17:59:01,23.273°C
20/12/2018 18:19:01,22.835°C
20/12/2018 18:39:01,22.523°C
20/12/2018 18:59:01,22.21°C
20/12/2018 19:19:01,22.085°C
20/12/2018 19:39:01,22.022°C
20/12/2018 19:59:01,22.022°C
20/12/2018 20:19:01,21.835°C
20/12/2018 20:39:01,21.647°C
20/12/2018 20:59:01,21.584°C
20/12/2018 21:19:01,21.522°C
20/12/2018 21:39:01,21.459°C
20/12/2018 21:59:01,21.397°C
20/12/2018 22:19:01,21.397°C
20/12/2018 22:39:01,21.459°C
20/12/2018 22:59:01,21.397°C
20/12/2018 23:19:01,21.459°C
20/12/2018 23:39:01,21.084°C
20/12/2018 23:59:01,20.583°C
21/12/2018 00:19:01,20.458°C
21/12/2018 00:39:01,20.583°C
21/12/2018 00:59:01,20.709°C
21/12/2018 01:19:01,20.583°C
21/12/2018 01:39:01,20.208°C
21/12/2018 01:59:01,20.02°C
21/12/2018 02:19:01,19.958°C
21/12/2018 02:39:01,19.645°C
21/12/2018 02:59:01,19.457°C
21/12/2018 03:19:01,19.52°C
21/12/2018 03:39:01,19.395°C
21/12/2018 03:59:01,19.269°C
21/12/2018 04:19:01,19.269°C
21/12/2018 04:39:01,19.395°C
21/12/2018 04:59:01,19.332°C
21/12/2018 05:19:01,19.269°C
21/12/2018 05:39:01,19.269°C
21/12/2018 05:59:01,19.207°C
21/12/2018 06:19:01,19.332°C
21/12/2018 06:39:01,19.645°C
21/12/2018 06:59:01,20.083°C
21/12/2018 07:19:01,20.646°C
21/12/2018 07:39:01,21.209°C
21/12/2018 07:59:01,21.647°C
21/12/2018 08:19:01,21.897°C
21/12/2018 08:39:01,22.085°C
21/12/2018 08:59:01,22.46°C
21/12/2018 09:19:01,23.836°C
21/12/2018 09:39:01,24.648°C
21/12/2018 09:59:01,24.523°C
21/12/2018 10:19:01,25.586°C
21/12/2018 10:39:01,26.961°C
21/12/2018 10:59:01,30.271°C
21/12/2018 11:19:01,28.647°C
21/12/2018 11:39:01,27.273°C
21/12/2018 11:59:01,27.898°C
21/12/2018 12:19:01,28.023°C
21/12/2018 12:39:01,29.897°C
21/12/2018 12:59:01,33.579°C
21/12/2018 13:19:01,31.02°C
21/12/2018 13:39:01,28.96°C
21/12/2018 13:59:01,29.272°C
21/12/2018 14:19:01,29.897°C
21/12/2018 14:39:01,29.272°C
21/12/2018 14:59:01,28.772°C
21/12/2018 15:19:01,28.647°C
21/12/2018 15:39:01,28.023°C
21/12/2018 15:59:01,28.085°C
21/12/2018 16:19:01,28.21°C
21/12/2018 16:39:01,27.96°C
21/12/2018 16:59:01,27.148°C
21/12/2018 17:19:01,26.773°C
21/12/2018 17:39:01,26.086°C
21/12/2018 17:59:01,25.523°C
21/12/2018 18:19:01,24.898°C
21/12/2018 18:39:01,24.273°C
21/12/2018 18:59:01,23.586°C
21/12/2018 19:19:01,23.085°C
21/12/2018 19:39:01,22.773°C
21/12/2018 19:59:01,22.71°C
21/12/2018 20:19:01,22.523°C
21/12/2018 20:39:01,22.46°C
21/12/2018 20:59:01,22.397°C
21/12/2018 21:19:01,22.335°C
21/12/2018 21:39:01,22.397°C
21/12/2018 21:59:01,22.335°C
21/12/2018 22:19:01,22.147°C
21/12/2018 22:39:01,22.085°C
21/12/2018 22:59:01,22.022°C
21/12/2018 23:19:01,22.147°C
21/12/2018 23:39:01,22.335°C
21/12/2018 23:59:01,22.21°C
22/12/2018 00:19:01,21.96°C
22/12/2018 00:39:01,21.835°C
22/12/2018 00:59:01,21.709°C
22/12/2018 01:19:01,21.584°C
22/12/2018 01:39:01,21.522°C
22/12/2018 01:59:01,21.334°C
22/12/2018 02:19:01,21.334°C
22/12/2018 02:39:01,21.397°C
22/12/2018 02:59:01,21.334°C
