Log Values
Reading , Values
29/01/2019 14:19:01,26.33°C
29/01/2019 14:39:01,26.205°C
29/01/2019 14:59:01,26.33°C
29/01/2019 15:19:01,26.393°C
29/01/2019 15:39:01,26.393°C
29/01/2019 15:59:01,26.33°C
29/01/2019 16:19:01,26.268°C
29/01/2019 16:39:01,26.393°C
29/01/2019 16:59:01,26.33°C
29/01/2019 17:19:01,26.205°C
29/01/2019 17:39:01,26.205°C
29/01/2019 17:59:01,26.268°C
29/01/2019 18:19:01,26.205°C
29/01/2019 18:39:01,26.143°C
29/01/2019 18:59:01,26.08°C
29/01/2019 19:19:01,25.955°C
29/01/2019 19:39:01,25.83°C
29/01/2019 19:59:01,25.58°C
29/01/2019 20:19:01,25.393°C
29/01/2019 20:39:01,25.33°C
29/01/2019 20:59:01,25.33°C
29/01/2019 21:19:01,25.33°C
29/01/2019 21:39:01,25.33°C
29/01/2019 21:59:01,25.33°C
29/01/2019 22:19:01,25.33°C
29/01/2019 22:39:01,25.393°C
29/01/2019 22:59:01,25.33°C
29/01/2019 23:19:01,25.205°C
29/01/2019 23:39:01,25.143°C
29/01/2019 23:59:01,25.143°C
30/01/2019 00:19:01,25.205°C
30/01/2019 00:39:01,25.205°C
30/01/2019 00:59:01,25.143°C
30/01/2019 01:19:01,25.143°C
30/01/2019 01:39:01,25.143°C
30/01/2019 01:59:01,25.143°C
30/01/2019 02:19:01,25.33°C
30/01/2019 02:39:01,25.33°C
30/01/2019 02:59:01,25.33°C
30/01/2019 03:19:01,25.33°C
30/01/2019 03:39:01,25.33°C
30/01/2019 03:59:01,25.33°C
30/01/2019 04:19:01,25.33°C
30/01/2019 04:39:01,25.268°C
30/01/2019 04:59:01,25.205°C
30/01/2019 05:19:01,25.205°C
30/01/2019 05:39:01,25.205°C
30/01/2019 05:59:01,25.205°C
30/01/2019 06:19:01,25.205°C
30/01/2019 06:39:01,25.205°C
30/01/2019 06:59:01,25.268°C
30/01/2019 07:19:01,25.205°C
30/01/2019 07:39:01,25.33°C
30/01/2019 07:59:01,25.33°C
30/01/2019 08:19:01,25.455°C
30/01/2019 08:39:01,25.58°C
