Log Values
Reading , Values
14/03/2019 11:59:01,38.952°C
14/03/2019 12:19:01,40.323°C
14/03/2019 12:39:01,41.134°C
14/03/2019 12:59:01,40.697°C
14/03/2019 13:19:01,38.578°C
14/03/2019 13:39:01,41.009°C
14/03/2019 13:59:01,42.317°C
14/03/2019 14:19:01,42.317°C
14/03/2019 14:39:01,37.518°C
14/03/2019 14:59:01,37.019°C
14/03/2019 15:19:01,37.83°C
14/03/2019 15:39:01,37.144°C
14/03/2019 15:59:01,35.21°C
14/03/2019 16:19:01,35.397°C
14/03/2019 16:39:01,34.773°C
14/03/2019 16:59:01,35.148°C
14/03/2019 17:19:01,34.711°C
14/03/2019 17:39:01,34.149°C
14/03/2019 17:59:01,32.215°C
14/03/2019 18:19:01,30.966°C
14/03/2019 18:39:01,29.218°C
14/03/2019 18:59:01,28.031°C
14/03/2019 19:19:01,27.406°C
14/03/2019 19:39:01,26.906°C
14/03/2019 19:59:01,26.531°C
14/03/2019 20:19:01,26.469°C
14/03/2019 20:39:01,26.031°C
14/03/2019 20:59:01,26.031°C
14/03/2019 21:19:01,25.844°C
14/03/2019 21:39:01,25.656°C
14/03/2019 21:59:01,25.531°C
14/03/2019 22:19:01,24.719°C
14/03/2019 22:39:01,24.094°C
14/03/2019 22:59:01,23.593°C
14/03/2019 23:19:01,23.468°C
14/03/2019 23:39:01,23.218°C
14/03/2019 23:59:01,22.78°C
15/03/2019 00:19:01,22.593°C
15/03/2019 00:39:01,22.468°C
15/03/2019 00:59:01,22.155°C
15/03/2019 01:19:01,22.155°C
15/03/2019 01:39:01,21.967°C
15/03/2019 01:59:01,21.967°C
15/03/2019 02:19:01,21.717°C
15/03/2019 02:39:01,21.53°C
15/03/2019 02:59:01,21.342°C
15/03/2019 03:19:01,21.217°C
15/03/2019 03:39:01,21.092°C
15/03/2019 03:59:01,21.092°C
15/03/2019 04:19:01,20.904°C
15/03/2019 04:39:01,20.716°C
15/03/2019 04:59:01,21.217°C
15/03/2019 05:19:01,21.78°C
15/03/2019 05:39:01,21.217°C
15/03/2019 05:59:01,20.904°C
15/03/2019 06:19:01,20.841°C
15/03/2019 06:39:01,20.716°C
15/03/2019 06:59:01,21.217°C
15/03/2019 07:19:01,22.53°C
15/03/2019 07:39:01,24.031°C
15/03/2019 07:59:01,25.531°C
15/03/2019 08:19:01,27.094°C
15/03/2019 08:39:01,31.528°C
15/03/2019 08:59:01,33.65°C
15/03/2019 09:19:01,34.711°C
15/03/2019 09:39:01,35.397°C
15/03/2019 09:59:01,34.025°C
15/03/2019 10:19:01,34.711°C
15/03/2019 10:39:01,34.961°C
15/03/2019 10:59:01,34.274°C
15/03/2019 11:19:01,35.522°C
15/03/2019 11:39:01,36.832°C
15/03/2019 11:59:01,38.142°C
15/03/2019 12:19:01,38.204°C
15/03/2019 12:39:01,40.635°C
15/03/2019 12:59:01,40.76°C
15/03/2019 13:19:01,42.504°C
15/03/2019 13:39:01,40.074°C
15/03/2019 13:59:01,40.074°C
15/03/2019 14:19:01,40.136°C
15/03/2019 14:39:01,39.513°C
15/03/2019 14:59:01,37.83°C
15/03/2019 15:19:01,41.196°C
15/03/2019 15:39:01,36.271°C
15/03/2019 15:59:01,35.397°C
15/03/2019 16:19:01,31.903°C
15/03/2019 16:39:01,33.026°C
15/03/2019 16:59:01,33.9°C
15/03/2019 17:19:01,34.524°C
15/03/2019 17:39:01,32.777°C
15/03/2019 17:59:01,31.029°C
15/03/2019 18:19:01,29.78°C
15/03/2019 18:39:01,28.655°C
15/03/2019 18:59:01,27.656°C
15/03/2019 19:19:01,27.344°C
15/03/2019 19:39:01,26.969°C
15/03/2019 19:59:01,26.406°C
15/03/2019 20:19:01,25.844°C
15/03/2019 20:39:01,25.531°C
15/03/2019 20:59:01,24.969°C
15/03/2019 21:19:01,24.469°C
15/03/2019 21:39:01,24.094°C
15/03/2019 21:59:01,23.593°C
15/03/2019 22:19:01,23.156°C
15/03/2019 22:39:01,22.843°C
15/03/2019 22:59:01,22.906°C
15/03/2019 23:19:01,22.78°C
15/03/2019 23:39:01,23.031°C
15/03/2019 23:59:01,22.78°C
16/03/2019 00:19:01,22.405°C
16/03/2019 00:39:01,22.092°C
16/03/2019 00:59:01,21.842°C
16/03/2019 01:19:01,21.717°C
16/03/2019 01:39:01,21.467°C
16/03/2019 01:59:01,21.342°C
16/03/2019 02:19:01,21.217°C
16/03/2019 02:39:01,21.279°C
16/03/2019 02:59:01,21.655°C
16/03/2019 03:19:01,21.342°C
16/03/2019 03:39:01,20.967°C
16/03/2019 03:59:01,20.841°C
16/03/2019 04:19:01,20.779°C
16/03/2019 04:39:01,20.716°C
16/03/2019 04:59:01,20.591°C
16/03/2019 05:19:01,20.466°C
16/03/2019 05:39:01,20.529°C
16/03/2019 05:59:01,20.404°C
16/03/2019 06:19:01,20.404°C
16/03/2019 06:39:01,20.153°C
16/03/2019 06:59:01,20.529°C
16/03/2019 07:19:01,21.717°C
16/03/2019 07:39:01,24.031°C
16/03/2019 07:59:01,25.719°C
16/03/2019 08:19:01,26.219°C
16/03/2019 08:39:01,30.654°C
16/03/2019 08:59:01,32.964°C
16/03/2019 09:19:01,33.962°C
16/03/2019 09:39:01,35.085°C
16/03/2019 09:59:01,36.208°C
16/03/2019 10:19:01,35.148°C
16/03/2019 10:39:01,35.21°C
16/03/2019 10:59:01,34.898°C
16/03/2019 11:19:01,37.331°C
16/03/2019 11:39:01,39.825°C
16/03/2019 11:59:01,41.134°C
16/03/2019 12:19:01,41.944°C
16/03/2019 12:39:01,42.255°C
16/03/2019 12:59:01,41.944°C
16/03/2019 13:19:01,43.19°C
16/03/2019 13:39:01,44.186°C
16/03/2019 13:59:01,43.065°C
16/03/2019 14:19:01,40.074°C
16/03/2019 14:39:01,42.13°C
16/03/2019 14:59:01,37.705°C
16/03/2019 15:19:01,39.014°C
16/03/2019 15:39:01,39.264°C
16/03/2019 15:59:01,37.705°C
16/03/2019 16:19:01,38.142°C
16/03/2019 16:39:01,36.583°C
16/03/2019 16:59:01,36.208°C
16/03/2019 17:19:01,34.337°C
16/03/2019 17:39:01,33.962°C
16/03/2019 17:59:01,32.464°C
16/03/2019 18:19:01,30.279°C
16/03/2019 18:39:01,28.905°C
16/03/2019 18:59:01,27.781°C
16/03/2019 19:19:01,27.094°C
16/03/2019 19:39:01,26.906°C
16/03/2019 19:59:01,26.656°C
16/03/2019 20:19:01,26.281°C
16/03/2019 20:39:01,25.906°C
16/03/2019 20:59:01,25.906°C
16/03/2019 21:19:01,25.469°C
16/03/2019 21:39:01,25.094°C
16/03/2019 21:59:01,24.906°C
16/03/2019 22:19:01,24.719°C
16/03/2019 22:39:01,24.656°C
16/03/2019 22:59:01,24.469°C
16/03/2019 23:19:01,24.656°C
16/03/2019 23:39:01,24.844°C
16/03/2019 23:59:01,24.469°C
17/03/2019 00:19:01,24.031°C
17/03/2019 00:39:01,23.906°C
17/03/2019 00:59:01,23.968°C
17/03/2019 01:19:01,23.968°C
17/03/2019 01:39:01,23.843°C
17/03/2019 01:59:01,23.593°C
17/03/2019 02:19:01,23.218°C
17/03/2019 02:39:01,23.156°C
17/03/2019 02:59:01,22.655°C
17/03/2019 03:19:01,22.28°C
17/03/2019 03:39:01,22.155°C
17/03/2019 03:59:01,21.905°C
17/03/2019 04:19:01,21.905°C
17/03/2019 04:39:01,21.655°C
17/03/2019 04:59:01,21.655°C
17/03/2019 05:19:01,21.655°C
17/03/2019 05:39:01,21.467°C
17/03/2019 05:59:01,21.404°C
17/03/2019 06:19:01,21.342°C
17/03/2019 06:39:01,21.404°C
17/03/2019 06:59:01,21.53°C
17/03/2019 07:19:01,22.218°C
17/03/2019 07:39:01,23.031°C
17/03/2019 07:59:01,24.156°C
17/03/2019 08:19:01,25.156°C
17/03/2019 08:39:01,26.094°C
17/03/2019 08:59:01,27.031°C
17/03/2019 09:19:01,32.09°C
17/03/2019 09:39:01,33.338°C
17/03/2019 09:59:01,33.026°C
17/03/2019 10:19:01,33.089°C
17/03/2019 10:39:01,34.087°C
17/03/2019 10:59:01,34.711°C
17/03/2019 11:19:01,36.52°C
17/03/2019 11:39:01,37.705°C
17/03/2019 11:59:01,36.271°C
17/03/2019 12:19:01,36.458°C
17/03/2019 12:39:01,36.77°C
17/03/2019 12:59:01,39.513°C
17/03/2019 13:19:01,39.077°C
17/03/2019 13:39:01,37.144°C
17/03/2019 13:59:01,36.146°C
17/03/2019 14:19:01,35.647°C
17/03/2019 14:39:01,35.46°C
17/03/2019 14:59:01,34.898°C
17/03/2019 15:19:01,34.524°C
17/03/2019 15:39:01,34.649°C
17/03/2019 15:59:01,33.837°C
17/03/2019 16:19:01,32.901°C
17/03/2019 16:39:01,32.34°C
17/03/2019 16:59:01,32.277°C
17/03/2019 17:19:01,31.965°C
17/03/2019 17:39:01,30.654°C
17/03/2019 17:59:01,29.967°C
17/03/2019 18:19:01,28.843°C
17/03/2019 18:39:01,27.843°C
17/03/2019 18:59:01,27.094°C
17/03/2019 19:19:01,26.656°C
17/03/2019 19:39:01,26.594°C
17/03/2019 19:59:01,26.281°C
17/03/2019 20:19:01,26.219°C
17/03/2019 20:39:01,26.031°C
17/03/2019 20:59:01,26.219°C
17/03/2019 21:19:01,26.031°C
17/03/2019 21:39:01,25.906°C
17/03/2019 21:59:01,25.656°C
17/03/2019 22:19:01,25.469°C
17/03/2019 22:39:01,25.344°C
17/03/2019 22:59:01,25.156°C
17/03/2019 23:19:01,25.156°C
17/03/2019 23:39:01,25.281°C
17/03/2019 23:59:01,25.156°C
18/03/2019 00:19:01,25.094°C
18/03/2019 00:39:01,25.031°C
18/03/2019 00:59:01,24.781°C
18/03/2019 01:19:01,24.719°C
18/03/2019 01:39:01,24.656°C
18/03/2019 01:59:01,24.969°C
18/03/2019 02:19:01,24.969°C
18/03/2019 02:39:01,24.594°C
18/03/2019 02:59:01,24.406°C
18/03/2019 03:19:01,24.406°C
18/03/2019 03:39:01,24.656°C
18/03/2019 03:59:01,24.844°C
18/03/2019 04:19:01,24.844°C
18/03/2019 04:39:01,24.844°C
18/03/2019 04:59:01,24.906°C
18/03/2019 05:19:01,24.906°C
18/03/2019 05:39:01,25.031°C
18/03/2019 05:59:01,25.156°C
18/03/2019 06:19:01,25.031°C
18/03/2019 06:39:01,24.844°C
18/03/2019 06:59:01,25.094°C
18/03/2019 07:19:01,26.219°C
18/03/2019 07:39:01,26.781°C
18/03/2019 07:59:01,27.219°C
18/03/2019 08:19:01,27.906°C
18/03/2019 08:39:01,28.343°C
18/03/2019 08:59:01,28.531°C
18/03/2019 09:19:01,29.28°C
18/03/2019 09:39:01,29.717°C
18/03/2019 09:59:01,29.905°C
18/03/2019 10:19:01,29.842°C
18/03/2019 10:39:01,29.53°C
18/03/2019 10:59:01,29.592°C
18/03/2019 11:19:01,30.217°C
18/03/2019 11:39:01,30.342°C
18/03/2019 11:59:01,31.965°C
18/03/2019 12:19:01,31.091°C
18/03/2019 12:39:01,31.466°C
18/03/2019 12:59:01,31.965°C
18/03/2019 13:19:01,32.09°C
18/03/2019 13:39:01,30.716°C
18/03/2019 13:59:01,25.656°C
18/03/2019 14:19:01,24.656°C
18/03/2019 14:39:01,24.844°C
18/03/2019 14:59:01,24.719°C
18/03/2019 15:19:01,25.094°C
18/03/2019 15:39:01,25.594°C
18/03/2019 15:59:01,26.219°C
18/03/2019 16:19:01,27.781°C
18/03/2019 16:39:01,27.156°C
18/03/2019 16:59:01,26.844°C
18/03/2019 17:19:01,26.781°C
18/03/2019 17:39:01,26.406°C
18/03/2019 17:59:01,25.906°C
18/03/2019 18:19:01,25.406°C
18/03/2019 18:39:01,24.969°C
18/03/2019 18:59:01,24.594°C
18/03/2019 19:19:01,24.906°C
18/03/2019 19:39:01,24.156°C
18/03/2019 19:59:01,24.469°C
18/03/2019 20:19:01,24.906°C
18/03/2019 20:39:01,24.719°C
18/03/2019 20:59:01,24.219°C
18/03/2019 21:19:01,24.406°C
18/03/2019 21:39:01,24.469°C
18/03/2019 21:59:01,24.656°C
18/03/2019 22:19:01,24.594°C
18/03/2019 22:39:01,24.781°C
18/03/2019 22:59:01,24.781°C
18/03/2019 23:19:01,24.469°C
18/03/2019 23:39:01,24.406°C
18/03/2019 23:59:01,24.344°C
19/03/2019 00:19:01,24.281°C
19/03/2019 00:39:01,23.656°C
19/03/2019 00:59:01,23.906°C
19/03/2019 01:19:01,24.031°C
19/03/2019 01:39:01,24.219°C
19/03/2019 01:59:01,23.531°C
19/03/2019 02:19:01,23.718°C
19/03/2019 02:39:01,23.906°C
19/03/2019 02:59:01,24.094°C
19/03/2019 03:19:01,24.094°C
19/03/2019 03:39:01,24.469°C
19/03/2019 03:59:01,24.594°C
19/03/2019 04:19:01,24.656°C
19/03/2019 04:39:01,24.781°C
19/03/2019 04:59:01,24.594°C
19/03/2019 05:19:01,23.093°C
19/03/2019 05:39:01,22.968°C
19/03/2019 05:59:01,22.843°C
19/03/2019 06:19:01,23.031°C
19/03/2019 06:39:01,23.281°C
19/03/2019 06:59:01,23.531°C
19/03/2019 07:19:01,23.906°C
19/03/2019 07:39:01,23.843°C
19/03/2019 07:59:01,24.344°C
19/03/2019 08:19:01,24.969°C
19/03/2019 08:39:01,25.656°C
19/03/2019 08:59:01,25.094°C
19/03/2019 09:19:01,25.344°C
19/03/2019 09:39:01,26.906°C
19/03/2019 09:59:01,28.343°C
19/03/2019 10:19:01,26.906°C
19/03/2019 10:39:01,27.219°C
19/03/2019 10:59:01,25.969°C
19/03/2019 11:19:01,24.906°C
19/03/2019 11:39:01,24.156°C
19/03/2019 11:59:01,24.156°C
19/03/2019 12:19:01,24.156°C
19/03/2019 12:39:01,24.031°C
19/03/2019 12:59:01,23.906°C
19/03/2019 13:19:01,23.906°C
19/03/2019 13:39:01,23.656°C
19/03/2019 13:59:01,23.718°C
19/03/2019 14:19:01,24.531°C
19/03/2019 14:39:01,26.031°C
19/03/2019 14:59:01,26.469°C
19/03/2019 15:19:01,27.468°C
19/03/2019 15:39:01,27.281°C
19/03/2019 15:59:01,28.218°C
19/03/2019 16:19:01,29.842°C
19/03/2019 16:39:01,28.156°C
19/03/2019 16:59:01,24.906°C
19/03/2019 17:19:01,25.094°C
19/03/2019 17:39:01,25.094°C
19/03/2019 17:59:01,24.031°C
19/03/2019 18:19:01,24.094°C
19/03/2019 18:39:01,23.718°C
19/03/2019 18:59:01,23.593°C
19/03/2019 19:19:01,24.031°C
19/03/2019 19:39:01,24.094°C
19/03/2019 19:59:01,23.593°C
19/03/2019 20:19:01,23.406°C
19/03/2019 20:39:01,23.218°C
19/03/2019 20:59:01,23.031°C
19/03/2019 21:19:01,23.031°C
19/03/2019 21:39:01,22.906°C
19/03/2019 21:59:01,22.655°C
19/03/2019 22:19:01,22.655°C
19/03/2019 22:39:01,22.718°C
19/03/2019 22:59:01,22.718°C
19/03/2019 23:19:01,22.718°C
19/03/2019 23:39:01,22.906°C
19/03/2019 23:59:01,22.718°C
20/03/2019 00:19:01,22.718°C
20/03/2019 00:39:01,22.718°C
20/03/2019 00:59:01,22.718°C
20/03/2019 01:19:01,22.53°C
20/03/2019 01:39:01,22.468°C
20/03/2019 01:59:01,22.343°C
20/03/2019 02:19:01,22.343°C
