Log Values
Reading , Values
14/03/2019 15:19:01,23.331°C
14/03/2019 15:39:01,22.956°C
14/03/2019 15:59:01,22.706°C
14/03/2019 16:19:01,22.393°C
14/03/2019 16:39:01,22.268°C
14/03/2019 16:59:01,22.142°C
14/03/2019 17:19:01,22.017°C
14/03/2019 17:39:01,21.83°C
14/03/2019 17:59:01,21.517°C
14/03/2019 18:19:01,21.266°C
14/03/2019 18:39:01,21.079°C
14/03/2019 18:59:01,20.891°C
14/03/2019 19:19:01,20.828°C
14/03/2019 19:39:01,20.766°C
14/03/2019 19:59:01,20.703°C
14/03/2019 20:19:01,20.703°C
14/03/2019 20:39:01,20.703°C
14/03/2019 20:59:01,20.64°C
14/03/2019 21:19:01,20.515°C
14/03/2019 21:39:01,20.515°C
14/03/2019 21:59:01,20.578°C
14/03/2019 22:19:01,20.578°C
14/03/2019 22:39:01,20.515°C
14/03/2019 22:59:01,20.578°C
14/03/2019 23:19:01,20.515°C
14/03/2019 23:39:01,20.453°C
14/03/2019 23:59:01,20.39°C
15/03/2019 00:19:01,20.39°C
15/03/2019 00:39:01,20.202°C
15/03/2019 00:59:01,20.202°C
15/03/2019 01:19:01,20.077°C
15/03/2019 01:39:01,20.139°C
15/03/2019 01:59:01,20.014°C
15/03/2019 02:19:01,20.014°C
15/03/2019 02:39:01,20.077°C
15/03/2019 02:59:01,19.952°C
15/03/2019 03:19:01,20.014°C
15/03/2019 03:39:01,20.014°C
15/03/2019 03:59:01,20.014°C
15/03/2019 04:19:01,19.889°C
15/03/2019 04:39:01,19.826°C
15/03/2019 04:59:01,19.764°C
15/03/2019 05:19:01,19.701°C
15/03/2019 05:39:01,19.701°C
15/03/2019 05:59:01,19.764°C
15/03/2019 06:19:01,19.826°C
15/03/2019 06:39:01,19.826°C
15/03/2019 06:59:01,19.889°C
15/03/2019 07:19:01,19.952°C
15/03/2019 07:39:01,20.014°C
15/03/2019 07:59:01,20.077°C
15/03/2019 08:19:01,20.202°C
15/03/2019 08:39:01,20.327°C
15/03/2019 08:59:01,20.39°C
15/03/2019 09:19:01,20.64°C
15/03/2019 09:39:01,20.828°C
15/03/2019 09:59:01,21.016°C
15/03/2019 10:19:01,21.079°C
15/03/2019 10:39:01,21.141°C
15/03/2019 10:59:01,21.517°C
15/03/2019 11:19:01,22.08°C
15/03/2019 11:39:01,22.393°C
15/03/2019 11:59:01,22.518°C
15/03/2019 12:19:01,22.455°C
15/03/2019 12:39:01,22.831°C
15/03/2019 12:59:01,23.143°C
15/03/2019 13:19:01,23.331°C
15/03/2019 13:39:01,23.269°C
15/03/2019 13:59:01,23.394°C
15/03/2019 14:19:01,23.519°C
15/03/2019 14:39:01,24.019°C
15/03/2019 14:59:01,24.082°C
15/03/2019 15:19:01,23.831°C
15/03/2019 15:39:01,23.394°C
15/03/2019 15:59:01,23.394°C
15/03/2019 16:19:01,23.269°C
15/03/2019 16:39:01,23.018°C
15/03/2019 16:59:01,22.643°C
15/03/2019 17:19:01,22.268°C
15/03/2019 17:39:01,22.08°C
15/03/2019 17:59:01,21.767°C
15/03/2019 18:19:01,21.454°C
15/03/2019 18:39:01,21.266°C
15/03/2019 18:59:01,21.079°C
15/03/2019 19:19:01,20.891°C
15/03/2019 19:39:01,20.766°C
15/03/2019 19:59:01,20.64°C
15/03/2019 20:19:01,20.515°C
15/03/2019 20:39:01,20.327°C
15/03/2019 20:59:01,20.202°C
15/03/2019 21:19:01,20.139°C
15/03/2019 21:39:01,20.202°C
15/03/2019 21:59:01,20.139°C
15/03/2019 22:19:01,20.077°C
15/03/2019 22:39:01,19.952°C
15/03/2019 22:59:01,19.889°C
15/03/2019 23:19:01,19.889°C
15/03/2019 23:39:01,19.952°C
15/03/2019 23:59:01,19.952°C
16/03/2019 00:19:01,20.014°C
16/03/2019 00:39:01,20.139°C
16/03/2019 00:59:01,20.139°C
16/03/2019 01:19:01,20.139°C
16/03/2019 01:39:01,20.139°C
16/03/2019 01:59:01,20.077°C
16/03/2019 02:19:01,20.014°C
16/03/2019 02:39:01,19.952°C
16/03/2019 02:59:01,19.952°C
16/03/2019 03:19:01,20.014°C
16/03/2019 03:39:01,20.014°C
16/03/2019 03:59:01,19.952°C
16/03/2019 04:19:01,20.014°C
16/03/2019 04:39:01,20.077°C
16/03/2019 04:59:01,20.014°C
16/03/2019 05:19:01,19.889°C
16/03/2019 05:39:01,19.826°C
16/03/2019 05:59:01,19.826°C
16/03/2019 06:19:01,19.764°C
16/03/2019 06:39:01,19.764°C
16/03/2019 06:59:01,19.764°C
16/03/2019 07:19:01,19.764°C
16/03/2019 07:39:01,19.889°C
16/03/2019 07:59:01,20.014°C
16/03/2019 08:19:01,20.265°C
16/03/2019 08:39:01,20.39°C
16/03/2019 08:59:01,20.64°C
16/03/2019 09:19:01,20.828°C
16/03/2019 09:39:01,20.828°C
16/03/2019 09:59:01,21.141°C
16/03/2019 10:19:01,21.642°C
16/03/2019 10:39:01,21.892°C
16/03/2019 10:59:01,22.142°C
16/03/2019 11:19:01,22.08°C
16/03/2019 11:39:01,22.518°C
16/03/2019 11:59:01,22.58°C
16/03/2019 12:19:01,22.58°C
16/03/2019 12:39:01,23.269°C
16/03/2019 12:59:01,23.519°C
16/03/2019 13:19:01,23.456°C
16/03/2019 13:39:01,23.769°C
16/03/2019 13:59:01,24.207°C
16/03/2019 14:19:01,24.082°C
16/03/2019 14:39:01,23.957°C
16/03/2019 14:59:01,23.769°C
16/03/2019 15:19:01,23.644°C
16/03/2019 15:39:01,23.581°C
16/03/2019 15:59:01,23.269°C
16/03/2019 16:19:01,23.269°C
16/03/2019 16:39:01,23.269°C
16/03/2019 16:59:01,23.018°C
16/03/2019 17:19:01,22.58°C
16/03/2019 17:39:01,22.268°C
16/03/2019 17:59:01,21.83°C
16/03/2019 18:19:01,21.329°C
16/03/2019 18:39:01,20.953°C
16/03/2019 18:59:01,20.828°C
16/03/2019 19:19:01,20.703°C
16/03/2019 19:39:01,20.64°C
16/03/2019 19:59:01,20.64°C
16/03/2019 20:19:01,20.515°C
16/03/2019 20:39:01,20.39°C
16/03/2019 20:59:01,20.39°C
16/03/2019 21:19:01,20.39°C
16/03/2019 21:39:01,20.327°C
16/03/2019 21:59:01,20.327°C
16/03/2019 22:19:01,20.327°C
16/03/2019 22:39:01,20.327°C
16/03/2019 22:59:01,20.202°C
16/03/2019 23:19:01,20.202°C
16/03/2019 23:39:01,20.265°C
16/03/2019 23:59:01,20.327°C
17/03/2019 00:19:01,20.327°C
17/03/2019 00:39:01,20.39°C
17/03/2019 00:59:01,20.327°C
17/03/2019 01:19:01,20.327°C
17/03/2019 01:39:01,20.202°C
17/03/2019 01:59:01,20.139°C
17/03/2019 02:19:01,20.139°C
17/03/2019 02:39:01,19.701°C
17/03/2019 02:59:01,19.764°C
17/03/2019 03:19:01,20.014°C
17/03/2019 03:39:01,19.952°C
17/03/2019 03:59:01,19.826°C
17/03/2019 04:19:01,19.701°C
17/03/2019 04:39:01,19.639°C
17/03/2019 04:59:01,19.701°C
17/03/2019 05:19:01,19.701°C
17/03/2019 05:39:01,19.701°C
17/03/2019 05:59:01,19.826°C
17/03/2019 06:19:01,19.826°C
17/03/2019 06:39:01,19.826°C
17/03/2019 06:59:01,19.889°C
17/03/2019 07:19:01,19.952°C
17/03/2019 07:39:01,20.077°C
17/03/2019 07:59:01,20.139°C
17/03/2019 08:19:01,20.202°C
17/03/2019 08:39:01,20.265°C
17/03/2019 08:59:01,20.327°C
17/03/2019 09:19:01,20.578°C
17/03/2019 09:39:01,20.828°C
17/03/2019 09:59:01,21.079°C
17/03/2019 10:19:01,21.079°C
17/03/2019 10:39:01,21.266°C
17/03/2019 10:59:01,21.517°C
17/03/2019 11:19:01,21.579°C
17/03/2019 11:39:01,21.767°C
17/03/2019 11:59:01,21.892°C
17/03/2019 12:19:01,21.892°C
17/03/2019 12:39:01,21.892°C
17/03/2019 12:59:01,22.142°C
17/03/2019 13:19:01,21.892°C
17/03/2019 13:39:01,21.83°C
17/03/2019 13:59:01,22.017°C
17/03/2019 14:19:01,22.205°C
17/03/2019 14:39:01,22.33°C
17/03/2019 14:59:01,21.955°C
17/03/2019 15:19:01,21.642°C
17/03/2019 15:39:01,21.704°C
17/03/2019 15:59:01,21.767°C
17/03/2019 16:19:01,21.642°C
17/03/2019 16:39:01,21.391°C
17/03/2019 16:59:01,21.204°C
17/03/2019 17:19:01,21.016°C
17/03/2019 17:39:01,20.891°C
17/03/2019 17:59:01,20.891°C
17/03/2019 18:19:01,20.766°C
17/03/2019 18:39:01,20.64°C
17/03/2019 18:59:01,20.515°C
17/03/2019 19:19:01,20.453°C
17/03/2019 19:39:01,20.39°C
17/03/2019 19:59:01,20.327°C
17/03/2019 20:19:01,20.39°C
17/03/2019 20:39:01,20.202°C
17/03/2019 20:59:01,20.202°C
17/03/2019 21:19:01,20.077°C
17/03/2019 21:39:01,20.077°C
17/03/2019 21:59:01,20.077°C
17/03/2019 22:19:01,20.014°C
17/03/2019 22:39:01,19.889°C
17/03/2019 22:59:01,19.889°C
17/03/2019 23:19:01,19.952°C
17/03/2019 23:39:01,19.889°C
17/03/2019 23:59:01,19.764°C
18/03/2019 00:19:01,19.701°C
18/03/2019 00:39:01,19.701°C
18/03/2019 00:59:01,19.764°C
