Log Values
Reading , Values
14/03/2019 15:19:01,23.191°C
14/03/2019 15:39:01,22.878°C
14/03/2019 15:59:01,22.628°C
14/03/2019 16:19:01,22.377°C
14/03/2019 16:39:01,22.252°C
14/03/2019 16:59:01,22.127°C
14/03/2019 17:19:01,22.002°C
14/03/2019 17:39:01,21.814°C
14/03/2019 17:59:01,21.502°C
14/03/2019 18:19:01,21.314°C
14/03/2019 18:39:01,21.126°C
14/03/2019 18:59:01,20.876°C
14/03/2019 19:19:01,20.813°C
14/03/2019 19:39:01,20.751°C
14/03/2019 19:59:01,20.751°C
14/03/2019 20:19:01,20.688°C
14/03/2019 20:39:01,20.688°C
14/03/2019 20:59:01,20.625°C
14/03/2019 21:19:01,20.563°C
14/03/2019 21:39:01,20.5°C
14/03/2019 21:59:01,20.563°C
14/03/2019 22:19:01,20.563°C
14/03/2019 22:39:01,20.5°C
14/03/2019 22:59:01,20.563°C
14/03/2019 23:19:01,20.5°C
14/03/2019 23:39:01,20.438°C
14/03/2019 23:59:01,20.438°C
15/03/2019 00:19:01,20.375°C
15/03/2019 00:39:01,20.25°C
15/03/2019 00:59:01,20.187°C
15/03/2019 01:19:01,20.062°C
15/03/2019 01:39:01,20.125°C
15/03/2019 01:59:01,20.062°C
15/03/2019 02:19:01,20.062°C
15/03/2019 02:39:01,20.062°C
15/03/2019 02:59:01,20°C
15/03/2019 03:19:01,20°C
15/03/2019 03:39:01,20.062°C
15/03/2019 03:59:01,20°C
15/03/2019 04:19:01,19.937°C
15/03/2019 04:39:01,19.874°C
15/03/2019 04:59:01,19.812°C
15/03/2019 05:19:01,19.749°C
15/03/2019 05:39:01,19.687°C
15/03/2019 05:59:01,19.749°C
15/03/2019 06:19:01,19.812°C
15/03/2019 06:39:01,19.874°C
15/03/2019 06:59:01,19.874°C
15/03/2019 07:19:01,19.937°C
15/03/2019 07:39:01,20°C
15/03/2019 07:59:01,20.125°C
15/03/2019 08:19:01,20.187°C
15/03/2019 08:39:01,20.312°C
15/03/2019 08:59:01,20.438°C
15/03/2019 09:19:01,20.625°C
15/03/2019 09:39:01,20.751°C
15/03/2019 09:59:01,21.063°C
15/03/2019 10:19:01,21.063°C
15/03/2019 10:39:01,21.126°C
15/03/2019 10:59:01,21.439°C
15/03/2019 11:19:01,21.939°C
15/03/2019 11:39:01,22.252°C
15/03/2019 11:59:01,22.44°C
15/03/2019 12:19:01,22.377°C
15/03/2019 12:39:01,22.753°C
15/03/2019 12:59:01,23.003°C
15/03/2019 13:19:01,23.191°C
15/03/2019 13:39:01,23.128°C
15/03/2019 13:59:01,23.253°C
15/03/2019 14:19:01,23.316°C
15/03/2019 14:39:01,23.566°C
15/03/2019 14:59:01,23.753°C
15/03/2019 15:19:01,23.628°C
15/03/2019 15:39:01,23.316°C
15/03/2019 15:59:01,23.316°C
15/03/2019 16:19:01,23.191°C
15/03/2019 16:39:01,23.003°C
15/03/2019 16:59:01,22.565°C
15/03/2019 17:19:01,22.252°C
15/03/2019 17:39:01,22.065°C
15/03/2019 17:59:01,21.814°C
15/03/2019 18:19:01,21.439°C
15/03/2019 18:39:01,21.251°C
15/03/2019 18:59:01,21.063°C
15/03/2019 19:19:01,20.938°C
15/03/2019 19:39:01,20.813°C
15/03/2019 19:59:01,20.688°C
15/03/2019 20:19:01,20.563°C
15/03/2019 20:39:01,20.375°C
15/03/2019 20:59:01,20.25°C
15/03/2019 21:19:01,20.187°C
15/03/2019 21:39:01,20.25°C
15/03/2019 21:59:01,20.187°C
15/03/2019 22:19:01,20.125°C
15/03/2019 22:39:01,20.062°C
15/03/2019 22:59:01,19.937°C
15/03/2019 23:19:01,19.937°C
15/03/2019 23:39:01,19.937°C
15/03/2019 23:59:01,20°C
16/03/2019 00:19:01,20.062°C
16/03/2019 00:39:01,20.125°C
16/03/2019 00:59:01,20.187°C
16/03/2019 01:19:01,20.125°C
16/03/2019 01:39:01,20.125°C
16/03/2019 01:59:01,20.125°C
16/03/2019 02:19:01,20.062°C
16/03/2019 02:39:01,20°C
16/03/2019 02:59:01,19.937°C
16/03/2019 03:19:01,20°C
16/03/2019 03:39:01,20°C
16/03/2019 03:59:01,20°C
16/03/2019 04:19:01,20°C
16/03/2019 04:39:01,20.062°C
16/03/2019 04:59:01,20.062°C
16/03/2019 05:19:01,19.937°C
16/03/2019 05:39:01,19.874°C
16/03/2019 05:59:01,19.874°C
16/03/2019 06:19:01,19.874°C
16/03/2019 06:39:01,19.812°C
16/03/2019 06:59:01,19.812°C
16/03/2019 07:19:01,19.812°C
16/03/2019 07:39:01,19.937°C
16/03/2019 07:59:01,20°C
16/03/2019 08:19:01,20.25°C
16/03/2019 08:39:01,20.438°C
16/03/2019 08:59:01,20.563°C
16/03/2019 09:19:01,20.751°C
16/03/2019 09:39:01,20.813°C
16/03/2019 09:59:01,21.001°C
16/03/2019 10:19:01,21.502°C
16/03/2019 10:39:01,21.752°C
16/03/2019 10:59:01,21.939°C
16/03/2019 11:19:01,21.877°C
16/03/2019 11:39:01,22.377°C
16/03/2019 11:59:01,22.44°C
16/03/2019 12:19:01,22.44°C
16/03/2019 12:39:01,23.191°C
16/03/2019 12:59:01,23.441°C
16/03/2019 13:19:01,23.316°C
16/03/2019 13:39:01,23.503°C
16/03/2019 13:59:01,23.941°C
16/03/2019 14:19:01,23.878°C
16/03/2019 14:39:01,23.691°C
16/03/2019 14:59:01,23.503°C
16/03/2019 15:19:01,23.503°C
16/03/2019 15:39:01,23.441°C
16/03/2019 15:59:01,23.128°C
16/03/2019 16:19:01,23.128°C
16/03/2019 16:39:01,23.128°C
16/03/2019 16:59:01,22.94°C
16/03/2019 17:19:01,22.565°C
16/03/2019 17:39:01,22.252°C
16/03/2019 17:59:01,21.814°C
16/03/2019 18:19:01,21.376°C
16/03/2019 18:39:01,21.001°C
16/03/2019 18:59:01,20.813°C
16/03/2019 19:19:01,20.751°C
16/03/2019 19:39:01,20.625°C
16/03/2019 19:59:01,20.625°C
16/03/2019 20:19:01,20.563°C
16/03/2019 20:39:01,20.438°C
16/03/2019 20:59:01,20.375°C
16/03/2019 21:19:01,20.375°C
16/03/2019 21:39:01,20.312°C
16/03/2019 21:59:01,20.312°C
16/03/2019 22:19:01,20.375°C
16/03/2019 22:39:01,20.312°C
16/03/2019 22:59:01,20.187°C
16/03/2019 23:19:01,20.187°C
16/03/2019 23:39:01,20.25°C
16/03/2019 23:59:01,20.312°C
17/03/2019 00:19:01,20.312°C
17/03/2019 00:39:01,20.375°C
17/03/2019 00:59:01,20.375°C
17/03/2019 01:19:01,20.375°C
17/03/2019 01:39:01,20.25°C
17/03/2019 01:59:01,20.187°C
17/03/2019 02:19:01,20.187°C
17/03/2019 02:39:01,19.812°C
17/03/2019 02:59:01,19.749°C
17/03/2019 03:19:01,20°C
17/03/2019 03:39:01,19.937°C
17/03/2019 03:59:01,19.874°C
17/03/2019 04:19:01,19.687°C
17/03/2019 04:39:01,19.687°C
17/03/2019 04:59:01,19.749°C
17/03/2019 05:19:01,19.687°C
17/03/2019 05:39:01,19.749°C
17/03/2019 05:59:01,19.812°C
17/03/2019 06:19:01,19.874°C
17/03/2019 06:39:01,19.874°C
17/03/2019 06:59:01,19.874°C
17/03/2019 07:19:01,19.937°C
17/03/2019 07:39:01,20.062°C
17/03/2019 07:59:01,20.125°C
17/03/2019 08:19:01,20.187°C
17/03/2019 08:39:01,20.25°C
17/03/2019 08:59:01,20.312°C
17/03/2019 09:19:01,20.5°C
17/03/2019 09:39:01,20.751°C
17/03/2019 09:59:01,21.063°C
17/03/2019 10:19:01,21.063°C
17/03/2019 10:39:01,21.251°C
17/03/2019 10:59:01,21.314°C
17/03/2019 11:19:01,21.502°C
17/03/2019 11:39:01,21.752°C
17/03/2019 11:59:01,21.814°C
17/03/2019 12:19:01,21.814°C
17/03/2019 12:39:01,21.814°C
17/03/2019 12:59:01,22.127°C
17/03/2019 13:19:01,21.877°C
17/03/2019 13:39:01,21.814°C
17/03/2019 13:59:01,22.002°C
17/03/2019 14:19:01,22.127°C
17/03/2019 14:39:01,22.315°C
17/03/2019 14:59:01,22.002°C
17/03/2019 15:19:01,21.689°C
17/03/2019 15:39:01,21.752°C
17/03/2019 15:59:01,21.877°C
17/03/2019 16:19:01,21.689°C
17/03/2019 16:39:01,21.502°C
17/03/2019 16:59:01,21.251°C
17/03/2019 17:19:01,21.063°C
17/03/2019 17:39:01,20.938°C
17/03/2019 17:59:01,20.938°C
17/03/2019 18:19:01,20.813°C
17/03/2019 18:39:01,20.688°C
17/03/2019 18:59:01,20.5°C
17/03/2019 19:19:01,20.5°C
17/03/2019 19:39:01,20.375°C
17/03/2019 19:59:01,20.375°C
17/03/2019 20:19:01,20.375°C
17/03/2019 20:39:01,20.25°C
17/03/2019 20:59:01,20.187°C
17/03/2019 21:19:01,20.125°C
17/03/2019 21:39:01,20.062°C
17/03/2019 21:59:01,20.062°C
17/03/2019 22:19:01,20°C
17/03/2019 22:39:01,19.937°C
17/03/2019 22:59:01,19.874°C
17/03/2019 23:19:01,19.937°C
17/03/2019 23:39:01,19.937°C
17/03/2019 23:59:01,19.812°C
18/03/2019 00:19:01,19.749°C
18/03/2019 00:39:01,19.687°C
18/03/2019 00:59:01,19.749°C
18/03/2019 01:19:01,19.749°C
18/03/2019 01:39:01,19.812°C
18/03/2019 01:59:01,19.749°C
18/03/2019 02:19:01,19.687°C
18/03/2019 02:39:01,19.561°C
18/03/2019 02:59:01,19.499°C
18/03/2019 03:19:01,19.436°C
18/03/2019 03:39:01,19.436°C
18/03/2019 03:59:01,19.436°C
18/03/2019 04:19:01,19.436°C
18/03/2019 04:39:01,19.436°C
18/03/2019 04:59:01,19.499°C
18/03/2019 05:19:01,19.624°C
18/03/2019 05:39:01,19.749°C
18/03/2019 05:59:01,19.812°C
18/03/2019 06:19:01,19.749°C
18/03/2019 06:39:01,19.812°C
18/03/2019 06:59:01,19.874°C
18/03/2019 07:19:01,20°C
18/03/2019 07:39:01,20.062°C
18/03/2019 07:59:01,20.125°C
18/03/2019 08:19:01,19.937°C
18/03/2019 08:39:01,19.812°C
18/03/2019 08:59:01,19.749°C
18/03/2019 09:19:01,19.687°C
18/03/2019 09:39:01,19.749°C
18/03/2019 09:59:01,19.937°C
18/03/2019 10:19:01,20°C
18/03/2019 10:39:01,20.187°C
18/03/2019 10:59:01,20.187°C
18/03/2019 11:19:01,20.25°C
18/03/2019 11:39:01,20.312°C
18/03/2019 11:59:01,20.375°C
18/03/2019 12:19:01,20.375°C
18/03/2019 12:39:01,20.375°C
18/03/2019 12:59:01,20.312°C
18/03/2019 13:19:01,20.25°C
18/03/2019 13:39:01,20°C
18/03/2019 13:59:01,19.812°C
18/03/2019 14:19:01,19.687°C
18/03/2019 14:39:01,19.687°C
18/03/2019 14:59:01,19.687°C
18/03/2019 15:19:01,19.687°C
18/03/2019 15:39:01,19.687°C
18/03/2019 15:59:01,19.624°C
18/03/2019 16:19:01,19.624°C
18/03/2019 16:39:01,19.436°C
18/03/2019 16:59:01,19.499°C
18/03/2019 17:19:01,19.624°C
18/03/2019 17:39:01,19.687°C
18/03/2019 17:59:01,19.874°C
18/03/2019 18:19:01,19.874°C
18/03/2019 18:39:01,20°C
18/03/2019 18:59:01,19.874°C
18/03/2019 19:19:01,19.812°C
18/03/2019 19:39:01,19.749°C
18/03/2019 19:59:01,19.687°C
18/03/2019 20:19:01,19.624°C
18/03/2019 20:39:01,19.624°C
18/03/2019 20:59:01,19.561°C
18/03/2019 21:19:01,19.749°C
