Log Values
Reading , Values
14/03/2019 16:19:01,24.455°C
14/03/2019 16:39:01,23.892°C
14/03/2019 16:59:01,23.892°C
14/03/2019 17:19:01,23.454°C
14/03/2019 17:39:01,22.641°C
14/03/2019 17:59:01,22.579°C
14/03/2019 18:19:01,21.891°C
14/03/2019 18:39:01,21.578°C
14/03/2019 18:59:01,21.015°C
14/03/2019 19:19:01,20.952°C
14/03/2019 19:39:01,20.952°C
14/03/2019 19:59:01,20.89°C
14/03/2019 20:19:01,20.89°C
14/03/2019 20:39:01,21.077°C
14/03/2019 20:59:01,21.077°C
14/03/2019 21:19:01,21.015°C
14/03/2019 21:39:01,20.952°C
14/03/2019 21:59:01,20.702°C
14/03/2019 22:19:01,20.952°C
14/03/2019 22:39:01,20.89°C
14/03/2019 22:59:01,20.89°C
14/03/2019 23:19:01,21.015°C
14/03/2019 23:39:01,20.827°C
14/03/2019 23:59:01,20.514°C
15/03/2019 00:19:01,20.514°C
15/03/2019 00:39:01,20.452°C
15/03/2019 00:59:01,20.264°C
15/03/2019 01:19:01,20.326°C
15/03/2019 01:39:01,20.389°C
15/03/2019 01:59:01,20.139°C
15/03/2019 02:19:01,20.201°C
15/03/2019 02:39:01,20.326°C
15/03/2019 02:59:01,20.389°C
15/03/2019 03:19:01,20.326°C
15/03/2019 03:39:01,20.389°C
15/03/2019 03:59:01,20.326°C
15/03/2019 04:19:01,20.201°C
15/03/2019 04:39:01,19.638°C
15/03/2019 04:59:01,19.387°C
15/03/2019 05:19:01,19.45°C
15/03/2019 05:39:01,19.638°C
15/03/2019 05:59:01,19.888°C
15/03/2019 06:19:01,20.013°C
15/03/2019 06:39:01,20.013°C
15/03/2019 06:59:01,20.013°C
15/03/2019 07:19:01,20.139°C
15/03/2019 07:39:01,20.389°C
15/03/2019 07:59:01,20.764°C
15/03/2019 08:19:01,21.015°C
15/03/2019 08:39:01,21.64°C
15/03/2019 08:59:01,22.078°C
15/03/2019 09:19:01,22.641°C
15/03/2019 09:39:01,23.079°C
15/03/2019 09:59:01,23.142°C
15/03/2019 10:19:01,24.33°C
15/03/2019 10:39:01,24.517°C
15/03/2019 10:59:01,25.268°C
15/03/2019 11:19:01,26.455°C
15/03/2019 11:39:01,25.83°C
15/03/2019 11:59:01,26.455°C
15/03/2019 12:19:01,26.58°C
15/03/2019 12:39:01,27.58°C
15/03/2019 12:59:01,27.892°C
15/03/2019 13:19:01,29.079°C
15/03/2019 13:39:01,30.702°C
15/03/2019 13:59:01,29.703°C
15/03/2019 14:19:01,30.515°C
15/03/2019 14:39:01,27.33°C
15/03/2019 14:59:01,27.017°C
15/03/2019 15:19:01,27.705°C
15/03/2019 15:39:01,26.83°C
15/03/2019 15:59:01,25.705°C
15/03/2019 16:19:01,25.143°C
15/03/2019 16:39:01,24.517°C
15/03/2019 16:59:01,24.267°C
15/03/2019 17:19:01,23.705°C
15/03/2019 17:39:01,22.516°C
15/03/2019 17:59:01,22.016°C
15/03/2019 18:19:01,21.578°C
15/03/2019 18:39:01,21.202°C
15/03/2019 18:59:01,20.952°C
15/03/2019 19:19:01,20.827°C
15/03/2019 19:39:01,20.764°C
15/03/2019 19:59:01,20.639°C
15/03/2019 20:19:01,20.452°C
15/03/2019 20:39:01,20.389°C
15/03/2019 20:59:01,20.389°C
15/03/2019 21:19:01,20.452°C
15/03/2019 21:39:01,20.452°C
15/03/2019 21:59:01,20.452°C
15/03/2019 22:19:01,20.452°C
15/03/2019 22:39:01,20.389°C
15/03/2019 22:59:01,20.452°C
15/03/2019 23:19:01,20.389°C
15/03/2019 23:39:01,20.326°C
15/03/2019 23:59:01,20.326°C
16/03/2019 00:19:01,20.326°C
16/03/2019 00:39:01,20.389°C
16/03/2019 00:59:01,20.264°C
16/03/2019 01:19:01,20.201°C
16/03/2019 01:39:01,20.139°C
16/03/2019 01:59:01,20.076°C
16/03/2019 02:19:01,19.951°C
16/03/2019 02:39:01,19.826°C
16/03/2019 02:59:01,19.888°C
16/03/2019 03:19:01,19.888°C
16/03/2019 03:39:01,19.826°C
16/03/2019 03:59:01,19.888°C
16/03/2019 04:19:01,20.013°C
16/03/2019 04:39:01,20.076°C
16/03/2019 04:59:01,19.888°C
16/03/2019 05:19:01,19.638°C
16/03/2019 05:39:01,19.45°C
16/03/2019 05:59:01,19.513°C
16/03/2019 06:19:01,19.45°C
16/03/2019 06:39:01,19.45°C
16/03/2019 06:59:01,19.575°C
16/03/2019 07:19:01,19.638°C
16/03/2019 07:39:01,19.826°C
16/03/2019 07:59:01,20.452°C
16/03/2019 08:19:01,20.952°C
16/03/2019 08:39:01,21.578°C
16/03/2019 08:59:01,25.455°C
16/03/2019 09:19:01,25.33°C
16/03/2019 09:39:01,26.58°C
16/03/2019 09:59:01,26.33°C
16/03/2019 10:19:01,26.268°C
16/03/2019 10:39:01,26.08°C
16/03/2019 10:59:01,26.83°C
16/03/2019 11:19:01,27.58°C
16/03/2019 11:39:01,27.954°C
16/03/2019 11:59:01,27.58°C
16/03/2019 12:19:01,28.017°C
16/03/2019 12:39:01,28.517°C
16/03/2019 12:59:01,29.079°C
16/03/2019 13:19:01,30.14°C
16/03/2019 13:39:01,31.264°C
16/03/2019 13:59:01,30.078°C
16/03/2019 14:19:01,31.139°C
16/03/2019 14:39:01,27.455°C
16/03/2019 14:59:01,26.33°C
16/03/2019 15:19:01,27.017°C
16/03/2019 15:39:01,27.142°C
16/03/2019 15:59:01,25.518°C
16/03/2019 16:19:01,24.58°C
16/03/2019 16:39:01,24.267°C
16/03/2019 16:59:01,25.018°C
16/03/2019 17:19:01,23.83°C
16/03/2019 17:39:01,22.391°C
16/03/2019 17:59:01,21.953°C
16/03/2019 18:19:01,21.703°C
16/03/2019 18:39:01,21.202°C
16/03/2019 18:59:01,20.89°C
16/03/2019 19:19:01,20.764°C
16/03/2019 19:39:01,20.764°C
16/03/2019 19:59:01,20.827°C
16/03/2019 20:19:01,20.827°C
16/03/2019 20:39:01,20.702°C
16/03/2019 20:59:01,20.639°C
16/03/2019 21:19:01,20.639°C
16/03/2019 21:39:01,20.577°C
16/03/2019 21:59:01,20.639°C
16/03/2019 22:19:01,20.639°C
16/03/2019 22:39:01,20.639°C
16/03/2019 22:59:01,20.452°C
16/03/2019 23:19:01,20.452°C
16/03/2019 23:39:01,20.514°C
16/03/2019 23:59:01,20.577°C
17/03/2019 00:19:01,20.639°C
17/03/2019 00:39:01,20.577°C
17/03/2019 00:59:01,20.639°C
17/03/2019 01:19:01,20.201°C
17/03/2019 01:39:01,20.139°C
17/03/2019 01:59:01,20.201°C
17/03/2019 02:19:01,20.201°C
17/03/2019 02:39:01,20.013°C
17/03/2019 02:59:01,19.888°C
17/03/2019 03:19:01,20.013°C
17/03/2019 03:39:01,19.888°C
17/03/2019 03:59:01,19.513°C
17/03/2019 04:19:01,19.387°C
17/03/2019 04:39:01,19.2°C
17/03/2019 04:59:01,19.2°C
17/03/2019 05:19:01,19.387°C
17/03/2019 05:39:01,19.325°C
17/03/2019 05:59:01,19.575°C
17/03/2019 06:19:01,19.7°C
17/03/2019 06:39:01,19.7°C
17/03/2019 06:59:01,19.763°C
17/03/2019 07:19:01,20.076°C
17/03/2019 07:39:01,20.326°C
17/03/2019 07:59:01,20.577°C
17/03/2019 08:19:01,20.827°C
17/03/2019 08:39:01,21.202°C
17/03/2019 08:59:01,22.141°C
17/03/2019 09:19:01,22.204°C
17/03/2019 09:39:01,23.517°C
17/03/2019 09:59:01,24.142°C
17/03/2019 10:19:01,24.33°C
17/03/2019 10:39:01,24.517°C
17/03/2019 10:59:01,24.705°C
17/03/2019 11:19:01,25.643°C
17/03/2019 11:39:01,25.768°C
17/03/2019 11:59:01,26.018°C
17/03/2019 12:19:01,25.955°C
17/03/2019 12:39:01,26.08°C
17/03/2019 12:59:01,27.08°C
17/03/2019 13:19:01,25.58°C
17/03/2019 13:39:01,25.455°C
17/03/2019 13:59:01,26.08°C
17/03/2019 14:19:01,27.58°C
17/03/2019 14:39:01,26.393°C
17/03/2019 14:59:01,25.268°C
17/03/2019 15:19:01,24.33°C
17/03/2019 15:39:01,24.767°C
17/03/2019 15:59:01,24.08°C
17/03/2019 16:19:01,23.204°C
17/03/2019 16:39:01,22.579°C
17/03/2019 16:59:01,22.391°C
17/03/2019 17:19:01,21.828°C
17/03/2019 17:39:01,21.766°C
17/03/2019 17:59:01,21.953°C
17/03/2019 18:19:01,21.891°C
17/03/2019 18:39:01,21.453°C
17/03/2019 18:59:01,21.202°C
17/03/2019 19:19:01,21.077°C
17/03/2019 19:39:01,20.89°C
17/03/2019 19:59:01,20.827°C
17/03/2019 20:19:01,20.639°C
17/03/2019 20:39:01,20.264°C
17/03/2019 20:59:01,20.139°C
17/03/2019 21:19:01,20.076°C
17/03/2019 21:39:01,20.076°C
17/03/2019 21:59:01,20.076°C
17/03/2019 22:19:01,19.951°C
17/03/2019 22:39:01,19.888°C
17/03/2019 22:59:01,19.888°C
17/03/2019 23:19:01,20.013°C
17/03/2019 23:39:01,19.888°C
17/03/2019 23:59:01,19.763°C
18/03/2019 00:19:01,19.638°C
18/03/2019 00:39:01,19.7°C
18/03/2019 00:59:01,19.763°C
18/03/2019 01:19:01,19.763°C
18/03/2019 01:39:01,19.763°C
18/03/2019 01:59:01,19.763°C
18/03/2019 02:19:01,19.763°C
18/03/2019 02:39:01,19.575°C
18/03/2019 02:59:01,19.513°C
18/03/2019 03:19:01,19.513°C
18/03/2019 03:39:01,19.575°C
18/03/2019 03:59:01,19.575°C
18/03/2019 04:19:01,19.638°C
18/03/2019 04:39:01,19.7°C
18/03/2019 04:59:01,19.763°C
18/03/2019 05:19:01,19.826°C
18/03/2019 05:39:01,19.951°C
18/03/2019 05:59:01,19.951°C
18/03/2019 06:19:01,19.951°C
18/03/2019 06:39:01,20.013°C
18/03/2019 06:59:01,20.201°C
18/03/2019 07:19:01,20.326°C
18/03/2019 07:39:01,20.514°C
18/03/2019 07:59:01,20.514°C
18/03/2019 08:19:01,20.264°C
18/03/2019 08:39:01,20.452°C
18/03/2019 08:59:01,20.639°C
18/03/2019 09:19:01,20.514°C
18/03/2019 09:39:01,20.577°C
18/03/2019 09:59:01,20.827°C
18/03/2019 10:19:01,20.764°C
18/03/2019 10:39:01,20.577°C
18/03/2019 10:59:01,20.514°C
18/03/2019 11:19:01,20.514°C
18/03/2019 11:39:01,20.514°C
18/03/2019 11:59:01,20.639°C
18/03/2019 12:19:01,20.577°C
18/03/2019 12:39:01,20.452°C
18/03/2019 12:59:01,20.452°C
18/03/2019 13:19:01,20.577°C
18/03/2019 13:39:01,20.264°C
18/03/2019 13:59:01,19.951°C
18/03/2019 14:19:01,19.763°C
18/03/2019 14:39:01,20.076°C
18/03/2019 14:59:01,20.139°C
18/03/2019 15:19:01,19.826°C
18/03/2019 15:39:01,19.513°C
18/03/2019 15:59:01,19.513°C
18/03/2019 16:19:01,19.45°C
18/03/2019 16:39:01,19.45°C
18/03/2019 16:59:01,19.45°C
18/03/2019 17:19:01,19.763°C
18/03/2019 17:39:01,19.951°C
18/03/2019 17:59:01,19.951°C
18/03/2019 18:19:01,20.076°C
18/03/2019 18:39:01,20.076°C
18/03/2019 18:59:01,20.076°C
18/03/2019 19:19:01,20.013°C
18/03/2019 19:39:01,19.888°C
18/03/2019 19:59:01,19.7°C
18/03/2019 20:19:01,19.7°C
18/03/2019 20:39:01,19.638°C
18/03/2019 20:59:01,19.763°C
18/03/2019 21:19:01,19.951°C
18/03/2019 21:39:01,19.951°C
18/03/2019 21:59:01,20.076°C
18/03/2019 22:19:01,20.076°C
18/03/2019 22:39:01,19.888°C
18/03/2019 22:59:01,19.888°C
18/03/2019 23:19:01,20.013°C
18/03/2019 23:39:01,20.013°C
18/03/2019 23:59:01,19.951°C
19/03/2019 00:19:01,19.951°C
19/03/2019 00:39:01,19.951°C
19/03/2019 00:59:01,20.139°C
19/03/2019 01:19:01,20.139°C
19/03/2019 01:39:01,20.201°C
19/03/2019 01:59:01,19.951°C
19/03/2019 02:19:01,19.826°C
19/03/2019 02:39:01,19.638°C
19/03/2019 02:59:01,19.826°C
19/03/2019 03:19:01,20.013°C
19/03/2019 03:39:01,19.951°C
19/03/2019 03:59:01,20.013°C
19/03/2019 04:19:01,19.951°C
19/03/2019 04:39:01,19.951°C
19/03/2019 04:59:01,20.076°C
19/03/2019 05:19:01,20.076°C
19/03/2019 05:39:01,20.076°C
19/03/2019 05:59:01,20.139°C
19/03/2019 06:19:01,20.264°C
19/03/2019 06:39:01,20.201°C
19/03/2019 06:59:01,20.264°C
19/03/2019 07:19:01,20.389°C
19/03/2019 07:39:01,20.389°C
19/03/2019 07:59:01,20.264°C
19/03/2019 08:19:01,20.264°C
19/03/2019 08:39:01,20.577°C
19/03/2019 08:59:01,20.389°C
19/03/2019 09:19:01,20.514°C
19/03/2019 09:39:01,20.514°C
19/03/2019 09:59:01,20.639°C
19/03/2019 10:19:01,20.764°C
19/03/2019 10:39:01,20.639°C
19/03/2019 10:59:01,20.326°C
19/03/2019 11:19:01,20.452°C
19/03/2019 11:39:01,19.638°C
19/03/2019 11:59:01,19.575°C
19/03/2019 12:19:01,19.951°C
19/03/2019 12:39:01,20.013°C
19/03/2019 12:59:01,20.076°C
19/03/2019 13:19:01,20.201°C
19/03/2019 13:39:01,20.452°C
19/03/2019 13:59:01,20.639°C
19/03/2019 14:19:01,20.764°C
19/03/2019 14:39:01,20.827°C
19/03/2019 14:59:01,20.827°C
19/03/2019 15:19:01,20.639°C
19/03/2019 15:39:01,20.577°C
19/03/2019 15:59:01,20.389°C
19/03/2019 16:19:01,20.514°C
19/03/2019 16:39:01,20.452°C
19/03/2019 16:59:01,20.326°C
19/03/2019 17:19:01,20.264°C
19/03/2019 17:39:01,20.264°C
19/03/2019 17:59:01,20.264°C
19/03/2019 18:19:01,20.264°C
19/03/2019 18:39:01,20.264°C
19/03/2019 18:59:01,20.326°C
19/03/2019 19:19:01,20.264°C
19/03/2019 19:39:01,20.326°C
19/03/2019 19:59:01,20.013°C
19/03/2019 20:19:01,19.45°C
19/03/2019 20:39:01,19.45°C
19/03/2019 20:59:01,19.638°C
19/03/2019 21:19:01,19.826°C
19/03/2019 21:39:01,20.013°C
19/03/2019 21:59:01,20.139°C
19/03/2019 22:19:01,20.013°C
19/03/2019 22:39:01,19.888°C
19/03/2019 22:59:01,20.201°C
19/03/2019 23:19:01,20.139°C
19/03/2019 23:39:01,19.888°C
19/03/2019 23:59:01,19.888°C
20/03/2019 00:19:01,19.763°C
20/03/2019 00:39:01,19.826°C
20/03/2019 00:59:01,19.826°C
20/03/2019 01:19:01,19.826°C
20/03/2019 01:39:01,19.763°C
20/03/2019 01:59:01,20.076°C
20/03/2019 02:19:01,20.013°C
20/03/2019 02:39:01,19.951°C
20/03/2019 02:59:01,20.139°C
20/03/2019 03:19:01,20.201°C
20/03/2019 03:39:01,20.013°C
20/03/2019 03:59:01,20.013°C
20/03/2019 04:19:01,19.888°C
20/03/2019 04:39:01,19.951°C
20/03/2019 04:59:01,20.076°C
20/03/2019 05:19:01,20.264°C
20/03/2019 05:39:01,20.076°C
20/03/2019 05:59:01,20.013°C
20/03/2019 06:19:01,20.139°C
20/03/2019 06:39:01,20.076°C
20/03/2019 06:59:01,19.262°C
20/03/2019 07:19:01,19.638°C
20/03/2019 07:39:01,19.888°C
20/03/2019 07:59:01,19.638°C
20/03/2019 08:19:01,19.826°C
20/03/2019 08:39:01,20.076°C
20/03/2019 08:59:01,19.45°C
20/03/2019 09:19:01,19.763°C
20/03/2019 09:39:01,19.826°C
20/03/2019 09:59:01,19.826°C
20/03/2019 10:19:01,20.201°C
20/03/2019 10:39:01,19.951°C
20/03/2019 10:59:01,19.826°C
20/03/2019 11:19:01,20.076°C
20/03/2019 11:39:01,20.076°C
20/03/2019 11:59:01,20.201°C
20/03/2019 12:19:01,20.201°C
20/03/2019 12:39:01,20.264°C
20/03/2019 12:59:01,19.951°C
20/03/2019 13:19:01,19.7°C
20/03/2019 13:39:01,19.7°C
20/03/2019 13:59:01,19.638°C
20/03/2019 14:19:01,19.826°C
20/03/2019 14:39:01,19.638°C
20/03/2019 14:59:01,19.325°C
20/03/2019 15:19:01,19.325°C
20/03/2019 15:39:01,19.2°C
20/03/2019 15:59:01,18.636°C
20/03/2019 16:19:01,17.947°C
20/03/2019 16:39:01,17.947°C
20/03/2019 16:59:01,18.01°C
20/03/2019 17:19:01,18.198°C
20/03/2019 17:39:01,18.574°C
20/03/2019 17:59:01,18.511°C
20/03/2019 18:19:01,18.511°C
20/03/2019 18:39:01,18.699°C
20/03/2019 18:59:01,18.699°C
20/03/2019 19:19:01,18.761°C
20/03/2019 19:39:01,18.636°C
20/03/2019 19:59:01,18.574°C
20/03/2019 20:19:01,18.949°C
20/03/2019 20:39:01,19.137°C
20/03/2019 20:59:01,19.387°C
20/03/2019 21:19:01,19.387°C
20/03/2019 21:39:01,19.074°C
20/03/2019 21:59:01,18.949°C
20/03/2019 22:19:01,19.325°C
20/03/2019 22:39:01,19.137°C
20/03/2019 22:59:01,19.387°C
20/03/2019 23:19:01,19.513°C
20/03/2019 23:39:01,19.575°C
20/03/2019 23:59:01,19.575°C
21/03/2019 00:19:01,19.763°C
21/03/2019 00:39:01,19.45°C
21/03/2019 00:59:01,19.2°C
21/03/2019 01:19:01,19.575°C
21/03/2019 01:39:01,19.638°C
21/03/2019 01:59:01,19.826°C
21/03/2019 02:19:01,19.7°C
21/03/2019 02:39:01,19.888°C
21/03/2019 02:59:01,19.763°C
21/03/2019 03:19:01,19.513°C
21/03/2019 03:39:01,19.262°C
21/03/2019 03:59:01,19.513°C
21/03/2019 04:19:01,19.513°C
21/03/2019 04:39:01,19.513°C
21/03/2019 04:59:01,19.513°C
21/03/2019 05:19:01,19.763°C
21/03/2019 05:39:01,19.7°C
21/03/2019 05:59:01,19.387°C
21/03/2019 06:19:01,19.2°C
21/03/2019 06:39:01,18.949°C
21/03/2019 06:59:01,18.887°C
21/03/2019 07:19:01,18.699°C
21/03/2019 07:39:01,18.761°C
21/03/2019 07:59:01,19.012°C
21/03/2019 08:19:01,18.699°C
21/03/2019 08:39:01,18.26°C
21/03/2019 08:59:01,18.448°C
21/03/2019 09:19:01,18.699°C
21/03/2019 09:39:01,18.887°C
21/03/2019 09:59:01,19.137°C
21/03/2019 10:19:01,19.012°C
21/03/2019 10:39:01,18.699°C
21/03/2019 10:59:01,18.699°C
21/03/2019 11:19:01,18.699°C
21/03/2019 11:39:01,18.824°C
21/03/2019 11:59:01,19.137°C
21/03/2019 12:19:01,19.2°C
21/03/2019 12:39:01,19.074°C
21/03/2019 12:59:01,19.137°C
21/03/2019 13:19:01,19.012°C
21/03/2019 13:39:01,18.761°C
21/03/2019 13:59:01,18.26°C
21/03/2019 14:19:01,18.386°C
21/03/2019 14:39:01,17.947°C
21/03/2019 14:59:01,18.198°C
21/03/2019 15:19:01,18.386°C
21/03/2019 15:39:01,17.759°C
21/03/2019 15:59:01,17.697°C
21/03/2019 16:19:01,17.885°C
21/03/2019 16:39:01,18.01°C
21/03/2019 16:59:01,18.135°C
21/03/2019 17:19:01,18.198°C
21/03/2019 17:39:01,18.01°C
21/03/2019 17:59:01,18.01°C
21/03/2019 18:19:01,18.073°C
21/03/2019 18:39:01,18.073°C
21/03/2019 18:59:01,18.073°C
21/03/2019 19:19:01,18.198°C
21/03/2019 19:39:01,18.26°C
21/03/2019 19:59:01,18.323°C
21/03/2019 20:19:01,18.323°C
21/03/2019 20:39:01,18.198°C
21/03/2019 20:59:01,18.26°C
21/03/2019 21:19:01,18.323°C
21/03/2019 21:39:01,18.323°C
21/03/2019 21:59:01,18.448°C
21/03/2019 22:19:01,18.386°C
21/03/2019 22:39:01,18.386°C
21/03/2019 22:59:01,18.386°C
21/03/2019 23:19:01,18.448°C
21/03/2019 23:39:01,18.448°C
21/03/2019 23:59:01,18.511°C
22/03/2019 00:19:01,18.699°C
22/03/2019 00:39:01,18.761°C
22/03/2019 00:59:01,18.887°C
22/03/2019 01:19:01,18.887°C
22/03/2019 01:39:01,19.012°C
22/03/2019 01:59:01,19.012°C
22/03/2019 02:19:01,19.074°C
22/03/2019 02:39:01,19.262°C
22/03/2019 02:59:01,19.45°C
22/03/2019 03:19:01,19.45°C
22/03/2019 03:39:01,19.387°C
22/03/2019 03:59:01,19.45°C
22/03/2019 04:19:01,19.575°C
22/03/2019 04:39:01,19.513°C
22/03/2019 04:59:01,19.638°C
22/03/2019 05:19:01,19.575°C
22/03/2019 05:39:01,19.763°C
22/03/2019 05:59:01,20.076°C
