Log Values
Reading , Values
14/03/2019 17:59:01,28.254°C
14/03/2019 18:19:01,27.066°C
14/03/2019 18:39:01,26.004°C
14/03/2019 18:59:01,25.066°C
14/03/2019 19:19:01,24.629°C
14/03/2019 19:39:01,24.379°C
14/03/2019 19:59:01,24.316°C
14/03/2019 20:19:01,24.191°C
14/03/2019 20:39:01,24.254°C
14/03/2019 20:59:01,23.816°C
14/03/2019 21:19:01,23.816°C
14/03/2019 21:39:01,23.754°C
14/03/2019 21:59:01,23.754°C
14/03/2019 22:19:01,23.754°C
14/03/2019 22:39:01,23.879°C
14/03/2019 22:59:01,23.566°C
14/03/2019 23:19:01,23.754°C
14/03/2019 23:39:01,23.504°C
14/03/2019 23:59:01,23.629°C
15/03/2019 00:19:01,23.254°C
15/03/2019 00:39:01,23.066°C
15/03/2019 00:59:01,22.691°C
15/03/2019 01:19:01,22.816°C
15/03/2019 01:39:01,23.066°C
15/03/2019 01:59:01,23.316°C
15/03/2019 02:19:01,22.941°C
15/03/2019 02:39:01,22.878°C
15/03/2019 02:59:01,23.003°C
15/03/2019 03:19:01,23.003°C
15/03/2019 03:39:01,23.003°C
15/03/2019 03:59:01,23.191°C
15/03/2019 04:19:01,23.129°C
15/03/2019 04:39:01,22.878°C
15/03/2019 04:59:01,22.566°C
15/03/2019 05:19:01,22.628°C
15/03/2019 05:39:01,22.441°C
15/03/2019 05:59:01,22.128°C
15/03/2019 06:19:01,22.128°C
15/03/2019 06:39:01,21.816°C
15/03/2019 06:59:01,21.878°C
15/03/2019 07:19:01,22.316°C
15/03/2019 07:39:01,22.691°C
15/03/2019 07:59:01,23.129°C
15/03/2019 08:19:01,23.629°C
15/03/2019 08:39:01,24.504°C
15/03/2019 08:59:01,25.566°C
15/03/2019 09:19:01,26.379°C
15/03/2019 09:39:01,27.816°C
15/03/2019 09:59:01,29.191°C
15/03/2019 10:19:01,29.816°C
15/03/2019 10:39:01,30.815°C
15/03/2019 10:59:01,30.878°C
15/03/2019 11:19:01,30.253°C
15/03/2019 11:39:01,29.628°C
15/03/2019 11:59:01,30.128°C
15/03/2019 12:19:01,31.315°C
15/03/2019 12:39:01,32.065°C
15/03/2019 12:59:01,31.502°C
15/03/2019 13:19:01,31.877°C
15/03/2019 13:39:01,32.002°C
15/03/2019 13:59:01,32.564°C
15/03/2019 14:19:01,33.439°C
15/03/2019 14:39:01,36.561°C
15/03/2019 14:59:01,38.184°C
15/03/2019 15:19:01,37.685°C
15/03/2019 15:39:01,36.061°C
15/03/2019 15:59:01,35.375°C
15/03/2019 16:19:01,35°C
15/03/2019 16:39:01,33.314°C
15/03/2019 16:59:01,31.253°C
15/03/2019 17:19:01,29.816°C
15/03/2019 17:39:01,29.253°C
15/03/2019 17:59:01,28.129°C
