Log Values
Reading , Values
14/03/2019 17:59:01,29.03°C
14/03/2019 18:19:01,27.281°C
14/03/2019 18:39:01,25.781°C
14/03/2019 18:59:01,24.906°C
14/03/2019 19:19:01,24.531°C
14/03/2019 19:39:01,24.281°C
14/03/2019 19:59:01,24.219°C
14/03/2019 20:19:01,24.156°C
14/03/2019 20:39:01,24.156°C
14/03/2019 20:59:01,23.781°C
14/03/2019 21:19:01,23.781°C
14/03/2019 21:39:01,23.906°C
14/03/2019 21:59:01,23.843°C
14/03/2019 22:19:01,23.968°C
14/03/2019 22:39:01,23.968°C
14/03/2019 22:59:01,23.906°C
14/03/2019 23:19:01,23.968°C
14/03/2019 23:39:01,23.781°C
14/03/2019 23:59:01,23.656°C
15/03/2019 00:19:01,23.281°C
15/03/2019 00:39:01,23.093°C
15/03/2019 00:59:01,22.843°C
15/03/2019 01:19:01,23.031°C
15/03/2019 01:39:01,23.593°C
15/03/2019 01:59:01,23.718°C
15/03/2019 02:19:01,23.156°C
15/03/2019 02:39:01,23.343°C
15/03/2019 02:59:01,23.468°C
15/03/2019 03:19:01,23.218°C
15/03/2019 03:39:01,23.281°C
15/03/2019 03:59:01,23.406°C
15/03/2019 04:19:01,23.281°C
15/03/2019 04:39:01,22.906°C
15/03/2019 04:59:01,22.593°C
15/03/2019 05:19:01,22.655°C
15/03/2019 05:39:01,22.218°C
15/03/2019 05:59:01,22.03°C
15/03/2019 06:19:01,21.967°C
15/03/2019 06:39:01,21.655°C
15/03/2019 06:59:01,21.905°C
15/03/2019 07:19:01,22.343°C
15/03/2019 07:39:01,22.593°C
15/03/2019 07:59:01,23.281°C
15/03/2019 08:19:01,23.843°C
15/03/2019 08:39:01,25.094°C
15/03/2019 08:59:01,26.344°C
15/03/2019 09:19:01,27.344°C
15/03/2019 09:39:01,28.468°C
15/03/2019 09:59:01,30.467°C
15/03/2019 10:19:01,31.216°C
15/03/2019 10:39:01,33.9°C
15/03/2019 10:59:01,35.522°C
15/03/2019 11:19:01,34.773°C
15/03/2019 11:39:01,35.085°C
15/03/2019 11:59:01,37.643°C
15/03/2019 12:19:01,37.206°C
15/03/2019 12:39:01,36.583°C
15/03/2019 12:59:01,35.335°C
15/03/2019 13:19:01,34.337°C
15/03/2019 13:39:01,33.276°C
15/03/2019 13:59:01,33.276°C
15/03/2019 14:19:01,35.647°C
15/03/2019 14:39:01,38.64°C
15/03/2019 14:59:01,39.077°C
15/03/2019 15:19:01,37.954°C
15/03/2019 15:39:01,37.081°C
15/03/2019 15:59:01,36.894°C
15/03/2019 16:19:01,36.832°C
15/03/2019 16:39:01,34.961°C
15/03/2019 16:59:01,32.402°C
15/03/2019 17:19:01,30.904°C
15/03/2019 17:39:01,30.841°C
15/03/2019 17:59:01,28.718°C
15/03/2019 18:19:01,26.406°C
15/03/2019 18:39:01,25.281°C
15/03/2019 18:59:01,24.656°C
15/03/2019 19:19:01,24.281°C
15/03/2019 19:39:01,24.094°C
15/03/2019 19:59:01,23.718°C
15/03/2019 20:19:01,23.093°C
15/03/2019 20:39:01,22.78°C
15/03/2019 20:59:01,22.655°C
15/03/2019 21:19:01,22.343°C
15/03/2019 21:39:01,22.28°C
15/03/2019 21:59:01,22.092°C
15/03/2019 22:19:01,22.218°C
15/03/2019 22:39:01,22.218°C
15/03/2019 22:59:01,22.03°C
15/03/2019 23:19:01,22.03°C
15/03/2019 23:39:01,21.842°C
15/03/2019 23:59:01,21.717°C
16/03/2019 00:19:01,21.655°C
16/03/2019 00:39:01,21.53°C
16/03/2019 00:59:01,21.78°C
16/03/2019 01:19:01,21.78°C
16/03/2019 01:39:01,21.592°C
16/03/2019 01:59:01,21.78°C
16/03/2019 02:19:01,21.655°C
16/03/2019 02:39:01,21.467°C
16/03/2019 02:59:01,21.404°C
16/03/2019 03:19:01,21.217°C
16/03/2019 03:39:01,21.092°C
16/03/2019 03:59:01,21.154°C
16/03/2019 04:19:01,21.279°C
16/03/2019 04:39:01,21.279°C
16/03/2019 04:59:01,21.342°C
16/03/2019 05:19:01,21.092°C
16/03/2019 05:39:01,20.967°C
16/03/2019 05:59:01,20.904°C
16/03/2019 06:19:01,20.779°C
16/03/2019 06:39:01,20.654°C
16/03/2019 06:59:01,20.716°C
16/03/2019 07:19:01,21.029°C
16/03/2019 07:39:01,22.155°C
16/03/2019 07:59:01,23.156°C
16/03/2019 08:19:01,23.843°C
16/03/2019 08:39:01,24.344°C
16/03/2019 08:59:01,26.156°C
16/03/2019 09:19:01,28.718°C
16/03/2019 09:39:01,28.281°C
16/03/2019 09:59:01,30.966°C
16/03/2019 10:19:01,33.775°C
16/03/2019 10:39:01,35.085°C
16/03/2019 10:59:01,37.393°C
16/03/2019 11:19:01,38.765°C
16/03/2019 11:39:01,40.573°C
16/03/2019 11:59:01,39.451°C
16/03/2019 12:19:01,40.012°C
16/03/2019 12:39:01,38.64°C
16/03/2019 12:59:01,36.957°C
16/03/2019 13:19:01,35.023°C
16/03/2019 13:39:01,33.65°C
16/03/2019 13:59:01,33.775°C
16/03/2019 14:19:01,35.959°C
16/03/2019 14:39:01,38.578°C
16/03/2019 14:59:01,37.019°C
16/03/2019 15:19:01,37.393°C
16/03/2019 15:39:01,37.144°C
16/03/2019 15:59:01,37.206°C
16/03/2019 16:19:01,37.518°C
16/03/2019 16:39:01,37.456°C
16/03/2019 16:59:01,34.898°C
16/03/2019 17:19:01,32.901°C
16/03/2019 17:39:01,30.03°C
16/03/2019 17:59:01,27.968°C
16/03/2019 18:19:01,26.719°C
16/03/2019 18:39:01,25.281°C
16/03/2019 18:59:01,24.531°C
16/03/2019 19:19:01,24.031°C
16/03/2019 19:39:01,23.843°C
16/03/2019 19:59:01,23.718°C
16/03/2019 20:19:01,23.718°C
16/03/2019 20:39:01,23.781°C
16/03/2019 20:59:01,23.843°C
16/03/2019 21:19:01,23.718°C
16/03/2019 21:39:01,23.781°C
16/03/2019 21:59:01,23.781°C
16/03/2019 22:19:01,24.031°C
16/03/2019 22:39:01,24.094°C
16/03/2019 22:59:01,23.718°C
16/03/2019 23:19:01,23.593°C
16/03/2019 23:39:01,23.156°C
16/03/2019 23:59:01,22.78°C
17/03/2019 00:19:01,22.843°C
17/03/2019 00:39:01,23.343°C
17/03/2019 00:59:01,23.718°C
17/03/2019 01:19:01,23.468°C
17/03/2019 01:39:01,23.406°C
17/03/2019 01:59:01,23.406°C
17/03/2019 02:19:01,23.343°C
17/03/2019 02:39:01,23.406°C
17/03/2019 02:59:01,22.906°C
17/03/2019 03:19:01,22.655°C
17/03/2019 03:39:01,22.655°C
17/03/2019 03:59:01,22.405°C
17/03/2019 04:19:01,22.092°C
17/03/2019 04:39:01,21.842°C
17/03/2019 04:59:01,21.655°C
17/03/2019 05:19:01,21.53°C
17/03/2019 05:39:01,21.467°C
17/03/2019 05:59:01,21.592°C
17/03/2019 06:19:01,21.592°C
17/03/2019 06:39:01,21.717°C
17/03/2019 06:59:01,21.842°C
17/03/2019 07:19:01,22.53°C
17/03/2019 07:39:01,23.281°C
17/03/2019 07:59:01,23.968°C
17/03/2019 08:19:01,24.719°C
17/03/2019 08:39:01,25.844°C
17/03/2019 08:59:01,27.593°C
17/03/2019 09:19:01,28.968°C
17/03/2019 09:39:01,29.405°C
17/03/2019 09:59:01,31.528°C
17/03/2019 10:19:01,32.964°C
17/03/2019 10:39:01,34.399°C
17/03/2019 10:59:01,35.834°C
17/03/2019 11:19:01,37.456°C
17/03/2019 11:39:01,37.206°C
17/03/2019 11:59:01,36.832°C
17/03/2019 12:19:01,36.333°C
17/03/2019 12:39:01,35.148°C
17/03/2019 12:59:01,36.208°C
17/03/2019 13:19:01,34.711°C
17/03/2019 13:39:01,33.401°C
17/03/2019 13:59:01,33.089°C
17/03/2019 14:19:01,34.836°C
17/03/2019 14:39:01,36.52°C
17/03/2019 14:59:01,35.584°C
17/03/2019 15:19:01,29.905°C
17/03/2019 15:39:01,33.775°C
17/03/2019 15:59:01,32.652°C
17/03/2019 16:19:01,30.592°C
17/03/2019 16:39:01,30.092°C
17/03/2019 16:59:01,28.718°C
17/03/2019 17:19:01,27.094°C
17/03/2019 17:39:01,27.219°C
17/03/2019 17:59:01,29.03°C
17/03/2019 18:19:01,27.593°C
17/03/2019 18:39:01,26.344°C
17/03/2019 18:59:01,25.281°C
17/03/2019 19:19:01,25.031°C
17/03/2019 19:39:01,24.906°C
17/03/2019 19:59:01,24.531°C
17/03/2019 20:19:01,24.531°C
17/03/2019 20:39:01,23.406°C
17/03/2019 20:59:01,23.031°C
17/03/2019 21:19:01,22.968°C
17/03/2019 21:39:01,22.843°C
17/03/2019 21:59:01,22.718°C
17/03/2019 22:19:01,22.78°C
17/03/2019 22:39:01,22.718°C
17/03/2019 22:59:01,22.718°C
17/03/2019 23:19:01,22.718°C
17/03/2019 23:39:01,22.655°C
17/03/2019 23:59:01,22.53°C
18/03/2019 00:19:01,22.593°C
18/03/2019 00:39:01,22.593°C
18/03/2019 00:59:01,22.655°C
18/03/2019 01:19:01,22.718°C
18/03/2019 01:39:01,22.78°C
18/03/2019 01:59:01,22.78°C
18/03/2019 02:19:01,22.843°C
18/03/2019 02:39:01,22.718°C
18/03/2019 02:59:01,22.655°C
18/03/2019 03:19:01,22.655°C
18/03/2019 03:39:01,22.655°C
18/03/2019 03:59:01,22.655°C
18/03/2019 04:19:01,22.655°C
18/03/2019 04:39:01,22.718°C
18/03/2019 04:59:01,22.843°C
18/03/2019 05:19:01,22.968°C
18/03/2019 05:39:01,23.031°C
18/03/2019 05:59:01,23.093°C
18/03/2019 06:19:01,23.093°C
18/03/2019 06:39:01,23.156°C
18/03/2019 06:59:01,23.281°C
18/03/2019 07:19:01,23.656°C
18/03/2019 07:39:01,24.281°C
18/03/2019 07:59:01,24.656°C
18/03/2019 08:19:01,25.406°C
18/03/2019 08:39:01,26.844°C
18/03/2019 08:59:01,28.843°C
18/03/2019 09:19:01,28.593°C
18/03/2019 09:39:01,28.718°C
18/03/2019 09:59:01,29.967°C
18/03/2019 10:19:01,29.218°C
18/03/2019 10:39:01,25.844°C
18/03/2019 10:59:01,24.406°C
18/03/2019 11:19:01,24.906°C
18/03/2019 11:39:01,25.406°C
18/03/2019 11:59:01,25.594°C
18/03/2019 12:19:01,25.594°C
18/03/2019 12:39:01,25.281°C
18/03/2019 12:59:01,24.781°C
18/03/2019 13:19:01,23.718°C
18/03/2019 13:39:01,22.968°C
18/03/2019 13:59:01,22.655°C
18/03/2019 14:19:01,22.405°C
18/03/2019 14:39:01,22.718°C
18/03/2019 14:59:01,23.156°C
18/03/2019 15:19:01,23.218°C
18/03/2019 15:39:01,23.656°C
18/03/2019 15:59:01,23.468°C
18/03/2019 16:19:01,23.781°C
18/03/2019 16:39:01,24.281°C
18/03/2019 16:59:01,23.593°C
18/03/2019 17:19:01,23.218°C
18/03/2019 17:39:01,23.093°C
18/03/2019 17:59:01,22.78°C
18/03/2019 18:19:01,22.78°C
18/03/2019 18:39:01,22.718°C
18/03/2019 18:59:01,22.468°C
18/03/2019 19:19:01,22.343°C
18/03/2019 19:39:01,22.28°C
18/03/2019 19:59:01,22.28°C
18/03/2019 20:19:01,22.155°C
18/03/2019 20:39:01,22.155°C
18/03/2019 20:59:01,22.155°C
18/03/2019 21:19:01,22.28°C
18/03/2019 21:39:01,22.343°C
18/03/2019 21:59:01,22.28°C
18/03/2019 22:19:01,22.28°C
18/03/2019 22:39:01,22.28°C
18/03/2019 22:59:01,22.218°C
18/03/2019 23:19:01,22.218°C
18/03/2019 23:39:01,22.343°C
18/03/2019 23:59:01,22.343°C
19/03/2019 00:19:01,22.405°C
19/03/2019 00:39:01,22.343°C
19/03/2019 00:59:01,22.405°C
19/03/2019 01:19:01,22.468°C
19/03/2019 01:39:01,22.53°C
19/03/2019 01:59:01,22.28°C
19/03/2019 02:19:01,22.218°C
19/03/2019 02:39:01,22.155°C
19/03/2019 02:59:01,22.28°C
19/03/2019 03:19:01,22.405°C
19/03/2019 03:39:01,22.405°C
19/03/2019 03:59:01,22.343°C
19/03/2019 04:19:01,22.343°C
19/03/2019 04:39:01,22.28°C
19/03/2019 04:59:01,22.343°C
19/03/2019 05:19:01,22.405°C
19/03/2019 05:39:01,22.343°C
19/03/2019 05:59:01,22.343°C
19/03/2019 06:19:01,22.468°C
19/03/2019 06:39:01,22.405°C
19/03/2019 06:59:01,22.593°C
19/03/2019 07:19:01,22.718°C
19/03/2019 07:39:01,22.78°C
19/03/2019 07:59:01,22.593°C
19/03/2019 08:19:01,22.78°C
19/03/2019 08:39:01,23.718°C
19/03/2019 08:59:01,23.906°C
19/03/2019 09:19:01,23.593°C
19/03/2019 09:39:01,23.906°C
19/03/2019 09:59:01,24.781°C
19/03/2019 10:19:01,24.531°C
19/03/2019 10:39:01,24.281°C
19/03/2019 10:59:01,24.031°C
19/03/2019 11:19:01,24.094°C
19/03/2019 11:39:01,23.593°C
19/03/2019 11:59:01,22.655°C
19/03/2019 12:19:01,22.843°C
19/03/2019 12:39:01,23.156°C
19/03/2019 12:59:01,23.781°C
19/03/2019 13:19:01,23.343°C
19/03/2019 13:39:01,23.781°C
19/03/2019 13:59:01,24.469°C
19/03/2019 14:19:01,24.906°C
19/03/2019 14:39:01,26.156°C
19/03/2019 14:59:01,25.531°C
19/03/2019 15:19:01,24.344°C
19/03/2019 15:39:01,24.844°C
19/03/2019 15:59:01,24.344°C
19/03/2019 16:19:01,24.844°C
19/03/2019 16:39:01,23.781°C
19/03/2019 16:59:01,23.281°C
19/03/2019 17:19:01,22.906°C
19/03/2019 17:39:01,23.468°C
19/03/2019 17:59:01,23.281°C
19/03/2019 18:19:01,23.156°C
19/03/2019 18:39:01,22.906°C
19/03/2019 18:59:01,22.78°C
19/03/2019 19:19:01,22.718°C
19/03/2019 19:39:01,22.718°C
19/03/2019 19:59:01,22.78°C
19/03/2019 20:19:01,21.842°C
19/03/2019 20:39:01,21.655°C
19/03/2019 20:59:01,21.842°C
19/03/2019 21:19:01,22.03°C
19/03/2019 21:39:01,22.155°C
19/03/2019 21:59:01,22.155°C
19/03/2019 22:19:01,22.218°C
19/03/2019 22:39:01,22.155°C
19/03/2019 22:59:01,22.28°C
19/03/2019 23:19:01,22.405°C
19/03/2019 23:39:01,22.155°C
19/03/2019 23:59:01,22.155°C
20/03/2019 00:19:01,22.092°C
20/03/2019 00:39:01,22.092°C
20/03/2019 00:59:01,22.092°C
20/03/2019 01:19:01,21.967°C
20/03/2019 01:39:01,21.967°C
20/03/2019 01:59:01,21.967°C
20/03/2019 02:19:01,22.092°C
20/03/2019 02:39:01,22.155°C
20/03/2019 02:59:01,22.28°C
20/03/2019 03:19:01,22.343°C
20/03/2019 03:39:01,22.03°C
20/03/2019 03:59:01,22.155°C
20/03/2019 04:19:01,22.03°C
20/03/2019 04:39:01,22.03°C
20/03/2019 04:59:01,22.155°C
20/03/2019 05:19:01,22.343°C
20/03/2019 05:39:01,22.28°C
20/03/2019 05:59:01,22.218°C
20/03/2019 06:19:01,22.28°C
20/03/2019 06:39:01,22.28°C
20/03/2019 06:59:01,21.78°C
20/03/2019 07:19:01,21.717°C
20/03/2019 07:39:01,22.092°C
20/03/2019 07:59:01,21.967°C
20/03/2019 08:19:01,22.03°C
20/03/2019 08:39:01,22.343°C
20/03/2019 08:59:01,22.03°C
20/03/2019 09:19:01,22.405°C
20/03/2019 09:39:01,22.718°C
20/03/2019 09:59:01,22.53°C
20/03/2019 10:19:01,23.093°C
20/03/2019 10:39:01,23.281°C
20/03/2019 10:59:01,22.968°C
20/03/2019 11:19:01,23.156°C
20/03/2019 11:39:01,23.093°C
20/03/2019 11:59:01,23.531°C
20/03/2019 12:19:01,23.406°C
20/03/2019 12:39:01,23.406°C
20/03/2019 12:59:01,23.343°C
20/03/2019 13:19:01,23.093°C
20/03/2019 13:39:01,22.968°C
20/03/2019 13:59:01,23.281°C
20/03/2019 14:19:01,23.343°C
20/03/2019 14:39:01,22.968°C
20/03/2019 14:59:01,22.78°C
20/03/2019 15:19:01,22.655°C
20/03/2019 15:39:01,22.655°C
20/03/2019 15:59:01,22.218°C
20/03/2019 16:19:01,21.655°C
20/03/2019 16:39:01,21.279°C
20/03/2019 16:59:01,20.967°C
20/03/2019 17:19:01,21.029°C
20/03/2019 17:39:01,20.904°C
20/03/2019 17:59:01,20.904°C
20/03/2019 18:19:01,20.904°C
20/03/2019 18:39:01,21.154°C
20/03/2019 18:59:01,20.967°C
20/03/2019 19:19:01,20.716°C
20/03/2019 19:39:01,20.654°C
20/03/2019 19:59:01,20.654°C
20/03/2019 20:19:01,20.654°C
