Log Values
Reading , Values
21/04/2019 17:39:01,25.619°C
21/04/2019 17:59:01,25.432°C
21/04/2019 18:19:01,25.369°C
21/04/2019 18:39:01,25.307°C
21/04/2019 18:59:01,25.307°C
21/04/2019 19:19:01,25.307°C
21/04/2019 19:39:01,25.244°C
21/04/2019 19:59:01,25.307°C
21/04/2019 20:19:01,25.307°C
21/04/2019 20:39:01,25.182°C
21/04/2019 20:59:01,25.182°C
21/04/2019 21:19:01,25.119°C
21/04/2019 21:39:01,25.182°C
21/04/2019 21:59:01,25.307°C
21/04/2019 22:19:01,25.307°C
21/04/2019 22:39:01,25.057°C
21/04/2019 22:59:01,24.994°C
21/04/2019 23:19:01,25.119°C
21/04/2019 23:39:01,23.619°C
21/04/2019 23:59:01,23.369°C
22/04/2019 00:19:01,23.244°C
22/04/2019 00:39:01,23.244°C
22/04/2019 00:59:01,23.118°C
22/04/2019 01:19:01,23.118°C
22/04/2019 01:39:01,23.306°C
22/04/2019 01:59:01,23.369°C
22/04/2019 02:19:01,23.556°C
22/04/2019 02:39:01,23.619°C
22/04/2019 02:59:01,23.494°C
22/04/2019 03:19:01,23.431°C
22/04/2019 03:39:01,23.369°C
22/04/2019 03:59:01,23.369°C
22/04/2019 04:19:01,23.369°C
22/04/2019 04:39:01,23.306°C
22/04/2019 04:59:01,23.244°C
22/04/2019 05:19:01,23.244°C
22/04/2019 05:39:01,23.369°C
22/04/2019 05:59:01,23.431°C
22/04/2019 06:19:01,23.369°C
22/04/2019 06:39:01,23.431°C
22/04/2019 06:59:01,23.494°C
22/04/2019 07:19:01,23.494°C
22/04/2019 07:39:01,23.619°C
22/04/2019 07:59:01,23.681°C
22/04/2019 08:19:01,23.806°C
22/04/2019 08:39:01,23.994°C
22/04/2019 08:59:01,24.181°C
22/04/2019 09:19:01,24.369°C
22/04/2019 09:39:01,24.369°C
22/04/2019 09:59:01,24.619°C
22/04/2019 10:19:01,24.744°C
22/04/2019 10:39:01,24.994°C
22/04/2019 10:59:01,25.182°C
22/04/2019 11:19:01,25.432°C
22/04/2019 11:39:01,25.682°C
22/04/2019 11:59:01,25.744°C
22/04/2019 12:19:01,25.869°C
22/04/2019 12:39:01,26.057°C
22/04/2019 12:59:01,26.244°C
22/04/2019 13:19:01,25.932°C
22/04/2019 13:39:01,25.244°C
22/04/2019 13:59:01,25.244°C
22/04/2019 14:19:01,25.557°C
22/04/2019 14:39:01,25.307°C
22/04/2019 14:59:01,25.182°C
22/04/2019 15:19:01,25.244°C
22/04/2019 15:39:01,25.244°C
22/04/2019 15:59:01,25.182°C
22/04/2019 16:19:01,25.057°C
22/04/2019 16:39:01,24.932°C
22/04/2019 16:59:01,24.869°C
22/04/2019 17:19:01,24.744°C
22/04/2019 17:39:01,24.682°C
22/04/2019 17:59:01,24.744°C
22/04/2019 18:19:01,24.682°C
22/04/2019 18:39:01,24.744°C
22/04/2019 18:59:01,24.682°C
22/04/2019 19:19:01,24.744°C
22/04/2019 19:39:01,24.744°C
22/04/2019 19:59:01,24.807°C
22/04/2019 20:19:01,24.807°C
22/04/2019 20:39:01,24.869°C
22/04/2019 20:59:01,24.807°C
22/04/2019 21:19:01,24.807°C
22/04/2019 21:39:01,24.869°C
22/04/2019 21:59:01,24.932°C
22/04/2019 22:19:01,24.932°C
22/04/2019 22:39:01,24.869°C
22/04/2019 22:59:01,24.807°C
22/04/2019 23:19:01,24.807°C
