Log Values
Reading , Values
24/04/2019 21:19:01,23.359°C
24/04/2019 21:39:01,23.171°C
24/04/2019 21:59:01,23.233°C
24/04/2019 22:19:01,23.046°C
24/04/2019 22:39:01,22.671°C
24/04/2019 22:59:01,22.608°C
24/04/2019 23:19:01,22.733°C
24/04/2019 23:39:01,22.796°C
24/04/2019 23:59:01,22.483°C
25/04/2019 00:19:01,21.92°C
25/04/2019 00:39:01,21.67°C
25/04/2019 00:59:01,21.357°C
25/04/2019 01:19:01,21.169°C
25/04/2019 01:39:01,20.731°C
25/04/2019 01:59:01,20.543°C
25/04/2019 02:19:01,20.293°C
25/04/2019 02:39:01,20.543°C
25/04/2019 02:59:01,20.731°C
25/04/2019 03:19:01,21.232°C
25/04/2019 03:39:01,21.357°C
25/04/2019 03:59:01,21.67°C
25/04/2019 04:19:01,22.045°C
25/04/2019 04:39:01,22.233°C
25/04/2019 04:59:01,22.295°C
25/04/2019 05:19:01,22.295°C
25/04/2019 05:39:01,22.045°C
25/04/2019 05:59:01,22.045°C
25/04/2019 06:19:01,22.17°C
25/04/2019 06:39:01,22.233°C
25/04/2019 06:59:01,22.233°C
25/04/2019 07:19:01,22.42°C
25/04/2019 07:39:01,22.983°C
25/04/2019 07:59:01,23.546°C
25/04/2019 08:19:01,25.297°C
25/04/2019 08:39:01,26.422°C
25/04/2019 08:59:01,31.793°C
25/04/2019 09:19:01,28.921°C
25/04/2019 09:39:01,28.983°C
25/04/2019 09:59:01,28.733°C
25/04/2019 10:19:01,31.73°C
25/04/2019 10:39:01,35.349°C
25/04/2019 10:59:01,33.228°C
25/04/2019 11:19:01,31.668°C
25/04/2019 11:39:01,31.855°C
25/04/2019 11:59:01,35.162°C
25/04/2019 12:19:01,32.854°C
25/04/2019 12:39:01,34.601°C
25/04/2019 12:59:01,33.852°C
25/04/2019 13:19:01,35.349°C
25/04/2019 13:39:01,36.035°C
25/04/2019 13:59:01,35.287°C
25/04/2019 14:19:01,35.661°C
25/04/2019 14:39:01,34.039°C
25/04/2019 14:59:01,34.289°C
25/04/2019 15:19:01,35.661°C
25/04/2019 15:39:01,35.474°C
25/04/2019 15:59:01,33.602°C
25/04/2019 16:19:01,30.732°C
25/04/2019 16:39:01,28.671°C
25/04/2019 16:59:01,28.921°C
25/04/2019 17:19:01,26.984°C
25/04/2019 17:39:01,26.672°C
25/04/2019 17:59:01,25.672°C
25/04/2019 18:19:01,24.109°C
25/04/2019 18:39:01,22.858°C
25/04/2019 18:59:01,22.17°C
