Log Values
Reading , Values
25/04/2019 21:19:01,19.95°C
25/04/2019 21:39:01,19.825°C
25/04/2019 21:59:01,19.7°C
25/04/2019 22:19:01,19.324°C
25/04/2019 22:39:01,19.262°C
25/04/2019 22:59:01,19.137°C
25/04/2019 23:19:01,18.949°C
25/04/2019 23:39:01,19.262°C
25/04/2019 23:59:01,19.324°C
26/04/2019 00:19:01,19.387°C
26/04/2019 00:39:01,19.137°C
26/04/2019 00:59:01,18.886°C
26/04/2019 01:19:01,18.761°C
26/04/2019 01:39:01,19.012°C
26/04/2019 01:59:01,19.387°C
26/04/2019 02:19:01,19.512°C
26/04/2019 02:39:01,19.637°C
26/04/2019 02:59:01,19.512°C
26/04/2019 03:19:01,18.949°C
26/04/2019 03:39:01,18.636°C
26/04/2019 03:59:01,18.386°C
26/04/2019 04:19:01,18.135°C
26/04/2019 04:39:01,18.135°C
26/04/2019 04:59:01,18.135°C
26/04/2019 05:19:01,17.948°C
26/04/2019 05:39:01,17.76°C
26/04/2019 05:59:01,17.76°C
26/04/2019 06:19:01,17.697°C
26/04/2019 06:39:01,17.509°C
26/04/2019 06:59:01,17.447°C
26/04/2019 07:19:01,18.198°C
26/04/2019 07:39:01,19.512°C
26/04/2019 07:59:01,21.452°C
26/04/2019 08:19:01,23.89°C
26/04/2019 08:39:01,27.89°C
26/04/2019 08:59:01,27.078°C
26/04/2019 09:19:01,27.765°C
26/04/2019 09:39:01,29.452°C
26/04/2019 09:59:01,35.631°C
26/04/2019 10:19:01,38.25°C
26/04/2019 10:39:01,39.248°C
26/04/2019 10:59:01,39.871°C
26/04/2019 11:19:01,39.497°C
26/04/2019 11:39:01,39.56°C
26/04/2019 11:59:01,37.689°C
26/04/2019 12:19:01,39.996°C
26/04/2019 12:39:01,40.557°C
26/04/2019 12:59:01,40.494°C
26/04/2019 13:19:01,40.806°C
26/04/2019 13:39:01,41.741°C
26/04/2019 13:59:01,42.675°C
26/04/2019 14:19:01,40.931°C
26/04/2019 14:39:01,41.865°C
26/04/2019 14:59:01,38.437°C
26/04/2019 15:19:01,39.435°C
26/04/2019 15:39:01,35.257°C
26/04/2019 15:59:01,33.947°C
26/04/2019 16:19:01,34.82°C
26/04/2019 16:39:01,32.574°C
26/04/2019 16:59:01,33.947°C
26/04/2019 17:19:01,33.135°C
26/04/2019 17:39:01,30.638°C
26/04/2019 17:59:01,28.203°C
26/04/2019 18:19:01,26.203°C
26/04/2019 18:39:01,24.891°C
26/04/2019 18:59:01,24.078°C
26/04/2019 19:19:01,24.078°C
26/04/2019 19:39:01,23.578°C
26/04/2019 19:59:01,23.39°C
26/04/2019 20:19:01,23.39°C
26/04/2019 20:39:01,23.265°C
26/04/2019 20:59:01,23.015°C
26/04/2019 21:19:01,22.452°C
26/04/2019 21:39:01,22.14°C
26/04/2019 21:59:01,21.326°C
26/04/2019 22:19:01,20.701°C
26/04/2019 22:39:01,20.326°C
26/04/2019 22:59:01,19.888°C
26/04/2019 23:19:01,19.637°C
26/04/2019 23:39:01,19.45°C
26/04/2019 23:59:01,19.262°C
27/04/2019 00:19:01,19.137°C
27/04/2019 00:39:01,19.012°C
27/04/2019 00:59:01,19.012°C
27/04/2019 01:19:01,18.949°C
27/04/2019 01:39:01,18.886°C
27/04/2019 01:59:01,18.824°C
27/04/2019 02:19:01,18.699°C
27/04/2019 02:39:01,18.699°C
27/04/2019 02:59:01,18.636°C
