Log Values
Reading , Values
20/05/2019 16:19:01,29.178°C
20/05/2019 16:39:01,27.304°C
20/05/2019 16:59:01,25.305°C
20/05/2019 17:19:01,25.992°C
20/05/2019 17:39:01,24.617°C
20/05/2019 17:59:01,24.179°C
20/05/2019 18:19:01,23.679°C
20/05/2019 18:39:01,23.429°C
20/05/2019 18:59:01,22.991°C
20/05/2019 19:19:01,22.116°C
20/05/2019 19:39:01,22.741°C
20/05/2019 19:59:01,22.366°C
20/05/2019 20:19:01,20.927°C
20/05/2019 20:39:01,19.988°C
20/05/2019 20:59:01,19.863°C
20/05/2019 21:19:01,20.176°C
20/05/2019 21:39:01,19.8°C
20/05/2019 21:59:01,18.173°C
20/05/2019 22:19:01,17.985°C
20/05/2019 22:39:01,19.425°C
20/05/2019 22:59:01,18.549°C
20/05/2019 23:19:01,17.484°C
20/05/2019 23:39:01,16.92°C
20/05/2019 23:59:01,16.607°C
21/05/2019 00:19:01,16.294°C
21/05/2019 00:39:01,15.918°C
21/05/2019 00:59:01,15.856°C
21/05/2019 01:19:01,15.73°C
21/05/2019 01:39:01,15.417°C
21/05/2019 01:59:01,15.354°C
21/05/2019 02:19:01,15.229°C
21/05/2019 02:39:01,14.728°C
21/05/2019 02:59:01,14.665°C
21/05/2019 03:19:01,14.665°C
21/05/2019 03:39:01,14.352°C
21/05/2019 03:59:01,14.352°C
21/05/2019 04:19:01,14.289°C
21/05/2019 04:39:01,14.352°C
21/05/2019 04:59:01,13.976°C
21/05/2019 05:19:01,13.6°C
21/05/2019 05:39:01,13.725°C
21/05/2019 05:59:01,13.6°C
21/05/2019 06:19:01,13.475°C
21/05/2019 06:39:01,13.537°C
21/05/2019 06:59:01,13.537°C
21/05/2019 07:19:01,13.913°C
21/05/2019 07:39:01,15.041°C
21/05/2019 07:59:01,17.922°C
21/05/2019 08:19:01,20.489°C
21/05/2019 08:39:01,23.929°C
21/05/2019 08:59:01,27.304°C
21/05/2019 09:19:01,29.553°C
21/05/2019 09:39:01,30.552°C
21/05/2019 09:59:01,31.176°C
21/05/2019 10:19:01,32.238°C
21/05/2019 10:39:01,30.178°C
21/05/2019 10:59:01,29.99°C
21/05/2019 11:19:01,29.803°C
21/05/2019 11:39:01,30.739°C
21/05/2019 11:59:01,32.799°C
21/05/2019 12:19:01,35.793°C
21/05/2019 12:39:01,34.047°C
21/05/2019 12:59:01,32.487°C
21/05/2019 13:19:01,30.49°C
21/05/2019 13:39:01,33.86°C
21/05/2019 13:59:01,32.425°C
21/05/2019 14:19:01,34.983°C
21/05/2019 14:39:01,35.045°C
21/05/2019 14:59:01,36.479°C
21/05/2019 15:19:01,35.98°C
21/05/2019 15:39:01,35.98°C
21/05/2019 15:59:01,33.361°C
21/05/2019 16:19:01,31.738°C
21/05/2019 16:39:01,30.864°C
21/05/2019 16:59:01,28.366°C
21/05/2019 17:19:01,27.242°C
21/05/2019 17:39:01,25.867°C
21/05/2019 17:59:01,24.867°C
21/05/2019 18:19:01,24.242°C
21/05/2019 18:39:01,23.179°C
21/05/2019 18:59:01,22.491°C
21/05/2019 19:19:01,22.616°C
21/05/2019 19:39:01,21.99°C
21/05/2019 19:59:01,20.802°C
