Log Values
Reading , Values
29/05/2019 15:59:01,17.901°C
29/05/2019 16:19:01,17.839°C
29/05/2019 16:39:01,17.588°C
29/05/2019 16:59:01,17.651°C
29/05/2019 17:19:01,17.526°C
29/05/2019 17:39:01,17.275°C
29/05/2019 17:59:01,17.025°C
29/05/2019 18:19:01,16.712°C
29/05/2019 18:39:01,16.587°C
29/05/2019 18:59:01,16.524°C
29/05/2019 19:19:01,16.524°C
29/05/2019 19:39:01,16.462°C
29/05/2019 19:59:01,16.524°C
29/05/2019 20:19:01,16.524°C
29/05/2019 20:39:01,16.462°C
29/05/2019 20:59:01,16.462°C
29/05/2019 21:19:01,16.462°C
29/05/2019 21:39:01,16.587°C
29/05/2019 21:59:01,16.587°C
29/05/2019 22:19:01,16.65°C
29/05/2019 22:39:01,16.65°C
29/05/2019 22:59:01,16.65°C
29/05/2019 23:19:01,16.65°C
29/05/2019 23:39:01,16.524°C
29/05/2019 23:59:01,16.587°C
30/05/2019 00:19:01,16.524°C
30/05/2019 00:39:01,16.587°C
30/05/2019 00:59:01,16.587°C
30/05/2019 01:19:01,16.587°C
30/05/2019 01:39:01,16.587°C
30/05/2019 01:59:01,16.462°C
30/05/2019 02:19:01,16.337°C
30/05/2019 02:39:01,16.337°C
30/05/2019 02:59:01,16.274°C
30/05/2019 03:19:01,16.274°C
30/05/2019 03:39:01,16.149°C
30/05/2019 03:59:01,16.211°C
30/05/2019 04:19:01,16.211°C
30/05/2019 04:39:01,16.149°C
30/05/2019 04:59:01,16.149°C
30/05/2019 05:19:01,16.086°C
30/05/2019 05:39:01,16.086°C
30/05/2019 05:59:01,16.211°C
30/05/2019 06:19:01,16.211°C
30/05/2019 06:39:01,16.149°C
30/05/2019 06:59:01,16.149°C
30/05/2019 07:19:01,16.211°C
30/05/2019 07:39:01,16.274°C
30/05/2019 07:59:01,16.337°C
30/05/2019 08:19:01,16.399°C
30/05/2019 08:39:01,16.399°C
30/05/2019 08:59:01,16.462°C
30/05/2019 09:19:01,16.587°C
30/05/2019 09:39:01,16.9°C
30/05/2019 09:59:01,17.025°C
30/05/2019 10:19:01,17.213°C
30/05/2019 10:39:01,17.401°C
30/05/2019 10:59:01,17.588°C
