Log Values
Reading , Values
26/06/2019 14:39:01,20.003°C
26/06/2019 14:59:01,20.128°C
26/06/2019 15:19:01,19.19°C
26/06/2019 15:39:01,18.689°C
26/06/2019 15:59:01,18.251°C
26/06/2019 16:19:01,17.75°C
26/06/2019 16:39:01,17.312°C
26/06/2019 16:59:01,17.124°C
26/06/2019 17:19:01,16.748°C
26/06/2019 17:39:01,16.435°C
26/06/2019 17:59:01,15.934°C
26/06/2019 18:19:01,15.621°C
26/06/2019 18:39:01,15.434°C
26/06/2019 18:59:01,15.12°C
26/06/2019 19:19:01,14.745°C
26/06/2019 19:39:01,14.557°C
26/06/2019 19:59:01,14.557°C
26/06/2019 20:19:01,14.306°C
26/06/2019 20:39:01,14.244°C
26/06/2019 20:59:01,14.369°C
26/06/2019 21:19:01,14.369°C
26/06/2019 21:39:01,14.244°C
26/06/2019 21:59:01,14.118°C
26/06/2019 22:19:01,13.93°C
26/06/2019 22:39:01,13.742°C
26/06/2019 22:59:01,13.617°C
26/06/2019 23:19:01,13.742°C
26/06/2019 23:39:01,13.868°C
26/06/2019 23:59:01,13.93°C
27/06/2019 00:19:01,13.993°C
27/06/2019 00:39:01,13.93°C
27/06/2019 00:59:01,13.993°C
27/06/2019 01:19:01,14.056°C
27/06/2019 01:39:01,14.118°C
27/06/2019 01:59:01,14.181°C
27/06/2019 02:19:01,14.244°C
27/06/2019 02:39:01,14.244°C
27/06/2019 02:59:01,14.244°C
27/06/2019 03:19:01,14.369°C
27/06/2019 03:39:01,14.369°C
27/06/2019 03:59:01,14.244°C
27/06/2019 04:19:01,14.181°C
27/06/2019 04:39:01,14.306°C
27/06/2019 04:59:01,14.369°C
27/06/2019 05:19:01,14.369°C
27/06/2019 05:39:01,14.306°C
27/06/2019 05:59:01,14.181°C
27/06/2019 06:19:01,14.118°C
27/06/2019 06:39:01,14.056°C
27/06/2019 06:59:01,14.118°C
27/06/2019 07:19:01,14.181°C
27/06/2019 07:39:01,14.306°C
27/06/2019 07:59:01,14.369°C
27/06/2019 08:19:01,14.557°C
27/06/2019 08:39:01,14.682°C
27/06/2019 08:59:01,14.745°C
27/06/2019 09:19:01,14.995°C
27/06/2019 09:39:01,15.246°C
27/06/2019 09:59:01,15.434°C
27/06/2019 10:19:01,15.809°C
27/06/2019 10:39:01,17.249°C
27/06/2019 10:59:01,17.687°C
27/06/2019 11:19:01,18.313°C
