Log Values
Reading , Values
26/06/2019 14:39:01,22.055°C
26/06/2019 14:59:01,19.928°C
26/06/2019 15:19:01,19.615°C
26/06/2019 15:39:01,19.428°C
26/06/2019 15:59:01,21.617°C
26/06/2019 16:19:01,19.177°C
26/06/2019 16:39:01,17.863°C
26/06/2019 16:59:01,17.424°C
26/06/2019 17:19:01,17.049°C
26/06/2019 17:39:01,16.548°C
26/06/2019 17:59:01,16.047°C
26/06/2019 18:19:01,15.734°C
26/06/2019 18:39:01,15.483°C
26/06/2019 18:59:01,15.233°C
26/06/2019 19:19:01,14.731°C
26/06/2019 19:39:01,14.544°C
26/06/2019 19:59:01,14.481°C
26/06/2019 20:19:01,14.293°C
26/06/2019 20:39:01,14.168°C
26/06/2019 20:59:01,14.293°C
26/06/2019 21:19:01,14.356°C
26/06/2019 21:39:01,14.23°C
26/06/2019 21:59:01,14.042°C
26/06/2019 22:19:01,13.98°C
26/06/2019 22:39:01,13.666°C
26/06/2019 22:59:01,13.416°C
26/06/2019 23:19:01,13.541°C
26/06/2019 23:39:01,13.729°C
26/06/2019 23:59:01,13.729°C
27/06/2019 00:19:01,13.917°C
27/06/2019 00:39:01,13.917°C
27/06/2019 00:59:01,13.854°C
27/06/2019 01:19:01,13.917°C
27/06/2019 01:39:01,13.98°C
27/06/2019 01:59:01,14.042°C
27/06/2019 02:19:01,14.168°C
27/06/2019 02:39:01,14.105°C
27/06/2019 02:59:01,14.105°C
27/06/2019 03:19:01,14.293°C
27/06/2019 03:39:01,14.356°C
27/06/2019 03:59:01,14.23°C
27/06/2019 04:19:01,14.105°C
27/06/2019 04:39:01,14.168°C
27/06/2019 04:59:01,14.356°C
27/06/2019 05:19:01,14.356°C
27/06/2019 05:39:01,14.293°C
27/06/2019 05:59:01,14.168°C
27/06/2019 06:19:01,14.042°C
27/06/2019 06:39:01,13.98°C
27/06/2019 06:59:01,13.98°C
27/06/2019 07:19:01,14.105°C
27/06/2019 07:39:01,14.293°C
27/06/2019 07:59:01,14.356°C
27/06/2019 08:19:01,14.544°C
27/06/2019 08:39:01,14.731°C
27/06/2019 08:59:01,14.794°C
27/06/2019 09:19:01,15.045°C
27/06/2019 09:39:01,15.358°C
27/06/2019 09:59:01,15.608°C
27/06/2019 10:19:01,15.984°C
27/06/2019 10:39:01,17.299°C
27/06/2019 10:59:01,17.8°C
27/06/2019 11:19:01,18.989°C
27/06/2019 11:39:01,19.991°C
27/06/2019 11:59:01,22.18°C
27/06/2019 12:19:01,20.366°C
27/06/2019 12:39:01,18.426°C
27/06/2019 12:59:01,18.426°C
27/06/2019 13:19:01,18.551°C
27/06/2019 13:39:01,18.176°C
27/06/2019 13:59:01,18.301°C
27/06/2019 14:19:01,18.238°C
27/06/2019 14:39:01,19.115°C
27/06/2019 14:59:01,18.676°C
27/06/2019 15:19:01,18.113°C
27/06/2019 15:39:01,17.925°C
27/06/2019 15:59:01,17.55°C
27/06/2019 16:19:01,17.8°C
27/06/2019 16:39:01,17.8°C
27/06/2019 16:59:01,17.8°C
27/06/2019 17:19:01,17.049°C
27/06/2019 17:39:01,16.36°C
27/06/2019 17:59:01,15.859°C
27/06/2019 18:19:01,15.546°C
27/06/2019 18:39:01,15.295°C
27/06/2019 18:59:01,15.17°C
27/06/2019 19:19:01,15.107°C
27/06/2019 19:39:01,14.982°C
27/06/2019 19:59:01,14.857°C
27/06/2019 20:19:01,14.669°C
27/06/2019 20:39:01,14.418°C
27/06/2019 20:59:01,14.23°C
27/06/2019 21:19:01,14.042°C
27/06/2019 21:39:01,13.792°C
27/06/2019 21:59:01,13.792°C
27/06/2019 22:19:01,13.792°C
27/06/2019 22:39:01,13.541°C
27/06/2019 22:59:01,13.541°C
27/06/2019 23:19:01,13.604°C
27/06/2019 23:39:01,13.666°C
27/06/2019 23:59:01,13.729°C
28/06/2019 00:19:01,13.98°C
28/06/2019 00:39:01,14.23°C
28/06/2019 00:59:01,14.418°C
28/06/2019 01:19:01,14.544°C
28/06/2019 01:39:01,14.606°C
28/06/2019 01:59:01,14.606°C
28/06/2019 02:19:01,14.544°C
28/06/2019 02:39:01,14.544°C
28/06/2019 02:59:01,14.544°C
28/06/2019 03:19:01,14.606°C
28/06/2019 03:39:01,14.794°C
28/06/2019 03:59:01,14.857°C
28/06/2019 04:19:01,14.919°C
28/06/2019 04:39:01,14.982°C
28/06/2019 04:59:01,15.045°C
28/06/2019 05:19:01,15.233°C
28/06/2019 05:39:01,15.358°C
28/06/2019 05:59:01,15.358°C
28/06/2019 06:19:01,15.483°C
28/06/2019 06:39:01,15.421°C
28/06/2019 06:59:01,15.358°C
28/06/2019 07:19:01,15.483°C
28/06/2019 07:39:01,15.608°C
28/06/2019 07:59:01,15.671°C
28/06/2019 08:19:01,15.671°C
28/06/2019 08:39:01,15.546°C
28/06/2019 08:59:01,15.796°C
28/06/2019 09:19:01,16.235°C
28/06/2019 09:39:01,16.485°C
28/06/2019 09:59:01,17.362°C
28/06/2019 10:19:01,18.989°C
28/06/2019 10:39:01,18.113°C
28/06/2019 10:59:01,18.739°C
28/06/2019 11:19:01,19.74°C
28/06/2019 11:39:01,21.43°C
28/06/2019 11:59:01,24.432°C
28/06/2019 12:19:01,22.368°C
28/06/2019 12:39:01,21.43°C
28/06/2019 12:59:01,23.306°C
28/06/2019 13:19:01,24.244°C
28/06/2019 13:39:01,23.056°C
28/06/2019 13:59:01,21.617°C
28/06/2019 14:19:01,22.368°C
28/06/2019 14:39:01,24.494°C
28/06/2019 14:59:01,22.305°C
28/06/2019 15:19:01,21.805°C
28/06/2019 15:39:01,21.305°C
28/06/2019 15:59:01,22.055°C
28/06/2019 16:19:01,20.366°C
28/06/2019 16:39:01,20.178°C
28/06/2019 16:59:01,19.428°C
28/06/2019 17:19:01,19.052°C
28/06/2019 17:39:01,18.927°C
28/06/2019 17:59:01,18.426°C
28/06/2019 18:19:01,18.051°C
28/06/2019 18:39:01,18.051°C
28/06/2019 18:59:01,17.925°C
28/06/2019 19:19:01,17.988°C
28/06/2019 19:39:01,17.988°C
28/06/2019 19:59:01,17.988°C
28/06/2019 20:19:01,17.863°C
28/06/2019 20:39:01,17.8°C
28/06/2019 20:59:01,17.737°C
28/06/2019 21:19:01,17.737°C
28/06/2019 21:39:01,17.612°C
28/06/2019 21:59:01,17.55°C
28/06/2019 22:19:01,17.487°C
28/06/2019 22:39:01,17.487°C
28/06/2019 22:59:01,17.487°C
28/06/2019 23:19:01,17.424°C
28/06/2019 23:39:01,17.362°C
28/06/2019 23:59:01,17.299°C
29/06/2019 00:19:01,17.174°C
29/06/2019 00:39:01,17.237°C
29/06/2019 00:59:01,17.049°C
29/06/2019 01:19:01,16.986°C
29/06/2019 01:39:01,16.986°C
29/06/2019 01:59:01,16.924°C
29/06/2019 02:19:01,16.798°C
29/06/2019 02:39:01,16.736°C
29/06/2019 02:59:01,16.736°C
29/06/2019 03:19:01,16.673°C
29/06/2019 03:39:01,16.548°C
29/06/2019 03:59:01,16.36°C
29/06/2019 04:19:01,16.047°C
29/06/2019 04:39:01,15.859°C
29/06/2019 04:59:01,15.734°C
29/06/2019 05:19:01,15.671°C
29/06/2019 05:39:01,15.796°C
29/06/2019 05:59:01,15.859°C
29/06/2019 06:19:01,15.859°C
29/06/2019 06:39:01,15.922°C
29/06/2019 06:59:01,15.859°C
29/06/2019 07:19:01,15.859°C
29/06/2019 07:39:01,15.608°C
29/06/2019 07:59:01,15.734°C
29/06/2019 08:19:01,15.295°C
29/06/2019 08:39:01,15.483°C
29/06/2019 08:59:01,15.922°C
29/06/2019 09:19:01,16.047°C
29/06/2019 09:39:01,15.734°C
29/06/2019 09:59:01,16.235°C
29/06/2019 10:19:01,16.485°C
29/06/2019 10:39:01,16.109°C
29/06/2019 10:59:01,16.548°C
29/06/2019 11:19:01,16.673°C
29/06/2019 11:39:01,18.051°C
29/06/2019 11:59:01,18.426°C
29/06/2019 12:19:01,18.051°C
29/06/2019 12:39:01,18.301°C
29/06/2019 12:59:01,17.925°C
29/06/2019 13:19:01,17.863°C
29/06/2019 13:39:01,18.176°C
29/06/2019 13:59:01,18.676°C
29/06/2019 14:19:01,18.989°C
29/06/2019 14:39:01,18.614°C
29/06/2019 14:59:01,18.176°C
29/06/2019 15:19:01,18.176°C
29/06/2019 15:39:01,18.051°C
29/06/2019 15:59:01,18.238°C
29/06/2019 16:19:01,17.612°C
29/06/2019 16:39:01,17.299°C
29/06/2019 16:59:01,17.362°C
29/06/2019 17:19:01,16.673°C
29/06/2019 17:39:01,16.423°C
29/06/2019 17:59:01,16.109°C
29/06/2019 18:19:01,15.734°C
29/06/2019 18:39:01,15.546°C
29/06/2019 18:59:01,15.546°C
29/06/2019 19:19:01,15.546°C
29/06/2019 19:39:01,15.17°C
29/06/2019 19:59:01,14.857°C
29/06/2019 20:19:01,14.857°C
29/06/2019 20:39:01,14.857°C
29/06/2019 20:59:01,14.731°C
29/06/2019 21:19:01,14.356°C
29/06/2019 21:39:01,14.23°C
29/06/2019 21:59:01,14.042°C
29/06/2019 22:19:01,13.98°C
29/06/2019 22:39:01,13.792°C
29/06/2019 22:59:01,13.729°C
29/06/2019 23:19:01,13.666°C
29/06/2019 23:39:01,13.478°C
29/06/2019 23:59:01,13.353°C
30/06/2019 00:19:01,13.165°C
30/06/2019 00:39:01,13.04°C
30/06/2019 00:59:01,12.726°C
30/06/2019 01:19:01,12.476°C
30/06/2019 01:39:01,12.288°C
30/06/2019 01:59:01,12.35°C
30/06/2019 02:19:01,12.35°C
30/06/2019 02:39:01,12.35°C
30/06/2019 02:59:01,12.225°C
30/06/2019 03:19:01,12.288°C
30/06/2019 03:39:01,12.601°C
30/06/2019 03:59:01,12.852°C
30/06/2019 04:19:01,12.914°C
30/06/2019 04:39:01,12.789°C
30/06/2019 04:59:01,12.601°C
30/06/2019 05:19:01,12.726°C
30/06/2019 05:39:01,12.726°C
30/06/2019 05:59:01,12.664°C
