Log Values
Reading , Values
26/06/2019 16:59:01,24.422°C
26/06/2019 17:19:01,23.233°C
26/06/2019 17:39:01,22.483°C
26/06/2019 17:59:01,21.357°C
26/06/2019 18:19:01,20.481°C
26/06/2019 18:39:01,20.356°C
26/06/2019 18:59:01,20.23°C
26/06/2019 19:19:01,20.23°C
26/06/2019 19:39:01,20.105°C
26/06/2019 19:59:01,19.479°C
26/06/2019 20:19:01,18.415°C
26/06/2019 20:39:01,18.415°C
26/06/2019 20:59:01,17.977°C
26/06/2019 21:19:01,18.039°C
26/06/2019 21:39:01,17.914°C
26/06/2019 21:59:01,17.1°C
26/06/2019 22:19:01,16.724°C
26/06/2019 22:39:01,17.225°C
26/06/2019 22:59:01,17.664°C
26/06/2019 23:19:01,17.476°C
26/06/2019 23:39:01,15.784°C
26/06/2019 23:59:01,14.469°C
27/06/2019 00:19:01,13.591°C
27/06/2019 00:39:01,12.964°C
27/06/2019 00:59:01,12.839°C
27/06/2019 01:19:01,12.086°C
27/06/2019 01:39:01,11.522°C
27/06/2019 01:59:01,11.522°C
27/06/2019 02:19:01,11.898°C
27/06/2019 02:39:01,13.466°C
27/06/2019 02:59:01,13.591°C
27/06/2019 03:19:01,14.281°C
27/06/2019 03:39:01,14.469°C
27/06/2019 03:59:01,14.594°C
27/06/2019 04:19:01,14.845°C
27/06/2019 04:39:01,15.471°C
27/06/2019 04:59:01,15.534°C
27/06/2019 05:19:01,15.471°C
27/06/2019 05:39:01,15.534°C
27/06/2019 05:59:01,14.531°C
27/06/2019 06:19:01,14.406°C
27/06/2019 06:39:01,14.281°C
27/06/2019 06:59:01,13.967°C
27/06/2019 07:19:01,13.967°C
27/06/2019 07:39:01,14.719°C
27/06/2019 07:59:01,17.35°C
27/06/2019 08:19:01,20.168°C
27/06/2019 08:39:01,23.421°C
27/06/2019 08:59:01,24.672°C
27/06/2019 09:19:01,22.921°C
27/06/2019 09:39:01,22.796°C
27/06/2019 09:59:01,23.484°C
27/06/2019 10:19:01,23.859°C
27/06/2019 10:39:01,26.859°C
27/06/2019 10:59:01,27.672°C
27/06/2019 11:19:01,28.234°C
27/06/2019 11:39:01,28.983°C
27/06/2019 11:59:01,30.107°C
27/06/2019 12:19:01,28.171°C
27/06/2019 12:39:01,28.109°C
27/06/2019 12:59:01,30.544°C
27/06/2019 13:19:01,31.044°C
27/06/2019 13:39:01,29.545°C
27/06/2019 13:59:01,29.608°C
