Log Values
Reading , Values
26/06/2019 17:59:01,22.868°C
26/06/2019 18:19:01,22.305°C
26/06/2019 18:39:01,22.431°C
26/06/2019 18:59:01,22.305°C
26/06/2019 19:19:01,22.305°C
26/06/2019 19:39:01,21.367°C
26/06/2019 19:59:01,20.867°C
26/06/2019 20:19:01,19.615°C
26/06/2019 20:39:01,18.676°C
26/06/2019 20:59:01,16.924°C
26/06/2019 21:19:01,16.548°C
26/06/2019 21:39:01,16.36°C
26/06/2019 21:59:01,15.546°C
26/06/2019 22:19:01,15.107°C
26/06/2019 22:39:01,15.107°C
26/06/2019 22:59:01,14.293°C
26/06/2019 23:19:01,15.421°C
26/06/2019 23:39:01,14.794°C
26/06/2019 23:59:01,14.669°C
27/06/2019 00:19:01,14.731°C
27/06/2019 00:39:01,13.541°C
27/06/2019 00:59:01,13.04°C
27/06/2019 01:19:01,12.601°C
27/06/2019 01:39:01,12.35°C
27/06/2019 01:59:01,12.162°C
27/06/2019 02:19:01,12.037°C
27/06/2019 02:39:01,11.912°C
27/06/2019 02:59:01,11.661°C
27/06/2019 03:19:01,11.535°C
27/06/2019 03:39:01,11.41°C
27/06/2019 03:59:01,11.222°C
27/06/2019 04:19:01,11.097°C
27/06/2019 04:39:01,11.097°C
27/06/2019 04:59:01,10.72°C
27/06/2019 05:19:01,10.971°C
27/06/2019 05:39:01,11.222°C
27/06/2019 05:59:01,11.535°C
27/06/2019 06:19:01,11.473°C
27/06/2019 06:39:01,11.159°C
27/06/2019 06:59:01,11.598°C
27/06/2019 07:19:01,11.849°C
27/06/2019 07:39:01,12.914°C
27/06/2019 07:59:01,15.107°C
27/06/2019 08:19:01,18.301°C
27/06/2019 08:39:01,21.492°C
27/06/2019 08:59:01,24.619°C
27/06/2019 09:19:01,26.432°C
27/06/2019 09:39:01,28.993°C
27/06/2019 09:59:01,29.18°C
27/06/2019 10:19:01,30.055°C
27/06/2019 10:39:01,29.867°C
27/06/2019 10:59:01,29.617°C
27/06/2019 11:19:01,30.554°C
27/06/2019 11:39:01,31.803°C
27/06/2019 11:59:01,31.99°C
27/06/2019 12:19:01,32.177°C
27/06/2019 12:39:01,31.927°C
27/06/2019 12:59:01,30.304°C
27/06/2019 13:19:01,31.615°C
27/06/2019 13:39:01,33.113°C
27/06/2019 13:59:01,34.985°C
27/06/2019 14:19:01,34.486°C
27/06/2019 14:39:01,32.427°C
27/06/2019 14:59:01,33.363°C
27/06/2019 15:19:01,33.113°C
27/06/2019 15:39:01,30.679°C
27/06/2019 15:59:01,30.304°C
27/06/2019 16:19:01,28.931°C
27/06/2019 16:39:01,28.243°C
27/06/2019 16:59:01,26.432°C
27/06/2019 17:19:01,25.057°C
27/06/2019 17:39:01,23.681°C
27/06/2019 17:59:01,22.368°C
27/06/2019 18:19:01,21.492°C
27/06/2019 18:39:01,20.867°C
27/06/2019 18:59:01,20.053°C
27/06/2019 19:19:01,20.304°C
27/06/2019 19:39:01,20.053°C
27/06/2019 19:59:01,19.615°C
27/06/2019 20:19:01,19.615°C
27/06/2019 20:39:01,19.115°C
27/06/2019 20:59:01,18.176°C
27/06/2019 21:19:01,17.675°C
27/06/2019 21:39:01,16.861°C
27/06/2019 21:59:01,15.734°C
27/06/2019 22:19:01,14.794°C
27/06/2019 22:39:01,14.293°C
27/06/2019 22:59:01,13.854°C
27/06/2019 23:19:01,13.353°C
27/06/2019 23:39:01,13.04°C
27/06/2019 23:59:01,12.601°C
28/06/2019 00:19:01,12.726°C
28/06/2019 00:39:01,12.476°C
28/06/2019 00:59:01,12.1°C
28/06/2019 01:19:01,11.912°C
28/06/2019 01:39:01,11.849°C
28/06/2019 01:59:01,11.724°C
28/06/2019 02:19:01,11.473°C
28/06/2019 02:39:01,11.535°C
28/06/2019 02:59:01,11.347°C
28/06/2019 03:19:01,11.661°C
28/06/2019 03:39:01,12.601°C
28/06/2019 03:59:01,13.102°C
28/06/2019 04:19:01,13.98°C
28/06/2019 04:39:01,14.23°C
28/06/2019 04:59:01,14.669°C
28/06/2019 05:19:01,14.23°C
28/06/2019 05:39:01,12.914°C
28/06/2019 05:59:01,12.601°C
28/06/2019 06:19:01,12.35°C
28/06/2019 06:39:01,12.037°C
28/06/2019 06:59:01,11.849°C
28/06/2019 07:19:01,11.912°C
28/06/2019 07:39:01,13.353°C
28/06/2019 07:59:01,17.424°C
28/06/2019 08:19:01,21.868°C
28/06/2019 08:39:01,25.119°C
28/06/2019 08:59:01,25.369°C
28/06/2019 09:19:01,26.994°C
28/06/2019 09:39:01,29.368°C
28/06/2019 09:59:01,29.867°C
28/06/2019 10:19:01,28.493°C
28/06/2019 10:39:01,30.429°C
28/06/2019 10:59:01,30.866°C
28/06/2019 11:19:01,32.052°C
28/06/2019 11:39:01,33.488°C
28/06/2019 11:59:01,34.361°C
28/06/2019 12:19:01,33.113°C
28/06/2019 12:39:01,34.673°C
28/06/2019 12:59:01,30.991°C
28/06/2019 13:19:01,34.236°C
28/06/2019 13:39:01,34.299°C
28/06/2019 13:59:01,35.671°C
28/06/2019 14:19:01,36.918°C
28/06/2019 14:39:01,35.421°C
28/06/2019 14:59:01,35.359°C
28/06/2019 15:19:01,34.86°C
28/06/2019 15:39:01,34.111°C
28/06/2019 15:59:01,33.675°C
28/06/2019 16:19:01,33.238°C
28/06/2019 16:39:01,30.492°C
28/06/2019 16:59:01,30.617°C
28/06/2019 17:19:01,29.992°C
28/06/2019 17:39:01,28.119°C
28/06/2019 17:59:01,25.744°C
28/06/2019 18:19:01,25.307°C
28/06/2019 18:39:01,24.306°C
28/06/2019 18:59:01,23.744°C
28/06/2019 19:19:01,23.619°C
28/06/2019 19:39:01,22.243°C
28/06/2019 19:59:01,21.993°C
28/06/2019 20:19:01,22.305°C
28/06/2019 20:39:01,22.743°C
28/06/2019 20:59:01,22.868°C
28/06/2019 21:19:01,22.743°C
28/06/2019 21:39:01,22.806°C
28/06/2019 21:59:01,22.743°C
28/06/2019 22:19:01,21.68°C
28/06/2019 22:39:01,21.617°C
28/06/2019 22:59:01,22.055°C
28/06/2019 23:19:01,21.805°C
28/06/2019 23:39:01,22.18°C
28/06/2019 23:59:01,21.367°C
29/06/2019 00:19:01,21.93°C
29/06/2019 00:39:01,22.18°C
29/06/2019 00:59:01,22.431°C
29/06/2019 01:19:01,22.118°C
29/06/2019 01:39:01,21.93°C
29/06/2019 01:59:01,21.68°C
29/06/2019 02:19:01,21.93°C
29/06/2019 02:39:01,21.993°C
29/06/2019 02:59:01,21.805°C
29/06/2019 03:19:01,21.868°C
29/06/2019 03:39:01,21.868°C
29/06/2019 03:59:01,21.93°C
29/06/2019 04:19:01,21.68°C
29/06/2019 04:39:01,21.305°C
29/06/2019 04:59:01,21.617°C
29/06/2019 05:19:01,21.617°C
29/06/2019 05:39:01,20.992°C
29/06/2019 05:59:01,21.117°C
29/06/2019 06:19:01,20.742°C
29/06/2019 06:39:01,20.742°C
29/06/2019 06:59:01,21.054°C
29/06/2019 07:19:01,20.867°C
29/06/2019 07:39:01,20.804°C
29/06/2019 07:59:01,20.867°C
29/06/2019 08:19:01,23.056°C
29/06/2019 08:39:01,25.994°C
29/06/2019 08:59:01,28.056°C
29/06/2019 09:19:01,27.744°C
29/06/2019 09:39:01,28.119°C
29/06/2019 09:59:01,29.305°C
29/06/2019 10:19:01,30.304°C
29/06/2019 10:39:01,29.93°C
29/06/2019 10:59:01,29.243°C
29/06/2019 11:19:01,30.492°C
29/06/2019 11:39:01,29.93°C
29/06/2019 11:59:01,29.055°C
29/06/2019 12:19:01,31.99°C
29/06/2019 12:39:01,34.111°C
29/06/2019 12:59:01,31.74°C
29/06/2019 13:19:01,31.366°C
29/06/2019 13:39:01,32.427°C
29/06/2019 13:59:01,31.865°C
29/06/2019 14:19:01,30.055°C
29/06/2019 14:39:01,29.305°C
29/06/2019 14:59:01,31.927°C
29/06/2019 15:19:01,33.924°C
29/06/2019 15:39:01,30.179°C
29/06/2019 15:59:01,29.742°C
29/06/2019 16:19:01,30.429°C
29/06/2019 16:39:01,28.743°C
29/06/2019 16:59:01,27.994°C
29/06/2019 17:19:01,27.306°C
29/06/2019 17:39:01,25.807°C
29/06/2019 17:59:01,23.431°C
29/06/2019 18:19:01,21.805°C
29/06/2019 18:39:01,21.054°C
29/06/2019 18:59:01,20.366°C
29/06/2019 19:19:01,20.178°C
29/06/2019 19:39:01,20.116°C
29/06/2019 19:59:01,19.615°C
29/06/2019 20:19:01,19.678°C
29/06/2019 20:39:01,19.428°C
29/06/2019 20:59:01,19.115°C
29/06/2019 21:19:01,18.864°C
