site,SampleID,Species.Code,Etime,CO2d_ppm,CH4d_ppm,CO2_resp_outlier,CH4_resp_outlier
DRO,523,CASU,0,468.8187,1.746893,nonsignificant fit,nonsignificant fit
DRO,523,CASU,1,468.5921,1.747472,nonsignificant fit,nonsignificant fit
DRO,523,CASU,2,468.8587,1.747007,nonsignificant fit,nonsignificant fit
DRO,523,CASU,3,468.605,1.746746,nonsignificant fit,nonsignificant fit
DRO,523,CASU,4,468.4682,1.745481,nonsignificant fit,nonsignificant fit
DRO,523,CASU,5,468.7141,1.745507,nonsignificant fit,nonsignificant fit
DRO,523,CASU,6,468.4115,1.746357,nonsignificant fit,nonsignificant fit
DRO,523,CASU,7,468.486,1.744587,nonsignificant fit,nonsignificant fit
DRO,523,CASU,8,468.2031,1.744905,nonsignificant fit,nonsignificant fit
DRO,523,CASU,9,468.7902,1.745333,nonsignificant fit,nonsignificant fit
DRO,523,CASU,10,468.4878,1.746682,nonsignificant fit,nonsignificant fit
DRO,523,CASU,11,468.5134,1.747435,nonsignificant fit,nonsignificant fit
DRO,523,CASU,12,468.9639,1.747826,nonsignificant fit,nonsignificant fit
DRO,523,CASU,13,468.4491,1.746626,nonsignificant fit,nonsignificant fit
DRO,523,CASU,14,468.6495,1.745665,nonsignificant fit,nonsignificant fit
DRO,523,CASU,15,468.3822,1.747126,nonsignificant fit,nonsignificant fit
DRO,523,CASU,16,468.4557,1.748019,nonsignificant fit,nonsignificant fit
DRO,523,CASU,17,468.5839,1.746062,nonsignificant fit,nonsignificant fit
DRO,523,CASU,18,467.9359,1.746999,nonsignificant fit,nonsignificant fit
DRO,523,CASU,19,468.684,1.747805,nonsignificant fit,nonsignificant fit
DRO,523,CASU,20,468.3612,1.746634,nonsignificant fit,nonsignificant fit
DRO,523,CASU,21,468.8884,1.746652,nonsignificant fit,nonsignificant fit
DRO,523,CASU,22,468.1957,1.745634,nonsignificant fit,nonsignificant fit
DRO,523,CASU,23,468.3253,1.746061,nonsignificant fit,nonsignificant fit
DRO,523,CASU,24,468.4746,1.745348,nonsignificant fit,nonsignificant fit
DRO,523,CASU,25,467.9853,1.746427,nonsignificant fit,nonsignificant fit
DRO,523,CASU,26,468.5745,1.747003,nonsignificant fit,nonsignificant fit
DRO,523,CASU,27,468.6068,1.746543,nonsignificant fit,nonsignificant fit
DRO,523,CASU,28,468.3574,1.744942,nonsignificant fit,nonsignificant fit
DRO,523,CASU,29,468.163,1.745216,nonsignificant fit,nonsignificant fit
DRO,523,CASU,30,468.4028,1.747018,nonsignificant fit,nonsignificant fit
DRO,523,CASU,31,468.3288,1.746554,nonsignificant fit,nonsignificant fit
DRO,523,CASU,32,468.6429,1.748603,nonsignificant fit,nonsignificant fit
DRO,523,CASU,33,468.563,1.745929,nonsignificant fit,nonsignificant fit
DRO,523,CASU,34,468.6713,1.747199,nonsignificant fit,nonsignificant fit
DRO,523,CASU,35,468.7832,1.746474,nonsignificant fit,nonsignificant fit
DRO,523,CASU,36,468.7724,1.747958,nonsignificant fit,nonsignificant fit
DRO,523,CASU,37,468.7003,1.747245,nonsignificant fit,nonsignificant fit
DRO,523,CASU,38,468.6833,1.747375,nonsignificant fit,nonsignificant fit
DRO,523,CASU,39,468.2095,1.745877,nonsignificant fit,nonsignificant fit
DRO,523,CASU,40,468.527,1.747784,nonsignificant fit,nonsignificant fit
DRO,523,CASU,41,468.496,1.746671,nonsignificant fit,nonsignificant fit
DRO,523,CASU,42,468.4971,1.745027,nonsignificant fit,nonsignificant fit
DRO,523,CASU,43,468.7573,1.746101,nonsignificant fit,nonsignificant fit
DRO,523,CASU,44,468.3342,1.746487,nonsignificant fit,nonsignificant fit
DRO,523,CASU,45,468.6802,1.746923,nonsignificant fit,nonsignificant fit
DRO,523,CASU,46,468.5719,1.746447,nonsignificant fit,nonsignificant fit
DRO,523,CASU,47,468.2842,1.745515,nonsignificant fit,nonsignificant fit
DRO,523,CASU,48,468.5629,1.746648,nonsignificant fit,nonsignificant fit
DRO,523,CASU,49,468.7285,1.747457,nonsignificant fit,nonsignificant fit
DRO,523,CASU,50,468.8383,1.746727,nonsignificant fit,nonsignificant fit
DRO,523,CASU,51,468.498,1.744754,nonsignificant fit,nonsignificant fit
DRO,523,CASU,52,468.3641,1.74613,nonsignificant fit,nonsignificant fit
DRO,523,CASU,53,468.3395,1.747987,nonsignificant fit,nonsignificant fit
DRO,523,CASU,54,468.2529,1.746719,nonsignificant fit,nonsignificant fit
DRO,523,CASU,55,468.6515,1.746642,nonsignificant fit,nonsignificant fit
DRO,523,CASU,56,468.343,1.746273,nonsignificant fit,nonsignificant fit
DRO,523,CASU,57,468.9842,1.748706,nonsignificant fit,nonsignificant fit
DRO,523,CASU,58,468.25,1.745885,nonsignificant fit,nonsignificant fit
DRO,523,CASU,59,468.715,1.745483,nonsignificant fit,nonsignificant fit
DRO,523,CASU,60,468.182,1.748345,nonsignificant fit,nonsignificant fit
DRO,523,CASU,61,468.3599,1.748448,nonsignificant fit,nonsignificant fit
DRO,523,CASU,62,468.2701,1.74569,nonsignificant fit,nonsignificant fit
DRO,523,CASU,63,468.3697,1.745037,nonsignificant fit,nonsignificant fit
DRO,523,CASU,64,468.379,1.74717,nonsignificant fit,nonsignificant fit
DRO,523,CASU,65,468.3319,1.748087,nonsignificant fit,nonsignificant fit
DRO,523,CASU,66,468.6803,1.744906,nonsignificant fit,nonsignificant fit
