site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,CO2_resp_rate,CH4_resp_rate,CO2_resp_outlier,CH4_resp_outlier,FMC
DRO,401,261.27,DYPA,C,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,171.46655696468366,5,0.405,164.39,1,0,NA,NA,4.97,156.77,103.75,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.C,0.661797537794221,140.472366350453,108.792897237992,31.6794691124606,0.225521004134195,77.4478995865805,164.39,108.792897237992,1,108.792897237992,0.1679074466604261,5.724096660907759e-184,0.9929474310795198,3.943924448607498e-6,0.003408453488536596,0.04399152331727807,22.953040935672515,1006.4198650627692,0.010906773804964036,9.337012305970487e-8,No,No,51.10361445783127
DRO,402,267.66,DYPA,C,TE,5,2018-06-06,2021-06-07,1,0,1,1,1,0,NA,0,2,0,169.44,5,0.25,144.22,2A,11.42,0,0,9.24,134.96,65.74,4.99,0,0,F,0.537652108357073,0,WET,36,1097,DRO.DYPA.C,0.4871072910492,143.907963322854,70.2506135151156,73.6573498077387,0.511836510690448,48.8163489309552,155.64,75.2406135151156,0.9336794349902859,70.2506135151156,0.11596093983248221,6.155869889200022e-215,0.9969670350608669,-1.4629010967908772e-6,0.3604179758066963,-9.361741957347736e-4,23.795906432748538,1004.6535,0.012070054558204962,-5.5496483798632937e-8,No,nonsignificant fit,105.29358077274107
DRO,403,271.34,DYPA,D,TI,6,2018-06-06,2021-12-07,0,0,1,0,1,NA,NA,0,2,0,113.81,5,0.24,85.28,2A,4.94,0,0,3.3555,77.1,56.834,2.174,NA,NA,NA,0.537652108357073,0,DRY,42,1280,DRO.DYPA.D,0.737146562905318,145.886523081608,62.8638588845655,83.0226641970427,0.5690907044964,43.09092955036,90.22,65.03785888456551,0.9665733153384001,62.8638588845655,0.28459694458444373,9.576345213532104e-242,0.9985391155404589,1.608299133607521e-7,0.9292008424750188,-0.005870032903159128,27.411169590643276,999.5579,0.03261939835653717,6.7183950399240596e-9,No,nonsignificant fit,35.65823274800295
DRO,404,282.87,DYPA,D,TE,6,2018-06-06,2021-12-07,0,0,1,1,1,NA,NA,0,2,0,131.69,5,0.3,92.97,2A,9.32,0,0,3.4217,86.3,66.394,7.114,NA,NA,NA,0.537652108357073,0,DRY,42,1280,DRO.DYPA.D,0.769339513325608,152.085651890965,71.5254945538818,80.5601573370835,0.529702548106507,47.0297451893493,102.28999999999999,78.6394945538818,0.9095365497914579,71.5254945538818,0.21706184726522157,6.440741290769707e-258,0.999059780083744,-1.7838577291535395e-7,0.9242586821223273,-0.005863203483619461,27.408362573099414,999.6621877192982,0.021547722702740846,-6.4540316844840575e-9,No,nonsignificant fit,29.981624845618594
DRO,405,296.45,DYPA,A,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.25589502716923,5,0.405,195.94,1,0,NA,NA,3.72,189.72,118.67,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.A,0.62550073792958,159.386967522454,122.560614589922,36.8263529325323,0.231049962898279,76.8950037101721,195.94,122.560614589922,1,122.560614589922,0.1834284431324557,9.243400366578836e-257,0.999029667793974,3.1148630810672223e-7,0.8367831478125979,-0.005663832444229744,21.77543859649123,1004.6306001054556,0.01059986848091001,6.560331019563934e-9,No,nonsignificant fit,59.87191371028903
DRO,406,304.84,DYPA,A,TE,2,2018-06-06,2019-12-03,0,0,1,NA,1,NA,NA,NA,NA,NA,130.82,5,0.28,132.86,2,4.81,NA,NA,3.54,128.44,101.31,4.36,NA,NA,NA,0.537652108357073,0,DRY,18,545,DRO.DYPA.A,0.788772967922766,163.89786871157,104.796376518219,59.1014921933516,0.360599516381505,63.9400483618495,137.67000000000002,109.156376518219,0.960057303667713,104.796376518219,0.022718632318181973,1.5196679521527094e-72,0.9095979863059601,2.831445462855831e-6,0.12866041500375724,0.009736240411416741,31.59211678832117,997.9961,0.0015231274966350365,6.918552994299673e-8,No,nonsignificant fit,26.77919257723773
DRO,407,308.29,DYPA,B,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.44036933174232,5,0.405,202.49,1,0,NA,NA,4.25,197.39,130.94,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.B,0.663356806322509,165.752768485402,134.323119712245,31.4296487731573,0.189617639936586,81.0382360063414,202.49,134.323119712245,1,134.323119712245,0.10654718938248565,3.911990008305028e-188,0.993704131306497,3.7165790673624756e-6,0.03534137865655447,0.02017619523160985,22.01122807017544,1005.9725488234404,0.005620935576470448,7.145999503845892e-8,No,No,50.748434397433726
DRO,408,323.42,DYPA,B,TE,5,2018-06-06,2021-06-08,0,0,1,1,1,0,NA,0,1,0,172.3,5,0.32,157.05,2A,5.51,0,0,8.92,144.25,78.96,2.8,0,0,T,0.537652108357073,0,WET,36,1098,DRO.DYPA.B,0.54738301559792,173.887444884845,85.9665025996534,87.9209422851912,0.505619841291107,49.4380158708893,162.56,88.76650259965339,0.9684565695617376,85.9665025996534,0.17572097655218757,1.8584734330702672e-243,0.9986057033994947,6.336810905510432e-6,7.99884620538615e-5,0.08280342215803493,26.255438596491228,1004.7815,0.014571364788505516,1.9151392879146878e-7,No,No,82.68743667679836
DRO,409,335.5,DYPA,E,TI,6,2018-06-06,2021-12-07,0,0,1,1,1,NA,NA,0,4,0,159.16,5,0.32,70.75,3,31.58,0,0,1.838,64.32,29.394,13.344,NA,NA,NA,0.537652108357073,0,DRY,42,1280,DRO.DYPA.E,0.456996268656716,180.382282353798,32.3324860074627,148.049796346335,0.820755755024507,17.9244244975493,102.33,45.6764860074627,0.7078584373189339,32.3324860074627,0.2953001811985509,6.861643478469542e-244,0.998622047757447,4.852449180406433e-6,0.008220458038215821,0.034927955462205285,27.596959064327486,1000.1948,0.06452112014060658,3.8641339798881966e-7,No,No,118.8201673810981
DRO,410,327.23,DYPA,E,TE,5,2018-06-06,2021-06-08,1,0,1,1,1,0,NA,0,1,0,211.8,5,0.31,190.4,2A,10.96,0,0,6.09,184.04,72.02,3.18,0,0,F,0.537652108357073,0,WET,36,1098,DRO.DYPA.E,0.391327972179961,175.935899417685,74.5088459030646,101.427053514621,0.57650004263101,42.349995736899,201.36,77.6888459030646,0.959067483072566,74.5088459030646,0.13379323373412988,7.925463737836602e-222,0.9974862209082582,1.6597523219828036e-6,0.32034318125314387,-3.895701652001371e-5,24.58438596491228,1006.062,0.012921041683423593,5.841974503169776e-8,No,nonsignificant fit,155.54012774229366
