site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,mean_ib,CO2_resp_rate,CH4_resp_rate,FMC,CO2_resp_outlier,CH4_resp_outlier,Dataset
PNW,209,NA,PIRA,X,TI,1,2018-06-05,2019-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.18,5,0.405,169.18,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,0,DRY,6,545,PNW.PIRA.X,NA,158.4012,155,3.4011999999999887,0.02147205955510431,97.8527940444896,NA,155,1,155,-0.00227115703074358,7.267287164739349e-10,0.1969149611246337,2.2597499219934556e-7,0.8961471249201856,-0.005815450836546221,28.33046783625731,968.1672933633448,39.857704634494155,-1.2317533096251624e-4,4.466732559658502e-9,9.148387096774197,No,nonsignificant fit,Pine
PNW,1212,NA,PIRA,NA,NA,1,2019-06-21,2019-12-05,0,0,1,NA,0,NA,0,NA,NA,0,198.16,5,0.405,198.16,NA,NA,NA,NA,NA,NA,191.92,NA,NA,NA,NA,NA,0,DRY,6,167,NA,NA,192.26,191.92,0.3400000000000034,0.0017684385727660637,99.8231561427234,NA,191.92,1,191.92,0.006140488876089399,6.945625910166319e-29,0.519121666860988,2.778901768784795e-6,0.12189385764484119,0.008266498569014069,34.17947368421053,971,37.37935363981255,2.646151944172593e-4,4.364535394102052e-8,3.2513547311379796,No,nonsignificant fit,Pine
PNW,1228,NA,PIRA,NA,NA,1,2019-06-21,2019-12-05,0,0,1,NA,0,NA,1,NA,NA,1,233.7,5,0.405,233.7,NA,NA,NA,NA,NA,NA,224.46,NA,NA,NA,NA,NA,0,DRY,6,167,NA,NA,232.29,224.46,7.829999999999984,0.033707865168539256,96.6292134831461,NA,224.46,1,224.46,0.0013135680514556743,0.002928544003055729,0.04555980103775936,-9.514363885083667e-7,0.5020168186342437,-0.0032303409170635344,31.434269005847955,971.064270267246,45.98475798607661,4.8839495627035125e-5,-1.2892921725370119e-8,4.116546377973795,No,nonsignificant fit,Pine
PNW,1236,NA,PIRA,NA,NA,1,2019-06-21,2019-12-05,0,0,0,NA,0,NA,1,NA,NA,1,225.57,5,0.405,225.57,NA,NA,NA,NA,NA,NA,217.87,NA,NA,NA,NA,NA,0,DRY,6,167,NA,NA,226.64,217.87,8.769999999999982,0.03869572890928337,96.1304271090717,NA,217.87,1,217.87,0.001757885376917373,4.915662760558802e-5,0.08780708162316964,-2.2278469772231882e-6,0.12561983298255538,0.00798983071656345,36.78771929824561,971.064270267246,45.98475798607661,6.617343946488423e-5,-3.056550022359035e-8,3.534217652728686,No,nonsignificant fit,Pine
DRO,3,NA,PIRA,A,TI,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.24,5,0.401,411.24,NA,NA,NA,NA,NA,NA,145.32,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.A,NA,166.8253,145.32,21.505300000000005,0.12890910431451347,87.1090895685487,NA,145.32,1,145.32,0.36650534235726134,6.172132089016477e-224,0.9976265846688759,4.1142558859534335e-6,0.022491117763993384,0.024694259508908467,20.907602339181288,1007.426326601258,21.5476556452484,0.022636235339165593,9.261219669124727e-8,182.98926507018996,No,No,Pine
DRO,4,NA,PIRA,A,TE,2,2018-06-11,2019-06-17,0,0,1,NA,1,NA,NA,NA,NA,NA,407.97,5,0.398,407.97,NA,NA,NA,NA,NA,NA,158.18,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.A,NA,165.9072,158.18,7.727199999999982,0.04657543494194334,95.3424565058057,NA,158.18,1,158.18,0.0717152309981521,8.103749259571785e-204,0.9958936575736617,1.405980752156002e-7,0.9396298892247945,-0.005882918730874653,21.09842105263158,1006.7553522422654,21.6822292984564,0.0040663181817893685,2.9055096845522864e-9,157.91503350613226,No,nonsignificant fit,Pine
DRO,19,NA,PIRA,B,TI,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.07,5,0.42,464.07,NA,NA,NA,NA,NA,NA,217.73,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.B,NA,232.03,217.73,14.300000000000011,0.06162996164289106,93.8370038357109,NA,217.73,1,217.73,0.12317852929176532,9.322535974306564e-249,0.9987931918931416,1.133566131472243e-6,0.49419420300996253,-0.0031308487851020583,21.433684210526316,1006.7553522422654,21.6822292984564,0.005045787395395633,1.6923640454735786e-8,113.14012768107288,No,nonsignificant fit,Pine
DRO,20,NA,PIRA,B,TE,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.53,5,0.402,431.53,NA,NA,NA,NA,NA,NA,150.83,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.B,NA,167.357,150.83,16.526999999999987,0.09875296521806669,90.1247034781933,NA,150.83,1,150.83,0.08124318981448189,8.610943865955457e-215,0.9969549646029013,-1.680946552406382e-8,0.9924620359874314,-0.005916626917936707,21.24672514619883,1006.7553522422654,21.6822292984564,0.004824705324217568,-3.638234827768335e-10,186.10356029967508,No,nonsignificant fit,Pine
DRO,35,NA,PIRA,C,TI,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.71,5,0.402,344.71,NA,NA,NA,NA,NA,NA,147.4,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.C,NA,161.9444,147.4,14.544399999999996,0.08981107096015667,91.0188929039843,NA,147.4,1,147.4,0.4285069738642084,1.103523779351798e-246,0.9987230511053582,-2.1643266853630225e-7,0.891275480763506,-0.00580562438684229,21.07970760233918,1006.7553522422654,21.6822292984564,0.02605424082444312,-4.796189547592308e-9,133.86024423337855,No,nonsignificant fit,Pine
DRO,36,NA,PIRA,C,TE,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.13,5,0.399,262.13,NA,NA,NA,NA,NA,NA,105.05,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.C,NA,168.943,105.05,63.893000000000015,0.3781926448565493,62.1807355143451,NA,105.05,1,105.05,0.36989096335229305,3.5550596763028776e-287,0.9995763753938267,8.985984112135991e-7,0.5046822005390165,-0.0032636439810618256,20.874152046783628,1007.1712778683076,21.598809373076,0.031611270789309386,2.798896734584745e-8,149.52879581151834,No,nonsignificant fit,Pine
