id,year,month,day,hour,minute,second,Etime,Tcham
0,2018,12,10,17,11,8,-60,24.34
1,2018,12,10,17,11,9,-59,24.26
2,2018,12,10,17,11,10,-58,24.26
3,2018,12,10,17,11,11,-57,24.34
4,2018,12,10,17,11,12,-56,24.26
5,2018,12,10,17,11,13,-55,24.26
6,2018,12,10,17,11,14,-54,24.34
7,2018,12,10,17,11,15,-53,24.26
8,2018,12,10,17,11,16,-52,24.26
9,2018,12,10,17,11,17,-51,24.26
10,2018,12,10,17,11,18,-50,24.34
11,2018,12,10,17,11,20,-49,24.34
12,2018,12,10,17,11,21,-48,24.34
13,2018,12,10,17,11,22,-47,24.34
14,2018,12,10,17,11,23,-46,24.34
15,2018,12,10,17,11,24,-45,24.34
16,2018,12,10,17,11,25,-44,24.34
17,2018,12,10,17,11,26,-43,24.34
18,2018,12,10,17,11,27,-42,24.26
19,2018,12,10,17,11,28,-41,24.34
20,2018,12,10,17,11,29,-40,24.26
21,2018,12,10,17,11,30,-39,24.34
22,2018,12,10,17,11,31,-38,24.34
23,2018,12,10,17,11,32,-37,24.34
24,2018,12,10,17,11,33,-36,24.34
25,2018,12,10,17,11,34,-35,24.34
26,2018,12,10,17,11,35,-34,24.34
27,2018,12,10,17,11,36,-33,24.34
28,2018,12,10,17,11,37,-32,24.34
29,2018,12,10,17,11,38,-31,24.34
30,2018,12,10,17,11,39,-30,24.34
31,2018,12,10,17,11,40,-29,24.26
32,2018,12,10,17,11,41,-28,24.26
33,2018,12,10,17,11,42,-27,24.34
34,2018,12,10,17,11,43,-26,24.34
35,2018,12,10,17,11,44,-25,24.34
36,2018,12,10,17,11,45,-24,24.34
37,2018,12,10,17,11,46,-23,24.34
38,2018,12,10,17,11,47,-22,24.34
39,2018,12,10,17,11,48,-21,24.34
40,2018,12,10,17,11,49,-20,24.34
41,2018,12,10,17,11,50,-19,24.34
42,2018,12,10,17,11,51,-18,24.34
43,2018,12,10,17,11,52,-17,24.34
44,2018,12,10,17,11,53,-16,24.34
45,2018,12,10,17,11,54,-15,24.34
46,2018,12,10,17,11,56,-14,24.34
47,2018,12,10,17,11,57,-13,24.34
48,2018,12,10,17,11,58,-12,24.34
49,2018,12,10,17,11,59,-11,24.34
50,2018,12,10,17,12,0,-10,24.34
51,2018,12,10,17,12,1,-9,24.34
52,2018,12,10,17,12,2,-8,24.34
53,2018,12,10,17,12,3,-7,24.34
54,2018,12,10,17,12,4,-6,24.34
55,2018,12,10,17,12,5,-5,24.34
56,2018,12,10,17,12,6,-4,24.34
57,2018,12,10,17,12,7,-3,24.34
58,2018,12,10,17,12,8,-2,24.34
59,2018,12,10,17,12,9,-1,24.34
60,2018,12,10,17,12,10,0,24.34
61,2018,12,10,17,12,11,1,24.26
62,2018,12,10,17,12,12,2,24.34
63,2018,12,10,17,12,13,3,24.26
64,2018,12,10,17,12,14,4,24.26
65,2018,12,10,17,12,15,5,24.34
66,2018,12,10,17,12,16,6,24.26
67,2018,12,10,17,12,17,7,24.26
68,2018,12,10,17,12,18,8,24.26
69,2018,12,10,17,12,19,9,24.26
70,2018,12,10,17,12,20,10,24.26
71,2018,12,10,17,12,21,11,24.34
72,2018,12,10,17,12,22,12,24.34
73,2018,12,10,17,12,23,13,24.26
74,2018,12,10,17,12,24,14,24.26
75,2018,12,10,17,12,25,15,24.34
76,2018,12,10,17,12,26,16,24.26
77,2018,12,10,17,12,27,17,24.26
78,2018,12,10,17,12,28,18,24.26
79,2018,12,10,17,12,29,19,24.26
80,2018,12,10,17,12,30,20,24.26
81,2018,12,10,17,12,31,21,24.26
82,2018,12,10,17,12,32,22,24.26
83,2018,12,10,17,12,34,23,24.26
84,2018,12,10,17,12,35,24,24.34
85,2018,12,10,17,12,36,25,24.34
86,2018,12,10,17,12,37,26,24.26
87,2018,12,10,17,12,38,27,24.26
88,2018,12,10,17,12,39,28,24.34
89,2018,12,10,17,12,40,29,24.34
90,2018,12,10,17,12,41,30,24.26
91,2018,12,10,17,12,42,31,24.26
92,2018,12,10,17,12,43,32,24.26
93,2018,12,10,17,12,44,33,24.26
94,2018,12,10,17,12,45,34,24.26
95,2018,12,10,17,12,46,35,24.26
96,2018,12,10,17,12,47,36,24.26
97,2018,12,10,17,12,48,37,24.34
98,2018,12,10,17,12,49,38,24.26
