id,year,month,day,hour,minute,second,Etime,Tcham
0,2018,12,13,15,21,45,-60,26.27
1,2018,12,13,15,21,46,-59,26.27
2,2018,12,13,15,21,47,-58,26.27
3,2018,12,13,15,21,48,-57,26.27
4,2018,12,13,15,21,49,-56,26.27
5,2018,12,13,15,21,50,-55,26.27
6,2018,12,13,15,21,51,-54,26.27
7,2018,12,13,15,21,52,-53,26.27
8,2018,12,13,15,21,53,-52,26.27
9,2018,12,13,15,21,54,-51,26.27
10,2018,12,13,15,21,55,-50,26.27
11,2018,12,13,15,21,56,-49,26.27
12,2018,12,13,15,21,57,-48,26.27
13,2018,12,13,15,21,58,-47,26.27
14,2018,12,13,15,21,59,-46,26.19
15,2018,12,13,15,22,0,-45,26.19
16,2018,12,13,15,22,1,-44,26.27
17,2018,12,13,15,22,2,-43,26.19
18,2018,12,13,15,22,3,-42,26.27
19,2018,12,13,15,22,4,-41,26.27
20,2018,12,13,15,22,5,-40,26.27
21,2018,12,13,15,22,6,-39,26.27
22,2018,12,13,15,22,7,-38,26.27
23,2018,12,13,15,22,8,-37,26.27
24,2018,12,13,15,22,9,-36,26.27
25,2018,12,13,15,22,10,-35,26.27
26,2018,12,13,15,22,11,-34,26.27
27,2018,12,13,15,22,13,-33,26.19
28,2018,12,13,15,22,14,-32,26.27
29,2018,12,13,15,22,15,-31,26.27
30,2018,12,13,15,22,16,-30,26.27
31,2018,12,13,15,22,17,-29,26.27
32,2018,12,13,15,22,18,-28,26.27
33,2018,12,13,15,22,19,-27,26.27
34,2018,12,13,15,22,20,-26,26.27
35,2018,12,13,15,22,21,-25,26.27
36,2018,12,13,15,22,22,-24,26.27
37,2018,12,13,15,22,23,-23,26.27
38,2018,12,13,15,22,24,-22,26.27
39,2018,12,13,15,22,25,-21,26.27
40,2018,12,13,15,22,26,-20,26.27
41,2018,12,13,15,22,27,-19,26.27
42,2018,12,13,15,22,28,-18,26.27
43,2018,12,13,15,22,29,-17,26.27
44,2018,12,13,15,22,30,-16,26.27
45,2018,12,13,15,22,31,-15,26.27
46,2018,12,13,15,22,32,-14,26.27
47,2018,12,13,15,22,33,-13,26.27
48,2018,12,13,15,22,34,-12,26.27
49,2018,12,13,15,22,35,-11,26.27
50,2018,12,13,15,22,36,-10,26.27
51,2018,12,13,15,22,37,-9,26.27
