id,year,month,day,hour,minute,second,Etime,Tcham
0,2018,12,13,10,48,1,-60,24.34
1,2018,12,13,10,48,2,-59,24.34
2,2018,12,13,10,48,3,-58,24.34
3,2018,12,13,10,48,4,-57,24.34
4,2018,12,13,10,48,5,-56,24.34
5,2018,12,13,10,48,6,-55,24.34
6,2018,12,13,10,48,7,-54,24.42
7,2018,12,13,10,48,8,-53,24.42
8,2018,12,13,10,48,9,-52,24.34
9,2018,12,13,10,48,10,-51,24.42
10,2018,12,13,10,48,11,-50,24.42
11,2018,12,13,10,48,12,-49,24.42
12,2018,12,13,10,48,13,-48,24.34
13,2018,12,13,10,48,14,-47,24.34
14,2018,12,13,10,48,15,-46,24.34
15,2018,12,13,10,48,16,-45,24.34
16,2018,12,13,10,48,17,-44,24.34
17,2018,12,13,10,48,18,-43,24.34
18,2018,12,13,10,48,19,-42,24.34
19,2018,12,13,10,48,20,-41,24.34
20,2018,12,13,10,48,21,-40,24.34
21,2018,12,13,10,48,22,-39,24.34
22,2018,12,13,10,48,23,-38,24.34
23,2018,12,13,10,48,24,-37,24.34
24,2018,12,13,10,48,25,-36,24.34
25,2018,12,13,10,48,27,-35,24.34
26,2018,12,13,10,48,28,-34,24.34
27,2018,12,13,10,48,29,-33,24.34
28,2018,12,13,10,48,30,-32,24.34
29,2018,12,13,10,48,31,-31,24.34
30,2018,12,13,10,48,32,-30,24.34
31,2018,12,13,10,48,33,-29,24.34
32,2018,12,13,10,48,34,-28,24.34
33,2018,12,13,10,48,35,-27,24.34
34,2018,12,13,10,48,36,-26,24.26
35,2018,12,13,10,48,37,-25,24.26
36,2018,12,13,10,48,38,-24,24.34
37,2018,12,13,10,48,39,-23,24.34
38,2018,12,13,10,48,40,-22,24.34
39,2018,12,13,10,48,41,-21,24.34
40,2018,12,13,10,48,42,-20,24.34
41,2018,12,13,10,48,43,-19,24.34
42,2018,12,13,10,48,44,-18,24.34
43,2018,12,13,10,48,45,-17,24.34
44,2018,12,13,10,48,46,-16,24.34
45,2018,12,13,10,48,47,-15,24.26
46,2018,12,13,10,48,48,-14,24.26
47,2018,12,13,10,48,49,-13,24.34
48,2018,12,13,10,48,50,-12,24.26
49,2018,12,13,10,48,51,-11,24.34
50,2018,12,13,10,48,52,-10,24.34
51,2018,12,13,10,48,53,-9,24.26
52,2018,12,13,10,48,54,-8,24.34
53,2018,12,13,10,48,55,-7,24.34
54,2018,12,13,10,48,56,-6,24.26
55,2018,12,13,10,48,57,-5,24.34
56,2018,12,13,10,48,58,-4,24.34
57,2018,12,13,10,48,59,-3,24.26
58,2018,12,13,10,49,0,-2,24.34
59,2018,12,13,10,49,1,-1,24.34
60,2018,12,13,10,49,3,0,24.26
61,2018,12,13,10,49,4,1,24.17
62,2018,12,13,10,49,5,2,24.26
63,2018,12,13,10,49,6,3,24.17
64,2018,12,13,10,49,7,4,24.17
65,2018,12,13,10,49,8,5,24.26
66,2018,12,13,10,49,9,6,24.17
67,2018,12,13,10,49,10,7,24.26
68,2018,12,13,10,49,11,8,24.26
69,2018,12,13,10,49,12,9,24.17
70,2018,12,13,10,49,13,10,24.26
71,2018,12,13,10,49,14,11,24.26
72,2018,12,13,10,49,15,12,24.26
73,2018,12,13,10,49,16,13,24.26
74,2018,12,13,10,49,17,14,24.26
75,2018,12,13,10,49,18,15,24.17
76,2018,12,13,10,49,19,16,24.17
77,2018,12,13,10,49,20,17,24.17
78,2018,12,13,10,49,21,18,24.26
79,2018,12,13,10,49,22,19,24.17
80,2018,12,13,10,49,23,20,24.17
81,2018,12,13,10,49,24,21,24.17
82,2018,12,13,10,49,25,22,24.26
83,2018,12,13,10,49,26,23,24.17
84,2018,12,13,10,49,27,24,24.26
85,2018,12,13,10,49,28,25,24.26
86,2018,12,13,10,49,29,26,24.17
87,2018,12,13,10,49,30,27,24.17
88,2018,12,13,10,49,31,28,24.17
89,2018,12,13,10,49,32,29,24.17
90,2018,12,13,10,49,33,30,24.17
91,2018,12,13,10,49,34,31,24.17
92,2018,12,13,10,49,35,32,24.26
93,2018,12,13,10,49,36,33,24.26
94,2018,12,13,10,49,37,34,24.17
95,2018,12,13,10,49,38,35,24.26
96,2018,12,13,10,49,39,36,24.17
97,2018,12,13,10,49,41,37,24.26
98,2018,12,13,10,49,42,38,24.17
99,2018,12,13,10,49,43,39,24.26
100,2018,12,13,10,49,44,40,24.26
101,2018,12,13,10,49,45,41,24.26
102,2018,12,13,10,49,46,42,24.26
103,2018,12,13,10,49,47,43,24.26
104,2018,12,13,10,49,48,44,24.17
105,2018,12,13,10,49,49,45,24.26
106,2018,12,13,10,49,50,46,24.26
107,2018,12,13,10,49,51,47,24.26
108,2018,12,13,10,49,52,48,24.17
