id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,3,14,8,42,-60,31.07
1,2019,12,3,14,8,43,-59,30.98
2,2019,12,3,14,8,44,-58,30.98
3,2019,12,3,14,8,45,-57,31.07
4,2019,12,3,14,8,46,-56,31.07
5,2019,12,3,14,8,47,-55,30.98
6,2019,12,3,14,8,48,-54,30.98
7,2019,12,3,14,8,49,-53,30.98
8,2019,12,3,14,8,50,-52,31.07
9,2019,12,3,14,8,51,-51,30.98
10,2019,12,3,14,8,52,-50,30.98
11,2019,12,3,14,8,53,-49,31.07
12,2019,12,3,14,8,54,-48,31.07
13,2019,12,3,14,8,55,-47,30.98
14,2019,12,3,14,8,56,-46,31.07
15,2019,12,3,14,8,57,-45,31.07
16,2019,12,3,14,8,58,-44,31.07
17,2019,12,3,14,8,59,-43,31.07
18,2019,12,3,14,9,0,-42,31.07
19,2019,12,3,14,9,1,-41,30.98
20,2019,12,3,14,9,2,-40,31.07
21,2019,12,3,14,9,3,-39,31.07
22,2019,12,3,14,9,4,-38,31.07
23,2019,12,3,14,9,5,-37,31.07
24,2019,12,3,14,9,6,-36,30.98
25,2019,12,3,14,9,7,-35,31.07
26,2019,12,3,14,9,9,-34,30.98
27,2019,12,3,14,9,10,-33,31.07
28,2019,12,3,14,9,11,-32,31.07
29,2019,12,3,14,9,12,-31,31.07
30,2019,12,3,14,9,13,-30,31.07
31,2019,12,3,14,9,14,-29,31.07
32,2019,12,3,14,9,15,-28,31.07
33,2019,12,3,14,9,16,-27,31.07
34,2019,12,3,14,9,17,-26,31.07
35,2019,12,3,14,9,18,-25,31.07
36,2019,12,3,14,9,19,-24,30.98
37,2019,12,3,14,9,20,-23,31.07
38,2019,12,3,14,9,21,-22,31.16
39,2019,12,3,14,9,22,-21,31.07
40,2019,12,3,14,9,23,-20,31.07
41,2019,12,3,14,9,24,-19,31.07
42,2019,12,3,14,9,25,-18,31.07
43,2019,12,3,14,9,26,-17,31.07
44,2019,12,3,14,9,27,-16,31.07
45,2019,12,3,14,9,28,-15,31.07
46,2019,12,3,14,9,29,-14,31.07
47,2019,12,3,14,9,30,-13,31.16
48,2019,12,3,14,9,31,-12,31.07
49,2019,12,3,14,9,32,-11,31.07
50,2019,12,3,14,9,33,-10,31.07
51,2019,12,3,14,9,34,-9,31.16
52,2019,12,3,14,9,35,-8,31.07
53,2019,12,3,14,9,36,-7,31.07
54,2019,12,3,14,9,37,-6,31.16
55,2019,12,3,14,9,38,-5,31.07
56,2019,12,3,14,9,39,-4,31.07
57,2019,12,3,14,9,40,-3,31.07
58,2019,12,3,14,9,41,-2,31.16
59,2019,12,3,14,9,42,-1,31.07
60,2019,12,3,14,9,43,0,30.98
61,2019,12,3,14,9,44,1,30.98
62,2019,12,3,14,9,46,2,30.98
63,2019,12,3,14,9,47,3,30.98
64,2019,12,3,14,9,48,4,30.90
65,2019,12,3,14,9,49,5,30.98
66,2019,12,3,14,9,50,6,30.90
67,2019,12,3,14,9,51,7,30.98
68,2019,12,3,14,9,52,8,30.98
69,2019,12,3,14,9,53,9,30.98
70,2019,12,3,14,9,54,10,30.98
71,2019,12,3,14,9,55,11,30.98
72,2019,12,3,14,9,56,12,30.98
73,2019,12,3,14,9,57,13,30.98
74,2019,12,3,14,9,58,14,30.98
75,2019,12,3,14,9,59,15,30.98
76,2019,12,3,14,10,0,16,30.98
77,2019,12,3,14,10,1,17,30.98
78,2019,12,3,14,10,2,18,30.98
79,2019,12,3,14,10,3,19,30.98
80,2019,12,3,14,10,4,20,30.98
81,2019,12,3,14,10,5,21,30.98
82,2019,12,3,14,10,6,22,30.98
83,2019,12,3,14,10,7,23,30.98
84,2019,12,3,14,10,8,24,30.98
85,2019,12,3,14,10,9,25,30.98
86,2019,12,3,14,10,10,26,30.98
87,2019,12,3,14,10,11,27,30.90
88,2019,12,3,14,10,12,28,30.98
89,2019,12,3,14,10,13,29,30.98
90,2019,12,3,14,10,14,30,30.98
91,2019,12,3,14,10,15,31,30.98
92,2019,12,3,14,10,16,32,30.98
93,2019,12,3,14,10,17,33,30.98
94,2019,12,3,14,10,18,34,30.98
95,2019,12,3,14,10,19,35,30.98
96,2019,12,3,14,10,20,36,30.98
97,2019,12,3,14,10,21,37,30.98
98,2019,12,3,14,10,22,38,31.07
