id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,4,17,10,13,-60,23.42
1,2019,12,4,17,10,14,-59,23.34
2,2019,12,4,17,10,15,-58,23.34
3,2019,12,4,17,10,16,-57,23.42
4,2019,12,4,17,10,17,-56,23.42
5,2019,12,4,17,10,18,-55,23.42
6,2019,12,4,17,10,19,-54,23.34
7,2019,12,4,17,10,20,-53,23.42
8,2019,12,4,17,10,21,-52,23.42
9,2019,12,4,17,10,22,-51,23.42
10,2019,12,4,17,10,23,-50,23.42
11,2019,12,4,17,10,24,-49,23.34
12,2019,12,4,17,10,25,-48,23.42
13,2019,12,4,17,10,26,-47,23.34
14,2019,12,4,17,10,27,-46,23.34
15,2019,12,4,17,10,28,-45,23.34
16,2019,12,4,17,10,29,-44,23.42
17,2019,12,4,17,10,30,-43,23.34
18,2019,12,4,17,10,31,-42,23.42
19,2019,12,4,17,10,32,-41,23.34
20,2019,12,4,17,10,33,-40,23.34
21,2019,12,4,17,10,34,-39,23.42
22,2019,12,4,17,10,35,-38,23.42
23,2019,12,4,17,10,36,-37,23.34
24,2019,12,4,17,10,37,-36,23.42
25,2019,12,4,17,10,38,-35,23.34
26,2019,12,4,17,10,39,-34,23.34
27,2019,12,4,17,10,40,-33,23.34
28,2019,12,4,17,10,41,-32,23.34
29,2019,12,4,17,10,42,-31,23.34
30,2019,12,4,17,10,43,-30,23.42
31,2019,12,4,17,10,44,-29,23.34
32,2019,12,4,17,10,45,-28,23.34
33,2019,12,4,17,10,47,-27,23.34
34,2019,12,4,17,10,48,-26,23.34
35,2019,12,4,17,10,49,-25,23.34
36,2019,12,4,17,10,50,-24,23.34
37,2019,12,4,17,10,51,-23,23.42
38,2019,12,4,17,10,52,-22,23.34
39,2019,12,4,17,10,53,-21,23.34
40,2019,12,4,17,10,54,-20,23.42
41,2019,12,4,17,10,55,-19,23.34
42,2019,12,4,17,10,56,-18,23.34
43,2019,12,4,17,10,57,-17,23.34
44,2019,12,4,17,10,58,-16,23.34
45,2019,12,4,17,10,59,-15,23.34
46,2019,12,4,17,11,0,-14,23.34
47,2019,12,4,17,11,1,-13,23.34
48,2019,12,4,17,11,2,-12,23.34
49,2019,12,4,17,11,3,-11,23.34
50,2019,12,4,17,11,4,-10,23.34
51,2019,12,4,17,11,5,-9,23.34
52,2019,12,4,17,11,6,-8,23.34
53,2019,12,4,17,11,7,-7,23.34
54,2019,12,4,17,11,8,-6,23.34
55,2019,12,4,17,11,9,-5,23.34
56,2019,12,4,17,11,10,-4,23.34
57,2019,12,4,17,11,11,-3,23.34
58,2019,12,4,17,11,12,-2,23.34
59,2019,12,4,17,11,13,-1,23.34
60,2019,12,4,17,11,14,0,23.34
61,2019,12,4,17,11,15,1,23.26
62,2019,12,4,17,11,16,2,23.26
63,2019,12,4,17,11,17,3,23.26
64,2019,12,4,17,11,18,4,23.26
65,2019,12,4,17,11,19,5,23.26
66,2019,12,4,17,11,20,6,23.26
67,2019,12,4,17,11,21,7,23.26
68,2019,12,4,17,11,22,8,23.26
69,2019,12,4,17,11,23,9,23.26
70,2019,12,4,17,11,25,10,23.26
71,2019,12,4,17,11,26,11,23.26
72,2019,12,4,17,11,27,12,23.26
73,2019,12,4,17,11,28,13,23.26
74,2019,12,4,17,11,29,14,23.26
75,2019,12,4,17,11,30,15,23.26
76,2019,12,4,17,11,31,16,23.26
77,2019,12,4,17,11,32,17,23.26
78,2019,12,4,17,11,33,18,23.26
79,2019,12,4,17,11,34,19,23.17
80,2019,12,4,17,11,35,20,23.26
