id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,4,14,26,42,-60,30.29
1,2019,12,4,14,26,43,-59,28.14
2,2019,12,4,14,26,44,-58,28.14
3,2019,12,4,14,26,45,-57,28.14
4,2019,12,4,14,26,46,-56,28.22
5,2019,12,4,14,26,47,-55,28.14
6,2019,12,4,14,26,48,-54,28.14
7,2019,12,4,14,26,49,-53,28.22
8,2019,12,4,14,26,50,-52,28.22
9,2019,12,4,14,26,51,-51,28.22
10,2019,12,4,14,26,52,-50,28.22
11,2019,12,4,14,26,53,-49,28.14
12,2019,12,4,14,26,54,-48,28.22
13,2019,12,4,14,26,55,-47,28.22
14,2019,12,4,14,26,56,-46,28.22
15,2019,12,4,14,26,57,-45,28.22
16,2019,12,4,14,26,58,-44,28.14
17,2019,12,4,14,26,59,-43,28.22
18,2019,12,4,14,27,0,-42,28.22
19,2019,12,4,14,27,1,-41,28.22
20,2019,12,4,14,27,2,-40,28.22
21,2019,12,4,14,27,3,-39,28.22
22,2019,12,4,14,27,4,-38,28.22
23,2019,12,4,14,27,5,-37,28.22
24,2019,12,4,14,27,6,-36,28.22
25,2019,12,4,14,27,8,-35,28.22
26,2019,12,4,14,27,9,-34,28.22
27,2019,12,4,14,27,10,-33,28.14
28,2019,12,4,14,27,11,-32,28.22
29,2019,12,4,14,27,12,-31,28.22
30,2019,12,4,14,27,13,-30,28.22
31,2019,12,4,14,27,14,-29,28.22
32,2019,12,4,14,27,15,-28,28.14
33,2019,12,4,14,27,16,-27,28.22
34,2019,12,4,14,27,17,-26,28.22
35,2019,12,4,14,27,18,-25,28.22
36,2019,12,4,14,27,19,-24,28.22
37,2019,12,4,14,27,20,-23,28.22
38,2019,12,4,14,27,21,-22,28.14
39,2019,12,4,14,27,22,-21,28.22
40,2019,12,4,14,27,23,-20,28.22
41,2019,12,4,14,27,24,-19,28.22
42,2019,12,4,14,27,25,-18,28.22
43,2019,12,4,14,27,26,-17,28.22
44,2019,12,4,14,27,27,-16,28.22
45,2019,12,4,14,27,28,-15,28.22
46,2019,12,4,14,27,29,-14,28.22
47,2019,12,4,14,27,30,-13,28.22
48,2019,12,4,14,27,31,-12,28.14
49,2019,12,4,14,27,32,-11,28.22
50,2019,12,4,14,27,33,-10,28.22
51,2019,12,4,14,27,34,-9,28.22
52,2019,12,4,14,27,35,-8,28.22
53,2019,12,4,14,27,36,-7,28.22
54,2019,12,4,14,27,37,-6,28.14
55,2019,12,4,14,27,38,-5,28.22
56,2019,12,4,14,27,39,-4,28.22
57,2019,12,4,14,27,40,-3,28.22
58,2019,12,4,14,27,41,-2,28.22
59,2019,12,4,14,27,42,-1,28.22
60,2019,12,4,14,27,43,0,28.14
61,2019,12,4,14,27,45,1,28.14
62,2019,12,4,14,27,46,2,28.14
63,2019,12,4,14,27,47,3,28.14
64,2019,12,4,14,27,48,4,28.14
65,2019,12,4,14,27,49,5,28.14
66,2019,12,4,14,27,50,6,28.14
67,2019,12,4,14,27,51,7,28.05
68,2019,12,4,14,27,52,8,28.14
69,2019,12,4,14,27,53,9,28.14
70,2019,12,4,14,27,54,10,28.14
71,2019,12,4,14,27,55,11,28.14
72,2019,12,4,14,27,56,12,28.14
73,2019,12,4,14,27,57,13,28.14
74,2019,12,4,14,27,58,14,28.05
75,2019,12,4,14,27,59,15,28.14
