id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,5,13,41,26,-60,39.38
1,2019,12,5,13,41,27,-59,39.28
2,2019,12,5,13,41,28,-58,39.28
3,2019,12,5,13,41,29,-57,39.28
4,2019,12,5,13,41,30,-56,39.38
5,2019,12,5,13,41,31,-55,39.38
6,2019,12,5,13,41,32,-54,39.38
7,2019,12,5,13,41,33,-53,39.48
8,2019,12,5,13,41,34,-52,39.38
9,2019,12,5,13,41,35,-51,39.48
10,2019,12,5,13,41,36,-50,39.48
11,2019,12,5,13,41,37,-49,39.48
12,2019,12,5,13,41,38,-48,39.48
13,2019,12,5,13,41,39,-47,39.48
14,2019,12,5,13,41,40,-46,39.48
15,2019,12,5,13,41,41,-45,39.48
16,2019,12,5,13,41,42,-44,39.48
17,2019,12,5,13,41,43,-43,39.58
18,2019,12,5,13,41,44,-42,39.48
19,2019,12,5,13,41,45,-41,39.48
20,2019,12,5,13,41,46,-40,39.58
21,2019,12,5,13,41,48,-39,39.58
22,2019,12,5,13,41,49,-38,39.58
23,2019,12,5,13,41,50,-37,39.58
24,2019,12,5,13,41,51,-36,39.58
25,2019,12,5,13,41,52,-35,39.58
26,2019,12,5,13,41,53,-34,39.58
27,2019,12,5,13,41,54,-33,39.58
28,2019,12,5,13,41,55,-32,39.58
29,2019,12,5,13,41,56,-31,39.58
30,2019,12,5,13,41,57,-30,39.58
31,2019,12,5,13,41,58,-29,39.58
32,2019,12,5,13,41,59,-28,39.67
33,2019,12,5,13,42,0,-27,39.58
34,2019,12,5,13,42,1,-26,39.58
35,2019,12,5,13,42,2,-25,39.67
36,2019,12,5,13,42,3,-24,38.50
37,2019,12,5,13,42,4,-23,39.18
38,2019,12,5,13,42,5,-22,39.18
39,2019,12,5,13,42,6,-21,39.18
40,2019,12,5,13,42,7,-20,39.28
41,2019,12,5,13,42,8,-19,39.18
42,2019,12,5,13,42,9,-18,39.28
43,2019,12,5,13,42,10,-17,39.28
44,2019,12,5,13,42,11,-16,39.28
45,2019,12,5,13,42,12,-15,39.28
46,2019,12,5,13,42,13,-14,39.28
