id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,17,12,34,34,-60,22.34
1,2019,6,17,12,34,35,-59,22.26
2,2019,6,17,12,34,36,-58,22.26
3,2019,6,17,12,34,37,-57,22.26
4,2019,6,17,12,34,38,-56,22.34
5,2019,6,17,12,34,39,-55,22.26
6,2019,6,17,12,34,40,-54,22.34
7,2019,6,17,12,34,41,-53,22.26
8,2019,6,17,12,34,42,-52,22.26
9,2019,6,17,12,34,43,-51,22.34
10,2019,6,17,12,34,44,-50,22.26
11,2019,6,17,12,34,45,-49,22.34
12,2019,6,17,12,34,46,-48,22.51
13,2019,6,17,12,34,47,-47,22.26
14,2019,6,17,12,34,48,-46,22.34
15,2019,6,17,12,34,49,-45,22.42
16,2019,6,17,12,34,50,-44,22.59
17,2019,6,17,12,34,51,-43,22.42
18,2019,6,17,12,34,52,-42,22.26
19,2019,6,17,12,34,53,-41,22.34
20,2019,6,17,12,34,54,-40,22.34
21,2019,6,17,12,34,55,-39,22.34
22,2019,6,17,12,34,56,-38,22.26
23,2019,6,17,12,34,57,-37,22.26
24,2019,6,17,12,34,58,-36,22.42
25,2019,6,17,12,34,59,-35,22.26
26,2019,6,17,12,35,0,-34,22.34
27,2019,6,17,12,35,1,-33,22.26
28,2019,6,17,12,35,2,-32,22.34
29,2019,6,17,12,35,3,-31,22.34
30,2019,6,17,12,35,4,-30,22.26
31,2019,6,17,12,35,6,-29,22.34
32,2019,6,17,12,35,7,-28,22.42
33,2019,6,17,12,35,8,-27,22.34
34,2019,6,17,12,35,9,-26,22.34
35,2019,6,17,12,35,10,-25,22.34
36,2019,6,17,12,35,11,-24,22.42
37,2019,6,17,12,35,12,-23,22.26
38,2019,6,17,12,35,13,-22,22.42
39,2019,6,17,12,35,14,-21,22.34
40,2019,6,17,12,35,15,-20,22.26
41,2019,6,17,12,35,16,-19,22.26
42,2019,6,17,12,35,17,-18,22.26
43,2019,6,17,12,35,18,-17,22.34
44,2019,6,17,12,35,19,-16,22.42
45,2019,6,17,12,35,20,-15,22.34
46,2019,6,17,12,35,21,-14,22.42
47,2019,6,17,12,35,22,-13,22.34
48,2019,6,17,12,35,23,-12,22.51
49,2019,6,17,12,35,24,-11,22.42
50,2019,6,17,12,35,25,-10,22.42
51,2019,6,17,12,35,26,-9,22.34
52,2019,6,17,12,35,27,-8,22.42
53,2019,6,17,12,35,28,-7,22.42
54,2019,6,17,12,35,29,-6,22.34
55,2019,6,17,12,35,30,-5,22.34
56,2019,6,17,12,35,31,-4,22.42
57,2019,6,17,12,35,32,-3,22.26
58,2019,6,17,12,35,33,-2,22.26
59,2019,6,17,12,35,34,-1,22.34
60,2019,6,17,12,35,35,0,22.34
61,2019,6,17,12,35,36,1,22.26
62,2019,6,17,12,35,37,2,22.26
63,2019,6,17,12,35,38,3,22.26
64,2019,6,17,12,35,39,4,22.26
65,2019,6,17,12,35,40,5,22.34
66,2019,6,17,12,35,41,6,22.26
67,2019,6,17,12,35,42,7,22.34
68,2019,6,17,12,35,44,8,22.34
69,2019,6,17,12,35,45,9,22.26
70,2019,6,17,12,35,46,10,22.42
71,2019,6,17,12,35,47,11,22.26
72,2019,6,17,12,35,48,12,22.34
73,2019,6,17,12,35,49,13,22.34
74,2019,6,17,12,35,50,14,22.26
75,2019,6,17,12,35,51,15,22.26
76,2019,6,17,12,35,52,16,22.26
77,2019,6,17,12,35,53,17,22.34
78,2019,6,17,12,35,54,18,22.34
79,2019,6,17,12,35,55,19,22.34
80,2019,6,17,12,35,56,20,22.26
81,2019,6,17,12,35,57,21,22.34
82,2019,6,17,12,35,58,22,22.34
83,2019,6,17,12,35,59,23,22.34
84,2019,6,17,12,36,0,24,22.26
85,2019,6,17,12,36,1,25,22.34
86,2019,6,17,12,36,2,26,22.26
87,2019,6,17,12,36,3,27,22.34
88,2019,6,17,12,36,4,28,22.34
89,2019,6,17,12,36,5,29,22.34
90,2019,6,17,12,36,6,30,22.34
91,2019,6,17,12,36,7,31,22.34
92,2019,6,17,12,36,8,32,22.26
93,2019,6,17,12,36,9,33,22.26
94,2019,6,17,12,36,10,34,22.34
95,2019,6,17,12,36,11,35,22.34
96,2019,6,17,12,36,12,36,22.26
97,2019,6,17,12,36,13,37,22.26
98,2019,6,17,12,36,14,38,22.34
99,2019,6,17,12,36,15,39,22.34
100,2019,6,17,12,36,16,40,22.34
101,2019,6,17,12,36,17,41,22.34
102,2019,6,17,12,36,18,42,22.26
103,2019,6,17,12,36,19,43,22.26
104,2019,6,17,12,36,21,44,22.26
105,2019,6,17,12,36,22,45,22.26
