id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,18,15,2,49,-60,24.51
1,2019,6,18,15,2,50,-59,24.51
2,2019,6,18,15,2,51,-58,24.42
3,2019,6,18,15,2,52,-57,24.51
4,2019,6,18,15,2,53,-56,24.42
5,2019,6,18,15,2,54,-55,24.42
6,2019,6,18,15,2,55,-54,24.42
7,2019,6,18,15,2,56,-53,24.51
8,2019,6,18,15,2,57,-52,24.42
9,2019,6,18,15,2,58,-51,24.42
10,2019,6,18,15,2,59,-50,24.42
11,2019,6,18,15,3,0,-49,24.42
12,2019,6,18,15,3,1,-48,24.42
13,2019,6,18,15,3,2,-47,24.42
14,2019,6,18,15,3,3,-46,24.42
15,2019,6,18,15,3,5,-45,24.51
16,2019,6,18,15,3,6,-44,24.42
17,2019,6,18,15,3,7,-43,24.42
18,2019,6,18,15,3,8,-42,24.42
19,2019,6,18,15,3,9,-41,24.42
20,2019,6,18,15,3,10,-40,24.42
21,2019,6,18,15,3,11,-39,24.34
22,2019,6,18,15,3,12,-38,24.42
23,2019,6,18,15,3,13,-37,24.42
24,2019,6,18,15,3,14,-36,24.42
25,2019,6,18,15,3,15,-35,24.42
26,2019,6,18,15,3,16,-34,24.42
27,2019,6,18,15,3,17,-33,24.42
28,2019,6,18,15,3,18,-32,24.34
29,2019,6,18,15,3,19,-31,24.42
30,2019,6,18,15,3,20,-30,24.34
31,2019,6,18,15,3,21,-29,24.42
32,2019,6,18,15,3,22,-28,24.42
33,2019,6,18,15,3,23,-27,24.34
34,2019,6,18,15,3,24,-26,24.34
35,2019,6,18,15,3,25,-25,24.34
36,2019,6,18,15,3,26,-24,24.42
37,2019,6,18,15,3,27,-23,24.34
38,2019,6,18,15,3,28,-22,24.34
39,2019,6,18,15,3,29,-21,24.34
40,2019,6,18,15,3,30,-20,24.34
41,2019,6,18,15,3,31,-19,24.42
42,2019,6,18,15,3,32,-18,24.34
43,2019,6,18,15,3,33,-17,24.42
44,2019,6,18,15,3,34,-16,24.34
45,2019,6,18,15,3,35,-15,24.34
46,2019,6,18,15,3,36,-14,24.34
47,2019,6,18,15,3,37,-13,24.34
48,2019,6,18,15,3,38,-12,24.34
49,2019,6,18,15,3,39,-11,24.34
50,2019,6,18,15,3,41,-10,24.34
51,2019,6,18,15,3,42,-9,24.34
52,2019,6,18,15,3,43,-8,24.34
53,2019,6,18,15,3,44,-7,24.34
54,2019,6,18,15,3,45,-6,24.34
