id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,20,17,35,38,-60,20.26
1,2019,6,20,17,35,39,-59,20.26
2,2019,6,20,17,35,40,-58,20.26
3,2019,6,20,17,35,41,-57,20.26
4,2019,6,20,17,35,42,-56,20.26
5,2019,6,20,17,35,43,-55,20.26
6,2019,6,20,17,35,44,-54,20.26
7,2019,6,20,17,35,45,-53,20.26
8,2019,6,20,17,35,46,-52,20.18
9,2019,6,20,17,35,47,-51,20.18
10,2019,6,20,17,35,48,-50,20.18
11,2019,6,20,17,35,49,-49,20.18
12,2019,6,20,17,35,50,-48,20.18
13,2019,6,20,17,35,51,-47,20.18
14,2019,6,20,17,35,52,-46,20.18
15,2019,6,20,17,35,53,-45,20.18
16,2019,6,20,17,35,54,-44,20.18
17,2019,6,20,17,35,55,-43,20.18
18,2019,6,20,17,35,56,-42,20.18
19,2019,6,20,17,35,57,-41,20.18
20,2019,6,20,17,35,58,-40,20.18
21,2019,6,20,17,35,59,-39,20.18
22,2019,6,20,17,36,1,-38,20.18
23,2019,6,20,17,36,2,-37,20.09
24,2019,6,20,17,36,3,-36,20.18
25,2019,6,20,17,36,4,-35,20.09
26,2019,6,20,17,36,5,-34,20.18
27,2019,6,20,17,36,6,-33,20.09
28,2019,6,20,17,36,7,-32,20.09
29,2019,6,20,17,36,8,-31,20.09
30,2019,6,20,17,36,9,-30,20.18
31,2019,6,20,17,36,10,-29,20.09
32,2019,6,20,17,36,11,-28,20.09
33,2019,6,20,17,36,12,-27,20.09
34,2019,6,20,17,36,13,-26,20.09
35,2019,6,20,17,36,14,-25,20.09
36,2019,6,20,17,36,15,-24,20.09
37,2019,6,20,17,36,16,-23,20.09
38,2019,6,20,17,36,17,-22,20.09
39,2019,6,20,17,36,18,-21,20.09
40,2019,6,20,17,36,19,-20,20.09
41,2019,6,20,17,36,20,-19,20.01
42,2019,6,20,17,36,21,-18,20.01
43,2019,6,20,17,36,22,-17,20.01
44,2019,6,20,17,36,23,-16,20.09
45,2019,6,20,17,36,24,-15,20.09
46,2019,6,20,17,36,25,-14,20.01
47,2019,6,20,17,36,26,-13,20.09
48,2019,6,20,17,36,27,-12,20.01
49,2019,6,20,17,36,28,-11,20.01
50,2019,6,20,17,36,29,-10,20.01
51,2019,6,20,17,36,30,-9,20.01
52,2019,6,20,17,36,31,-8,19.93
53,2019,6,20,17,36,32,-7,20.01
54,2019,6,20,17,36,33,-6,20.01
55,2019,6,20,17,36,34,-5,20.01
56,2019,6,20,17,36,35,-4,19.93
57,2019,6,20,17,36,37,-3,20.01
58,2019,6,20,17,36,38,-2,20.01
59,2019,6,20,17,36,39,-1,20.01
60,2019,6,20,17,36,40,0,19.93
61,2019,6,20,17,36,41,1,19.93
62,2019,6,20,17,36,42,2,19.93
63,2019,6,20,17,36,43,3,19.93
64,2019,6,20,17,36,44,4,19.93
65,2019,6,20,17,36,45,5,19.93
66,2019,6,20,17,36,46,6,19.93
67,2019,6,20,17,36,47,7,19.93
68,2019,6,20,17,36,48,8,19.93
69,2019,6,20,17,36,49,9,19.93
70,2019,6,20,17,36,50,10,19.84
71,2019,6,20,17,36,51,11,19.84
72,2019,6,20,17,36,52,12,19.84
73,2019,6,20,17,36,53,13,19.84
74,2019,6,20,17,36,54,14,19.84
75,2019,6,20,17,36,55,15,19.93
76,2019,6,20,17,36,56,16,19.84
77,2019,6,20,17,36,57,17,19.84
78,2019,6,20,17,36,58,18,19.84
79,2019,6,20,17,36,59,19,19.84
80,2019,6,20,17,37,0,20,19.84
81,2019,6,20,17,37,1,21,19.84
82,2019,6,20,17,37,2,22,19.84
83,2019,6,20,17,37,3,23,19.84
84,2019,6,20,17,37,4,24,19.84
85,2019,6,20,17,37,5,25,19.84
86,2019,6,20,17,37,6,26,19.84
87,2019,6,20,17,37,7,27,19.84
88,2019,6,20,17,37,8,28,19.84
89,2019,6,20,17,37,9,29,19.84
90,2019,6,20,17,37,10,30,19.76
91,2019,6,20,17,37,11,31,19.84
92,2019,6,20,17,37,12,32,19.84
93,2019,6,20,17,37,13,33,19.84
94,2019,6,20,17,37,15,34,19.76
95,2019,6,20,17,37,16,35,19.84
96,2019,6,20,17,37,17,36,19.76
97,2019,6,20,17,37,18,37,19.84
98,2019,6,20,17,37,19,38,19.76
99,2019,6,20,17,37,20,39,19.76
100,2019,6,20,17,37,21,40,19.84
101,2019,6,20,17,37,22,41,19.76
102,2019,6,20,17,37,23,42,19.84
103,2019,6,20,17,37,24,43,19.84
104,2019,6,20,17,37,25,44,19.76
105,2019,6,20,17,37,26,45,19.76
106,2019,6,20,17,37,27,46,19.76
107,2019,6,20,17,37,28,47,19.84
108,2019,6,20,17,37,29,48,19.84
109,2019,6,20,17,37,30,49,19.76
110,2019,6,20,17,37,31,50,19.76
111,2019,6,20,17,37,32,51,19.76
112,2019,6,20,17,37,33,52,19.76
113,2019,6,20,17,37,34,53,19.76
114,2019,6,20,17,37,35,54,19.76
115,2019,6,20,17,37,36,55,19.76
116,2019,6,20,17,37,37,56,19.76
117,2019,6,20,17,37,38,57,19.76
118,2019,6,20,17,37,39,58,19.76
119,2019,6,20,17,37,40,59,19.76
120,2019,6,20,17,37,41,60,19.76
121,2019,6,20,17,37,42,61,19.76
122,2019,6,20,17,37,43,62,19.76
123,2019,6,20,17,37,44,63,19.76
124,2019,6,20,17,37,45,64,19.76
125,2019,6,20,17,37,46,65,19.76
126,2019,6,20,17,37,47,66,19.76
127,2019,6,20,17,37,48,67,19.68
128,2019,6,20,17,37,49,68,19.76
129,2019,6,20,17,37,50,69,19.76
130,2019,6,20,17,37,51,70,19.68
131,2019,6,20,17,37,53,71,19.76
132,2019,6,20,17,37,54,72,19.76
133,2019,6,20,17,37,55,73,19.68
134,2019,6,20,17,37,56,74,19.68
135,2019,6,20,17,37,57,75,19.76
136,2019,6,20,17,37,58,76,19.76
137,2019,6,20,17,37,59,77,19.76
138,2019,6,20,17,38,0,78,19.76
139,2019,6,20,17,38,1,79,19.68
140,2019,6,20,17,38,2,80,19.76
141,2019,6,20,17,38,3,81,19.76
142,2019,6,20,17,38,4,82,19.68
143,2019,6,20,17,38,5,83,19.76
144,2019,6,20,17,38,6,84,19.76
145,2019,6,20,17,38,7,85,19.68
146,2019,6,20,17,38,8,86,19.76
147,2019,6,20,17,38,9,87,19.68
148,2019,6,20,17,38,10,88,19.68
149,2019,6,20,17,38,11,89,19.76
150,2019,6,20,17,38,12,90,19.68
151,2019,6,20,17,38,13,91,19.76
152,2019,6,20,17,38,14,92,19.76
153,2019,6,20,17,38,15,93,19.76
154,2019,6,20,17,38,16,94,19.68
155,2019,6,20,17,38,17,95,19.76
156,2019,6,20,17,38,18,96,19.68
157,2019,6,20,17,38,19,97,19.76
158,2019,6,20,17,38,20,98,19.76
159,2019,6,20,17,38,21,99,19.68
160,2019,6,20,17,38,22,100,19.68
161,2019,6,20,17,38,23,101,19.68
162,2019,6,20,17,38,24,102,19.76
163,2019,6,20,17,38,25,103,19.68
164,2019,6,20,17,38,26,104,19.68
165,2019,6,20,17,38,27,105,19.68
166,2019,6,20,17,38,28,106,19.68
167,2019,6,20,17,38,30,107,19.68
168,2019,6,20,17,38,31,108,19.68
169,2019,6,20,17,38,32,109,19.76
170,2019,6,20,17,38,33,110,19.68
171,2019,6,20,17,38,34,111,19.68
172,2019,6,20,17,38,35,112,19.68
173,2019,6,20,17,38,36,113,19.68
174,2019,6,20,17,38,37,114,19.68
175,2019,6,20,17,38,38,115,19.68
176,2019,6,20,17,38,39,116,19.68
177,2019,6,20,17,38,40,117,19.68
178,2019,6,20,17,38,41,118,19.68
179,2019,6,20,17,38,42,119,19.68
180,2019,6,20,17,38,43,120,19.68
181,2019,6,20,17,38,44,121,19.68
182,2019,6,20,17,38,45,122,19.68
183,2019,6,20,17,38,46,123,19.68
184,2019,6,20,17,38,47,124,19.68
185,2019,6,20,17,38,48,125,19.59
186,2019,6,20,17,38,49,126,19.68
187,2019,6,20,17,38,50,127,19.68
188,2019,6,20,17,38,51,128,19.68
189,2019,6,20,17,38,52,129,19.68
