id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,21,12,43,19,-60,30.64
1,2019,6,21,12,43,20,-59,30.64
2,2019,6,21,12,43,21,-58,30.64
3,2019,6,21,12,43,22,-57,30.64
4,2019,6,21,12,43,23,-56,30.64
5,2019,6,21,12,43,24,-55,30.64
6,2019,6,21,12,43,25,-54,30.64
7,2019,6,21,12,43,26,-53,30.64
8,2019,6,21,12,43,27,-52,30.72
9,2019,6,21,12,43,28,-51,30.72
10,2019,6,21,12,43,29,-50,30.64
11,2019,6,21,12,43,30,-49,30.72
12,2019,6,21,12,43,31,-48,30.72
13,2019,6,21,12,43,32,-47,30.64
14,2019,6,21,12,43,33,-46,30.72
15,2019,6,21,12,43,34,-45,30.64
16,2019,6,21,12,43,35,-44,30.72
17,2019,6,21,12,43,36,-43,30.64
18,2019,6,21,12,43,37,-42,30.72
19,2019,6,21,12,43,38,-41,30.64
20,2019,6,21,12,43,39,-40,30.72
21,2019,6,21,12,43,40,-39,30.72
22,2019,6,21,12,43,41,-38,30.72
23,2019,6,21,12,43,42,-37,30.72
24,2019,6,21,12,43,43,-36,30.72
25,2019,6,21,12,43,44,-35,30.72
26,2019,6,21,12,43,45,-34,30.72
27,2019,6,21,12,43,46,-33,30.72
28,2019,6,21,12,43,47,-32,30.72
29,2019,6,21,12,43,48,-31,30.72
30,2019,6,21,12,43,50,-30,30.81
31,2019,6,21,12,43,51,-29,30.72
32,2019,6,21,12,43,52,-28,30.72
33,2019,6,21,12,43,53,-27,30.72
34,2019,6,21,12,43,54,-26,30.72
35,2019,6,21,12,43,55,-25,30.72
36,2019,6,21,12,43,56,-24,30.72
37,2019,6,21,12,43,57,-23,30.72
38,2019,6,21,12,43,58,-22,30.81
39,2019,6,21,12,43,59,-21,30.72
40,2019,6,21,12,44,0,-20,30.72
41,2019,6,21,12,44,1,-19,30.72
42,2019,6,21,12,44,2,-18,30.72
43,2019,6,21,12,44,3,-17,30.72
44,2019,6,21,12,44,4,-16,30.81
45,2019,6,21,12,44,5,-15,30.81
46,2019,6,21,12,44,6,-14,30.72
