id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,4,18,7,4,-60,21.17
1,2020,12,4,18,7,5,-59,19.34
2,2020,12,4,18,7,6,-58,19.34
3,2020,12,4,18,7,7,-57,19.34
4,2020,12,4,18,7,8,-56,19.26
5,2020,12,4,18,7,9,-55,19.34
6,2020,12,4,18,7,10,-54,19.34
7,2020,12,4,18,7,11,-53,19.34
8,2020,12,4,18,7,12,-52,19.34
9,2020,12,4,18,7,14,-51,19.34
10,2020,12,4,18,7,15,-50,19.34
11,2020,12,4,18,7,16,-49,19.34
12,2020,12,4,18,7,17,-48,19.34
13,2020,12,4,18,7,18,-47,19.34
14,2020,12,4,18,7,19,-46,19.34
15,2020,12,4,18,7,20,-45,19.34
16,2020,12,4,18,7,21,-44,19.34
17,2020,12,4,18,7,22,-43,19.34
18,2020,12,4,18,7,23,-42,19.26
19,2020,12,4,18,7,24,-41,19.34
20,2020,12,4,18,7,25,-40,19.34
21,2020,12,4,18,7,26,-39,19.34
22,2020,12,4,18,7,27,-38,19.34
23,2020,12,4,18,7,28,-37,19.34
24,2020,12,4,18,7,29,-36,19.34
25,2020,12,4,18,7,30,-35,19.34
26,2020,12,4,18,7,31,-34,19.34
27,2020,12,4,18,7,32,-33,19.26
28,2020,12,4,18,7,33,-32,19.34
29,2020,12,4,18,7,34,-31,19.34
30,2020,12,4,18,7,35,-30,19.34
31,2020,12,4,18,7,36,-29,19.34
32,2020,12,4,18,7,37,-28,19.34
33,2020,12,4,18,7,38,-27,19.34
34,2020,12,4,18,7,39,-26,19.34
35,2020,12,4,18,7,40,-25,19.34
36,2020,12,4,18,7,41,-24,19.34
37,2020,12,4,18,7,42,-23,19.34
38,2020,12,4,18,7,43,-22,19.34
39,2020,12,4,18,7,44,-21,19.34
40,2020,12,4,18,7,45,-20,19.34
41,2020,12,4,18,7,46,-19,19.34
42,2020,12,4,18,7,47,-18,19.34
43,2020,12,4,18,7,48,-17,19.43
44,2020,12,4,18,7,50,-16,19.43
45,2020,12,4,18,7,51,-15,19.43
46,2020,12,4,18,7,52,-14,19.34
47,2020,12,4,18,7,53,-13,19.34
48,2020,12,4,18,7,54,-12,19.34
49,2020,12,4,18,7,55,-11,19.43
50,2020,12,4,18,7,56,-10,19.43
51,2020,12,4,18,7,57,-9,19.43
52,2020,12,4,18,7,58,-8,19.43
53,2020,12,4,18,7,59,-7,19.43
54,2020,12,4,18,8,0,-6,19.43
55,2020,12,4,18,8,1,-5,19.43
56,2020,12,4,18,8,2,-4,19.34
57,2020,12,4,18,8,3,-3,19.43
58,2020,12,4,18,8,4,-2,19.43
59,2020,12,4,18,8,5,-1,19.43
60,2020,12,4,18,8,6,0,19.43
61,2020,12,4,18,8,7,1,19.34
62,2020,12,4,18,8,8,2,19.34
63,2020,12,4,18,8,9,3,19.43
64,2020,12,4,18,8,10,4,19.43
65,2020,12,4,18,8,11,5,19.34
66,2020,12,4,18,8,12,6,19.43
67,2020,12,4,18,8,13,7,19.34
68,2020,12,4,18,8,14,8,19.43
69,2020,12,4,18,8,15,9,19.43
70,2020,12,4,18,8,16,10,19.43
71,2020,12,4,18,8,17,11,19.43
72,2020,12,4,18,8,18,12,19.43
73,2020,12,4,18,8,19,13,19.34
74,2020,12,4,18,8,20,14,19.43
75,2020,12,4,18,8,21,15,19.43
76,2020,12,4,18,8,22,16,19.43
77,2020,12,4,18,8,23,17,19.43
78,2020,12,4,18,8,24,18,19.43
79,2020,12,4,18,8,25,19,19.43
80,2020,12,4,18,8,26,20,19.43
81,2020,12,4,18,8,28,21,19.43
82,2020,12,4,18,8,29,22,19.43
83,2020,12,4,18,8,30,23,19.43
84,2020,12,4,18,8,31,24,19.43
85,2020,12,4,18,8,32,25,19.43
86,2020,12,4,18,8,33,26,19.43
87,2020,12,4,18,8,34,27,19.43
88,2020,12,4,18,8,35,28,19.43
89,2020,12,4,18,8,36,29,19.43
90,2020,12,4,18,8,37,30,19.43
91,2020,12,4,18,8,38,31,19.43
92,2020,12,4,18,8,39,32,19.43
93,2020,12,4,18,8,40,33,19.43
94,2020,12,4,18,8,41,34,19.43
95,2020,12,4,18,8,42,35,19.43
96,2020,12,4,18,8,43,36,19.43
97,2020,12,4,18,8,44,37,19.43
98,2020,12,4,18,8,45,38,19.43
99,2020,12,4,18,8,46,39,19.43
100,2020,12,4,18,8,47,40,19.43
101,2020,12,4,18,8,48,41,19.43
102,2020,12,4,18,8,49,42,19.43
103,2020,12,4,18,8,50,43,19.43
104,2020,12,4,18,8,51,44,19.43
105,2020,12,4,18,8,52,45,19.43
106,2020,12,4,18,8,53,46,19.43
107,2020,12,4,18,8,54,47,19.43
108,2020,12,4,18,8,55,48,19.43
109,2020,12,4,18,8,56,49,19.43
110,2020,12,4,18,8,57,50,19.43
111,2020,12,4,18,8,58,51,19.43
112,2020,12,4,18,8,59,52,19.43
113,2020,12,4,18,9,0,53,19.51
114,2020,12,4,18,9,1,54,19.43
115,2020,12,4,18,9,2,55,19.43
116,2020,12,4,18,9,3,56,19.51
117,2020,12,4,18,9,4,57,19.43
118,2020,12,4,18,9,6,58,19.51
119,2020,12,4,18,9,7,59,19.51
120,2020,12,4,18,9,8,60,19.43
121,2020,12,4,18,9,9,61,19.43
122,2020,12,4,18,9,10,62,19.43
123,2020,12,4,18,9,11,63,19.51
124,2020,12,4,18,9,12,64,19.51
125,2020,12,4,18,9,13,65,19.43
126,2020,12,4,18,9,14,66,19.43
127,2020,12,4,18,9,15,67,19.51
128,2020,12,4,18,9,16,68,19.51
129,2020,12,4,18,9,17,69,19.51
130,2020,12,4,18,9,18,70,19.43
131,2020,12,4,18,9,19,71,19.51
132,2020,12,4,18,9,20,72,19.51
133,2020,12,4,18,9,21,73,19.51
134,2020,12,4,18,9,22,74,19.51
135,2020,12,4,18,9,23,75,19.43
136,2020,12,4,18,9,24,76,19.51
137,2020,12,4,18,9,25,77,19.51
138,2020,12,4,18,9,26,78,19.51
139,2020,12,4,18,9,27,79,19.51
140,2020,12,4,18,9,28,80,19.51
141,2020,12,4,18,9,29,81,19.51
142,2020,12,4,18,9,30,82,19.51
143,2020,12,4,18,9,31,83,19.51
144,2020,12,4,18,9,32,84,19.51
145,2020,12,4,18,9,33,85,19.43
146,2020,12,4,18,9,34,86,19.51
147,2020,12,4,18,9,35,87,19.51
148,2020,12,4,18,9,36,88,19.51
149,2020,12,4,18,9,37,89,19.51
150,2020,12,4,18,9,38,90,19.51
151,2020,12,4,18,9,39,91,19.51
152,2020,12,4,18,9,40,92,19.51
153,2020,12,4,18,9,41,93,19.51
154,2020,12,4,18,9,43,94,19.51
155,2020,12,4,18,9,44,95,19.51
156,2020,12,4,18,9,45,96,19.51
157,2020,12,4,18,9,46,97,19.51
158,2020,12,4,18,9,47,98,19.51
159,2020,12,4,18,9,48,99,19.51
160,2020,12,4,18,9,49,100,19.51
161,2020,12,4,18,9,50,101,19.51
162,2020,12,4,18,9,51,102,19.51
163,2020,12,4,18,9,52,103,19.51
164,2020,12,4,18,9,53,104,19.51
165,2020,12,4,18,9,54,105,19.51
166,2020,12,4,18,9,55,106,19.51
167,2020,12,4,18,9,56,107,19.51
168,2020,12,4,18,9,57,108,19.51
169,2020,12,4,18,9,58,109,19.51
170,2020,12,4,18,9,59,110,19.51
171,2020,12,4,18,10,0,111,19.51
172,2020,12,4,18,10,1,112,19.51
173,2020,12,4,18,10,2,113,19.51
174,2020,12,4,18,10,3,114,19.51
175,2020,12,4,18,10,4,115,19.51
176,2020,12,4,18,10,5,116,19.51
177,2020,12,4,18,10,6,117,19.51
178,2020,12,4,18,10,7,118,19.51
179,2020,12,4,18,10,8,119,19.51
180,2020,12,4,18,10,9,120,19.43
181,2020,12,4,18,10,10,121,19.51
182,2020,12,4,18,10,11,122,19.51
183,2020,12,4,18,10,12,123,19.51
184,2020,12,4,18,10,13,124,19.51
185,2020,12,4,18,10,14,125,19.51
186,2020,12,4,18,10,15,126,19.51
187,2020,12,4,18,10,16,127,19.51
