id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,4,14,43,30,-60,42.73
1,2020,12,4,14,43,31,-59,29.59
2,2020,12,4,14,43,32,-58,29.68
3,2020,12,4,14,43,33,-57,29.68
4,2020,12,4,14,43,34,-56,29.77
5,2020,12,4,14,43,35,-55,29.77
6,2020,12,4,14,43,36,-54,29.85
7,2020,12,4,14,43,37,-53,29.85
8,2020,12,4,14,43,38,-52,29.94
9,2020,12,4,14,43,40,-51,29.94
10,2020,12,4,14,43,41,-50,29.94
11,2020,12,4,14,43,42,-49,30.03
12,2020,12,4,14,43,43,-48,30.03
13,2020,12,4,14,43,44,-47,30.11
14,2020,12,4,14,43,45,-46,30.11
15,2020,12,4,14,43,46,-45,30.20
16,2020,12,4,14,43,47,-44,30.20
17,2020,12,4,14,43,48,-43,30.29
18,2020,12,4,14,43,49,-42,30.29
19,2020,12,4,14,43,50,-41,30.29
20,2020,12,4,14,43,51,-40,30.37
21,2020,12,4,14,43,52,-39,30.37
22,2020,12,4,14,43,53,-38,30.37
23,2020,12,4,14,43,54,-37,30.46
24,2020,12,4,14,43,55,-36,30.46
25,2020,12,4,14,43,56,-35,30.55
26,2020,12,4,14,43,57,-34,30.55
27,2020,12,4,14,43,58,-33,30.55
28,2020,12,4,14,43,59,-32,30.64
29,2020,12,4,14,44,0,-31,30.64
30,2020,12,4,14,44,1,-30,30.64
31,2020,12,4,14,44,2,-29,30.72
32,2020,12,4,14,44,3,-28,30.64
33,2020,12,4,14,44,4,-27,30.72
34,2020,12,4,14,44,5,-26,30.81
35,2020,12,4,14,44,6,-25,30.81
36,2020,12,4,14,44,7,-24,30.81
37,2020,12,4,14,44,8,-23,30.81
38,2020,12,4,14,44,9,-22,30.81
39,2020,12,4,14,44,10,-21,30.90
40,2020,12,4,14,44,11,-20,30.98
41,2020,12,4,14,44,12,-19,30.90
42,2020,12,4,14,44,13,-18,30.98
43,2020,12,4,14,44,14,-17,30.98
44,2020,12,4,14,44,16,-16,31.07
45,2020,12,4,14,44,17,-15,31.07
46,2020,12,4,14,44,18,-14,31.07
47,2020,12,4,14,44,19,-13,31.07
48,2020,12,4,14,44,20,-12,31.16
49,2020,12,4,14,44,21,-11,31.16
50,2020,12,4,14,44,22,-10,31.16
51,2020,12,4,14,44,23,-9,31.16
52,2020,12,4,14,44,24,-8,31.25
53,2020,12,4,14,44,25,-7,31.25
54,2020,12,4,14,44,26,-6,31.25
55,2020,12,4,14,44,27,-5,31.25
56,2020,12,4,14,44,28,-4,31.34
