id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,6,4,10,21,53,-60,14.45
1,2020,6,4,10,21,54,-59,14.37
2,2020,6,4,10,21,55,-58,14.37
3,2020,6,4,10,21,56,-57,14.45
4,2020,6,4,10,21,57,-56,14.45
5,2020,6,4,10,21,58,-55,14.45
6,2020,6,4,10,21,59,-54,14.45
7,2020,6,4,10,22,0,-53,14.45
8,2020,6,4,10,22,1,-52,14.45
9,2020,6,4,10,22,2,-51,14.45
10,2020,6,4,10,22,3,-50,14.45
11,2020,6,4,10,22,4,-49,14.45
12,2020,6,4,10,22,5,-48,14.45
13,2020,6,4,10,22,6,-47,14.45
14,2020,6,4,10,22,7,-46,14.45
15,2020,6,4,10,22,8,-45,14.45
16,2020,6,4,10,22,9,-44,14.45
17,2020,6,4,10,22,10,-43,14.45
18,2020,6,4,10,22,11,-42,14.45
19,2020,6,4,10,22,12,-41,14.45
20,2020,6,4,10,22,13,-40,14.45
21,2020,6,4,10,22,14,-39,14.37
22,2020,6,4,10,22,15,-38,14.45
23,2020,6,4,10,22,17,-37,14.45
24,2020,6,4,10,22,18,-36,14.45
25,2020,6,4,10,22,19,-35,14.45
26,2020,6,4,10,22,20,-34,14.45
27,2020,6,4,10,22,21,-33,14.45
28,2020,6,4,10,22,22,-32,14.45
29,2020,6,4,10,22,23,-31,14.45
30,2020,6,4,10,22,24,-30,14.45
31,2020,6,4,10,22,25,-29,14.45
32,2020,6,4,10,22,26,-28,14.37
33,2020,6,4,10,22,27,-27,14.45
34,2020,6,4,10,22,28,-26,14.45
35,2020,6,4,10,22,29,-25,14.45
36,2020,6,4,10,22,30,-24,14.45
37,2020,6,4,10,22,31,-23,14.45
38,2020,6,4,10,22,32,-22,14.45
39,2020,6,4,10,22,33,-21,14.45
40,2020,6,4,10,22,34,-20,14.45
41,2020,6,4,10,22,35,-19,14.45
42,2020,6,4,10,22,36,-18,14.45
43,2020,6,4,10,22,37,-17,14.45
44,2020,6,4,10,22,38,-16,14.37
45,2020,6,4,10,22,39,-15,14.45
46,2020,6,4,10,22,40,-14,14.45
47,2020,6,4,10,22,41,-13,14.45
48,2020,6,4,10,22,42,-12,14.45
49,2020,6,4,10,22,43,-11,14.37
50,2020,6,4,10,22,44,-10,14.45
51,2020,6,4,10,22,45,-9,14.45
52,2020,6,4,10,22,46,-8,14.45
53,2020,6,4,10,22,47,-7,14.45
54,2020,6,4,10,22,48,-6,14.45
55,2020,6,4,10,22,49,-5,14.45
56,2020,6,4,10,22,50,-4,14.45
57,2020,6,4,10,22,51,-3,14.45
58,2020,6,4,10,22,53,-2,14.37
59,2020,6,4,10,22,54,-1,14.45
60,2020,6,4,10,22,55,0,14.28
61,2020,6,4,10,22,56,1,14.28
62,2020,6,4,10,22,57,2,14.20
63,2020,6,4,10,22,58,3,14.20
64,2020,6,4,10,22,59,4,14.28
