id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,7,1,11,37,16,-60,16.24
1,2020,7,1,11,37,17,-59,16.24
2,2020,7,1,11,37,18,-58,16.24
3,2020,7,1,11,37,19,-57,16.24
4,2020,7,1,11,37,20,-56,16.24
5,2020,7,1,11,37,21,-55,16.24
6,2020,7,1,11,37,22,-54,16.24
7,2020,7,1,11,37,23,-53,16.24
8,2020,7,1,11,37,24,-52,16.24
9,2020,7,1,11,37,25,-51,16.24
10,2020,7,1,11,37,26,-50,16.24
11,2020,7,1,11,37,27,-49,16.15
12,2020,7,1,11,37,28,-48,16.24
13,2020,7,1,11,37,29,-47,16.24
14,2020,7,1,11,37,30,-46,16.24
15,2020,7,1,11,37,31,-45,16.24
16,2020,7,1,11,37,32,-44,16.24
17,2020,7,1,11,37,33,-43,16.24
18,2020,7,1,11,37,34,-42,16.24
19,2020,7,1,11,37,35,-41,16.24
20,2020,7,1,11,37,36,-40,16.24
21,2020,7,1,11,37,37,-39,16.24
22,2020,7,1,11,37,38,-38,16.24
23,2020,7,1,11,37,39,-37,16.24
24,2020,7,1,11,37,40,-36,16.15
25,2020,7,1,11,37,41,-35,16.24
26,2020,7,1,11,37,42,-34,16.24
27,2020,7,1,11,37,43,-33,16.24
28,2020,7,1,11,37,44,-32,16.24
29,2020,7,1,11,37,45,-31,16.24
30,2020,7,1,11,37,46,-30,16.24
31,2020,7,1,11,37,47,-29,16.24
32,2020,7,1,11,37,48,-28,16.24
33,2020,7,1,11,37,49,-27,16.24
34,2020,7,1,11,37,51,-26,16.24
35,2020,7,1,11,37,52,-25,16.24
36,2020,7,1,11,37,53,-24,16.24
37,2020,7,1,11,37,54,-23,16.24
38,2020,7,1,11,37,55,-22,16.24
39,2020,7,1,11,37,56,-21,16.24
40,2020,7,1,11,37,57,-20,16.24
41,2020,7,1,11,37,58,-19,16.24
42,2020,7,1,11,37,59,-18,16.24
43,2020,7,1,11,38,0,-17,16.24
44,2020,7,1,11,38,1,-16,16.24
45,2020,7,1,11,38,2,-15,16.24
46,2020,7,1,11,38,3,-14,16.32
47,2020,7,1,11,38,4,-13,16.24
48,2020,7,1,11,38,5,-12,16.24
49,2020,7,1,11,38,6,-11,16.24
50,2020,7,1,11,38,7,-10,16.24
51,2020,7,1,11,38,8,-9,16.24
52,2020,7,1,11,38,9,-8,16.32
53,2020,7,1,11,38,10,-7,16.24
54,2020,7,1,11,38,11,-6,16.24
55,2020,7,1,11,38,12,-5,16.24
56,2020,7,1,11,38,13,-4,16.24
57,2020,7,1,11,38,14,-3,16.24
58,2020,7,1,11,38,15,-2,16.24
59,2020,7,1,11,38,16,-1,16.24
60,2020,7,1,11,38,17,0,16.15
61,2020,7,1,11,38,18,1,16.07
62,2020,7,1,11,38,19,2,16.07
63,2020,7,1,11,38,20,3,16.07
64,2020,7,1,11,38,21,4,16.15
65,2020,7,1,11,38,22,5,16.07
66,2020,7,1,11,38,23,6,16.07
67,2020,7,1,11,38,24,7,16.07
68,2020,7,1,11,38,25,8,16.07
69,2020,7,1,11,38,26,9,16.07
70,2020,7,1,11,38,28,10,16.15
71,2020,7,1,11,38,29,11,16.07
72,2020,7,1,11,38,30,12,16.15
73,2020,7,1,11,38,31,13,16.07
74,2020,7,1,11,38,32,14,16.07
75,2020,7,1,11,38,33,15,16.07
76,2020,7,1,11,38,34,16,16.07
77,2020,7,1,11,38,35,17,16.07
78,2020,7,1,11,38,36,18,16.07
79,2020,7,1,11,38,37,19,16.07
80,2020,7,1,11,38,38,20,16.15
81,2020,7,1,11,38,39,21,16.07
82,2020,7,1,11,38,40,22,16.07
83,2020,7,1,11,38,41,23,16.15
84,2020,7,1,11,38,42,24,16.15
85,2020,7,1,11,38,43,25,16.07
86,2020,7,1,11,38,44,26,16.07
87,2020,7,1,11,38,45,27,16.07
88,2020,7,1,11,38,46,28,16.15
89,2020,7,1,11,38,47,29,16.15
90,2020,7,1,11,38,48,30,16.15
91,2020,7,1,11,38,49,31,16.07
92,2020,7,1,11,38,50,32,16.15
93,2020,7,1,11,38,51,33,16.07
94,2020,7,1,11,38,52,34,16.07
95,2020,7,1,11,38,53,35,16.07
96,2020,7,1,11,38,54,36,16.15
97,2020,7,1,11,38,55,37,16.15
98,2020,7,1,11,38,56,38,16.15
99,2020,7,1,11,38,57,39,16.15
100,2020,7,1,11,38,58,40,16.07
101,2020,7,1,11,38,59,41,16.07
102,2020,7,1,11,39,0,42,16.07
103,2020,7,1,11,39,1,43,16.15
104,2020,7,1,11,39,2,44,16.15
105,2020,7,1,11,39,3,45,16.07
106,2020,7,1,11,39,4,46,16.07
107,2020,7,1,11,39,6,47,16.07
108,2020,7,1,11,39,7,48,16.07
109,2020,7,1,11,39,8,49,16.15
110,2020,7,1,11,39,9,50,16.15
111,2020,7,1,11,39,10,51,16.15
112,2020,7,1,11,39,11,52,16.07
113,2020,7,1,11,39,12,53,16.07
114,2020,7,1,11,39,13,54,16.07
115,2020,7,1,11,39,14,55,16.07
116,2020,7,1,11,39,15,56,16.07
117,2020,7,1,11,39,16,57,16.15
118,2020,7,1,11,39,17,58,16.07
119,2020,7,1,11,39,18,59,16.15
120,2020,7,1,11,39,19,60,16.15
121,2020,7,1,11,39,20,61,16.15
122,2020,7,1,11,39,21,62,16.15
123,2020,7,1,11,39,22,63,16.15
124,2020,7,1,11,39,23,64,16.15
125,2020,7,1,11,39,24,65,16.07
126,2020,7,1,11,39,25,66,16.15
127,2020,7,1,11,39,26,67,16.07
128,2020,7,1,11,39,27,68,16.15
129,2020,7,1,11,39,28,69,16.15
130,2020,7,1,11,39,29,70,16.07
131,2020,7,1,11,39,30,71,16.15
132,2020,7,1,11,39,31,72,16.07
133,2020,7,1,11,39,32,73,16.07
134,2020,7,1,11,39,33,74,16.15
135,2020,7,1,11,39,34,75,16.15
136,2020,7,1,11,39,35,76,16.07
137,2020,7,1,11,39,36,77,16.07
138,2020,7,1,11,39,37,78,16.07
139,2020,7,1,11,39,38,79,16.15
140,2020,7,1,11,39,39,80,16.15
141,2020,7,1,11,39,40,81,16.15
142,2020,7,1,11,39,41,82,16.15
143,2020,7,1,11,39,43,83,16.07
144,2020,7,1,11,39,44,84,16.07
145,2020,7,1,11,39,45,85,16.15
146,2020,7,1,11,39,46,86,16.07
147,2020,7,1,11,39,47,87,16.07
148,2020,7,1,11,39,48,88,16.07
149,2020,7,1,11,39,49,89,16.15
150,2020,7,1,11,39,50,90,16.07
151,2020,7,1,11,39,51,91,16.07
152,2020,7,1,11,39,52,92,16.15
153,2020,7,1,11,39,53,93,16.07
154,2020,7,1,11,39,54,94,16.15
155,2020,7,1,11,39,55,95,16.15
156,2020,7,1,11,39,56,96,16.15
157,2020,7,1,11,39,57,97,16.15
158,2020,7,1,11,39,58,98,16.07
159,2020,7,1,11,39,59,99,16.15
160,2020,7,1,11,40,0,100,16.07
161,2020,7,1,11,40,1,101,16.15
162,2020,7,1,11,40,2,102,16.15
163,2020,7,1,11,40,3,103,16.07
164,2020,7,1,11,40,4,104,16.07
165,2020,7,1,11,40,5,105,16.15
166,2020,7,1,11,40,6,106,16.15
167,2020,7,1,11,40,7,107,16.15
168,2020,7,1,11,40,8,108,16.07
169,2020,7,1,11,40,9,109,16.15
170,2020,7,1,11,40,10,110,16.07
171,2020,7,1,11,40,11,111,16.07
172,2020,7,1,11,40,12,112,16.07
173,2020,7,1,11,40,13,113,16.07
174,2020,7,1,11,40,14,114,16.15
175,2020,7,1,11,40,15,115,16.15
176,2020,7,1,11,40,16,116,16.15
177,2020,7,1,11,40,17,117,16.07
178,2020,7,1,11,40,18,118,16.15
179,2020,7,1,11,40,19,119,16.07
180,2020,7,1,11,40,21,120,16.07
181,2020,7,1,11,40,22,121,16.15
182,2020,7,1,11,40,23,122,16.07
183,2020,7,1,11,40,24,123,16.07
184,2020,7,1,11,40,25,124,16.15
185,2020,7,1,11,40,26,125,16.07
186,2020,7,1,11,40,27,126,16.15
187,2020,7,1,11,40,28,127,16.15
188,2020,7,1,11,40,29,128,16.07
189,2020,7,1,11,40,30,129,16.15
190,2020,7,1,11,40,31,130,16.15
191,2020,7,1,11,40,32,131,16.07
192,2020,7,1,11,40,33,132,16.07
193,2020,7,1,11,40,34,133,16.07
194,2020,7,1,11,40,35,134,16.07
195,2020,7,1,11,40,36,135,16.07
196,2020,7,1,11,40,37,136,16.15
197,2020,7,1,11,40,38,137,16.15
198,2020,7,1,11,40,39,138,16.07
199,2020,7,1,11,40,40,139,16.07
200,2020,7,1,11,40,41,140,16.15
201,2020,7,1,11,40,42,141,16.07
202,2020,7,1,11,40,43,142,16.07
203,2020,7,1,11,40,44,143,16.07
204,2020,7,1,11,40,45,144,16.07
205,2020,7,1,11,40,46,145,16.15
206,2020,7,1,11,40,47,146,16.15
207,2020,7,1,11,40,48,147,16.15
208,2020,7,1,11,40,49,148,16.15
209,2020,7,1,11,40,50,149,16.15
210,2020,7,1,11,40,51,150,16.07
211,2020,7,1,11,40,52,151,16.15
212,2020,7,1,11,40,53,152,16.15
213,2020,7,1,11,40,54,153,16.07
214,2020,7,1,11,40,55,154,16.07
215,2020,7,1,11,40,57,155,16.15
216,2020,7,1,11,40,58,156,16.15
217,2020,7,1,11,40,59,157,16.15
218,2020,7,1,11,41,0,158,16.15
219,2020,7,1,11,41,1,159,16.15
220,2020,7,1,11,41,2,160,16.15
221,2020,7,1,11,41,3,161,16.07
222,2020,7,1,11,41,4,162,16.15
223,2020,7,1,11,41,5,163,16.15
224,2020,7,1,11,41,6,164,16.15
225,2020,7,1,11,41,7,165,16.07
226,2020,7,1,11,41,8,166,16.07
227,2020,7,1,11,41,9,167,16.15
228,2020,7,1,11,41,10,168,16.15
229,2020,7,1,11,41,11,169,16.07
230,2020,7,1,11,41,12,170,16.15
231,2020,7,1,11,41,13,171,16.07
232,2020,7,1,11,41,14,172,16.07
233,2020,7,1,11,41,15,173,16.07
234,2020,7,1,11,41,16,174,16.15
235,2020,7,1,11,41,17,175,16.15
236,2020,7,1,11,41,18,176,16.15
237,2020,7,1,11,41,19,177,16.07
238,2020,7,1,11,41,20,178,16.15
239,2020,7,1,11,41,21,179,16.15
240,2020,7,1,11,41,22,180,16.15
241,2020,7,1,11,41,23,181,16.07
242,2020,7,1,11,41,24,182,16.07
243,2020,7,1,11,41,25,183,16.15
244,2020,7,1,11,41,26,184,16.15
245,2020,7,1,11,41,27,185,16.15
246,2020,7,1,11,41,28,186,16.07
247,2020,7,1,11,41,29,187,16.15
248,2020,7,1,11,41,30,188,16.07
249,2020,7,1,11,41,31,189,16.07
250,2020,7,1,11,41,33,190,16.07
251,2020,7,1,11,41,34,191,16.15
252,2020,7,1,11,41,35,192,16.15
253,2020,7,1,11,41,36,193,16.07
254,2020,7,1,11,41,37,194,16.15
255,2020,7,1,11,41,38,195,16.15
256,2020,7,1,11,41,39,196,16.15
257,2020,7,1,11,41,40,197,16.15
258,2020,7,1,11,41,41,198,16.15
259,2020,7,1,11,41,42,199,16.15
260,2020,7,1,11,41,43,200,16.07
261,2020,7,1,11,41,44,201,16.07
262,2020,7,1,11,41,45,202,16.07
263,2020,7,1,11,41,46,203,16.07
264,2020,7,1,11,41,47,204,16.07
265,2020,7,1,11,41,48,205,16.15
266,2020,7,1,11,41,49,206,16.07
267,2020,7,1,11,41,50,207,16.07
268,2020,7,1,11,41,51,208,16.15
269,2020,7,1,11,41,52,209,16.07
270,2020,7,1,11,41,53,210,16.15
271,2020,7,1,11,41,54,211,16.07
272,2020,7,1,11,41,55,212,16.07
273,2020,7,1,11,41,56,213,16.15
274,2020,7,1,11,41,57,214,16.15
275,2020,7,1,11,41,58,215,16.07
276,2020,7,1,11,41,59,216,16.07
277,2020,7,1,11,42,0,217,16.15
278,2020,7,1,11,42,1,218,16.07
279,2020,7,1,11,42,2,219,16.15
280,2020,7,1,11,42,3,220,16.15
281,2020,7,1,11,42,4,221,16.07
282,2020,7,1,11,42,5,222,16.15
283,2020,7,1,11,42,6,223,16.15
284,2020,7,1,11,42,7,224,16.15
285,2020,7,1,11,42,8,225,16.15
286,2020,7,1,11,42,10,226,16.15
287,2020,7,1,11,42,11,227,16.15
288,2020,7,1,11,42,12,228,16.15
289,2020,7,1,11,42,13,229,16.15
290,2020,7,1,11,42,14,230,16.07
291,2020,7,1,11,42,15,231,16.15
292,2020,7,1,11,42,16,232,16.07
293,2020,7,1,11,42,17,233,16.07
294,2020,7,1,11,42,18,234,16.07
295,2020,7,1,11,42,19,235,16.15
296,2020,7,1,11,42,20,236,16.15
297,2020,7,1,11,42,21,237,16.07
298,2020,7,1,11,42,22,238,16.07
299,2020,7,1,11,42,23,239,16.07
300,2020,7,1,11,42,24,240,16.07
301,2020,7,1,11,42,25,241,16.15
302,2020,7,1,11,42,26,242,16.07
303,2020,7,1,11,42,27,243,16.15
304,2020,7,1,11,42,28,244,16.15
305,2020,7,1,11,42,29,245,16.15
306,2020,7,1,11,42,30,246,16.15
307,2020,7,1,11,42,31,247,16.07
308,2020,7,1,11,42,32,248,16.07
309,2020,7,1,11,42,33,249,16.15
310,2020,7,1,11,42,34,250,16.07
311,2020,7,1,11,42,35,251,16.07
312,2020,7,1,11,42,36,252,16.07
313,2020,7,1,11,42,37,253,16.15
314,2020,7,1,11,42,38,254,16.15
315,2020,7,1,11,42,39,255,16.07
316,2020,7,1,11,42,40,256,16.15
317,2020,7,1,11,42,41,257,16.15
318,2020,7,1,11,42,42,258,16.15
319,2020,7,1,11,42,43,259,16.07
320,2020,7,1,11,42,44,260,16.07
321,2020,7,1,11,42,46,261,16.15
322,2020,7,1,11,42,47,262,16.07
323,2020,7,1,11,42,48,263,16.15
324,2020,7,1,11,42,49,264,16.15
325,2020,7,1,11,42,50,265,16.07
326,2020,7,1,11,42,51,266,16.07
327,2020,7,1,11,42,52,267,16.07
328,2020,7,1,11,42,53,268,16.15
329,2020,7,1,11,42,54,269,16.15
330,2020,7,1,11,42,55,270,16.07
331,2020,7,1,11,42,56,271,16.15
332,2020,7,1,11,42,57,272,16.07
333,2020,7,1,11,42,58,273,16.15
334,2020,7,1,11,42,59,274,16.07
335,2020,7,1,11,43,0,275,16.15
336,2020,7,1,11,43,1,276,16.07
337,2020,7,1,11,43,2,277,16.15
338,2020,7,1,11,43,3,278,16.07
339,2020,7,1,11,43,4,279,16.07
340,2020,7,1,11,43,5,280,16.15
341,2020,7,1,11,43,6,281,16.07
