id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,7,15,46,44,-60,28.48
1,2021,12,7,15,46,45,-59,28.48
2,2021,12,7,15,46,46,-58,28.48
3,2021,12,7,15,46,47,-57,28.48
4,2021,12,7,15,46,48,-56,28.48
5,2021,12,7,15,46,49,-55,28.48
6,2021,12,7,15,46,50,-54,28.48
7,2021,12,7,15,46,51,-53,28.48
8,2021,12,7,15,46,52,-52,28.48
9,2021,12,7,15,46,54,-51,28.48
10,2021,12,7,15,46,55,-50,28.48
11,2021,12,7,15,46,56,-49,28.48
12,2021,12,7,15,46,57,-48,28.48
13,2021,12,7,15,46,58,-47,28.48
14,2021,12,7,15,46,59,-46,28.48
15,2021,12,7,15,47,0,-45,28.48
16,2021,12,7,15,47,1,-44,28.48
17,2021,12,7,15,47,2,-43,28.48
18,2021,12,7,15,47,3,-42,28.48
19,2021,12,7,15,47,4,-41,28.48
20,2021,12,7,15,47,5,-40,28.39
21,2021,12,7,15,47,6,-39,28.48
22,2021,12,7,15,47,7,-38,28.48
23,2021,12,7,15,47,8,-37,28.48
24,2021,12,7,15,47,9,-36,28.48
25,2021,12,7,15,47,10,-35,28.48
26,2021,12,7,15,47,11,-34,28.48
27,2021,12,7,15,47,12,-33,28.48
28,2021,12,7,15,47,13,-32,28.48
29,2021,12,7,15,47,14,-31,28.48
30,2021,12,7,15,47,15,-30,28.39
31,2021,12,7,15,47,16,-29,28.48
32,2021,12,7,15,47,17,-28,28.48
33,2021,12,7,15,47,18,-27,28.39
34,2021,12,7,15,47,19,-26,28.48
35,2021,12,7,15,47,20,-25,28.48
36,2021,12,7,15,47,21,-24,28.48
37,2021,12,7,15,47,22,-23,28.39
38,2021,12,7,15,47,23,-22,28.39
39,2021,12,7,15,47,24,-21,28.48
40,2021,12,7,15,47,25,-20,28.48
41,2021,12,7,15,47,26,-19,28.48
42,2021,12,7,15,47,27,-18,28.48
43,2021,12,7,15,47,28,-17,28.48
44,2021,12,7,15,47,30,-16,28.39
45,2021,12,7,15,47,31,-15,28.39
46,2021,12,7,15,47,32,-14,28.39
47,2021,12,7,15,47,33,-13,28.48
48,2021,12,7,15,47,34,-12,28.39
49,2021,12,7,15,47,35,-11,28.39
50,2021,12,7,15,47,36,-10,28.39
51,2021,12,7,15,47,37,-9,28.39
52,2021,12,7,15,47,38,-8,28.48
53,2021,12,7,15,47,39,-7,28.39
54,2021,12,7,15,47,40,-6,28.39
55,2021,12,7,15,47,41,-5,28.39
56,2021,12,7,15,47,42,-4,28.39
57,2021,12,7,15,47,43,-3,28.39
58,2021,12,7,15,47,44,-2,28.39
59,2021,12,7,15,47,45,-1,28.39
60,2021,12,7,15,47,46,0,28.39
61,2021,12,7,15,47,47,1,28.39
62,2021,12,7,15,47,48,2,28.39
63,2021,12,7,15,47,49,3,28.39
64,2021,12,7,15,47,50,4,28.39
65,2021,12,7,15,47,51,5,28.31
66,2021,12,7,15,47,52,6,28.39
67,2021,12,7,15,47,53,7,28.31
68,2021,12,7,15,47,54,8,28.39
69,2021,12,7,15,47,55,9,28.39
70,2021,12,7,15,47,56,10,28.39
71,2021,12,7,15,47,57,11,28.31
72,2021,12,7,15,47,58,12,28.31
73,2021,12,7,15,47,59,13,28.31
74,2021,12,7,15,48,0,14,28.39
75,2021,12,7,15,48,1,15,28.39
76,2021,12,7,15,48,2,16,28.39
77,2021,12,7,15,48,3,17,28.31
78,2021,12,7,15,48,4,18,28.39
79,2021,12,7,15,48,5,19,28.31
80,2021,12,7,15,48,7,20,28.31
81,2021,12,7,15,48,8,21,28.39
82,2021,12,7,15,48,9,22,28.39
83,2021,12,7,15,48,10,23,28.39
84,2021,12,7,15,48,11,24,28.39
85,2021,12,7,15,48,12,25,28.39
86,2021,12,7,15,48,13,26,28.39
87,2021,12,7,15,48,14,27,28.31
88,2021,12,7,15,48,15,28,28.31
89,2021,12,7,15,48,16,29,28.39
90,2021,12,7,15,48,17,30,28.39
91,2021,12,7,15,48,18,31,28.39
92,2021,12,7,15,48,19,32,28.39
93,2021,12,7,15,48,20,33,28.31
94,2021,12,7,15,48,21,34,28.39
95,2021,12,7,15,48,22,35,28.39
96,2021,12,7,15,48,23,36,28.31
97,2021,12,7,15,48,24,37,28.39
98,2021,12,7,15,48,25,38,28.31
99,2021,12,7,15,48,26,39,28.31
100,2021,12,7,15,48,27,40,28.39
101,2021,12,7,15,48,28,41,28.31
102,2021,12,7,15,48,29,42,28.39
103,2021,12,7,15,48,30,43,28.31
104,2021,12,7,15,48,31,44,28.31
105,2021,12,7,15,48,32,45,28.39
106,2021,12,7,15,48,33,46,28.39
107,2021,12,7,15,48,34,47,28.31
108,2021,12,7,15,48,35,48,28.31
109,2021,12,7,15,48,36,49,28.31
110,2021,12,7,15,48,37,50,28.31
111,2021,12,7,15,48,38,51,28.39
112,2021,12,7,15,48,39,52,28.31
113,2021,12,7,15,48,40,53,28.39
114,2021,12,7,15,48,41,54,28.31
115,2021,12,7,15,48,42,55,28.39
116,2021,12,7,15,48,43,56,28.39
117,2021,12,7,15,48,45,57,28.39
118,2021,12,7,15,48,46,58,28.31
119,2021,12,7,15,48,47,59,28.31
120,2021,12,7,15,48,48,60,28.31
121,2021,12,7,15,48,49,61,28.39
122,2021,12,7,15,48,50,62,28.31
123,2021,12,7,15,48,51,63,28.39
124,2021,12,7,15,48,52,64,28.31
125,2021,12,7,15,48,53,65,28.31
126,2021,12,7,15,48,54,66,28.39
127,2021,12,7,15,48,55,67,28.39
128,2021,12,7,15,48,56,68,28.31
129,2021,12,7,15,48,57,69,28.39
130,2021,12,7,15,48,58,70,28.31
131,2021,12,7,15,48,59,71,28.31
132,2021,12,7,15,49,0,72,28.31
133,2021,12,7,15,49,1,73,28.39
134,2021,12,7,15,49,2,74,28.39
135,2021,12,7,15,49,3,75,28.31
136,2021,12,7,15,49,4,76,28.31
137,2021,12,7,15,49,5,77,28.39
138,2021,12,7,15,49,6,78,28.39
139,2021,12,7,15,49,7,79,28.31
140,2021,12,7,15,49,8,80,28.39
141,2021,12,7,15,49,9,81,28.31
142,2021,12,7,15,49,10,82,28.31
143,2021,12,7,15,49,11,83,28.31
144,2021,12,7,15,49,12,84,28.31
145,2021,12,7,15,49,13,85,28.31
146,2021,12,7,15,49,14,86,28.31
147,2021,12,7,15,49,15,87,28.31
148,2021,12,7,15,49,16,88,28.31
149,2021,12,7,15,49,17,89,28.31
150,2021,12,7,15,49,18,90,28.39
151,2021,12,7,15,49,19,91,28.39
152,2021,12,7,15,49,20,92,28.31
153,2021,12,7,15,49,22,93,28.39
154,2021,12,7,15,49,23,94,28.39
155,2021,12,7,15,49,24,95,28.39
156,2021,12,7,15,49,25,96,28.31
157,2021,12,7,15,49,26,97,28.31
158,2021,12,7,15,49,27,98,28.31
159,2021,12,7,15,49,28,99,28.39
160,2021,12,7,15,49,29,100,28.31
161,2021,12,7,15,49,30,101,28.39
162,2021,12,7,15,49,31,102,28.39
163,2021,12,7,15,49,32,103,28.22
164,2021,12,7,15,49,33,104,28.39
165,2021,12,7,15,49,34,105,28.39
166,2021,12,7,15,49,35,106,28.31
167,2021,12,7,15,49,36,107,28.31
168,2021,12,7,15,49,37,108,28.39
169,2021,12,7,15,49,38,109,28.39
170,2021,12,7,15,49,39,110,28.31
171,2021,12,7,15,49,40,111,28.39
172,2021,12,7,15,49,41,112,28.39
173,2021,12,7,15,49,42,113,28.31
174,2021,12,7,15,49,43,114,28.39
175,2021,12,7,15,49,44,115,28.39
176,2021,12,7,15,49,45,116,28.39
177,2021,12,7,15,49,46,117,28.39
178,2021,12,7,15,49,47,118,28.31
179,2021,12,7,15,49,48,119,28.39
180,2021,12,7,15,49,49,120,28.39
181,2021,12,7,15,49,50,121,28.31
182,2021,12,7,15,49,51,122,28.39
183,2021,12,7,15,49,52,123,28.39
184,2021,12,7,15,49,53,124,28.39
185,2021,12,7,15,49,54,125,28.39
186,2021,12,7,15,49,55,126,28.39
187,2021,12,7,15,49,56,127,28.31
188,2021,12,7,15,49,58,128,28.39
189,2021,12,7,15,49,59,129,28.39
190,2021,12,7,15,50,0,130,28.39
191,2021,12,7,15,50,1,131,28.39
192,2021,12,7,15,50,2,132,28.31
193,2021,12,7,15,50,3,133,28.39
194,2021,12,7,15,50,4,134,28.39
195,2021,12,7,15,50,5,135,28.31
196,2021,12,7,15,50,6,136,28.39
197,2021,12,7,15,50,7,137,28.31
198,2021,12,7,15,50,8,138,28.31
199,2021,12,7,15,50,9,139,28.39
200,2021,12,7,15,50,10,140,28.31
201,2021,12,7,15,50,11,141,28.39
202,2021,12,7,15,50,12,142,28.39
203,2021,12,7,15,50,13,143,28.39
204,2021,12,7,15,50,14,144,28.39
205,2021,12,7,15,50,15,145,28.31
206,2021,12,7,15,50,16,146,28.31
207,2021,12,7,15,50,17,147,28.39
208,2021,12,7,15,50,18,148,28.39
209,2021,12,7,15,50,19,149,28.39
210,2021,12,7,15,50,20,150,28.39
211,2021,12,7,15,50,21,151,28.39
212,2021,12,7,15,50,22,152,28.31
213,2021,12,7,15,50,23,153,28.39
214,2021,12,7,15,50,24,154,28.39
215,2021,12,7,15,50,25,155,28.31
216,2021,12,7,15,50,26,156,28.31
217,2021,12,7,15,50,27,157,28.31
218,2021,12,7,15,50,28,158,28.31
219,2021,12,7,15,50,29,159,28.39
220,2021,12,7,15,50,30,160,28.39
221,2021,12,7,15,50,31,161,28.31
222,2021,12,7,15,50,32,162,28.31
223,2021,12,7,15,50,34,163,28.39
224,2021,12,7,15,50,35,164,28.39
225,2021,12,7,15,50,36,165,28.39
226,2021,12,7,15,50,37,166,28.39
227,2021,12,7,15,50,38,167,28.39
228,2021,12,7,15,50,39,168,28.39
229,2021,12,7,15,50,40,169,28.31
230,2021,12,7,15,50,41,170,28.31
231,2021,12,7,15,50,42,171,28.39
232,2021,12,7,15,50,43,172,28.39
233,2021,12,7,15,50,44,173,28.39
234,2021,12,7,15,50,45,174,28.39
235,2021,12,7,15,50,46,175,28.39
236,2021,12,7,15,50,47,176,28.39
237,2021,12,7,15,50,48,177,28.31
238,2021,12,7,15,50,49,178,28.31
239,2021,12,7,15,50,50,179,28.39
240,2021,12,7,15,50,51,180,28.39
