id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,7,15,16,15,-60,28.31
1,2021,12,7,15,16,16,-59,28.39
2,2021,12,7,15,16,17,-58,28.39
3,2021,12,7,15,16,18,-57,28.31
4,2021,12,7,15,16,19,-56,28.31
5,2021,12,7,15,16,20,-55,28.31
6,2021,12,7,15,16,21,-54,28.39
7,2021,12,7,15,16,23,-53,28.31
8,2021,12,7,15,16,24,-52,28.39
9,2021,12,7,15,16,25,-51,28.31
10,2021,12,7,15,16,26,-50,28.39
11,2021,12,7,15,16,27,-49,28.39
12,2021,12,7,15,16,28,-48,28.39
13,2021,12,7,15,16,29,-47,28.39
14,2021,12,7,15,16,30,-46,28.39
15,2021,12,7,15,16,31,-45,28.31
16,2021,12,7,15,16,32,-44,28.39
17,2021,12,7,15,16,33,-43,28.39
18,2021,12,7,15,16,34,-42,28.39
19,2021,12,7,15,16,35,-41,28.31
20,2021,12,7,15,16,36,-40,28.31
21,2021,12,7,15,16,37,-39,28.31
22,2021,12,7,15,16,38,-38,28.31
23,2021,12,7,15,16,39,-37,28.39
24,2021,12,7,15,16,40,-36,28.39
25,2021,12,7,15,16,41,-35,28.31
26,2021,12,7,15,16,42,-34,28.31
27,2021,12,7,15,16,43,-33,28.31
28,2021,12,7,15,16,44,-32,28.31
29,2021,12,7,15,16,45,-31,28.31
30,2021,12,7,15,16,46,-30,28.31
31,2021,12,7,15,16,47,-29,28.31
32,2021,12,7,15,16,48,-28,28.31
33,2021,12,7,15,16,49,-27,28.31
34,2021,12,7,15,16,50,-26,28.39
35,2021,12,7,15,16,51,-25,28.31
36,2021,12,7,15,16,52,-24,28.31
37,2021,12,7,15,16,53,-23,28.31
38,2021,12,7,15,16,54,-22,28.31
39,2021,12,7,15,16,55,-21,28.31
40,2021,12,7,15,16,56,-20,28.31
41,2021,12,7,15,16,57,-19,28.31
42,2021,12,7,15,16,59,-18,28.22
43,2021,12,7,15,17,0,-17,28.31
44,2021,12,7,15,17,1,-16,28.31
45,2021,12,7,15,17,2,-15,28.31
46,2021,12,7,15,17,3,-14,28.31
47,2021,12,7,15,17,4,-13,28.31
48,2021,12,7,15,17,5,-12,28.31
49,2021,12,7,15,17,6,-11,28.31
50,2021,12,7,15,17,7,-10,28.22
51,2021,12,7,15,17,8,-9,28.31
52,2021,12,7,15,17,9,-8,28.31
53,2021,12,7,15,17,10,-7,28.31
54,2021,12,7,15,17,11,-6,28.31
55,2021,12,7,15,17,12,-5,28.31
56,2021,12,7,15,17,13,-4,28.31
57,2021,12,7,15,17,14,-3,28.31
58,2021,12,7,15,17,15,-2,28.31
59,2021,12,7,15,17,16,-1,28.31
60,2021,12,7,15,17,17,0,28.22
61,2021,12,7,15,17,18,1,28.31
62,2021,12,7,15,17,19,2,28.31
63,2021,12,7,15,17,20,3,28.22
64,2021,12,7,15,17,21,4,28.31
65,2021,12,7,15,17,22,5,28.31
66,2021,12,7,15,17,23,6,28.22
67,2021,12,7,15,17,24,7,28.31
68,2021,12,7,15,17,25,8,28.22
69,2021,12,7,15,17,26,9,28.31
70,2021,12,7,15,17,27,10,28.22
71,2021,12,7,15,17,28,11,28.22
72,2021,12,7,15,17,29,12,28.22
73,2021,12,7,15,17,30,13,28.22
74,2021,12,7,15,17,31,14,28.22
75,2021,12,7,15,17,32,15,28.22
76,2021,12,7,15,17,33,16,28.31
77,2021,12,7,15,17,34,17,28.31
78,2021,12,7,15,17,35,18,28.31
79,2021,12,7,15,17,37,19,28.22
80,2021,12,7,15,17,38,20,28.22
81,2021,12,7,15,17,39,21,28.22
82,2021,12,7,15,17,40,22,28.22
83,2021,12,7,15,17,41,23,28.22
84,2021,12,7,15,17,42,24,28.14
85,2021,12,7,15,17,43,25,28.22
86,2021,12,7,15,17,44,26,28.22
87,2021,12,7,15,17,45,27,28.31
88,2021,12,7,15,17,46,28,28.22
89,2021,12,7,15,17,47,29,28.22
90,2021,12,7,15,17,48,30,28.22
91,2021,12,7,15,17,49,31,28.22
92,2021,12,7,15,17,50,32,28.22
93,2021,12,7,15,17,51,33,28.22
94,2021,12,7,15,17,52,34,28.22
95,2021,12,7,15,17,53,35,28.31
96,2021,12,7,15,17,54,36,28.22
97,2021,12,7,15,17,55,37,28.22
