id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,7,10,34,43,-60,26.35
1,2021,12,7,10,34,44,-59,26.44
2,2021,12,7,10,34,45,-58,26.44
3,2021,12,7,10,34,47,-57,26.35
4,2021,12,7,10,34,48,-56,26.35
5,2021,12,7,10,34,49,-55,26.44
6,2021,12,7,10,34,50,-54,26.44
7,2021,12,7,10,34,51,-53,26.35
8,2021,12,7,10,34,52,-52,26.35
9,2021,12,7,10,34,53,-51,26.35
10,2021,12,7,10,34,54,-50,26.44
11,2021,12,7,10,34,55,-49,26.44
12,2021,12,7,10,34,56,-48,26.44
13,2021,12,7,10,34,57,-47,26.35
14,2021,12,7,10,34,58,-46,26.35
15,2021,12,7,10,34,59,-45,26.44
16,2021,12,7,10,35,0,-44,26.44
17,2021,12,7,10,35,1,-43,26.44
18,2021,12,7,10,35,2,-42,26.44
19,2021,12,7,10,35,3,-41,26.35
20,2021,12,7,10,35,4,-40,26.35
21,2021,12,7,10,35,5,-39,26.44
22,2021,12,7,10,35,6,-38,26.35
23,2021,12,7,10,35,7,-37,26.35
24,2021,12,7,10,35,8,-36,26.44
25,2021,12,7,10,35,9,-35,26.44
26,2021,12,7,10,35,10,-34,26.44
27,2021,12,7,10,35,11,-33,26.44
28,2021,12,7,10,35,12,-32,26.44
29,2021,12,7,10,35,13,-31,26.44
30,2021,12,7,10,35,14,-30,26.35
31,2021,12,7,10,35,15,-29,26.44
32,2021,12,7,10,35,16,-28,26.44
33,2021,12,7,10,35,17,-27,26.35
34,2021,12,7,10,35,18,-26,26.35
35,2021,12,7,10,35,19,-25,26.35
36,2021,12,7,10,35,20,-24,26.44
37,2021,12,7,10,35,21,-23,26.44
38,2021,12,7,10,35,23,-22,26.35
39,2021,12,7,10,35,24,-21,26.44
40,2021,12,7,10,35,25,-20,26.35
41,2021,12,7,10,35,26,-19,26.35
42,2021,12,7,10,35,27,-18,26.44
43,2021,12,7,10,35,28,-17,26.44
44,2021,12,7,10,35,29,-16,26.44
45,2021,12,7,10,35,30,-15,26.35
46,2021,12,7,10,35,31,-14,26.44
47,2021,12,7,10,35,32,-13,26.44
48,2021,12,7,10,35,33,-12,26.44
49,2021,12,7,10,35,34,-11,26.44
50,2021,12,7,10,35,35,-10,26.44
51,2021,12,7,10,35,36,-9,26.44
52,2021,12,7,10,35,37,-8,26.35
53,2021,12,7,10,35,38,-7,26.44
54,2021,12,7,10,35,39,-6,26.44
