id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,8,17,2,22,-60,26.78
1,2021,12,8,17,2,23,-59,26.78
2,2021,12,8,17,2,24,-58,26.86
3,2021,12,8,17,2,25,-57,26.86
4,2021,12,8,17,2,26,-56,26.78
5,2021,12,8,17,2,27,-55,26.86
6,2021,12,8,17,2,28,-54,26.86
7,2021,12,8,17,2,29,-53,26.86
8,2021,12,8,17,2,30,-52,26.78
9,2021,12,8,17,2,31,-51,26.86
10,2021,12,8,17,2,32,-50,26.86
11,2021,12,8,17,2,33,-49,26.86
12,2021,12,8,17,2,34,-48,26.78
13,2021,12,8,17,2,35,-47,26.78
14,2021,12,8,17,2,36,-46,26.78
15,2021,12,8,17,2,37,-45,26.86
16,2021,12,8,17,2,38,-44,26.78
17,2021,12,8,17,2,39,-43,26.86
18,2021,12,8,17,2,40,-42,26.78
19,2021,12,8,17,2,41,-41,26.78
20,2021,12,8,17,2,42,-40,26.78
21,2021,12,8,17,2,43,-39,26.78
22,2021,12,8,17,2,44,-38,26.78
23,2021,12,8,17,2,45,-37,26.78
24,2021,12,8,17,2,46,-36,26.78
25,2021,12,8,17,2,47,-35,26.78
26,2021,12,8,17,2,48,-34,26.78
27,2021,12,8,17,2,49,-33,26.78
28,2021,12,8,17,2,50,-32,26.69
29,2021,12,8,17,2,51,-31,26.78
30,2021,12,8,17,2,52,-30,26.78
31,2021,12,8,17,2,53,-29,26.78
32,2021,12,8,17,2,54,-28,26.78
33,2021,12,8,17,2,55,-27,26.78
34,2021,12,8,17,2,57,-26,26.78
35,2021,12,8,17,2,58,-25,26.78
36,2021,12,8,17,2,59,-24,26.86
37,2021,12,8,17,3,0,-23,26.78
38,2021,12,8,17,3,1,-22,26.78
39,2021,12,8,17,3,2,-21,26.78
40,2021,12,8,17,3,3,-20,26.78
41,2021,12,8,17,3,4,-19,26.78
42,2021,12,8,17,3,5,-18,26.78
43,2021,12,8,17,3,6,-17,26.69
44,2021,12,8,17,3,7,-16,26.78
45,2021,12,8,17,3,8,-15,26.69
46,2021,12,8,17,3,9,-14,26.78
47,2021,12,8,17,3,10,-13,26.78
48,2021,12,8,17,3,11,-12,26.78
49,2021,12,8,17,3,12,-11,26.78
50,2021,12,8,17,3,13,-10,26.78
51,2021,12,8,17,3,14,-9,26.78
52,2021,12,8,17,3,15,-8,26.78
53,2021,12,8,17,3,16,-7,26.78
54,2021,12,8,17,3,17,-6,26.78
55,2021,12,8,17,3,18,-5,26.78
56,2021,12,8,17,3,19,-4,26.78
57,2021,12,8,17,3,20,-3,26.78
58,2021,12,8,17,3,21,-2,26.78
59,2021,12,8,17,3,22,-1,26.78
60,2021,12,8,17,3,23,0,26.78
61,2021,12,8,17,3,24,1,26.69
62,2021,12,8,17,3,25,2,26.78
63,2021,12,8,17,3,26,3,26.78
64,2021,12,8,17,3,27,4,26.78
65,2021,12,8,17,3,28,5,26.69
66,2021,12,8,17,3,29,6,26.78
67,2021,12,8,17,3,30,7,26.78
68,2021,12,8,17,3,31,8,26.78
69,2021,12,8,17,3,32,9,26.78
70,2021,12,8,17,3,34,10,26.78
71,2021,12,8,17,3,35,11,26.69
72,2021,12,8,17,3,36,12,26.78
73,2021,12,8,17,3,37,13,26.69
74,2021,12,8,17,3,38,14,26.78
75,2021,12,8,17,3,39,15,26.78
76,2021,12,8,17,3,40,16,26.78
77,2021,12,8,17,3,41,17,26.78
78,2021,12,8,17,3,42,18,26.78
79,2021,12,8,17,3,43,19,26.69
80,2021,12,8,17,3,44,20,26.78
81,2021,12,8,17,3,45,21,26.78
82,2021,12,8,17,3,46,22,26.78
83,2021,12,8,17,3,47,23,26.78
84,2021,12,8,17,3,48,24,26.69
85,2021,12,8,17,3,49,25,26.69
86,2021,12,8,17,3,50,26,26.78
87,2021,12,8,17,3,51,27,26.78
88,2021,12,8,17,3,52,28,26.78
89,2021,12,8,17,3,53,29,26.69
90,2021,12,8,17,3,54,30,26.69
91,2021,12,8,17,3,55,31,26.78
92,2021,12,8,17,3,56,32,26.69
93,2021,12,8,17,3,57,33,26.69
94,2021,12,8,17,3,58,34,26.78
95,2021,12,8,17,3,59,35,26.78
96,2021,12,8,17,4,0,36,26.78
97,2021,12,8,17,4,1,37,26.78
98,2021,12,8,17,4,2,38,26.78
99,2021,12,8,17,4,3,39,26.78
100,2021,12,8,17,4,4,40,26.78
101,2021,12,8,17,4,5,41,26.78
102,2021,12,8,17,4,6,42,26.78
103,2021,12,8,17,4,7,43,26.78
104,2021,12,8,17,4,8,44,26.78
