id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,9,13,51,40,-60,34.28
1,2021,12,9,13,51,41,-59,34.19
2,2021,12,9,13,51,42,-58,34.19
3,2021,12,9,13,51,43,-57,34.19
4,2021,12,9,13,51,44,-56,34.19
5,2021,12,9,13,51,45,-55,34.19
6,2021,12,9,13,51,46,-54,34.19
7,2021,12,9,13,51,47,-53,34.19
8,2021,12,9,13,51,48,-52,34.19
9,2021,12,9,13,51,49,-51,34.10
10,2021,12,9,13,51,50,-50,34.10
11,2021,12,9,13,51,51,-49,34.19
12,2021,12,9,13,51,52,-48,34.19
13,2021,12,9,13,51,53,-47,34.10
14,2021,12,9,13,51,54,-46,34.19
15,2021,12,9,13,51,55,-45,34.19
16,2021,12,9,13,51,56,-44,34.19
17,2021,12,9,13,51,57,-43,34.19
18,2021,12,9,13,51,58,-42,34.19
19,2021,12,9,13,51,59,-41,34.10
20,2021,12,9,13,52,0,-40,34.19
21,2021,12,9,13,52,1,-39,34.19
22,2021,12,9,13,52,2,-38,34.19
23,2021,12,9,13,52,3,-37,34.19
24,2021,12,9,13,52,4,-36,34.19
25,2021,12,9,13,52,5,-35,34.19
26,2021,12,9,13,52,6,-34,34.19
27,2021,12,9,13,52,7,-33,34.19
28,2021,12,9,13,52,8,-32,34.19
29,2021,12,9,13,52,9,-31,34.19
30,2021,12,9,13,52,10,-30,34.19
31,2021,12,9,13,52,11,-29,34.19
32,2021,12,9,13,52,12,-28,34.19
33,2021,12,9,13,52,13,-27,34.19
34,2021,12,9,13,52,14,-26,34.19
35,2021,12,9,13,52,15,-25,34.19
36,2021,12,9,13,52,17,-24,34.19
37,2021,12,9,13,52,18,-23,34.19
38,2021,12,9,13,52,19,-22,34.19
39,2021,12,9,13,52,20,-21,34.19
40,2021,12,9,13,52,21,-20,34.19
41,2021,12,9,13,52,22,-19,34.19
42,2021,12,9,13,52,23,-18,34.28
43,2021,12,9,13,52,24,-17,34.19
44,2021,12,9,13,52,25,-16,34.19
45,2021,12,9,13,52,26,-15,34.19
46,2021,12,9,13,52,27,-14,34.19
47,2021,12,9,13,52,28,-13,34.19
48,2021,12,9,13,52,29,-12,34.28
49,2021,12,9,13,52,30,-11,34.28
50,2021,12,9,13,52,31,-10,34.28
51,2021,12,9,13,52,32,-9,34.19
52,2021,12,9,13,52,33,-8,34.19
53,2021,12,9,13,52,34,-7,34.19
54,2021,12,9,13,52,35,-6,34.19
55,2021,12,9,13,52,36,-5,34.19
56,2021,12,9,13,52,37,-4,34.19
57,2021,12,9,13,52,38,-3,34.28
58,2021,12,9,13,52,39,-2,34.19
59,2021,12,9,13,52,40,-1,34.19
60,2021,12,9,13,52,41,0,34.19
61,2021,12,9,13,52,42,1,34.19
62,2021,12,9,13,52,43,2,34.19
63,2021,12,9,13,52,44,3,34.28
64,2021,12,9,13,52,45,4,34.28
65,2021,12,9,13,52,46,5,34.19
66,2021,12,9,13,52,47,6,34.19
67,2021,12,9,13,52,48,7,34.28
68,2021,12,9,13,52,49,8,34.19
69,2021,12,9,13,52,50,9,34.19
70,2021,12,9,13,52,51,10,34.19
71,2021,12,9,13,52,52,11,34.19
