id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,9,17,53,41,-60,27.20
1,2021,12,9,17,53,42,-59,27.20
2,2021,12,9,17,53,43,-58,27.20
3,2021,12,9,17,53,44,-57,27.20
4,2021,12,9,17,53,45,-56,27.20
5,2021,12,9,17,53,46,-55,27.20
6,2021,12,9,17,53,47,-54,27.20
7,2021,12,9,17,53,48,-53,27.20
8,2021,12,9,17,53,49,-52,27.20
9,2021,12,9,17,53,50,-51,27.20
10,2021,12,9,17,53,51,-50,27.20
11,2021,12,9,17,53,52,-49,27.20
12,2021,12,9,17,53,53,-48,27.20
13,2021,12,9,17,53,54,-47,27.29
14,2021,12,9,17,53,55,-46,27.20
15,2021,12,9,17,53,56,-45,27.29
16,2021,12,9,17,53,58,-44,27.20
17,2021,12,9,17,53,59,-43,27.20
18,2021,12,9,17,54,0,-42,27.29
19,2021,12,9,17,54,1,-41,27.20
20,2021,12,9,17,54,2,-40,27.29
21,2021,12,9,17,54,3,-39,27.29
22,2021,12,9,17,54,4,-38,27.29
23,2021,12,9,17,54,5,-37,27.29
24,2021,12,9,17,54,6,-36,27.29
25,2021,12,9,17,54,7,-35,27.29
26,2021,12,9,17,54,8,-34,27.29
27,2021,12,9,17,54,9,-33,27.29
28,2021,12,9,17,54,10,-32,27.29
29,2021,12,9,17,54,11,-31,27.20
30,2021,12,9,17,54,12,-30,27.29
31,2021,12,9,17,54,13,-29,27.29
32,2021,12,9,17,54,14,-28,27.29
33,2021,12,9,17,54,15,-27,27.29
34,2021,12,9,17,54,16,-26,27.29
35,2021,12,9,17,54,17,-25,27.29
36,2021,12,9,17,54,18,-24,27.29
37,2021,12,9,17,54,19,-23,27.29
38,2021,12,9,17,54,20,-22,27.37
39,2021,12,9,17,54,21,-21,27.37
40,2021,12,9,17,54,22,-20,27.37
41,2021,12,9,17,54,23,-19,27.37
42,2021,12,9,17,54,24,-18,27.37
43,2021,12,9,17,54,25,-17,27.37
44,2021,12,9,17,54,26,-16,27.37
45,2021,12,9,17,54,27,-15,27.37
46,2021,12,9,17,54,28,-14,27.37
47,2021,12,9,17,54,29,-13,27.37
48,2021,12,9,17,54,30,-12,27.29
49,2021,12,9,17,54,31,-11,27.37
50,2021,12,9,17,54,32,-10,27.37
