id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,15,12,31,42,-60,24.93
1,2021,6,15,12,31,43,-59,25.01
2,2021,6,15,12,31,44,-58,24.93
3,2021,6,15,12,31,45,-57,25.01
4,2021,6,15,12,31,47,-56,24.93
5,2021,6,15,12,31,48,-55,24.93
6,2021,6,15,12,31,49,-54,25.01
7,2021,6,15,12,31,50,-53,24.93
8,2021,6,15,12,31,51,-52,24.93
9,2021,6,15,12,31,52,-51,24.93
10,2021,6,15,12,31,53,-50,24.93
11,2021,6,15,12,31,54,-49,24.93
12,2021,6,15,12,31,55,-48,24.93
13,2021,6,15,12,31,56,-47,24.84
14,2021,6,15,12,31,57,-46,24.93
15,2021,6,15,12,31,58,-45,24.84
16,2021,6,15,12,31,59,-44,24.93
17,2021,6,15,12,32,0,-43,24.93
18,2021,6,15,12,32,1,-42,24.93
19,2021,6,15,12,32,2,-41,24.84
20,2021,6,15,12,32,3,-40,24.84
21,2021,6,15,12,32,4,-39,24.93
22,2021,6,15,12,32,5,-38,24.84
23,2021,6,15,12,32,6,-37,24.84
24,2021,6,15,12,32,7,-36,24.84
25,2021,6,15,12,32,8,-35,24.84
26,2021,6,15,12,32,9,-34,24.84
27,2021,6,15,12,32,10,-33,24.84
28,2021,6,15,12,32,11,-32,24.84
29,2021,6,15,12,32,12,-31,24.84
30,2021,6,15,12,32,13,-30,24.84
31,2021,6,15,12,32,14,-29,24.84
32,2021,6,15,12,32,15,-28,24.76
33,2021,6,15,12,32,16,-27,24.84
34,2021,6,15,12,32,17,-26,24.84
35,2021,6,15,12,32,18,-25,24.76
36,2021,6,15,12,32,19,-24,24.84
37,2021,6,15,12,32,20,-23,24.76
38,2021,6,15,12,32,21,-22,24.84
39,2021,6,15,12,32,23,-21,24.84
40,2021,6,15,12,32,24,-20,24.84
41,2021,6,15,12,32,25,-19,24.76
42,2021,6,15,12,32,26,-18,24.76
43,2021,6,15,12,32,27,-17,24.76
44,2021,6,15,12,32,28,-16,24.84
45,2021,6,15,12,32,29,-15,24.84
46,2021,6,15,12,32,30,-14,24.76
47,2021,6,15,12,32,31,-13,24.76
48,2021,6,15,12,32,32,-12,24.76
49,2021,6,15,12,32,33,-11,24.76
50,2021,6,15,12,32,34,-10,24.76
51,2021,6,15,12,32,35,-9,24.76
52,2021,6,15,12,32,36,-8,24.76
53,2021,6,15,12,32,37,-7,24.76
54,2021,6,15,12,32,38,-6,24.76
55,2021,6,15,12,32,39,-5,24.76
56,2021,6,15,12,32,40,-4,24.76
57,2021,6,15,12,32,41,-3,24.76
58,2021,6,15,12,32,42,-2,24.76
59,2021,6,15,12,32,43,-1,24.67
60,2021,6,15,12,32,44,0,24.67
61,2021,6,15,12,32,45,1,24.59
62,2021,6,15,12,32,46,2,24.67
63,2021,6,15,12,32,47,3,24.67
64,2021,6,15,12,32,48,4,24.67
65,2021,6,15,12,32,49,5,24.67
66,2021,6,15,12,32,50,6,24.67
67,2021,6,15,12,32,51,7,24.67
68,2021,6,15,12,32,52,8,24.59
69,2021,6,15,12,32,53,9,24.59
70,2021,6,15,12,32,54,10,24.67
71,2021,6,15,12,32,55,11,24.67
72,2021,6,15,12,32,56,12,24.67
73,2021,6,15,12,32,57,13,24.67
74,2021,6,15,12,32,58,14,24.67
75,2021,6,15,12,32,59,15,24.67
76,2021,6,15,12,33,1,16,24.59
77,2021,6,15,12,33,2,17,24.67
78,2021,6,15,12,33,3,18,24.67
79,2021,6,15,12,33,4,19,24.59
80,2021,6,15,12,33,5,20,24.59
81,2021,6,15,12,33,6,21,24.67
82,2021,6,15,12,33,7,22,24.59
83,2021,6,15,12,33,8,23,24.67
84,2021,6,15,12,33,9,24,24.59
85,2021,6,15,12,33,10,25,24.59
86,2021,6,15,12,33,11,26,24.59
87,2021,6,15,12,33,12,27,24.59
88,2021,6,15,12,33,13,28,24.59
89,2021,6,15,12,33,14,29,24.67
90,2021,6,15,12,33,15,30,24.59
91,2021,6,15,12,33,16,31,24.59
92,2021,6,15,12,33,17,32,24.67
93,2021,6,15,12,33,18,33,24.59
94,2021,6,15,12,33,19,34,24.59
95,2021,6,15,12,33,20,35,24.51
96,2021,6,15,12,33,21,36,24.59
97,2021,6,15,12,33,22,37,24.59
98,2021,6,15,12,33,23,38,24.59
99,2021,6,15,12,33,24,39,24.59
100,2021,6,15,12,33,25,40,24.59
101,2021,6,15,12,33,26,41,24.59
102,2021,6,15,12,33,27,42,24.59
103,2021,6,15,12,33,28,43,24.59
104,2021,6,15,12,33,29,44,24.59
105,2021,6,15,12,33,30,45,24.59
106,2021,6,15,12,33,31,46,24.51
107,2021,6,15,12,33,32,47,24.59
108,2021,6,15,12,33,33,48,24.59
109,2021,6,15,12,33,34,49,24.59
110,2021,6,15,12,33,35,50,24.59
111,2021,6,15,12,33,36,51,24.59
112,2021,6,15,12,33,38,52,24.59
113,2021,6,15,12,33,39,53,24.59
114,2021,6,15,12,33,40,54,24.51
115,2021,6,15,12,33,41,55,24.59
116,2021,6,15,12,33,42,56,24.51
117,2021,6,15,12,33,43,57,24.59
118,2021,6,15,12,33,44,58,24.59
119,2021,6,15,12,33,45,59,24.51
120,2021,6,15,12,33,46,60,24.59
121,2021,6,15,12,33,47,61,24.59
122,2021,6,15,12,33,48,62,24.51
123,2021,6,15,12,33,49,63,24.59
124,2021,6,15,12,33,50,64,24.59
125,2021,6,15,12,33,51,65,24.51
126,2021,6,15,12,33,52,66,24.51
127,2021,6,15,12,33,53,67,24.51
128,2021,6,15,12,33,54,68,24.59
129,2021,6,15,12,33,55,69,24.51
130,2021,6,15,12,33,56,70,24.51
131,2021,6,15,12,33,57,71,24.51
132,2021,6,15,12,33,58,72,24.51
133,2021,6,15,12,33,59,73,24.51
134,2021,6,15,12,34,0,74,24.51
135,2021,6,15,12,34,1,75,24.51
136,2021,6,15,12,34,2,76,24.51
137,2021,6,15,12,34,3,77,24.51
138,2021,6,15,12,34,4,78,24.51
139,2021,6,15,12,34,5,79,24.51
140,2021,6,15,12,34,6,80,24.51
141,2021,6,15,12,34,7,81,24.51
142,2021,6,15,12,34,8,82,24.51
143,2021,6,15,12,34,9,83,24.51
144,2021,6,15,12,34,10,84,24.51
145,2021,6,15,12,34,11,85,24.51
146,2021,6,15,12,34,12,86,24.51
147,2021,6,15,12,34,13,87,24.51
148,2021,6,15,12,34,15,88,24.51
149,2021,6,15,12,34,16,89,24.51
150,2021,6,15,12,34,17,90,24.51
151,2021,6,15,12,34,18,91,24.51
152,2021,6,15,12,34,19,92,24.42
153,2021,6,15,12,34,20,93,24.51
154,2021,6,15,12,34,21,94,24.51
155,2021,6,15,12,34,22,95,24.51
156,2021,6,15,12,34,23,96,24.51
157,2021,6,15,12,34,24,97,24.51
158,2021,6,15,12,34,25,98,24.42
159,2021,6,15,12,34,26,99,24.51
160,2021,6,15,12,34,27,100,24.51
161,2021,6,15,12,34,28,101,24.51
162,2021,6,15,12,34,29,102,24.51
163,2021,6,15,12,34,30,103,24.42
164,2021,6,15,12,34,31,104,24.51
165,2021,6,15,12,34,32,105,24.51
166,2021,6,15,12,34,33,106,24.51
167,2021,6,15,12,34,34,107,24.51
168,2021,6,15,12,34,35,108,24.51
169,2021,6,15,12,34,36,109,24.51
170,2021,6,15,12,34,37,110,24.51
171,2021,6,15,12,34,38,111,24.51
172,2021,6,15,12,34,39,112,24.51
173,2021,6,15,12,34,40,113,24.51
174,2021,6,15,12,34,41,114,24.51
175,2021,6,15,12,34,42,115,24.51
176,2021,6,15,12,34,43,116,24.51
177,2021,6,15,12,34,44,117,24.42
178,2021,6,15,12,34,45,118,24.42
179,2021,6,15,12,34,46,119,24.42
180,2021,6,15,12,34,47,120,24.51
181,2021,6,15,12,34,48,121,24.51
182,2021,6,15,12,34,49,122,24.42
183,2021,6,15,12,34,50,123,24.42
184,2021,6,15,12,34,52,124,24.42
185,2021,6,15,12,34,53,125,24.51
186,2021,6,15,12,34,54,126,24.51
187,2021,6,15,12,34,55,127,24.42
188,2021,6,15,12,34,56,128,24.51
189,2021,6,15,12,34,57,129,24.42
190,2021,6,15,12,34,58,130,24.51
191,2021,6,15,12,34,59,131,24.42
192,2021,6,15,12,35,0,132,24.34
193,2021,6,15,12,35,1,133,24.51
194,2021,6,15,12,35,2,134,24.42
195,2021,6,15,12,35,3,135,24.51
196,2021,6,15,12,35,4,136,24.42
197,2021,6,15,12,35,5,137,24.42
198,2021,6,15,12,35,6,138,24.42
199,2021,6,15,12,35,7,139,24.51
200,2021,6,15,12,35,8,140,24.51
201,2021,6,15,12,35,9,141,24.42
202,2021,6,15,12,35,10,142,24.42
203,2021,6,15,12,35,11,143,24.42
204,2021,6,15,12,35,12,144,24.42
205,2021,6,15,12,35,13,145,24.51
206,2021,6,15,12,35,14,146,24.51
207,2021,6,15,12,35,15,147,24.42
208,2021,6,15,12,35,16,148,24.51
209,2021,6,15,12,35,17,149,24.51
210,2021,6,15,12,35,18,150,24.51
211,2021,6,15,12,35,19,151,24.42
212,2021,6,15,12,35,20,152,24.42
213,2021,6,15,12,35,21,153,24.51
214,2021,6,15,12,35,22,154,24.42
215,2021,6,15,12,35,23,155,24.42
216,2021,6,15,12,35,24,156,24.51
217,2021,6,15,12,35,25,157,24.42
218,2021,6,15,12,35,26,158,24.42
219,2021,6,15,12,35,28,159,24.42
220,2021,6,15,12,35,29,160,24.42
221,2021,6,15,12,35,30,161,24.42
222,2021,6,15,12,35,31,162,24.42
223,2021,6,15,12,35,32,163,24.42
224,2021,6,15,12,35,33,164,24.51
225,2021,6,15,12,35,34,165,24.42
226,2021,6,15,12,35,35,166,24.51
227,2021,6,15,12,35,36,167,24.34
228,2021,6,15,12,35,37,168,24.42
229,2021,6,15,12,35,38,169,24.42
230,2021,6,15,12,35,39,170,24.42
231,2021,6,15,12,35,40,171,24.42
232,2021,6,15,12,35,41,172,24.42
233,2021,6,15,12,35,42,173,24.42
234,2021,6,15,12,35,43,174,24.42
235,2021,6,15,12,35,44,175,24.42
236,2021,6,15,12,35,45,176,24.51
237,2021,6,15,12,35,46,177,24.42
238,2021,6,15,12,35,47,178,24.42
239,2021,6,15,12,35,48,179,24.42
240,2021,6,15,12,35,49,180,24.42
