id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,16,10,12,48,-60,19.18
1,2021,6,16,10,12,49,-59,19.18
2,2021,6,16,10,12,50,-58,19.18
3,2021,6,16,10,12,51,-57,19.18
4,2021,6,16,10,12,52,-56,19.18
5,2021,6,16,10,12,53,-55,19.18
6,2021,6,16,10,12,54,-54,19.09
7,2021,6,16,10,12,55,-53,19.18
8,2021,6,16,10,12,56,-52,19.18
9,2021,6,16,10,12,57,-51,19.18
10,2021,6,16,10,12,58,-50,19.09
11,2021,6,16,10,12,59,-49,19.09
12,2021,6,16,10,13,0,-48,19.09
13,2021,6,16,10,13,1,-47,19.18
14,2021,6,16,10,13,2,-46,19.09
15,2021,6,16,10,13,3,-45,19.01
16,2021,6,16,10,13,4,-44,19.18
17,2021,6,16,10,13,5,-43,19.09
18,2021,6,16,10,13,6,-42,19.09
19,2021,6,16,10,13,7,-41,19.09
20,2021,6,16,10,13,8,-40,19.01
21,2021,6,16,10,13,9,-39,19.09
22,2021,6,16,10,13,11,-38,19.09
23,2021,6,16,10,13,12,-37,19.01
24,2021,6,16,10,13,13,-36,19.09
25,2021,6,16,10,13,14,-35,19.09
26,2021,6,16,10,13,15,-34,19.09
27,2021,6,16,10,13,16,-33,19.01
28,2021,6,16,10,13,17,-32,19.09
29,2021,6,16,10,13,18,-31,19.09
30,2021,6,16,10,13,19,-30,19.01
31,2021,6,16,10,13,20,-29,19.01
32,2021,6,16,10,13,21,-28,19.09
33,2021,6,16,10,13,22,-27,19.01
34,2021,6,16,10,13,23,-26,19.01
35,2021,6,16,10,13,24,-25,19.01
36,2021,6,16,10,13,25,-24,19.01
37,2021,6,16,10,13,26,-23,19.01
38,2021,6,16,10,13,27,-22,19.01
39,2021,6,16,10,13,28,-21,18.92
40,2021,6,16,10,13,29,-20,19.01
41,2021,6,16,10,13,30,-19,19.01
42,2021,6,16,10,13,31,-18,18.92
43,2021,6,16,10,13,32,-17,19.01
44,2021,6,16,10,13,33,-16,18.92
45,2021,6,16,10,13,34,-15,18.92
46,2021,6,16,10,13,35,-14,18.92
47,2021,6,16,10,13,36,-13,18.92
48,2021,6,16,10,13,37,-12,18.92
49,2021,6,16,10,13,38,-11,18.92
50,2021,6,16,10,13,39,-10,18.92
51,2021,6,16,10,13,40,-9,18.92
52,2021,6,16,10,13,41,-8,18.92
53,2021,6,16,10,13,42,-7,18.92
54,2021,6,16,10,13,43,-6,18.92
55,2021,6,16,10,13,44,-5,18.84
